Date,Open,High,Low,Close,Volume
2024-03-25,169.185,170.549,168.078,169.468,54731182
2024-03-26,168.625,170.033,168.207,168.337,57856592
2024-03-27,169.031,172.196,168.734,171.907,60764941
2024-03-28,170.36,170.837,169.13,170.092,66208412
2024-04-01,169.804,169.864,168.103,168.655,46617704
2024-04-02,167.712,167.969,166.869,167.474,49731884
2024-04-03,167.424,169.3,167.216,168.277,48080757
2024-04-04,168.911,170.53,167.454,167.454,54142477
2024-04-05,168.217,169.011,167.584,168.207,42448294
2024-04-08,167.663,167.831,166.879,167.087,37730809
2024-04-09,167.334,168.704,166.988,168.297,42797503
2024-04-10,167.434,167.722,165.758,166.422,50114837
2024-04-11,166.978,174.039,166.8,173.624,91813176
2024-04-12,172.85,176.916,172.8,175.121,102500262
2024-04-15,173.94,175.201,171.104,171.293,74131605
2024-04-16,170.36,172.355,166.909,168.009,74312531
2024-04-17,168.237,169.27,166.64,166.64,51316434
2024-04-18,166.67,167.275,165.202,165.688,43474675
2024-04-19,164.865,165.054,162.747,163.596,68320632
2024-04-22,164.176,165.907,163.437,164.499,48508950
2024-04-23,164.012,165.698,163.586,165.549,49941863
2024-04-24,165.192,167.93,164.865,167.653,48645447
2024-04-25,168.152,169.23,166.791,168.517,50970756
2024-04-26,168.507,169.954,167.811,167.93,45204120
2024-04-29,171.967,174.607,171.7,172.096,68725508
2024-04-30,171.927,173.575,168.625,168.951,66472635
2024-05-01,168.207,171.308,167.742,167.93,50794145
2024-05-02,171.114,172.012,169.508,171.63,94983469
2024-05-03,185.136,185.486,181.182,181.896,164555603
2024-05-06,180.878,182.709,178.962,180.239,79210596
2024-05-07,181.966,183.405,179.854,180.923,77936389
2024-05-08,181.371,181.589,179.982,181.261,45424638
2024-05-09,181.082,183.166,180.637,183.077,49382548
2024-05-10,183.652,183.841,180.9,181.814,51104249
2024-05-13,184.184,185.839,183.375,185.025,72534130
2024-05-14,186.244,187.03,185.035,186.166,52749472
2024-05-15,186.643,189.364,186.106,188.44,70878138
2024-05-16,189.185,189.806,188.38,188.56,53204149
2024-05-17,188.232,189.523,187.904,188.589,41563315
2024-05-20,188.048,190.624,187.735,189.751,44662573
2024-05-21,189.801,191.429,189.632,191.053,42596762
2024-05-22,190.968,191.521,188.987,189.612,34883876
2024-05-23,189.692,189.711,185.364,185.619,51352351
2024-05-24,187.547,189.294,186.773,188.698,36573704
2024-05-28,190.219,191.698,187.824,188.708,52635132
2024-05-29,188.331,190.95,188.232,189.006,53428448
2024-05-30,189.473,190.883,189.344,189.999,50287182
2024-05-31,190.149,191.272,188.629,190.953,75668744
2024-06-03,191.598,193.674,191.222,192.721,50420680
2024-06-04,193.322,194.003,191.731,193.039,47793867
2024-06-05,194.083,195.571,193.555,194.548,54524612
2024-06-06,194.366,195.175,192.861,193.169,41461455
2024-06-07,193.337,195.611,192.831,195.561,53464589
2024-06-10,195.571,195.968,190.853,191.817,97922672
2024-06-11,192.343,205.763,192.324,205.754,173544040
2024-06-12,205.97,218.715,205.505,211.634,199480004
2024-06-13,213.292,215.286,210.172,212.794,98527404
2024-06-14,212.408,213.718,209.875,211.056,70599014
2024-06-17,211.931,217.473,211.284,215.209,94364893
2024-06-18,216.121,217.154,211.564,212.844,80486221
2024-06-20,212.488,212.794,207.441,208.265,86757726
2024-06-21,208.97,210.46,205.714,206.09,248095025
2024-06-24,206.319,211.265,205.196,206.736,81275296
2024-06-25,207.739,209.953,207.203,207.659,57099062
2024-06-26,210.072,213.412,209.218,211.811,66662900
2024-06-27,213.242,214.284,210.917,212.655,50110758
2024-06-28,214.315,214.612,208.883,209.198,83103341
2024-07-01,210.66,216.044,210.49,215.286,60813180
2024-07-02,214.692,218.893,213.648,218.783,58440422
2024-07-03,218.516,220.056,217.553,220.056,37623613
2024-07-05,220.156,224.921,220.156,224.814,60822723
2024-07-08,225.558,226.314,221.744,226.284,59487167
2024-07-09,226.392,227.853,224.846,227.138,48496987
2024-07-10,227.753,231.509,227.703,231.409,63053048
2024-07-11,229.828,230.822,224.247,226.035,65150125
2024-07-12,227.376,231.07,227.138,228.984,53406814
2024-07-15,234.884,235.63,231.519,232.819,63056637
2024-07-16,233.414,234.677,230.762,233.237,43527921
2024-07-17,227.903,229.898,225.111,227.336,57735372
2024-07-18,228.726,228.885,220.77,222.667,66483086
2024-07-19,223.304,225.27,221.769,222.797,49485285
2024-07-22,225.479,226.244,221.585,222.449,48529217
2024-07-23,222.852,225.409,221.179,223.491,40231666
2024-07-24,222.489,223.284,215.666,217.066,62197163
2024-07-25,217.453,219.361,213.172,216.024,51740242
2024-07-26,217.224,218.009,214.552,216.49,41883897
2024-07-29,215.496,217.821,214.295,216.768,36558404
2024-07-30,217.712,218.838,214.662,217.323,41926681
2024-07-31,219.946,222.309,219.142,220.581,50376103
2024-08-01,222.857,222.966,215.556,216.888,62925496
2024-08-02,217.672,224.078,216.24,218.377,106285571
2024-08-05,197.746,212.059,194.677,207.859,120360552
2024-08-06,203.915,208.573,199.714,205.832,70133615
2024-08-07,205.505,212.198,204.997,208.404,63947814
2024-08-08,211.673,212.754,207.421,211.871,47481463
2024-08-09,210.67,215.316,210.54,214.782,42488275
2024-08-12,214.862,218.281,214.392,216.312,38242110
2024-08-13,217.785,220.648,217.785,220.032,44403834
2024-08-14,219.336,221.782,218.471,220.479,42196724
2024-08-15,223.343,224.089,221.513,223.461,46675227
2024-08-16,222.666,225.558,222.398,224.786,44589783
2024-08-19,224.456,224.726,221.792,224.626,40916800
2024-08-20,224.506,225.898,224.188,225.243,30469554
2024-08-21,225.252,226.703,223.791,225.133,34961137
2024-08-22,226.515,227.062,222.646,223.274,43941234
2024-08-23,224.395,226.943,223.075,225.571,38894922
2024-08-26,225.491,226.008,222.636,225.908,30774435
2024-08-27,224.731,227.568,223.631,226.753,36136796
2024-08-28,226.645,228.573,224.416,225.223,38266321
2024-08-29,228.812,231.616,227.598,228.503,52198422
2024-08-30,228.901,229.111,226.207,227.718,53288998
2024-09-03,227.271,227.718,219.932,221.523,50473043
2024-09-04,220.419,220.538,216.262,219.614,44086925
2024-09-05,220.384,224.218,220.281,221.136,36821466
2024-09-06,222.696,223.98,218.54,219.584,48695532
2024-09-09,219.584,220.032,215.497,219.673,67558049
2024-09-10,217.695,220.242,215.517,218.878,51881383
2024-09-11,220.217,221.841,216.671,221.413,44838004
2024-09-12,221.255,222.299,218.59,221.523,37709262
2024-09-13,222.328,222.786,220.668,221.255,36973538
2024-09-16,215.327,216.005,212.722,215.109,59691486
2024-09-17,214.542,215.687,213.3,215.577,45775518
2024-09-18,216.332,221.463,216.322,219.455,60232012
2024-09-19,223.731,228.533,223.372,227.588,67157155
2024-09-20,228.682,231.785,226.347,226.923,320473399
2024-09-23,226.068,228.166,224.546,225.203,54450752
2024-09-24,227.366,228.066,224.466,226.098,43801198
2024-09-25,223.671,226.018,222.766,225.103,42546825
2024-09-26,226.028,227.221,224.148,226.247,36842895
2024-09-27,227.181,228.236,226.028,226.515,34217462
2024-09-30,228.752,231.696,228.366,231.696,55101764
2024-10-01,228.236,228.366,222.488,224.943,63641211
2024-10-02,224.626,226.098,221.772,225.511,33065654
2024-10-03,223.881,225.536,222.071,224.406,34235755
2024-10-04,226.625,226.723,222.876,225.531,37555273
2024-10-07,223.244,224.426,220.092,220.449,39727687
2024-10-08,223.045,224.716,222.001,224.506,32034974
2024-10-09,223.97,228.465,223.571,228.256,33780139
2024-10-10,226.505,228.216,225.898,227.758,28342159
2024-10-11,228.016,228.126,226.068,226.277,31937926
2024-10-14,227.421,230.433,227.321,230.006,40106538
2024-10-15,232.303,236.161,231.069,232.541,65115783
2024-10-16,230.303,230.821,228.553,230.483,34274052
2024-10-17,232.123,232.541,229.231,230.851,33179496
2024-10-18,234.857,234.857,232.7,233.685,46692784
2024-10-21,233.138,235.524,233.138,235.157,36458507
2024-10-22,232.576,234.897,231.298,234.541,39065203
2024-10-23,232.77,233.828,226.485,229.468,52581246
2024-10-24,228.692,229.527,227.132,229.281,31284584
2024-10-25,228.455,231.915,228.286,230.116,39020680
2024-10-28,232.014,233.416,231.248,232.093,36290230
2024-10-29,231.795,233.013,231.02,232.363,35616572
2024-10-30,231.308,232.163,228.266,228.812,47335819
2024-10-31,228.056,228.543,224.108,224.646,64732356
2024-11-01,219.728,224.089,219.037,221.662,65644114
2024-11-04,219.753,221.543,218.481,220.767,45197412
2024-11-05,220.553,222.696,219.902,222.2,28269546
2024-11-06,221.364,224.801,219.952,221.473,54868187
2024-11-07,223.367,226.6,223.314,226.207,42374838
2024-11-08,226.148,227.63,225.386,225.938,38502175
2024-11-11,223.988,224.684,220.503,223.221,42195582
2024-11-12,223.538,224.574,222.349,223.221,40581010
2024-11-13,223.002,225.629,221.757,224.107,48785869
2024-11-14,224.008,227.84,223.988,227.192,45127121
2024-11-15,225.381,225.898,223.261,223.988,48140443
2024-11-18,224.236,228.705,224.156,226.994,44888123
2024-11-19,225.958,229.124,225.639,227.252,36375550
2024-11-20,227.034,228.894,224.873,227.968,35328629
2024-11-21,227.85,229.119,224.694,227.491,42298772
2024-11-22,227.034,229.681,227.034,228.835,38340877
2024-11-25,230.418,232.195,228.705,231.821,90560571
2024-11-26,232.28,234.51,232.28,234.001,46194172
2024-11-27,233.409,234.629,232.757,233.872,33649943
2024-11-29,233.747,236.74,232.916,236.262,28610190
2024-12-02,236.202,239.707,236.093,238.512,48354814
