Date,Open,High,Low,Close,Volume
2024-03-25,110.45,110.8,109.11,110.01,6622414
2024-03-26,110.49,111.9,109.93,111.5,7770829
2024-03-27,112,113.7,111.94,113.48,7533356
2024-03-28,113.28,114.02,112.93,113.66,5278215
2024-04-01,113.66,113.66,111.82,112.09,3963996
2024-04-02,111.8903,112.42,111.18,112.02,4560740
2024-04-03,112.14,112.55,111.05,111.28,4409909
2024-04-04,111.84,112,109.8375,110.11,4799745
2024-04-05,109.7,111.26,109.54,111.2,5591219
2024-04-08,111.3,111.48,110.14,110.52,5810480
2024-04-09,110.59,112.57,110.58,112.44,4235804
2024-04-10,111.22,111.67,110.35,111.17,3965558
2024-04-11,111.65,111.98,110.31,111.45,4321456
2024-04-12,110.27,110.5,108.4916,109.11,4041615
2024-04-15,110.09,110.89,108.831,108.89,4595628
2024-04-16,108.84,110.33,108.14,109.21,7283867
2024-04-17,107.53,108.72,104.25,105.9,12002886
2024-04-18,106.5,107.03,104.47,105.27,7306449
2024-04-19,105.98,107.77,105.38,107.28,10521070
2024-04-22,107.48,107.9,106.27,107.07,4948315
2024-04-23,107.67,108.11,107.3101,107.59,3849589
2024-04-24,106.71,107.11,105.56,106.89,5052691
2024-04-25,106.645,107.455,106.14,106.86,3112495
2024-04-26,106.51,107.8561,106.39,107.53,3575566
2024-04-29,107.39,108.19,106.6,107.27,3307022
2024-04-30,106.52,106.87,105.895,105.97,5073971
2024-05-01,105.93,107.16,105.91,106.29,4097108
2024-05-02,106.66,106.66,105.15,105.92,3708515
2024-05-03,106.11,106.64,105.475,105.9,3610492
2024-05-06,106.11,106.17,105.14,105.64,3789737
2024-05-07,106.52,106.6,105.79,106.17,6556396
2024-05-08,106.34,106.34,104.28,104.94,6234711
2024-05-09,104.73,105.01,104.5,104.67,5902240
2024-05-10,104.5,105.67,104.42,104.74,7349729
2024-05-13,104.99,105.5,104.4,104.77,5459183
2024-05-14,104.85,105.13,103.36,104.01,7035128
2024-05-15,104.1,104.83,104.1,104.59,5443172
2024-05-16,104.45,105.19,104.16,104.87,8708267
2024-05-17,104.41,104.8,103.94,104.09,7004574
2024-05-20,103.78,103.8,103.02,103.21,7165905
