Date,Open,High,Low,Close,Volume
2024-03-25,336.01,336.01,329.69,333.82,5320123
2024-03-26,335.14,337.84,334.34,336.39,3006558
2024-03-27,337.88,342.36,337.88,340.94,3295226
2024-03-28,341.42,346.98,340.84,346.61,3614949
2024-04-01,344.86,345,338.065,339.17,2320290
2024-04-02,336.67,338.88,333,336.46,2453410
2024-04-03,336.24,337.19,331.89,332.28,1975675
2024-04-04,334.12,337.99,330.17,330.47,2272998
2024-04-05,331.53,333.82,330.33,333,3694783
2024-04-08,334.03,335,331.68,331.8,2431946
2024-04-09,333.65,334.87,329.82,334.45,2416637
2024-04-10,328.35,329.52,323.64,324.4,2156676
2024-04-11,326.05,327,323.26,325.19,2204402
2024-04-12,320.97,322.5,313.19,315.4,4207862
2024-04-15,316.05,321.6,312.18,313.27,2997919
2024-04-16,315.14,315.64,311.84,313.94,2900382
2024-04-17,316.87,317.02,312.61,314.54,2760011
2024-04-18,312.63,317.77,312.01,316,3025199
2024-04-19,317.86,318.55,314.6,316.91,3381532
2024-04-22,318.54,319.06,315.5,317.42,2433374
2024-04-23,318.48,319.81,316.49,316.83,2000291
2024-04-24,315.84,315.84,310.69,313.54,4133828
2024-04-25,309.19,310.2439,305.35,309,3638978
2024-04-26,309.41,309.49,307.27,308.01,3371848
2024-04-29,307.06,308.615,302.5,303.16,4719334
2024-04-30,302,303.01,299.68,300.91,5224952
2024-05-01,300.13,303.49,298.1,298.66,2617356
2024-05-02,300.76,303.33,298.27,300.34,2684185
2024-05-03,302.52,304.96,301.671,303.71,2767141
2024-05-06,305.17,306.79,303.27,306.06,2361453
2024-05-07,307.9,312.145,307.6006,310.66,2483629
2024-05-08,310.12,313.4,310.12,311.99,2296394
2024-05-09,307,308.205,302.92,306.61,3238246
2024-05-10,308,309.26,306.06,306.33,1786950
2024-05-13,308.15,308.8,306.88,307.41,1695055
2024-05-14,308.9,312.29,306.22,306.95,1813613
2024-05-15,305,308.52,301.44,308.52,4230864
2024-05-16,309.66,310.59,306.75,308,2583058
2024-05-17,309.74,310,300.01,303.59,4232001
2024-05-20,303.51,307.07,301.61,305.7,2418094
2024-05-21,306.79,307.15,302.96,303.64,1866555
2024-05-22,303.96,308.19,303.69,307.11,2432422
2024-05-23,310.14,310.99,304.5601,305.93,2526304
2024-05-24,306.89,307.46,300.335,300.99,2048661
2024-05-28,299.37,300.32,295.82,297.73,3530301
2024-05-29,294.15,296.0996,291.01,293.77,4479999
2024-05-30,289.97,290.5,284.29,284.8,5007994
2024-05-31,284.8,285.39,278.69,282.29,6882088
2024-06-03,286.35,287.52,280.71,281.76,3596609
2024-06-04,281.76,288.88,280.34,288.06,3498601
2024-06-05,288.26,292.31,288.06,291.02,3002215
2024-06-06,291.2,293.87,290.6,291.74,2363205
2024-06-07,291.44,291.81,288.15,288.4,2626974
2024-06-10,287.38,290.52,287,290.43,2510107
2024-06-11,290.12,294.31,288.79,294.22,2457624
2024-06-12,291.63,294.15,285.44,285.73,3749585
2024-06-13,287.67,289.5471,282.09,282.32,3119248
2024-06-14,281.41,286.95,280.71,286.71,2966211
2024-06-17,286.23,288.6,283.95,285.53,3559587
2024-06-18,285.31,289.91,284.39,285.35,5314911
2024-06-20,314.63,317.73,298,306.16,11374572
2024-06-21,307.03,310.35,302.58,308.98,8481762
2024-06-24,305.36,312.37,304.68,307.21,4399601
2024-06-25,307.98,309.9997,305.43,307.17,4498741
2024-06-26,299.92,305.74,299.43,304.62,3162079
2024-06-27,305,305.465,301.46,303.19,3162199
2024-06-28,303.54,305.545,301.65,303.41,14905693
2024-07-01,303.73,304.36,299.6,302.55,2411300
2024-07-02,300.93,304,300.93,303.83,2177192
2024-07-03,304.75,306.89,303.975,305.75,1751215
2024-07-05,304.91,305.7,297.68,299.14,3158944
2024-07-08,300.46,301.95,295.6002,299.47,2557914
2024-07-09,299.09,299.15,294.4775,298.06,2479254
2024-07-10,296.9,298,290.5306,295.44,2283455
2024-07-11,295.44,302.18,293.98,297.99,2988052
2024-07-12,299.59,312.02,299.03,310.63,3951627
2024-07-15,312.67,319.37,312.67,317.87,3866301
2024-07-16,318.38,325.15,318.03,325,3640693
2024-07-17,325.95,328.57,323.62,325.6,4383856
2024-07-18,329.41,336.25,327.84,328.1,4563719
2024-07-19,331.09,335.79,327.7065,329.19,5376237
2024-07-22,330.72,332.82,329.7228,331.51,3419315
2024-07-23,331.43,332.2,327.97,330.33,1994169
2024-07-24,329.38,332.54,328.135,328.68,3286450
2024-07-25,325.59,335.69,323.34,330.12,2764639
2024-07-26,325.92,329.81,325.211,328.46,2438247
2024-07-29,328.66,328.98,323.87,326.2,1629266
2024-07-30,327.49,330.4499,326.95,329.2,1985465
2024-07-31,331.64,333.93,329.042,330.62,2606401
2024-08-01,333.88,338.92,326.42,328.08,2538193
2024-08-02,324.99,326.68,320.35,323.15,2682736
2024-08-05,311.61,317.87,310.23,313.74,3186698
2024-08-06,317,322.66,315.72,318.68,2284261
2024-08-07,319.95,325.74,317.93,318.02,2327705
2024-08-08,315.3,319.51,314.47,315.88,2213725
2024-08-09,316.2,317.32,313.2201,315.83,1851305
2024-08-12,315.47,317.4699,312.74,313.96,2276546
