Date,Open,High,Low,Close,Volume
2024-03-25,56.05,56.93,55.98,56.01,1765527
2024-03-26,56.71,56.89,56.045,56.06,1896915
2024-03-27,56.3,57.875,56.19,57.85,2222609
2024-03-28,58.39,59.765,58.18,59.65,4762754
2024-04-01,60.75,61.58,60.28,61.3,6636979
2024-04-02,61.64,61.79,60.4301,60.8,4100764
2024-04-03,60.55,61.89,60.51,61.72,2878275
2024-04-04,61.46,61.57,60.31,60.59,4702573
2024-04-05,60.42,62.48,60.32,62,3706054
2024-04-08,62.54,62.77,60.7699,61.15,3319595
2024-04-09,62.4,62.69,61.7851,62.21,3129908
2024-04-10,60.75,61.63,60.37,61.26,3066318
2024-04-11,61.78,61.98,60.5035,61.67,2534621
2024-04-12,62.56,64.195,60.8,61.45,5736794
2024-04-15,62.07,62.09,60.15,61.43,3865115
2024-04-16,60.79,62.27,60.41,61.74,5165884
2024-04-17,61.98,63.025,61.87,62.49,3462920
2024-04-18,63.38,63.71,62.73,63.47,3614190
2024-04-19,63.06,63.95,63.04,63.84,3633009
2024-04-22,61.99,62.88,61.6,62.26,4450669
2024-04-23,61.85,63.25,61.56,62.92,2655432
2024-04-24,62.67,63.775,62.55,63.69,2878914
2024-04-25,63.87,65.49,63.26,64.94,4839856
2024-04-26,66.95,67.8,65.5,65.52,5018392
2024-04-29,65.78,66.17,64.59,65.81,2213052
2024-04-30,64.15,64.78,63.34,63.35,3589931
2024-05-01,63.91,65.54,63.32,64.24,2519271
2024-05-02,64.06,65.44,63.89,65.12,2172479
2024-05-03,65.38,65.53,64.3,65.04,1909377
2024-05-06,66,66.46,65.84,66.13,3485267
2024-05-07,66.06,66.35,65.37,65.88,1849298
2024-05-08,65.23,66.72,65.18,66.28,1705396
2024-05-09,66.67,68.1958,66.65,68.1,3126123
2024-05-10,68.84,69.17,68.13,68.4,3062264
2024-05-13,68.02,68.74,67.075,67.75,1603799
2024-05-14,68.2,68.73,67.87,68.64,1643495
2024-05-15,69.03,69.55,67.9,69.1,2201578
2024-05-16,68.69,69.19,68.32,68.81,1872675
2024-05-17,69.69,70.37,69.22,70.11,2642339
2024-05-20,70.35,71.5,69.89,70.78,1922547
2024-05-21,70.3,70.49,69.69,70.12,2371463
2024-05-22,69.36,69.68,67.605,68.01,2668251
2024-05-23,67.93,68.09,66.72,67.32,2739834
2024-05-24,67.89,68.14,67.482,67.71,1656563
2024-05-28,68.75,69.23,68.17,68.93,1439070
2024-05-29,68.34,68.77,67.27,67.39,1703224
2024-05-30,67.56,69.13,67.38,68.59,3800307
2024-05-31,68.74,69.285,67.2,68.21,2563311
2024-06-03,68.6,68.875,67.77,68.63,2229613
2024-06-04,67.39,67.39,64.73,65.02,3268122
2024-06-05,65.39,66.23,64.76,66.1,2545451
2024-06-06,66.01,68.82,65.87,68.69,2061084
2024-06-07,66.065,66.38,63.009,63.8,4480723
2024-06-10,64,65.33,64,65.24,3102842
2024-06-11,64.59,64.69,63.81,64.68,1684595
2024-06-12,66.08,66.55,65.13,65.64,2468795
2024-06-13,65.04,65.92,63.87,64.03,1884121
2024-06-14,64.47,64.52,63.43,64.25,1569464
2024-06-17,64.11,64.865,63.81,64.25,1953647
2024-06-18,64.02,64.91,63.92,64.61,1541775
2024-06-20,65.01,66.45,64.75,66.07,3093718
2024-06-21,66.17,66.17,64.41,65.23,5421266
2024-06-24,65.72,66.02,65.15,65.66,1514997
2024-06-25,65.64,65.64,64.83,64.89,1418650
2024-06-26,64.02,65.41,63.93,65.36,1263261
2024-06-27,66.15,66.8,65.84,66.38,1812790
2024-06-28,67.14,67.21,64.98,65.4,1645484
2024-07-01,65.57,66.24,65.02,65.04,812092
2024-07-02,64.72,65.72,64.65,65.67,1193538
2024-07-03,66.81,68.65,66.7825,68.05,1487835
2024-07-05,69.14,70.4695,68.78,69.8,2084225
2024-07-08,69.28,70.01,68.87,69.93,1411585
2024-07-09,70,70.54,69.58,70.2,1500605
2024-07-10,70.99,73.33,70.96,73.28,3125867
2024-07-11,74.93,75.09,72.68,74.62,3163586
2024-07-12,73.93,75.2699,73.86,75.12,1505783
2024-07-15,75.21,75.95,74.165,74.75,2007270
2024-07-16,75.08,77.04,75.08,76.49,2262464
2024-07-17,76.29,76.74,75.27,75.48,1856280
2024-07-18,75.81,75.82,74.2855,74.94,1487121
2024-07-19,72.99,74.73,72.79,74.17,1532749
2024-07-22,73.92,74.99,73.7368,74.76,1666965
2024-07-23,74.79,75.83,74.42,75.43,1531199
2024-07-24,75.89,76.89,74.6,74.63,1776124
2024-07-25,72.57,73.86,72.38,73.04,2204282
2024-07-26,74,74.27,73.33,73.4,1675056
2024-07-29,73.55,74.55,72.865,74.52,1304912
2024-07-30,74.75,75.32,73.7605,75.16,2059114
2024-07-31,76.18,77.54,76.16,77.17,2896111
2024-08-01,77.14,78.1,75.34,76.09,2536887
2024-08-02,77.12,78.16,74.11,75.12,3009042
2024-08-05,71.12,73.9,69.72,73.17,4347395
2024-08-06,72.68,75.665,72.2,75.01,3601111
2024-08-07,75.78,76.145,72.215,72.24,2317750
2024-08-08,73.02,74.07,71.93,73.56,2429248
2024-08-09,74.4,74.42,72.775,74.15,1844184
2024-08-12,74.92,77.25,74.64,76.73,2647291
2024-08-13,76.54,77.78,76.33,77.51,1711565
