Date,Open,High,Low,Close,Volume
2024-03-25,193.69,196.22,193.53,195.56,2144835
2024-03-26,195.26,195.47,193.9,194.1,1823364
2024-03-27,195.645,197.75,194.02,197.38,2494193
2024-03-28,198.37,198.37,196.005,197.59,2170518
2024-04-01,196.55,196.58,192.185,193.01,2195793
2024-04-02,191.83,193.83,191.34,192.18,2321286
2024-04-03,191.37,193.25,190.18,192.31,2270398
2024-04-04,194.09,194.8,190.09,190.3,2265425
2024-04-05,189.25,192.24,188.78,190.17,2538781
2024-04-08,190.1,190.4875,186.635,188.21,2296949
2024-04-09,189.37,192.99,188.84,192.81,1962968
2024-04-10,187.19,187.485,180.54,181.96,4136543
2024-04-11,182.01,182.28,178.33,178.64,3688596
2024-04-12,178.78,179.675,177.13,179.2,3839228
2024-04-15,179.2,180.28,176.02,178.12,2563028
2024-04-16,177.95,177.95,171.76,172.21,3848820
2024-04-17,172.96,173.36,171.08,172.02,2732832
2024-04-18,173.73,174.06,170.67,171,2276185
2024-04-19,171.8,173.01,170.69,171.35,2867335
2024-04-22,171.63,172.94,171.01,172.3,2603759
2024-04-23,172.49,176.07,171.43,174.18,2659034
2024-04-24,172.67,175.44,172.355,173.35,3029333
2024-04-25,171.75,173.22,171.28,172.9,1862294
2024-04-26,172.72,174.94,171.33,171.69,1701397
2024-04-29,173.26,175.56,173.2,174.99,2115182
2024-04-30,175.53,176.92,170.46,171.56,3710749
2024-05-01,173.28,178.81,171.495,176.84,3877575
2024-05-02,178.01,179.7,175.365,179.64,3278182
2024-05-03,183.5,184.89,181.17,181.74,3130327
2024-05-06,182.28,182.7,177.52,178.69,2297894
2024-05-07,179.98,181.45,179.23,181.28,2594855
2024-05-08,179.95,181.52,178.51,181.33,2014399
2024-05-09,182.64,187.75,181.96,186.37,2588033
2024-05-10,186.47,186.71,182.5,184.49,3158133
2024-05-13,185.36,186.23,183.05,185,1842738
2024-05-14,186.36,187.61,185.4,186.96,2008358
2024-05-15,191.15,194.255,191.15,192.02,2815317
2024-05-16,191.65,196.21,191.5062,194.94,2616921
2024-05-17,195.56,195.56,193.19,194.51,2157303
2024-05-20,194,195.09,191.66,191.76,1733508
2024-05-21,191.5,194.33,190.28,194.13,1527286
2024-05-22,193.59,194.24,190.22,191.34,1681095
2024-05-23,189.78,191.57,186.51,186.6,1768802
2024-05-24,187.15,188.5103,185.54,185.93,1257941
2024-05-28,186.56,187.71,184.87,185.03,1828433
2024-05-29,183.35,186.48,183.04,185.32,1977702
2024-05-30,186.4,191.02,185.34,190.78,2850462
2024-05-31,191.88,197.19,191.17,195.74,7332012
2024-06-03,196,197.83,194.99,196.97,2333298
2024-06-04,198,201.58,197,200.41,3236297
