Date,Open,High,Low,Close,Volume
2024-03-25,58.9062,59.6999,56.9493,57.0192,8560553.6867605
2024-03-26,57.2338,57.5383,56.5449,56.5799,6860055.0185755
2024-03-27,56.8994,57.6132,56.8744,57.5583,9193023.6395385
2024-03-28,57.9078,58.407,57.4036,57.5833,8725902.6767652
2024-04-01,57.3237,57.9078,56.9243,56.9343,4601963.4907322
2024-04-02,56.3802,56.5449,55.9808,56.4401,4979980.7327249
2024-04-03,57.1689,57.9527,56.5699,57.5933,7653226.5696131
2024-04-04,58.9311,59.2157,57.2812,57.4585,6836866.1363166
2024-04-05,57.728,58.7015,57.692,58.5967,6770059.8799817
2024-04-08,58.986,59.1907,57.9726,58.2173,8709009.8084092
2024-04-09,58.407,58.6066,57.0092,57.3986,8153257.8767741
2024-04-10,56.4551,57.728,56.1655,57.2887,8237439.7693144
2024-04-11,57.2488,57.9976,56.8594,57.8478,6349022.2133698
2024-04-12,56.8894,57.3536,56.3452,56.5699,6106586.6159804
2024-04-15,57.1839,57.5557,55.9209,56.1056,5023381.7627025
2024-04-16,56.1855,56.3802,55.7761,56.1955,7828437.2447733
2024-04-17,56.1955,56.4351,55.4367,55.6563,5291786.6646534
2024-04-18,55.6863,56.2604,55.3418,55.3518,5757755.795421
2024-04-19,55.4017,55.851,54.633,54.9974,7550078.5111064
2024-04-22,55.4866,56.2404,55.0074,55.841,6560220.1267626
2024-04-23,56.2704,57.134,55.9758,57.0391,10218003.885721
2024-04-24,59.5002,59.6001,57.154,58.0625,15276098.860298
2024-04-25,57.5184,59.645,56.6697,59.4104,8523534.8076879
2024-04-26,59.4054,60.5286,59.4054,60.1492,8359133.3247071
2024-04-29,60.6534,60.9953,60.0893,60.9679,5608858.972831
2024-04-30,60.903,61.7017,60.254,60.289,7179114.4873613
2024-05-01,59.8447,60.5535,59.3105,59.5352,8720518.1125364
2024-05-02,60.0044,60.4188,59.1058,60.4038,5011124.266975
2024-05-03,61.1077,61.4221,60.4088,61.2225,6569260.5056184
2024-05-06,61.4072,62.3207,61.2974,62.2958,4062104.8375907
2024-05-07,62.4006,62.7276,62.0636,62.2608,7443286.6570892
2024-05-08,61.8165,63.429,61.7167,63.2043,5996275.1639908
2024-05-09,63.2742,63.7884,62.9697,63.7035,5293591.5353268
2024-05-10,63.998,64.2106,63.394,63.6835,4726153.0160018
2024-05-13,63.7335,63.7884,63.2492,63.4789,4545613.8658236
2024-05-14,63.5088,64.2377,63.2792,64.1778,4802991.2283106
2024-05-15,64.7469,65.935,64.682,65.8751,7275688.0890976
2024-05-16,66.529,66.846,65.6105,65.7503,8079077.8924161
2024-05-17,66.3942,66.534,65.5855,65.8501,9026985.5535165
2024-05-20,65.9649,67.0991,65.7453,66.5739,6245651.8012063
2024-05-21,66.6388,67.7321,66.529,67.5923,6147469.6410341
2024-05-22,67.4975,68.0366,66.9783,67.178,6962103.327915
2024-05-23,68.0716,68.5783,67.2778,68.0915,8467609.8582319
2024-05-24,68.5857,69.1848,67.9867,68.0117,7877447.1958225
2024-05-28,68.9901,69.1798,66.6741,66.8835,9688203.2299725
2024-05-29,66.0548,66.7437,65.271,66.4292,10148831.866605
2024-05-30,66.4491,66.7137,66.0847,66.4292,7261179.0121971
2024-05-31,66.0498,66.4891,64.4873,66.0797,16499027.947028
2024-06-03,66.2794,66.564,65.1263,65.7852,7895798.3836571
2024-06-04,65.1138,65.4258,64.5172,64.9216,8156577.1561368
2024-06-05,65.4857,66.6189,65.2261,66.534,7162972.8137916
2024-06-06,66.534,66.7986,65.1562,65.3259,6481240.5085162
2024-06-07,65.3858,65.7003,65.0614,65.2161,4590901.8971046
2024-06-10,64.9565,66.9184,64.9266,66.8136,5429539.7629858
2024-06-11,66.4741,67.1281,66.4042,67.1081,4806691.1130317
2024-06-12,67.9018,68.8603,67.153,68.5807,6668721.7001136
2024-06-13,68.6906,68.9202,67.6273,68.8803,6162703.8713017
2024-06-14,68.2213,68.6207,67.2628,68.1614,4002878.6374468
2024-06-17,68.1714,69.2796,67.5424,69.05,5098677.5217165
2024-06-18,68.99,69.95,67.9,69.73,5635463
2024-06-20,69.99,70.84,68.32,68.44,10982119
2024-06-21,68.1,68.78,67.46,68.73,10703955
2024-06-24,68.19,68.4,67.2,67.27,7135321
2024-06-25,67.25,68.14,67.06,67.96,6237190
2024-06-26,68.04,68.04,66.66,67.16,7418093
2024-06-27,67.35,67.52,66.8,67.49,4523583
2024-06-28,67.68,68.8,67.1325,67.37,27676564
2024-07-01,67.74,67.9,67.07,67.52,4698902
2024-07-02,67.09,67.89,66.54,67.56,5245542
2024-07-03,67.3,67.87,66.85,67.79,2697611
2024-07-05,67.79,68.25,67.25,68.01,4371040
2024-07-08,68.44,68.65,67.81,67.99,4936056
2024-07-09,68.23,68.95,68.23,68.62,5365577
2024-07-10,69,70.25,68.8877,70.02,5865320
2024-07-11,70.19,70.305,69.39,69.53,4625171
2024-07-12,69.53,70.74,69.35,69.86,4594598
2024-07-15,70.12,70.65,69.39,69.71,5887515
2024-07-16,70.29,70.71,69.6,70.41,6164937
2024-07-17,69.3,69.51,64.14,64.22,14803673
2024-07-18,64.82,66.5,64.81,65.83,10698522
2024-07-19,66.59,67.13,64.23,64.35,7745773
2024-07-22,65,66.64,64.87,66.24,7449836
2024-07-23,66.12,67.32,65.9,66.26,8759797
2024-07-24,62.58,64.3,61.39,61.99,14011327
2024-07-25,62.81,63.165,60.53,61.76,12628801
2024-07-26,63.2,64.78,63.055,63.86,11995415
2024-07-29,64.3,64.65,63.35,63.39,5599097
2024-07-30,63.7,64.12,60.88,61.94,8008617
2024-07-31,65.91,67.07,63.73,64.26,8848972
2024-08-01,63.93,63.93,60.84,62.12,9122479
2024-08-02,60.3,60.435,58,59.13,11962688
2024-08-05,55.56,58.64,54.77,58.39,16551379
2024-08-06,58.8,60.57,58.42,59.88,10484009
2024-08-07,60.95,61.6,59.75,60.04,10106759
2024-08-08,60.97,62.51,60.67,62.37,7596673
2024-08-09,62.13,62.87,61.94,62.62,5207009
2024-08-12,62.85,63.59,62.61,63.05,4112889
2024-08-13,63.59,64.83,63.46,64.79,6823395
2024-08-14,65,65.18,64.32,64.81,4744033
2024-08-15,65.57,66.24,64.93,66.05,6095031
2024-08-16,65.88,65.955,65.19,65.8,5913898
2024-08-19,65.77,66.42,65.02,66.35,3738021
2024-08-20,66.47,67.15,65.92,67.02,4972608
2024-08-21,67.065,67.4,66.73,67.2,4670985
2024-08-22,67.49,67.75,66.55,66.76,4184617
2024-08-23,67.08,67.69,66.48,67.35,3981203
2024-08-26,67.24,67.63,66.4504,66.66,3809633
2024-08-27,66.2,66.76,65.55,66.52,6842336
2024-08-28,66.62,67.04,65.96,66.29,3791441
2024-08-29,66.58,67.7,66.42,66.79,4727394
2024-08-30,66.95,67.53,66.46,67.45,5853770
2024-09-03,66.19,66.3,61.58,61.91,10899418
2024-09-04,58,61.55,57.6832,61.3,10666730
2024-09-05,61,62.09,61,61.86,5158666
2024-09-06,61.88,62.28,59.71,59.85,5743254
2024-09-09,60.69,60.9,59.88,60.73,6339030
2024-09-10,60.87,61.26,60.35,60.79,3989657
2024-09-11,61.11,62.155,59.9601,62.06,9784224
2024-09-12,62.14,63.73,62.03,63.45,6222441
2024-09-13,63.73,64.33,63.29,63.58,6036435
2024-09-16,63.56,63.77,62.76,63.27,5707085
2024-09-17,63.7,64.28,63.12,63.99,4313035
2024-09-18,64.82,65.05,63.24,63.3,5860431
2024-09-19,65.24,65.58,64.62,65.29,3841826
2024-09-20,65.19,65.99,64.99,65.91,8004590
2024-09-23,65.98,66.345,65.57,65.67,4984231
2024-09-24,65.8,66.23,65.24,66.15,8311731
2024-09-25,66.12,66.555,65.09,65.36,4934134
2024-09-26,66.42,66.98,65.46,65.72,4677869
2024-09-27,65.83,65.98,64.63,65.02,6312784
2024-09-30,64.81,65.19,64.04,65.16,9220663
2024-10-01,65.12,65.3,63.13,63.62,6527339
2024-10-02,63.22,64.02,62.12,62.14,8607313
2024-10-03,62.07,62.875,61.92,62.07,6565219
2024-10-04,62.73,62.76,61.96,62.4,5287879
2024-10-07,61.97,62.88,61.95,62.85,5020196
2024-10-08,63.31,64.535,63.31,64.33,6678928
2024-10-09,64.33,65.148,63.92,64.94,4693745
2024-10-10,64.33,65.1,64.2,64.56,3863805
2024-10-11,64.4,65.72,64.3,65.56,5249296
2024-10-14,66.11,67.41,66.05,67.38,6682669
2024-10-15,67.64,67.92,65.18,65.7,15083580
2024-10-16,65.81,67.5,65.73,67,6848389
2024-10-17,67.89,68.48,67.22,67.54,6552076
2024-10-18,67.69,67.97,67.15,67.46,10159224
2024-10-21,67.23,67.53,66.675,66.87,8212804
2024-10-22,66.26,67.3097,66.03,66.85,7895969
2024-10-23,68,71.2,67.21,68.47,12309708
2024-10-24,69.46,70.16,68.663,69.8,9833355
2024-10-25,70.41,70.68,68.91,69.41,7041134
2024-10-28,70.31,70.33,68.49,68.68,7116370
2024-10-29,68.68,69.13,68.36,68.88,8117138
2024-10-30,68.5,68.86,67.815,68.36,6133722
2024-10-31,68.095,68.095,66.84,67.02,6513145
2024-11-01,67.72,68.3898,67.11,67.86,5399713
2024-11-04,68,68.51,67.56,68.22,4818109
2024-11-05,68.3,69.77,68.2,69.71,5580273
2024-11-06,72.36,72.36,70.79,72.17,11720604
2024-11-07,72.5,74.18,71.9,73.95,10873368
2024-11-08,74.04,74.6,73.53,73.87,6027093
2024-11-11,74.435,74.7,72.945,73.41,4420865
2024-11-12,73.78,73.99,71.635,71.99,7945467
2024-11-13,71.97,72.828,71.86,72.33,5083942
2024-11-14,73.18,73.64,72.4,72.55,6585556
2024-11-15,71.68,72.18,70.24,70.52,7410371
2024-11-18,70.52,70.71,69.18,69.88,7200392
2024-11-19,69.16,71.08,69.11,70.98,4862085
2024-11-20,71.4,71.425,70,70.89,4044343
2024-11-21,72.17,73.905,72,73.24,6144032
2024-11-22,73.745,74.4,73.4,74.29,4894784
2024-11-25,74.75,74.925,73.18,73.29,10999595
2024-11-26,73.595,73.8,72.91,73.26,4606686
2024-11-27,73.08,73.55,72.21,72.74,4745382
2024-11-29,73.05,73.39,72.65,72.65,3449195
2024-12-02,72.89,73.95,72.31,73.08,4549442
2024-12-03,72.82,73.195,72.26,73.13,3633806
2024-12-04,73.51,74.59,73.37,74.4,4003149
2024-12-05,74.24,74.6246,73.845,74.39,6689208
2024-12-06,74.39,74.83,73.92,74.21,5232262
2024-12-09,74.22,74.4295,73.43,73.67,6798486
2024-12-10,73.401,73.62,72.37,72.61,9140166
2024-12-11,73.25,73.775,72.76,73.53,3326473
2024-12-12,73.27,73.93,73.09,73.6,4128021
2024-12-13,73.975,74.78,73.08,73.63,5437366
2024-12-16,73.84,75.78,73.84,75.35,10221499
2024-12-17,75,75.45,74.17,74.26,7238496
2024-12-18,74.5,74.75,69.84,70.1,10600280
2024-12-19,70.855,71.83,69.7004,70.01,9954101
2024-12-20,69.35,71.175,68.95,70.58,12193131
2024-12-23,70.45,71.2,70.115,70.99,2970861
2024-12-24,71.25,71.72,70.81,71.66,1660938
2024-12-26,71.345,71.8,71.08,71.56,2882723
2024-12-27,71,71.43,70.27,70.74,4072402
2024-12-30,69.735,70.09,69.13,69.5,5513481
2024-12-31,69.5,69.91,69.015,69.45,3936370
2025-01-02,70,70.45,68.675,69.01,4249313
2025-01-03,69.395,70.27,69.23,70.1,5048680
2025-01-06,71.09,72.295,71.03,71.13,4822862
2025-01-07,72,72,70.85,71.46,5338817
2025-01-08,70.99,72.3899,70.64,71.83,7296591
2025-01-10,70.795,71,69.77,70.2,4530731
2025-01-13,68.7,68.7,67.39,68.34,6787193
2025-01-14,68.92,70.42,68.69,70.27,6160115
2025-01-15,71.765,72.35,70.78,70.95,6061157
2025-01-16,71.275,71.53,69.36,69.86,6867002
2025-01-17,68.89,69.98,68.48,69.42,9780908
2025-01-21,70.7,72.83,70.2,72.72,11398644
2025-01-22,75.65,78.249,73.2204,77.84,14384473
2025-01-23,77.99,78.82,76.66,78.55,9307876
2025-01-24,79,79.39,76.92,77.19,6318993
2025-01-27,70.97,72.75,65.675,67.49,22509333
2025-01-28,68.87,68.93,66.37,68.58,10368775
2025-01-29,69.09,70.09,68.8,69.38,8942995
2025-01-30,71.65,72,70.31,71.66,7103186
2025-01-31,72.75,72.9846,70.58,70.78,6270869
2025-02-03,69.17,70.66,68.54,70.12,7490883
2025-02-04,68.775,70.81,68.775,69.71,6244843
2025-02-05,70.21,70.35,69.02,69.52,7566142
2025-02-06,70.19,70.7,69.23,70.03,6277666
2025-02-07,70.175,71.14,69.47,69.8,6275884
2025-02-10,70.6,71.99,70.29,71.8,9948179
2025-02-11,70.88,71.09,69.505,69.95,6579427
2025-02-12,69.01,69.94,68.875,69.73,7512081
2025-02-13,69.51,69.915,68.93,69.37,6104345
2025-02-14,69.71,70.07,68.8,68.88,5468039
2025-02-18,69.42,69.545,67.99,69.03,6352024
2025-02-19,70.35,70.55,69.03,69.81,7368734
2025-02-20,69.525,69.81,68.145,69.37,4694837
2025-02-21,69.535,69.6,66.78,67.58,8015395
2025-02-24,68,68.4525,66.558,67.13,7469011
2025-02-25,65.99,66.86,64.28,65.01,12372090
2025-02-26,65.945,66.85,65.46,66.23,9801494
2025-02-27,66.39,66.98,65.3,65.46,6948836
2025-02-28,65.07,66.62,64.64,66.6,10480945
2025-03-03,66.78,66.78,63.16,63.45,9326718
2025-03-04,62.51,64.2,61.43,63.05,9394999
2025-03-05,63.585,64.78,62.74,64.71,7778977
2025-03-06,63.105,63.315,61.47,61.75,9130495
2025-03-07,61.72,63.31,60.01,62.93,8120380
2025-03-10,61.31,62.2,60.69,61.79,8764501
2025-03-11,62.06,62.855,61.05,61.64,7502603
2025-03-12,63.01,63.84,62.13,62.83,9807591
2025-03-13,62.675,63.19,61.36,61.62,7136655
2025-03-14,62.71,63.45,62.07,63,7577797
2025-03-17,62.64,64.575,62.6,63.86,6834932
2025-03-18,63.41,64.28,62.81,63.85,10089410
2025-03-19,64.83,68.05,64.7,67.41,15969727
2025-03-20,66.315,67.49,66.11,66.36,7627436
2025-03-21,65.615,67.045,64.64,66.6,11824387
2025-03-24,67.79,69.43,67.79,69.3,8475596
2025-03-25,69.15,69.82,68.71,69.49,5202397
2025-03-26,69.39,69.65,67.17,67.58,6916218
2025-03-27,67.365,68.62,66.66,68.17,8033516
2025-03-28,67.6,68.16,66.211,66.59,9489767
2025-03-31,65.555,66.1,64.4027,65.59,10087914
2025-04-01,65.54,66.64,65.12,66.07,6361193
2025-04-02,65.145,68.09,64.85,67.9,5700548
2025-04-03,64.34,64.81,62.18,62.66,9717071
