Date,Open,High,Low,Close,Volume
2024-03-25,225.34,226.99,225.23,226.03,2119586
2024-03-26,226.62,226.87,224.32,224.46,2106373
2024-03-27,227.2,228,225.14,227.75,2153112
2024-03-28,228.46,228.46,226.34,227.69,2295844
2024-04-01,227.44,228.57,226.83,227.61,1616807
2024-04-02,226.37,226.97,224.5905,225.53,1984722
2024-04-03,225.81,227.255,225.25,226.63,2070155
2024-04-04,229.14,229.68,219.21,219.59,3035326
2024-04-05,220,223.12,219.52,222.46,1827905
2024-04-08,223.46,224.85,223.125,224.11,1401323
2024-04-09,222.99,223.93,217.97,219.84,3503402
2024-04-10,217.51,219.5,215.52,217.65,3115019
2024-04-11,217.5,219.1701,214.5148,218.2,3139034
2024-04-12,217,218.275,216.115,218.2,2441341
2024-04-15,221.89,222.73,216.82,218.4,3459235
2024-04-16,217.7,219.38,216.51,218.34,4176672
2024-04-17,219.56,220.28,216.52,217.67,2256782
2024-04-18,218.26,221.445,217.175,217.5,3901454
2024-04-19,218.84,231.6,218.84,231.04,7572275
2024-04-22,232.03,235.3699,227.69,233,5151299
2024-04-23,234.77,239.42,233.67,238.96,4684450
2024-04-24,238.27,240.55,237.97,239.12,4429243
2024-04-25,238.13,238.45,235.405,237.1,3328959
2024-04-26,236,236.92,234.4248,235.64,2993335
2024-04-29,236.59,239.12,235.64,238.92,3696787
2024-04-30,237.88,239.61,233.77,234.03,3564276
2024-05-01,233.22,235.14,231.23,231.46,4176158
2024-05-02,233.58,233.95,230.911,232.5,2734874
2024-05-03,233.26,233.35,229.13,230.77,3203304
2024-05-06,232.3,234.57,231.32,234.33,2259573
2024-05-07,235.5,236,233.41,234.66,2084529
2024-05-08,234.4,236.85,233.52,236.24,2501911
2024-05-09,235.96,239.38,235.56,239.14,3166350
2024-05-10,240.5,243.54,240.31,242.3,2590895
2024-05-13,242.95,243.54,238.1,238.65,2768890
2024-05-14,238.15,242.09,238.1,241.53,2387310
2024-05-15,241.63,242.87,240.25,241.7,2013389
2024-05-16,241.72,243.348,240.85,241.32,2606056
2024-05-17,242.8,243.19,241.9,242.82,1848915
2024-05-20,243.11,244.4138,242.1,242.3,1983370
2024-05-21,242.34,243.575,241.34,243.08,1825937
2024-05-22,242.91,243.465,239.525,240.09,2292745
2024-05-23,240.83,240.83,235.12,235.46,3272593
2024-05-24,236.86,240.07,236.69,238.18,1624528
2024-05-28,237.75,238.47,235.88,237.25,2315401
2024-05-29,235.45,237.66,234.665,235.94,2711330
2024-05-30,236.37,237.32,234.975,237.22,2386412
2024-05-31,238,240.19,235.91,240,5102491
2024-06-03,240.18,241.36,233.5309,236.88,2677196
2024-06-04,236.39,240,235.73,237.25,2512117
2024-06-05,236.25,237.7,233.7,234.69,2925098
2024-06-06,234.79,236.4,232.7,233.35,2709843
2024-06-07,232.41,234.1205,231.71,232.67,2212477
2024-06-10,231.95,233.9225,230.6,232.44,2933675
2024-06-11,231.64,231.64,224.21,224.53,3168074
2024-06-12,227.43,228.4,222.83,224.04,3091113
2024-06-13,223.41,223.75,220.742,222.19,3011267
2024-06-14,221.38,225.64,221.34,224.82,2373907
2024-06-17,224.2,228.465,224.02,228.27,2426689
2024-06-18,227.58,229.31,226.7701,229.31,2176467
2024-06-20,228.56,231.68,226.44,230.21,2968253
2024-06-21,231.11,231.11,227.5,230.38,5064401
2024-06-24,231.68,233.9,230.2069,231.47,2152725
2024-06-25,230.86,231.3,228.535,230.59,3479902
2024-06-26,230.04,232.49,229.14,230.68,3151882
2024-06-27,229.79,230.33,227.37,228.4,2264343
2024-06-28,229.25,233.6,228.74,231.55,3901233
2024-07-01,232.33,234.8,231.55,233.81,2792825
2024-07-02,233.55,236.19,232.97,235.97,1871656
2024-07-03,236.5,237.58,235.19,235.71,1365850
2024-07-05,235.71,236.7,233.56,235.63,2488328
2024-07-08,236.23,239.5,233.76,234.51,2638572
2024-07-09,234.97,239.2,234.12,237.75,1943710
2024-07-10,236.57,239.45,235.6221,238.93,2202968
2024-07-11,238.87,239.95,236.96,238.75,1868831
2024-07-12,238.97,240.2599,237.23,238.63,2612283
2024-07-15,240.45,244.66,240.45,244,3054379
2024-07-16,244.14,249.76,243.8,249.63,3074640
2024-07-17,248.81,250.84,247.38,249.96,2471910
2024-07-18,250.8,253.73,247.755,249.2,4053298
2024-07-19,241.8,243.38,237.65,242.38,5750391
