Date,Open,High,Low,Close,Volume
2024-03-25,66.21,66.43,65.795,65.86,4424632
2024-03-26,66.25,66.455,65.765,66.33,3133187
2024-03-27,67.08,68.375,67.065,68.26,8444488
2024-03-28,68.18,68.35,67.675,67.75,3617090
2024-04-01,68.2,68.22,67.04,67.25,3113791
2024-04-02,67.15,67.38,66.755,67,4396847
2024-04-03,66.4,67.3499,66.385,66.81,3795696
2024-04-04,68.99,68.99,67.29,67.34,7453946
2024-04-05,66.98,67.72,66.89,67.45,4811317
2024-04-08,67.57,67.77,67.22,67.7,3824545
2024-04-09,68.2,68.455,67.96,68.41,4392758
2024-04-10,67.59,68.165,67.42,68.11,7715814
2024-04-11,69.88,70.07,68.87,69.45,5985924
2024-04-12,69.66,69.82,68.595,68.93,9121475
2024-04-15,69.07,69.56,68.54,68.73,9213578
2024-04-16,68.29,68.595,68.015,68.265,5361980
2024-04-17,68.72,68.795,68.2,68.53,3710062
2024-04-18,68.25,68.785,68.16,68.36,4005892
2024-04-19,68.14,68.71,68.13,68.56,4735660
2024-04-22,69.67,70.49,69.38,70.13,5183732
2024-04-23,70.43,71.1,70.16,70.85,5806028
2024-04-24,71.41,71.47,70.685,71.2,6137682
2024-04-25,74.99,75.81,74.5,75.03,15606581
2024-04-26,75,75.49,74.59,75.17,6687969
2024-04-29,76.18,76.58,75.365,75.48,7538322
2024-04-30,75.72,76.14,75.315,75.88,8547408
2024-05-01,76.34,76.8,75.96,76.41,4911684
2024-05-02,76.26,76.41,75.75,75.8,10038808
2024-05-03,76.47,76.49,75.43,76.35,9026349
2024-05-06,75.84,75.93,75.545,75.76,6457295
2024-05-07,76.43,76.47,75.92,76.32,6663140
2024-05-08,76.77,77.16,76.61,76.97,5059790
2024-05-09,76.92,77.635,76.855,77.61,2972291
2024-05-10,77.77,77.935,77.145,77.18,3606609
2024-05-13,77.23,77.49,77.151,77.43,2565673
2024-05-14,77.87,77.93,77.02,77.04,4115953
2024-05-15,76.94,77.525,76.87,76.97,3870941
2024-05-16,76.72,77.22,76.58,77.04,2941779
2024-05-17,76.87,77.07,76.61,76.9,2791645
2024-05-20,76.63,77.22,76.54,77.11,3278796
2024-05-21,77.8,79.25,77.75,79.18,7739968
2024-05-22,78.57,78.935,78.375,78.8,3568395
2024-05-23,79.32,79.36,78.1,78.18,3613546
2024-05-24,78.13,78.89,78.08,78.54,3566580
2024-05-28,77.78,77.815,76.49,76.62,4199264
2024-05-29,76.13,76.51,75.795,76.08,4653951
2024-05-30,76.62,76.98,76.455,76.77,3274787
2024-05-31,77.31,78.12,77.09,78.02,4782778
2024-06-03,78.5,79.47,78.38,78.99,5469029
2024-06-04,79.5,80.07,79.225,80.02,3959262
2024-06-05,80.41,80.67,79.82,80.32,4258747
2024-06-06,80.63,80.86,80.46,80.83,3091809
