Date,Open,High,Low,Close,Volume
2024-03-25,196.01,196.18,189.5001,191.41,12952957
2024-03-26,192.02,192.03,186.81,187.5,8972192
2024-03-27,188.84,191.99,188.33,191.95,7372795
2024-03-28,192,193.38,191.2,192.99,4471666
2024-04-01,192.24,192.8673,189.03,189.5,5107773
2024-04-02,189,189.23,187.13,188.04,4477218
2024-04-03,187.68,188.78,184.27,184.92,6609307
2024-04-04,185.93,188,182.81,183.29,6513806
2024-04-05,184.16,184.66,182.44,183.14,4130401
2024-04-08,182.14,184.55,181.49,181.56,6176429
2024-04-09,181.51,183.05,176.57,178.12,11439940
2024-04-10,176.31,178.1,172.44,174.63,9727732
2024-04-11,174.47,174.7,171.38,173.36,7625110
2024-04-12,172.2,173.24,169.37,169.55,7568297
2024-04-15,170.74,171.18,167.53,167.82,6490657
2024-04-16,168.14,170.64,167.75,170.55,7986725
2024-04-17,170,170.85,168.1215,170.21,8162632
2024-04-18,169.48,172.04,169.095,170.23,5123020
2024-04-19,170,172,169.65,169.82,4687928
2024-04-22,169.82,172.15,168.16,170.48,4724887
2024-04-23,170.95,171.18,168.43,169.18,7632123
2024-04-24,176.5,177.64,162.74,164.33,20889273
2024-04-25,163.59,168.13,159.7,166.81,12504691
2024-04-26,165.98,168.65,164.93,167.22,7208103
2024-04-29,167.9,173.81,167.55,173.49,7805459
2024-04-30,171.49,174.07,167.76,167.84,8248754
2024-05-01,167.5,173.86,167.5,171.46,6206091
2024-05-02,173,178.9,172.2501,178.85,10223730
2024-05-03,179.59,180.49,177.9,179.79,5416263
2024-05-06,180.88,183.98,174.71,178.35,11913389
2024-05-07,177.22,178.35,176.13,176.71,5097451
2024-05-08,175.95,181.66,175.95,180.35,4956761
2024-05-09,179.55,181.75,179.31,181.25,5107368
2024-05-10,181.25,181.88,177.92,178.51,3715473
2024-05-13,179.04,180.75,178.07,178.44,3105206
2024-05-14,180.23,183.66,179.63,180.76,4686537
2024-05-15,180.14,180.67,176.17,176.99,5858857
2024-05-16,177.6,183.76,177.25,182.96,6993218
2024-05-17,183.25,185.3799,181.22,184.95,5562368
2024-05-20,184.65,188.63,184.01,186.61,6228560
2024-05-21,185.3,186.39,183.11,184.78,4349117
2024-05-22,184.6,186.8183,183.41,186.28,3785412
2024-05-23,185.79,186,171.61,172.21,17115954
2024-05-24,173.2,174.8595,169.57,174.52,9489380
2024-05-28,174.73,178.4914,173.38,175.08,5274390
2024-05-29,173.61,175.8299,171.61,171.65,3666368
2024-05-30,172.64,174.68,171.5501,172.75,3927919
2024-05-31,173.12,177.9,172.21,177.61,5774549
2024-06-03,178.09,186.01,178.0197,184.57,8951574
2024-06-04,185.05,188.84,183.25,188.62,7176817
2024-06-05,187.9,190.34,186.5268,189.85,5943952
2024-06-06,188.83,192.1,187.35,191.42,5942160
2024-06-07,190.46,191.98,189.66,190.24,3374548
2024-06-10,190,192.63,189.6,190.12,4388254
2024-06-11,189.32,189.32,182.75,185.5,5010058
2024-06-12,186.5,187.16,181.71,182.67,5245156
2024-06-13,181.74,183.87,178.99,180.7,4201004
2024-06-14,178.9,180.2899,175.22,177.27,5105974
2024-06-17,176.75,180.45,176.32,178.39,4789953
2024-06-18,177.61,178,173.82,174.99,6179870
2024-06-20,173.02,176.6489,172.045,176.3,5479280
2024-06-21,176.83,178.41,175.66,176.56,8635096
2024-06-24,176.15,180.6,175.5901,179.1,7388289
2024-06-25,176.29,178.76,173.29,175.1,7695061
2024-06-26,174.96,178.82,173.76,178.5,6553895
2024-06-27,178.91,183.68,178.01,182.51,8198963
