Date,Open,High,Low,Close,Volume
2024-03-25,71.94,72.49,71.36,71.46,12422139
2024-03-26,71.84,71.87,71.09,71.48,10881917
2024-03-27,70.89,71.69,70.5825,71.59,13281277
2024-03-28,72.08,72.59,72.055,72.36,14073414
2024-04-01,73.24,73.582,72.81,73.37,14311746
2024-04-02,72.57,73.14,72.51,72.88,17290351
2024-04-03,72.42,72.87,72.11,72.44,11777913
2024-04-04,72.98,73.23,71.9,71.95,11087058
2024-04-05,71.68,72.025,71.41,71.66,12260274
2024-04-08,71.96,72.39,71.56,71.71,10560049
2024-04-09,72.37,73.24,72.31,72.99,14075949
2024-04-10,74.445,75.17,73.74,74.59,20572164
2024-04-11,75.215,75.43,74.37,74.85,14986818
2024-04-12,72.94,72.98,71.29,71.29,18231428
2024-04-15,71.73,72.05,70.17,70.62,15903893
2024-04-16,70.02,70.3074,69.29,69.61,17478883
2024-04-17,69.71,70.01,68.725,68.82,12760587
2024-04-18,69.09,69.625,68.8,68.88,9491021
2024-04-19,68.42,69.15,68.36,69.07,13070344
2024-04-22,69.695,70.9,69.12,70.68,15015564
2024-04-23,71.08,72.8,70.99,72.51,15268166
2024-04-24,73.74,74.7,73.5,74.63,16375157
2024-04-25,73.805,75.2,73.805,75.11,11921914
2024-04-26,76.185,76.93,75.06,75.55,14216073
2024-04-29,75.65,76.53,75.22,76.41,13226204
2024-04-30,75.89,76.29,74.48,74.85,12855978
2024-05-01,74.99,76.25,74.87,75.51,10568660
2024-05-02,77.59,81.415,77.16,80.33,36663857
2024-05-03,81.27,81.37,79.7,81.33,19355807
2024-05-06,81.755,82.22,80.5,81.55,11826084
2024-05-07,79.93,79.93,78.815,79.37,14589103
2024-05-08,77.92,78.99,77.81,78.46,11327088
2024-05-09,79.5,79.92,78.71,79.46,9627274
2024-05-10,80.08,80.52,79.77,80.04,10819572
2024-05-13,82.71,85,82.6,84.6,32010693
2024-05-14,79.65,80.51,77.72,79.51,44687713
2024-05-15,80.39,81.13,79.78,80.99,17803260
2024-05-16,81.96,87.49,81.646,86.7,47259474
2024-05-17,87.6,90.46,86.83,88.54,35152879
2024-05-20,87.47,89.24,86.95,88.28,16737222
2024-05-21,86.52,87.17,85.32,86.13,16512390
2024-05-22,84.61,85.13,82.68,82.68,19717820
2024-05-23,81.43,82.94,80.05,80.8,23930255
2024-05-24,80.5,82.56,79.73,81.26,41456371
2024-05-28,80.8,81.72,80.04,80.58,15211752
2024-05-29,78.76,79.36,78.23,79.06,18448528
2024-05-30,78.865,80.2,78.7,79.63,13895740
2024-05-31,77.96,78.4999,77.17,78.34,20023892
2024-06-03,79,79.32,77.22,77.9,14244431
2024-06-04,78.18,78.857,77.775,78.45,10784382
2024-06-05,78.98,79.935,78.86,79.83,13716208
2024-06-06,79.42,80.055,78.76,80.01,11205277
2024-06-07,78.95,79.32,78.135,78.41,12190292
2024-06-10,78.57,79.74,78.24,79.3,9490137
2024-06-11,79,79.08,77.67,77.9,11108400
2024-06-12,78.75,78.79,77.64,78.04,12069553
2024-06-13,76.5,76.99,75.49,75.68,14026743
2024-06-14,74.21,74.29,73.26,73.35,18282714
2024-06-17,74.025,75.08,73.83,74.55,13466287
2024-06-18,74.085,75.1,73.85,74.46,10305285
2024-06-20,74.57,75.2493,74.03,74.35,9709377
2024-06-21,73.79,74.6499,73.67,73.67,10410815
2024-06-24,74.12,75.935,74.12,74.79,20134412
2024-06-25,74.5,74.76,73.6101,73.79,16986435
2024-06-26,73.925,74.35,73.67,74.17,7010071
2024-06-27,73.46,73.55,72.35,72.37,11865132
2024-06-28,72.37,72.555,71.8,72,10334974
2024-07-01,72.51,73.02,72.02,72.18,9034233
2024-07-02,72.32,73.7767,71.97,73.68,13419140
2024-07-03,74.18,75.805,74.18,75.57,11768517
2024-07-05,74.67,74.715,73.61,74.52,14928681
2024-07-08,73.61,73.71,72.95,73.5,10919434
2024-07-09,74.01,76.06,73.97,75.7,14516557
2024-07-10,75.28,76.655,75.25,76.01,12235165
2024-07-11,77.66,78.83,77.4224,78.52,18896930
