Date,Open,High,Low,Close,Volume
2024-03-25,11.7,11.8,11.64,11.66,1453615
2024-03-26,11.66,11.765,11.66,11.72,727296
2024-03-27,11.79,11.85,11.762,11.85,677787
2024-03-28,11.96,12,11.81,11.84,1235207
2024-04-01,11.9,11.925,11.69,11.74,650410
2024-04-02,11.78,11.82,11.72,11.81,1198819
2024-04-03,11.86,11.9895,11.86,11.92,1115483
2024-04-04,12.16,12.2,11.92,11.95,1617347
2024-04-05,11.82,11.88,11.765,11.8,1917050
2024-04-08,11.53,11.58,11.5,11.53,1009726
2024-04-09,11.56,11.565,11.3217,11.4,1063848
2024-04-10,11.1,11.23,11.02,11.13,1619632
2024-04-11,10.86,10.86,10.685,10.81,2015933
2024-04-12,10.58,10.6901,10.5301,10.55,1753181
2024-04-15,10.82,10.8799,10.67,10.67,1942725
2024-04-16,10.58,10.595,10.495,10.5,894222
2024-04-17,10.84,10.925,10.78,10.83,900481
2024-04-18,10.95,11.14,10.9,10.96,1618807
2024-04-19,10.85,10.905,10.725,10.8,3433680
2024-04-22,11,11.145,10.995,11.07,1458636
2024-04-23,11.28,11.4,11.27,11.4,943820
2024-04-24,11.17,11.27,11.15,11.27,1430541
2024-04-25,11.15,11.279,11.09,11.25,1005917
2024-04-26,11.54,11.81,11.54,11.58,5679649
2024-04-29,11.6,11.75,11.46,11.75,8503538
2024-04-30,10.87,11.09,10.71,10.71,2837954
2024-05-01,10.62,10.78,10.295,10.46,1962841
2024-05-02,10.53,10.53,10.37,10.42,4935236
2024-05-03,10.56,10.64,10.4,10.59,3617295
2024-05-06,10.57,10.94,10.545,10.92,2721845
2024-05-07,10.87,10.98,10.86,10.94,1377938
2024-05-08,11,11.05,10.99,11.05,1056682
2024-05-09,10.35,10.43,10.18,10.22,1949667
2024-05-10,10.47,10.49,10.3807,10.4,1109651
2024-05-13,10.45,10.505,10.44,10.46,455335
2024-05-14,10.49,10.715,10.49,10.69,862204
2024-05-15,10.97,11.2,10.945,11.18,6972432
2024-05-16,10.91,10.92,10.79,10.8,1242706
2024-05-17,10.85,10.985,10.68,10.91,1173165
2024-05-20,10.81,10.83,10.72,10.75,1089868
2024-05-21,10.76,10.87,10.7506,10.87,651505
2024-05-22,10.86,10.91,10.8225,10.83,2986288
2024-05-23,10.94,10.94,10.73,10.76,1312293
2024-05-24,10.77,10.86,10.77,10.85,852033
2024-05-28,10.77,10.88,10.7201,10.83,873096
2024-05-29,10.6,10.625,10.56,10.6,1332168
2024-05-30,10.76,10.855,10.75,10.83,1373474
2024-05-31,10.84,10.91,10.755,10.91,1042948
2024-06-03,10.81,10.855,10.57,10.67,2422889
2024-06-04,10.26,10.35,10.23,10.3,1620729
2024-06-05,10.36,10.46,10.32,10.46,989500
2024-06-06,10.56,10.7,10.54,10.65,1487429
2024-06-07,10.73,10.75,10.62,10.63,1128214
2024-06-10,10.48,10.51,10.445,10.5,676087
2024-06-11,10.34,10.34,10.23,10.28,1509236
2024-06-12,10.12,10.19,10.08,10.13,1070322
2024-06-13,10.03,10.03,9.77,9.82,1243424
2024-06-14,9.52,9.7,9.475,9.64,2024212
2024-06-17,9.73,9.85,9.67,9.82,858627
2024-06-18,9.82,9.92,9.8,9.89,1181006
2024-06-20,9.93,10.1,9.93,10.03,1092602
2024-06-21,9.77,9.84,9.7,9.74,1957915
2024-06-24,10.02,10.105,10,10.06,1950689
2024-06-25,9.93,9.97,9.8501,9.95,886710
2024-06-26,9.74,9.83,9.72,9.82,589928
2024-06-27,9.85,9.91,9.84,9.87,1305724
2024-06-28,9.92,10.045,9.905,10.03,739084
2024-07-01,10.15,10.215,10.09,10.15,1571680
2024-07-02,10.02,10.13,10.01,10.12,658199
2024-07-03,10.3,10.36,10.265,10.36,710304
2024-07-05,10.3,10.42,10.245,10.42,556071
2024-07-08,10.45,10.455,10.31,10.33,591238
2024-07-09,10.2,10.32,10.175,10.26,1008891
2024-07-10,10.36,10.495,10.36,10.49,527531
2024-07-11,10.5,10.555,10.47,10.53,454820
2024-07-12,10.59,10.66,10.59,10.64,714551
