Date,Open,High,Low,Close,Volume
2024-03-25,57.47,57.82,56.94,56.96,1592380
2024-03-26,56.87,56.89,56.225,56.55,2649187
2024-03-27,56.5,57.53,56.48,57.53,2384750
2024-03-28,57.51,57.8,57.27,57.69,2658812
2024-04-01,58.25,58.67,58.08,58.35,2281903
2024-04-02,58.59,59.23,58.485,59.17,3132633
2024-04-03,58.62,58.87,58.235,58.84,3781436
2024-04-04,59.3,59.34,57.725,57.74,2818664
2024-04-05,57.77,57.9351,57.27,57.66,3435577
2024-04-08,59.1,59.76,58.97,59.69,3631966
2024-04-09,59.98,60.54,59.87,60.49,2792550
2024-04-10,59.78,59.97,59.28,59.68,3291483
2024-04-11,59.46,59.68,58.7,59.49,2946795
2024-04-12,59.69,60.02,58.535,58.56,2585338
2024-04-15,59.76,59.98,58.84,59.06,2149992
2024-04-16,57.15,57.29,56.61,56.96,3171824
2024-04-17,58.98,59.36,58.155,58.41,3440348
2024-04-18,58.75,58.77,57.77,57.99,2890371
2024-04-19,57.76,58.435,57.73,58.14,2028602
2024-04-22,57.91,58.665,57.71,58.51,1955087
2024-04-23,57.62,58.74,57.47,58.7,3003735
2024-04-24,59.1,59.295,58.69,59.24,2063721
2024-04-25,57.37,58.13,57.09,57.21,3969933
2024-04-26,56.91,56.91,55.8,56.43,4065233
2024-04-29,55.88,56.9,55.87,56.81,2500757
2024-04-30,56.23,56.34,55.16,55.16,2456366
2024-05-01,55.3,55.74,54.81,55,2307704
2024-05-02,55.76,56.35,55.51,55.58,2781881
2024-05-03,56.26,56.74,55.92,56.26,2087955
2024-05-06,56.86,56.92,56.595,56.86,1181169
2024-05-07,57.56,57.71,57.31,57.47,2043663
2024-05-08,56.58,56.76,56.345,56.5,1481093
2024-05-09,56.73,57.13,56.425,57.12,1551264
2024-05-10,57.5,57.67,57.13,57.19,1560245
2024-05-13,57.42,57.67,57.17,57.18,1485438
2024-05-14,59.28,59.38,58.5008,58.79,2546768
2024-05-15,59.47,59.56,58.31,59.27,1589263
2024-05-16,59.53,60.78,59.4,60.02,2439743
2024-05-17,60.42,61.61,60.175,61.47,3522181
2024-05-20,61.36,62.016,61.23,61.58,2365427
2024-05-21,61.69,62.28,61.435,61.63,1787981
2024-05-22,61.29,61.29,58.665,58.73,3621354
2024-05-23,59.04,59.24,58.33,58.75,2125295
2024-05-24,58.83,59.75,58.79,59.63,2395664
2024-05-28,59.97,60.19,59.3,59.6,2119142
2024-05-29,60.07,60.838,59.41,59.45,3208038
2024-05-30,59.55,59.68,58.54,58.66,2229998
2024-05-31,59.59,59.88,58.67,59.53,2023670
2024-06-03,59.03,59.4,58.47,59.38,2063987
2024-06-04,57.92,58.195,57.37,58.07,3687898
2024-06-05,58.25,58.64,57.97,58.62,2605678
2024-06-06,58.67,59.765,58.48,59.7,2233202
2024-06-07,58.77,58.8777,58.19,58.19,1665761
2024-06-10,58.31,58.54,58.04,58.41,1138167
2024-06-11,56.4,56.81,56.21,56.8,2494367
2024-06-12,58.13,58.215,57.26,57.39,2679624
2024-06-13,57.09,57.4,56.65,57.35,2062671
2024-06-14,56.33,57.095,56.29,56.83,2218491
2024-06-17,55.84,56.385,55.68,56.25,2568835
2024-06-18,56.05,56.79,55.95,56.66,2759166
2024-06-20,57,57.405,56.7497,57.21,1895585
2024-06-21,56.63,56.83,56.32,56.58,2227017
2024-06-24,56.65,57.37,56.595,56.69,1872533
2024-06-25,57,57.0588,56.7087,56.97,1538748
2024-06-26,57.35,57.525,57.01,57.33,1905214
2024-06-27,56.85,57,56.61,56.74,1755440
2024-06-28,57.54,57.57,56.925,57.09,1610524
2024-07-01,57.81,58.44,57.53,57.71,1575229
2024-07-02,57.11,57.83,57.06,57.75,1557967
2024-07-03,59,60.03,58.96,59.54,1861735
2024-07-05,59.47,59.66,58.86,59.49,1500411
2024-07-08,58.63,58.995,58.16,58.35,1877678
2024-07-09,58.56,58.66,58.18,58.36,1551234
2024-07-10,58.03,58.64,57.98,58.55,1639207
2024-07-11,58.77,58.93,57.87,58.23,2212487
2024-07-12,59.4,59.77,59.18,59.27,2595204
2024-07-15,58.31,58.65,58.005,58.31,1878041
2024-07-16,57,57.34,56.49,57.2,2433312
2024-07-17,57.41,57.63,56.98,56.99,1820667
2024-07-18,56.95,56.98,56.05,56.12,2438329
2024-07-19,55.6,55.93,55.1,55.65,2077719
2024-07-22,55.6,55.85,55.385,55.75,1939132
2024-07-23,54.68,55.19,54.415,55.07,2585623
2024-07-24,55.07,55.24,54.4,54.43,2075090
2024-07-25,54.4,55.38,54.21,54.79,2669054
2024-07-26,55.21,55.5479,54.94,55.38,1847005
2024-07-29,54.79,55.06,54.56,55.01,2167046
2024-07-30,53.76,54.205,53.475,54.11,2892664
2024-07-31,55.16,56,55.02,55.53,2547850
2024-08-01,54.99,55.16,53.81,54.26,2525184
