Date,Open,High,Low,Close,Volume
2024-03-25,56.56,57.08,56.415,56.54,2862886
2024-03-26,56.6,56.99,56.47,56.61,2607577
2024-03-27,56.9,57.23,56.455,56.93,3021668
2024-03-28,57.11,57.885,57.05,57.62,3116295
2024-04-01,57.46,57.515,56.755,56.96,2450010
2024-04-02,56.98,57.34,56.85,57.05,2766596
2024-04-03,57,57.72,56.995,57.66,3289625
2024-04-04,58,58.275,56.69,56.77,2465297
2024-04-05,56.64,56.96,56.07,56.74,3671135
2024-04-08,56.97,57.325,56.69,57.02,3564822
2024-04-09,57.24,57.42,56.3647,57.2,2759822
2024-04-10,56.5,56.725,55.52,55.68,3432000
2024-04-11,55.59,55.72,54.675,55.37,3396491
2024-04-12,55.21,55.98,54.655,55.05,4933875
2024-04-15,55.81,56.07,54.57,55.09,6132678
2024-04-16,55.37,55.6941,52.64,54,8232834
2024-04-17,54.14,54.98,54.085,54.46,4513903
2024-04-18,54.88,55.535,54.755,55.25,3473895
2024-04-19,55.42,56.41,55.42,56.3,4420726
2024-04-22,56.72,57.47,56.315,57.16,2936327
2024-04-23,57.14,57.835,57.09,57.44,2861357
2024-04-24,57.03,58.01,56.9882,57.95,3226049
2024-04-25,57.3,57.69,56.755,57.18,3254122
2024-04-26,57.25,57.7,57.078,57.32,2058025
2024-04-29,57.39,57.82,57.075,57.33,2638539
2024-04-30,57.19,57.3,56.455,56.49,3530011
2024-05-01,56.53,56.93,56.08,56.46,4053956
2024-05-02,56.92,57.17,56.31,56.6,3187564
2024-05-03,56.91,57.21,56.48,57,2214001
2024-05-06,57.5,57.6,56.98,57.48,2402975
2024-05-07,57.42,57.9727,57.355,57.4,2820108
2024-05-08,57.23,57.75,57.12,57.51,2939841
2024-05-09,57.32,58.52,57.32,58.35,3793636
2024-05-10,58.54,58.74,58.33,58.44,3255507
2024-05-13,58.61,58.75,57.84,57.85,2144250
2024-05-14,57.9,58.45,57.81,58.35,2879104
2024-05-15,58.63,58.94,58.4,58.8,2710847
2024-05-16,58.8,59.215,58.75,58.77,2604214
2024-05-17,59.06,59.55,58.69,59.5,2903163
2024-05-20,59.52,59.7,58.77,58.95,1928008
