Date,Open,High,Low,Close,Volume
2024-03-25,3608.44,3629.83,3569.5,3626.94,166649
2024-03-26,3649,3688.91,3640.6042,3661.08,274874
2024-03-27,3677.94,3711.43,3656.14,3673.5,209236
2024-03-28,3690,3694.64,3618.4,3627.88,274096
2024-04-01,3651.03,3654.85,3548,3568.87,227670
2024-04-02,3518.6,3585.07,3518.6,3566.09,257167
2024-04-03,3599,3646.11,3595.42,3632.38,255038
2024-04-04,3658,3671.48,3518.3,3521.93,322745
2024-04-05,3530,3610.48,3530,3601.9,258504
2024-04-08,3589.88,3634.25,3589.15,3601.17,165659
2024-04-09,3610,3614.22,3530.84,3581.48,158055
2024-04-10,3572.57,3617.34,3546.93,3586.13,180985
2024-04-11,3576.92,3656.81,3568.05,3637.87,174495
2024-04-12,3579.37,3598.575,3501.5,3531.8,240962
2024-04-15,3583.07,3625.225,3480.98,3485.63,207636
2024-04-16,3470.53,3497.47,3450.785,3467.77,223317
2024-04-17,3472.98,3493.4079,3430.57,3443.91,170865
2024-04-18,3470,3485.16,3424.14,3430.14,156720
2024-04-19,3460.51,3478.185,3405.1565,3418.65,218782
2024-04-22,3441.12,3492.52,3424.515,3463,202419
2024-04-23,3468.22,3546.9,3468.22,3533.99,152220
2024-04-24,3505.25,3571.11,3505.25,3517.52,155900
2024-04-25,3522.72,3525,3466.27,3502.48,142949
2024-04-26,3484.23,3541.87,3484.23,3521.08,146026
2024-04-29,3521.08,3532.07,3487.24,3514.8,146490
2024-04-30,3512.79,3516.1375,3444.23,3452.03,232261
2024-05-01,3437.25,3485.11,3405.23,3415.64,226212
2024-05-02,3440,3487.9099,3393.95,3472.91,454174
2024-05-03,3700,3748.21,3566.91,3577.38,534715
2024-05-06,3618.72,3618.72,3520.93,3598.41,349992
2024-05-07,3580.75,3623.06,3550.01,3605.41,266371
2024-05-08,3603.8,3663.6,3573.0001,3660,273358
2024-05-09,3640,3800.92,3640,3780.03,437135
2024-05-10,3783.45,3811.57,3775.42,3805.75,282987
2024-05-13,3800.75,3807.8,3717.48,3745,238428
2024-05-14,3729.57,3778.67,3729,3772.85,210776
2024-05-15,3783.27,3796.8722,3749.1987,3792.53,192495
2024-05-16,3792.53,3797.02,3735.01,3735.01,198351
2024-05-17,3758.24,3758.24,3690.51,3708.35,198416
2024-05-20,3703.98,3773.34,3694.26,3768.62,219936
2024-05-21,3772.21,3827.82,3749.11,3822.34,224153
2024-05-22,3830,3853,3798.215,3825.1,203372
2024-05-23,3850,3850,3731.785,3752.68,218731
2024-05-24,3760,3807.06,3754.92,3795.35,151814
2024-05-28,3796.55,3815,3764.7,3790.12,170668
2024-05-29,3751,3776.06,3726.72,3734.29,255611
2024-05-30,3745.59,3766.95,3704.57,3754.62,210167
2024-05-31,3747,3783.52,3711.85,3776.35,353098
2024-06-03,3776.35,3784.43,3713.89,3763.64,229912
2024-06-04,3772.5,3823.76,3768.91,3801.36,162694
2024-06-05,3809.06,3838,3753.915,3831.04,142583
2024-06-06,3831.04,3854.89,3800,3810.06,146448
2024-06-07,3787.28,3820.24,3770,3813.09,161377
2024-06-10,3805.55,3805.55,3746.68,3788.72,226783
2024-06-11,3772.98,3819.8899,3762.72,3788.7,219282
2024-06-12,3807,3911.69,3807,3876.41,256520
2024-06-13,3850,3866.17,3820.465,3856.14,153760
2024-06-14,3837.01,3863.11,3814.095,3859.1,143721
2024-06-17,3878.75,3957.98,3854.51,3953.07,180148
2024-06-18,3957.71,3989.12,3937.44,3973.18,179880
2024-06-20,3995,4004.4025,3961.275,3972.08,212064
2024-06-21,3982.59,3992.68,3940.75,3989.1,498275
2024-06-24,3989.11,4018.09,3960,3981.2,161977
2024-06-25,4016.87,4033,3986,4014.38,150104
2024-06-26,3988.18,4008.19,3971.14,3982.38,175071
2024-06-27,4040,4040,4000,4009.4,168456
2024-06-28,3994,4031.67,3951,3961.5,321265
2024-07-01,3977.35,3977.35,3869.76,3884.88,231238
2024-07-02,3876.81,3922.38,3876.81,3916.21,196246
2024-07-03,3912.51,3936.97,3901.945,3916.89,79413
2024-07-05,3936.98,3939.7599,3905,3930.15,201774
2024-07-08,3932.81,4002.8,3914.04,3984.63,159576
2024-07-09,4004.83,4020.235,3973.9,3977.48,150985
2024-07-10,3980.12,3990.89,3950,3990.05,159095
2024-07-11,3998.99,3998.99,3926.13,3936.41,229418
2024-07-12,3950,4051.685,3950,4026.43,197592
2024-07-15,4034.62,4100,4013.26,4088,145512
2024-07-16,4117,4144.32,4110.64,4119.09,144394
2024-07-17,4102.08,4108.71,3989.31,3989.64,226819
2024-07-18,4002.14,4022.74,3905.15,3930.56,189770
2024-07-19,3938.09,3976.98,3930.56,3967.25,160086
2024-07-22,3976,3984.64,3905,3909.4,254662
2024-07-23,3907,3945.39,3901.63,3919.2,208683
2024-07-24,3880,3891.0699,3800,3805.78,322139
2024-07-25,3786,3786,3643.045,3659.88,482536
2024-07-26,3698.54,3714.235,3659.15,3700.99,233994
2024-07-29,3735.1,3799.63,3715.28,3755.13,224697
2024-07-30,3752.11,3791.44,3683.75,3720.99,219838
2024-07-31,3776,3776,3700.12,3715.01,393184
2024-08-01,3716.23,3748.4099,3631.43,3664.18,551914
2024-08-02,3311.59,3465.56,3291.05,3328.13,801623
2024-08-05,3205,3387.352,3180,3383.43,665353
2024-08-06,3415,3490.78,3386.49,3417.08,429256
2024-08-07,3402.65,3472.34,3291.8,3305.62,419914
