Date,Open,High,Low,Close,Volume
2024-03-25,801.9,808.303,796.75,797.766,386940
2024-03-26,800.953,805.259,799.448,801.666,382759
2024-03-27,808.117,816.63,803.904,816.248,477460
2024-03-28,817.324,819.728,812.241,814.862,544502
2024-04-01,816.112,816.248,806.592,808.088,405042
2024-04-02,806.846,807.247,791.696,798.138,542952
2024-04-03,797.023,807.414,795.176,796.388,378209
2024-04-04,803.797,807.844,772.325,774.191,1216921
2024-04-05,775.697,786.096,772.265,779.538,703220
2024-04-08,783.408,789.291,778.826,785.168,777814
2024-04-09,788.012,788.012,776.234,785.735,820639
2024-04-10,775.853,777.158,763.273,765.941,669526
2024-04-11,767.749,771.484,761.201,768.2,830810
2024-04-12,767.809,784.855,744.839,746.149,1487232
2024-04-15,753.373,760.635,739.22,745.749,956928
2024-04-16,747.322,749.517,731.87,732.73,678400
2024-04-17,736.023,741.752,731.176,736.757,599332
2024-04-18,737.685,744.215,729.906,730.414,629323
2024-04-19,734.411,738.359,728.704,732.514,887839
2024-04-22,739.649,748.983,733.59,742.935,631433
2024-04-23,746.013,752.034,743.745,749.297,471614
2024-04-24,745.563,750.291,742.274,745.563,768626
2024-04-25,737.265,743.452,731.117,740.53,522099
2024-04-26,742.602,750.137,740.626,745.641,458295
2024-04-29,746.11,752.014,738.771,744.077,506568
2024-04-30,740.911,744.243,736.767,737.588,428414
2024-05-01,737.94,748.524,733.952,734.596,629059
2024-05-02,741.027,743.859,731.86,739.894,647220
2024-05-03,748.398,754.115,745.466,746.647,571190
2024-05-06,751.359,757.644,748.524,757.135,460497
2024-05-07,762.834,768.503,759.129,763.273,795392
2024-05-08,760.419,761.641,756.392,760.741,681061
2024-05-09,760.322,773.627,760.322,771.299,669954
2024-05-10,774.621,781.17,774.176,778.667,621183
2024-05-13,780.945,782.401,771.957,772.471,426448
2024-05-14,774.611,785.158,774.271,784.815,503607
2024-05-15,790.836,799.691,789.429,797.268,682768
2024-05-16,793.055,796.584,789.41,789.458,497520
2024-05-17,792.117,795.068,788.09,793.865,403506
2024-05-20,790.7,794.439,786.027,786.995,374820
2024-05-21,786.438,788.442,782.147,786.741,472535
2024-05-22,785.383,790.592,777.573,781.542,400696
2024-05-23,780.398,780.398,764.144,766.822,550754
2024-05-24,769.587,771.555,763.273,764.231,438966
2024-05-28,764.231,765.932,748.178,753.979,650923
2024-05-29,746.042,748.623,739.239,739.483,588240
2024-05-30,737.9,745.186,736.796,744.643,665012
2024-05-31,745.817,756.794,744.859,754.585,1653413
2024-06-03,761.876,762.081,751.344,759.804,584172
2024-06-04,759.804,769.089,757.116,767.544,681874
2024-06-05,770.927,771.249,761.824,771.054,552322
2024-06-06,769.89,769.89,758.983,760.937,415726
2024-06-07,755.29,761.508,750.882,756.275,475845
2024-06-10,754.355,756.442,747.966,753.795,598608
2024-06-11,749.702,751.035,740.144,745.393,507171
2024-06-12,756.923,769.92,753.716,757.672,846925
2024-06-13,754.572,760.269,745.954,757.278,470072
2024-06-14,752.152,757.533,747.714,756.903,383001
2024-06-17,754.819,771.278,753.676,768.464,550544
2024-06-18,766.359,771.455,764.47,770.992,487607
2024-06-20,769.388,771.386,764.961,770.186,505042
2024-06-21,771.061,778.372,767.297,774.879,887286
2024-06-24,775.843,793.444,775.843,786.045,537355
2024-06-25,781.627,782.415,775.838,781.56,400515
2024-06-26,776.532,778.342,771.849,774.732,537686
2024-06-27,771.976,774.338,767.735,768.514,435616
2024-06-28,771.819,779.528,768.582,774.603,782091
2024-07-01,778.057,781.273,765.07,769.635,552440
2024-07-02,770.029,776.906,770.029,776.384,373362
2024-07-03,776.384,777.86,773.305,776.374,254916
2024-07-05,778.362,778.401,770.254,777.83,347084
2024-07-08,777.83,780.467,773.068,777.426,538276
2024-07-09,780.693,790.414,778.736,789.321,639863
2024-07-10,788.81,799.17,788.81,798.884,527594
2024-07-11,804.758,812.589,802.629,811.546,644543
2024-07-12,815.994,824.012,812.068,814.596,688185
2024-07-15,816.574,822.704,805.22,809.668,902888
2024-07-16,811.183,831.873,807.691,830.309,756986
2024-07-17,832.64,834.915,822.389,827.505,703367
2024-07-18,821.681,838.117,815.403,815.61,729810
2024-07-19,820.205,820.205,811.728,817.283,1053162
2024-07-22,823.038,831.843,821.553,829.619,582638
2024-07-23,828.213,837.245,825.468,831.047,713074
2024-07-24,830.446,832.575,812.766,814.282,671199
2024-07-25,811.635,834.874,809.146,823.028,597169
2024-07-26,828.371,843.798,827.515,842.371,564938
2024-07-29,844.141,851.196,838.603,848.225,622752
2024-07-30,854.108,859.778,851.202,858.497,548437
2024-07-31,861.182,870.803,857.817,862.343,667727
2024-08-01,865.786,870.381,846.425,851.373,596197
2024-08-02,841.19,844.338,825.735,832.355,487788
2024-08-05,811.369,835.209,800.046,817.341,1350716
2024-08-06,821.041,838.464,816.102,827.378,533838
2024-08-07,838.494,842.568,824.927,826.275,763201
2024-08-08,832.532,841.967,829.992,841.023,387769
2024-08-09,839.635,848.283,836.078,842.381,295146
2024-08-12,840.344,843.157,821.956,824.731,518717
2024-08-13,830.84,842.381,830.073,840.787,392184
2024-08-14,842.204,845.735,837.624,843.669,330487
2024-08-15,850.556,861.684,849.09,857.975,529338
2024-08-16,858.162,860.738,854.67,858.397,401724
2024-08-19,859.48,862.854,852.317,856.154,463554
2024-08-20,855.407,857.906,845.846,847.063,354449
2024-08-21,847.959,850.95,839.97,849.15,461178
2024-08-22,849.15,854.707,845.106,851.265,332792
2024-08-23,855.456,870.371,853.023,868.58,423181
2024-08-26,868.502,874.641,864.585,868.876,420648
2024-08-27,869.229,873.657,864.508,871.817,305363
2024-08-28,872.122,880.977,869.436,874.306,448499
2024-08-29,874.306,884.145,870.489,880.416,424818
2024-08-30,883.781,888.867,875.584,887.244,486089
2024-09-03,884.548,885.462,866.779,872.112,440663
2024-09-04,866.111,876.313,864.974,872.171,362544
2024-09-05,875.33,875.33,859.037,862.481,433061
2024-09-06,863.956,870.469,847.201,852.917,761240
2024-09-09,864.417,874.878,861.928,868.871,398887
2024-09-10,877.065,877.065,860.335,874.7,272712
2024-09-11,869.365,869.415,845.337,868.059,436525
2024-09-12,871.731,877.308,865.347,875.977,484018
2024-09-13,878.966,882.924,873.562,876.581,411123
2024-09-16,879.164,886.645,877.441,885.933,384855
2024-09-17,888.08,899.491,885.943,895.176,421300
2024-09-18,902.391,920.888,896.394,913.178,663258
2024-09-19,928.558,932.992,916.157,925.212,632029
2024-09-20,921.056,922.164,915.074,919.195,980371
2024-09-23,920.364,929.756,919.195,927.925,400726
2024-09-24,924.352,932.427,920.393,931.507,370354
2024-09-25,932.982,933.1,924.956,927.123,481816
2024-09-26,935.238,942.908,929.708,935.258,464365
2024-09-27,935.703,940.533,932.368,935.446,477454
2024-09-30,934.248,941.444,926.302,939.701,366112
2024-10-01,935.555,935.555,909.47,924.372,549609
2024-10-02,930.161,947.391,923.363,947.362,372127
2024-10-03,943.719,948.727,939.682,941.661,516628
2024-10-04,950.816,950.816,921.412,939.385,497040
2024-10-07,942.166,946.936,928.271,930.953,567453
2024-10-08,941.72,945.494,932.546,939.266,393073
2024-10-09,940.187,953.003,938.188,946.046,579303
2024-10-10,945.135,953.379,943.764,945.719,570288
2024-10-11,953.26,985.999,953.201,980.03,937368
2024-10-14,988.849,991.105,978.972,981.475,776543
2024-10-15,987.69,1005.95,985.831,996.6,625286
2024-10-16,993.777,1008.69,993.777,1005.25,552932
2024-10-17,1013.03,1021.33,991.293,992.144,691983
2024-10-18,999.056,999.056,988.066,996.62,510721
2024-10-21,994.621,998.161,986.914,990.195,314467
2024-10-22,986.81,993.5,980.555,990.471,509714
2024-10-23,986.751,998.221,972.519,977.953,446331
2024-10-24,980.803,981.783,973.073,973.835,357379
2024-10-25,977.151,977.151,958.941,964.008,438192
2024-10-28,971.856,979.229,968.897,976.032,333003
2024-10-29,974.825,979.544,969.015,973.014,272443
2024-10-30,975.34,987.69,968.847,969.748,432500
2024-10-31,960.139,975.884,959.525,970.896,614261
2024-11-01,973.835,981.723,970.104,974.904,800308
2024-11-04,969.025,981.763,965.967,981.258,517833
2024-11-05,981.753,1007.17,981.753,1003.87,429543
2024-11-06,1035.45,1046.59,989.67,1019.19,1280089
2024-11-07,1029.25,1034.15,1021.73,1025.35,534208
2024-11-08,1030.23,1039.59,1025.96,1028.55,459231
2024-11-11,1039.16,1057.31,1036.68,1042.96,688587
2024-11-12,1044.1,1046.16,1022.92,1025.64,495075
2024-11-13,1028.97,1032.87,1015.58,1020.33,413141
2024-11-14,1027.22,1047.95,1026.49,1036.26,1059758
2024-11-15,1029.5,1041.63,1024.32,1036.55,589604
2024-11-18,1029.74,1042.34,1026.69,1039.13,569156
2024-11-19,1033.35,1033.52,1016.98,1017.49,680807
2024-11-20,1025.63,1025.99,1007.48,1014.08,599938
2024-11-21,1024.06,1028.69,1014.01,1017.38,478168
2024-11-22,1020.01,1031.18,1017.87,1025.75,720505
2024-11-25,1037.18,1038.16,1019.92,1020.84,1478983
