Date,Open,High,Low,Close,Volume
2024-03-25,95.61,96.36,95.605,95.69,2251100
2024-03-26,96.07,96.22,95.72,95.97,271126
2024-03-27,95.85,96.43,95.69,96.38,452634
2024-03-28,96.5,97.98,96.32,97.68,397185
2024-04-01,97.63,98.02,97,97.61,731753
2024-04-02,97.2,97.635,96.245,96.44,414608
2024-04-03,96.3,97.87,96.21,96.9,479725
2024-04-04,97.94,98.99,96.375,96.61,858645
2024-04-05,96.27,97.58,95.95,97.15,369208
2024-04-08,97.51,98.3,97.25,98.03,347068
2024-04-09,98.46,98.83,97.53,98.36,589662
2024-04-10,96.71,96.94,94.7406,95.57,962389
2024-04-11,95.57,95.57,94.08,94.81,896097
2024-04-12,94,94.14,92.61,93.02,701316
2024-04-15,93.68,94.45,92.385,92.75,711784
2024-04-16,92.28,92.48,90.84,91.16,709058
2024-04-17,91.51,92.09,90.35,90.96,654813
2024-04-18,91.58,91.89,90.34,91.01,718085
2024-04-19,91.25,92.62,91.15,92.14,351580
2024-04-22,92.81,93.37,92.3,92.99,409046
2024-04-23,93.33,93.99,93.04,93.82,606020
2024-04-24,93.43,94.14,92.33,92.84,348887
2024-04-25,92.06,93.04,91.28,92.72,3247106
2024-04-26,91.71,91.9,90.48,90.91,3961611
2024-04-29,91.2,91.43,89.75,90.23,666777
2024-04-30,89.52,90.27,89.23,89.32,1133254
2024-05-01,89.46,90.8,89.0799,89.65,502118
2024-05-02,90.18,90.355,89.1,89.89,778443
2024-05-03,90.76,91.56,90.49,91.23,486885
2024-05-06,91.71,93.19,91.36,93.05,531087
2024-05-07,93.4,93.47,91.95,92.06,311054
2024-05-08,91.6,92.89,91.58,92.86,391557
2024-05-09,92.99,94.02,92.925,93.19,778107
2024-05-10,93.72,94.2717,93.5,93.75,3098211
2024-05-13,93.95,94.5039,93.85,94.11,656603
2024-05-14,94.57,94.78,94.25,94.5,358995
2024-05-15,94.75,95.47,94.75,95.25,551671
2024-05-16,95.25,95.48,94.415,94.45,594166
2024-05-17,94.78,95.33,94.44,95.22,652575
2024-05-20,94.87,95.395,94.17,94.19,176316
2024-05-21,94.19,95.42,93.94,94.63,660559
2024-05-22,94.08,94.64,93.87,94.48,453184
2024-05-23,94.74,95.39,93.85,94.55,841702
2024-05-24,94.67,95.88,94.67,95.47,1433773
2024-05-28,95.66,96.39,95.58,96.11,998905
2024-05-29,92.85,92.85,86.77,86.98,3325769
2024-05-30,87.66,88.03,86.72,87.63,1238144
2024-05-31,87.99,89.15,87.39,89.11,946385
2024-06-03,88.55,89.51,88.04,88.94,525890
2024-06-04,88.42,88.42,86.84,87.53,902714
2024-06-05,87.75,87.83,86.44,86.82,520663
