Date,Open,High,Low,Close,Volume
2024-03-25,52.08,52.74,51.91,52.25,12348068
2024-03-26,52.39,52.65,52.035,52.55,9951952
2024-03-27,53,53.69,52.85,53.25,13077608
2024-03-28,53.39,54.475,53.39,54.23,14348196
2024-04-01,54.17,54.23,52.96,52.99,9520366
2024-04-02,53.1,53.35,52.53,52.74,10234303
2024-04-03,52.75,52.87,52.1,52.18,10434586
2024-04-04,51.94,52.085,51.2,51.4,10993708
2024-04-05,51.19,51.45,50.77,51.32,9095546
2024-04-08,51.28,51.3,50.855,51.1,12258519
2024-04-09,51.13,51.68,51.07,51.6,9487714
2024-04-10,51.04,51.285,50.275,50.29,11492824
2024-04-11,50.46,50.575,49.11,49.12,11781039
2024-04-12,49.04,49.09,48.26,48.28,12459210
2024-04-15,48.36,49.1,48.12,48.51,11943603
2024-04-16,48.45,48.6,48.24,48.26,11931277
2024-04-17,48.44,48.55,47.7,47.84,11763053
2024-04-18,47.93,48.405,47.615,48.3,10917581
2024-04-19,48.21,49.05,48.17,48.93,10303833
2024-04-22,49,49.56,48.87,49.14,7929534
2024-04-23,49.16,49.47,48.955,48.99,9153290
2024-04-24,49,49.045,48.55,48.86,16057141
2024-04-25,47.39,47.5,44.37,44.7,45069042
2024-04-26,44.68,45.37,44.34,44.85,21281927
2024-04-29,45.09,45.38,44.53,44.64,16429196
2024-04-30,44.4,44.76,43.93,43.94,17715997
2024-05-01,43.97,44.47,43.728,44.21,13247159
2024-05-02,44.36,44.42,43.333,43.7,15962587
2024-05-03,43.9,44.33,43.685,43.99,12104489
2024-05-06,44.16,44.62,43.78,43.9,9127651
2024-05-07,43.98,44.26,43.835,44.04,11026912
2024-05-08,44,44.22,43.555,43.67,11928339
2024-05-09,43.56,44.81,43.495,44.74,10776314
2024-05-10,44.75,44.97,44.3,44.94,8699595
2024-05-13,44.88,45.315,44.83,45.06,12642469
2024-05-14,45.38,45.715,44.525,44.71,14536549
2024-05-15,45,45.17,44.4828,44.55,14179383
2024-05-16,44.47,44.53,43.68,44.11,15765711
2024-05-17,44.3,44.3,43.73,44.03,15787957
2024-05-20,44,44.045,43.31,43.36,10376852
2024-05-21,43.14,43.43,42.25,42.27,17576788
2024-05-22,42.22,42.99,41.9103,42.34,16786014
2024-05-23,41.92,42.27,41.46,41.54,12437959
2024-05-24,41.41,41.675,41.07,41.24,17425597
2024-05-28,41.22,41.325,40.38,40.49,14674452
2024-05-29,40.28,40.7,39.935,40.25,16492496
2024-05-30,40.14,40.6,39.91,40.25,16114018
2024-05-31,40.25,41.16,40.125,41.09,29396257
2024-06-03,41.16,42.39,41.13,41.77,13678650
2024-06-04,41.75,42.0799,41.385,41.75,12229996
2024-06-05,41.68,41.68,40.915,41.24,12401151
2024-06-06,40.86,41.29,40.7,40.88,10282791
2024-06-07,40.85,41.58,40.77,41.48,13665456
2024-06-10,41.4,42.72,41.36,42.57,13461843
2024-06-11,42.53,43.05,41.88,43.02,12637053
2024-06-12,43.09,43.19,42.22,42.41,9433173
2024-06-13,42.46,42.64,41.07,41.48,17023712
2024-06-14,41.41,41.86,40.75,41.2,14271103
2024-06-17,41.07,41.3399,40.44,40.97,18782549
2024-06-18,41.02,41.24,40.09,40.81,18747217
2024-06-20,40.55,41.19,39.63,41.04,18639558
2024-06-21,41.26,41.945,41.07,41.93,35830690
2024-06-24,42,42.35,41.81,42.23,14845086
2024-06-25,42.02,42.37,41.58,42.19,16106625
2024-06-26,42.11,43.04,41.71,42.5,19824619
2024-06-27,42.43,42.5,41.48,41.51,17435028
2024-06-28,41.71,42.48,41.41,41.53,20542742
2024-07-01,41.65,42.27,41.135,41.3,18268393
2024-07-02,41.26,41.35,40.41,40.45,18280232
2024-07-03,40.42,40.66,40.03,40.06,9131450
2024-07-05,39.74,39.75,39.35,39.66,12824373
2024-07-08,39.64,40.11,39.5,39.99,13372696
2024-07-09,39.81,40.9,39.71,40.86,16370024
2024-07-10,40.87,41.17,40.44,41.12,9672737
2024-07-11,41.25,41.66,40.69,40.75,17883403
2024-07-12,41.07,41.14,40.355,40.46,16677463
2024-07-15,40.63,40.65,39.925,40.15,17858084
2024-07-16,40.15,41.27,40.09,41.2,13739604
2024-07-17,41.2,43.52,41.2,43.15,18639241
2024-07-18,42.44,44.235,42.37,42.39,19434512
2024-07-19,42.63,42.825,41.605,42.64,12839934
2024-07-22,42.43,42.98,42.37,42.67,10115504
2024-07-23,42.44,43.075,41.9,42.98,17688635
2024-07-24,43.25,44.78,43.25,44.66,20392818
2024-07-25,44.79,45.97,44.49,45.27,22050111
2024-07-26,48.27,50.61,47.73,50.45,36636434
2024-07-29,49.92,51.19,48.97,48.98,22280185
2024-07-30,49.06,49.31,47.85,49.05,19296533
2024-07-31,48.75,49.11,47.365,47.56,17727568
2024-08-01,47.8,48.506,47.22,48.17,12064440
2024-08-02,49.12,49.54,48.31,48.77,15601503
2024-08-05,47.88,48.7399,47.21,47.59,17894963
2024-08-06,47.89,48.07,47.115,47.31,15663026
2024-08-07,47.43,48.49,46.4,46.5,16891933
2024-08-08,46.57,47.15,46.22,46.85,15216933
2024-08-09,46.84,47.68,46.5,46.72,14083504
2024-08-12,46.77,47.465,46.48,47.06,11942004
2024-08-13,47.48,49.1585,47.48,49.06,19858177
2024-08-14,49.06,49.285,48.11,48.41,10667230
2024-08-15,49.3,49.53,48.47,49.11,13140572
2024-08-16,49.11,50.05,49.01,49.36,14161770
2024-08-19,49.38,49.99,49.195,49.3,9067438
2024-08-20,49.27,49.61,48.93,48.98,8780289
2024-08-21,48.78,49.17,48.16,48.44,7780459
2024-08-22,48.57,48.6118,46.885,47.62,9946851
2024-08-23,47.67,48.24,47.38,48.11,8328407
2024-08-26,48.17,48.485,47.98,48.24,4949590
2024-08-27,48.36,48.79,47.81,48.12,6918500
2024-08-28,48.115,49.92,48.03,49.06,8399673
2024-08-29,49.27,49.765,48.76,49.72,7536041
2024-08-30,49.72,50.24,49.68,49.95,9594794
2024-09-03,49.71,50.74,49.6539,50.52,10942469
2024-09-04,50.72,50.75,49.545,49.96,7036202
2024-09-05,50.08,50.24,49.232,49.8,9947952
2024-09-06,49.79,50.03,48.53,48.7,11146390
2024-09-09,48.72,49.1251,47.55,48.5,9433320
2024-09-10,48.5,49.315,47.97,49.28,8624711
2024-09-11,49.11,49.185,48.25,48.59,8425391
2024-09-12,48.38,48.57,47.7635,48.24,5575934
2024-09-13,48.25,49.15,48.2,49.13,9412902
2024-09-16,49.5,50.25,49.255,49.99,11823372
2024-09-17,50.09,50.412,48.85,49.49,7549152
2024-09-18,49.41,50.18,48.78,49.74,7771473
2024-09-19,49.89,50.04,48.945,49.02,8841430
2024-09-20,49.29,49.53,49,49.41,27106503
2024-09-23,49.56,50.23,49.482249,50.01,12226477
2024-09-24,50.01,51.09,49.81,50.94,16463225
2024-09-25,51.25,51.37,49.11,49.95,15321859
2024-09-26,49.82,50.55,49.715,50.12,8622907
2024-09-27,51.54,52.16,50.71,50.91,23035274
2024-09-30,51.51,51.94,51.035,51.74,14122504
2024-10-01,51.95,52.97,51.61,52.9,17436225
2024-10-02,52.83,54.54,52.41,53.76,22198297
2024-10-03,53.85,54.29,53.4057,54.2,15398442
2024-10-04,53.4,54.01,53.2965,53.96,12831885
2024-10-07,54,54.42,53.41,53.44,11150594
2024-10-08,53.5,53.83,52.46,52.48,9900263
2024-10-09,52.25,53.15,51.51,52.8,10408183
2024-10-10,53.03,53.42,52.325,52.4,6799483
2024-10-11,52.58,52.66,52,52.2,6041711
2024-10-14,52.135,52.71,51.9387,52.67,6891045
2024-10-15,51.31,53.39,51.31,52.76,10579060
2024-10-16,52.63,53.58,52.51,53.37,7624283
2024-10-17,53.19,53.58,52.83,53.18,7948531
2024-10-18,53.26,53.33,52.335,53.22,7184496
2024-10-21,53.28,53.3,52.1,52.12,5353059
2024-10-22,52.03,53.06,52.03,52.76,7122751
2024-10-23,52.8,53.11,52.535,53.06,5833437
2024-10-24,52.9,53.4,52.415,52.92,7103152
2024-10-25,52.68,52.9,51.82,51.92,7127425
2024-10-28,51.95,52.755,51.81,52.64,8528863
