Date,Open,High,Low,Close,Volume
2024-03-25,50.3,50.635,50.26,50.36,1017134
2024-03-26,50.68,50.77,50.375,50.4,933665
2024-03-27,50.49,51.16,50.43,51.16,1385550
2024-03-28,51.17,51.98,51.09,51.78,5002749
2024-04-01,51,51.02,50.135,50.36,5141241
2024-04-02,50.07,50.18,49.72,49.86,1781859
2024-04-03,49.86,50.42,49.76,50.28,1243577
2024-04-04,50.84,50.93,49.875,49.94,1430280
2024-04-05,49.72,50.27,49.61,49.96,1332689
2024-04-08,50.16,50.4375,50.045,50.41,3286478
2024-04-09,50.48,50.66,49.89,50.46,1521720
2024-04-10,49.73,49.86,48.8,49.02,2447579
2024-04-11,49.08,49.24,48.535,48.97,3855999
2024-04-12,48.55,48.805,48.05,48.19,3309737
2024-04-15,48.58,48.82,47.32,47.48,2014062
2024-04-16,47.11,47.26,46.31,46.38,2765869
2024-04-17,46.54,47.0199,46.25,46.62,1308882
2024-04-18,46.74,46.96,46.34,46.57,1219186
2024-04-19,46.57,47.095,46.5,46.74,1868841
2024-04-22,46.96,47.1,46.67,47.09,1884910
2024-04-23,47.17,47.34,46.88,47.29,1807548
2024-04-24,47.21,47.23,46.56,46.8,1745745
2024-04-25,46.46,46.46,45.6369,46.23,1892040
2024-04-26,46.25,46.62,46.16,46.56,1145238
2024-04-29,46.75,46.78,46.18,46.44,1897313
2024-04-30,46.01,46.22,45.84,45.9,1341794
2024-05-01,45.98,46.63,45.81,46.28,2188450
2024-05-02,46.55,46.58,45.99,46.3,1796519
2024-05-03,47.03,47.03,46.54,46.85,1572888
2024-05-06,47.11,47.445,46.94,47.42,1092484
2024-05-07,47.51,47.65,46.99,47.12,1304800
2024-05-08,46.93,47.82,46.88,47.8,1248589
2024-05-09,47.78,48.13,47.78,47.94,1038412
2024-05-10,48.14,48.3406,47.88,48.02,839706
2024-05-13,48.18,48.36,48.03,48.09,818521
2024-05-14,48.29,48.51,47.955,48.01,1023904
2024-05-15,48.32,48.64,48.19,48.52,759688
2024-05-16,48.66,48.76,48.245,48.25,927602
2024-05-17,48.43,48.51,48.17,48.39,1023295
2024-05-20,48.19,48.495,48.04,48.05,776119
2024-05-21,48.03,48.59,48.03,48.53,1240387
2024-05-22,48.31,48.31,47.52,47.61,1503057
2024-05-23,47.87,48.06,47.05,47.27,1707313
2024-05-24,47.42,47.91,47.42,47.78,1906310
2024-05-28,47.75,48.45,47.555,47.67,2726234
2024-05-29,47.11,47.11,46.29,46.31,2105530
2024-05-30,46.48,47.03,46.47,46.86,3705178
2024-05-31,47.1,47.35,46.59,47.33,2331928
2024-06-03,47.33,47.62,46.66,47.23,1918019
2024-06-04,47,47.28,46.625,47.21,1604166
2024-06-05,47.39,47.5,47.09,47.48,1346671
2024-06-06,47.48,47.54,47.145,47.33,1572568
2024-06-07,47,47.25,46.89,46.96,1504132
2024-06-10,46.81,46.88,46.35,46.4,1657836
2024-06-11,46.19,46.435,45.96,46.32,1127395
2024-06-12,46.98,47.55,46.91,47.34,1676385
2024-06-13,47.17,47.25,46.83,47.04,1229334
2024-06-14,46.63,46.64,46.07,46.35,1292037
2024-06-17,46.2,46.42,46.08,46.38,1954972
2024-06-18,46.43,46.65,46.075,46.25,2907339
2024-06-20,46.09,46.13,45.28,45.3,1824012
2024-06-21,45.25,45.63,45.09,45.12,2037658
2024-06-24,45.6,46.05,45.39,46.01,1725498
2024-06-25,45.79,45.89,45.4525,45.79,1378393
2024-06-26,45.52,45.57,45.27,45.49,931603
2024-06-27,45.55,45.69,45.36,45.57,1161133
2024-06-28,45.74,46.05,45.58,45.72,2912331
2024-07-01,45.91,46.22,45.45,45.46,1079990
2024-07-02,45.48,45.899,45.19,45.8,6451899
2024-07-03,45.14,45.75,45.13,45.42,844438
2024-07-05,45.59,45.74,45.17,45.21,1164464
2024-07-08,45.25,45.46,45.095,45.22,922172
2024-07-09,45.26,45.84,45.15,45.71,1496048
2024-07-10,45.78,46.37,45.78,46.33,2124994
2024-07-11,46.52,46.98,46.44,46.87,2209977
2024-07-12,47.01,47.255,46.96,47.06,2075266
2024-07-15,47.19,47.2703,46.93,47.15,1159504
2024-07-16,47.3,48,47.06,47.98,1583962
2024-07-17,47.82,48.01,47.29,47.41,2358188
2024-07-18,47.31,47.7446,47.105,47.33,2744363
2024-07-19,47.18,47.35,46.72,46.74,992032
2024-07-22,46.94,46.94,46.21,46.59,1184539
2024-07-23,46.55,46.55,45.91,46.13,1526272
2024-07-24,45.94,46.19,45.7,45.74,1222878
2024-07-25,45.71,45.82,45.37,45.55,2091163
2024-07-26,45.79,45.88,45.57,45.84,1490372
2024-07-29,45.9,46.03,45.615,45.95,1336950
2024-07-30,46,46.79,45.96,46.36,1201848
2024-07-31,46.62,47.05,46.34,46.67,1275946
2024-08-01,46.7,46.78,45.71,46.01,2048280
2024-08-02,45.62,45.79,45.13,45.67,2578901
2024-08-05,44,44.97,43.675,44.71,1956316
2024-08-06,44.73,45.58,44.55,45.39,1798045
2024-08-07,45.94,45.95,45.26,45.49,1345401
2024-08-08,45.65,45.98,45.49,45.94,1003977
2024-08-09,46,46.445,45.88,46.37,916446
2024-08-12,46.36,46.42,44.16,44.72,3303114
2024-08-13,45.01,45.53,44.89,45.51,1659945
2024-08-14,45.53,46.06,45.53,45.97,1023554
2024-08-15,46.4,46.69,46.18,46.44,1118370
2024-08-16,46.58,47.135,46.37,47.11,906866
2024-08-19,47.19,47.66,47.18,47.6,1213143
2024-08-20,47.42,47.69,47.18,47.5,950313
2024-08-21,47.63,47.74,47.46,47.62,1096608
2024-08-22,47.62,47.78,47.29,47.5,866978
2024-08-23,47.79,48.58,47.79,48.42,1600915
2024-08-26,48.58,48.82,48.51,48.59,1263152
2024-08-27,48.69,50.04,48.49,49.96,2433582
2024-08-28,49.83,49.9,48.765,48.91,1842493
2024-08-29,49.14,49.45,48.96,49.22,1611723
2024-08-30,49.3,50.04,49.3,49.88,1582297
2024-09-03,49.62,50.06,49.33,50.03,1575552
2024-09-04,49.97,50.965,49.885,50.83,1696043
2024-09-05,50.85,51.2,50.44,50.63,1503270
2024-09-06,50.77,51.11,50.0501,50.5,1289633
2024-09-09,50.85,51.37,50.68,51.29,1262959
2024-09-10,51.33,51.52,50.87,51.45,1390571
2024-09-11,51.45,51.785,50.9901,51.76,1376495
2024-09-12,51.71,51.91,51.34,51.73,1368342
2024-09-13,51.76,52.095,51.66,52.04,1273251
2024-09-16,52.13,52.72,52.09,52.64,967586
2024-09-17,52.71,53,52.51,52.56,1137262
2024-09-18,52.56,52.9,52.27,52.43,1368250
2024-09-19,53,53.32,52.79,53.08,1043280
2024-09-20,53.3,54.22,53.16,54.07,2746284
2024-09-23,54.37,54.41,53.72,53.93,3454517
2024-09-24,54.09,54.29,53.89,54.25,2732410
2024-09-25,54.17,54.29,53.905,53.92,1812911
2024-09-26,54.31,55.12,54.26,54.8,1326689
2024-09-27,54.83,54.93,54.33,54.44,882861
2024-09-30,54.54,54.64,54.065,54.49,8702563
2024-10-01,54.49,54.725,54.13,54.49,4667029
2024-10-02,53.57,53.57,53.035,53.2,1547296
2024-10-03,52.92,52.935,52.56,52.75,1175911
2024-10-04,53.03,53.32,52.7841,53.06,1008359
2024-10-07,52.93,53.03,52.41,52.76,1122237
2024-10-08,52.66,52.79,52.18,52.37,886521
2024-10-09,52.08,52.24,51.81,51.81,950871
2024-10-10,51.58,52.06,51.3359,52.05,1343267
2024-10-11,52.18,52.66,52.15,52.45,1077305
2024-10-14,52.28,52.735,52.23,52.39,694741
2024-10-15,52.5,52.86,52.18,52.83,1478652
2024-10-16,53,53.7,52.98,53.69,1368896
2024-10-17,53.69,53.92,53.32,53.51,794710
2024-10-18,53.5,53.64,53.325,53.54,804123
2024-10-21,53.35,53.51,52.815,52.9,834381
2024-10-22,52.7,52.76,52.35,52.59,1210089
2024-10-23,52.3,52.485,52.04,52.42,2948753
2024-10-24,52.49,52.71,52.04,52.44,2563828
2024-10-25,52.54,52.65,51.765,51.78,1159530
2024-10-28,51.79,52.13,51.75,51.98,1223005
2024-10-29,51.91,52.39,51.86,52.22,1690870
2024-10-30,52.03,52.48,51.72,52.25,2768633
2024-10-31,52.24,52.25,51.38,51.49,1264301
2024-11-01,51.71,51.965,51.45,51.9,1164836
2024-11-04,52.23,53.84,52.1,53.04,1857164
2024-11-05,53.09,53.27,52.91,53.13,1128931
2024-11-06,53.16,53.58,52.73,53.24,1731076
2024-11-07,53.6,54.15,53.455,54.1,1290622
2024-11-08,53.9,54.085,53.66,53.93,862597
2024-11-11,53.845,54.4302,53.76,54.06,1074459
2024-11-12,53.99,54.04,53.67,53.96,1256920
2024-11-13,53.94,54.12,53.52,53.57,773748
2024-11-14,53.69,53.95,53.38,53.81,987842
2024-11-15,53.79,54.27,53.755,53.93,927819
2024-11-18,53.9,55.4257,53.9,55.24,1725615
2024-11-19,55.44,56.175,55.32,56.13,1918835
2024-11-20,56.18,56.4399,55.8,56.3,1232242
2024-11-21,56.43,56.71469,56.05,56.22,1108510
2024-11-22,56.07,56.475,56.02,56.45,754658
2024-11-25,56.64,56.79,56.325,56.54,1122603
2024-11-26,55.85,56.445,55.34,56.22,1217365
2024-11-27,56.26,56.81,56.2,56.72,926267
2024-11-29,56.76,57.0474,56.72,57.02,502317
2024-12-02,56.95,57.07,56.45,56.77,964650
2024-12-03,55.5,55.94,54.14,54.78,2322298
2024-12-04,54.94,55.51,54.93,55.31,1150530
2024-12-05,55.21,55.88,55.15,55.78,1341638
2024-12-06,55.53,56.38,55.51,55.77,1283559
2024-12-09,55.895,56.16,55.7,55.81,1072518
2024-12-10,55.725,55.98,55.445,55.83,669239
2024-12-11,55.97,56.11,55.62,55.84,640370
2024-12-12,55.635,55.77,55.17,55.25,758816
2024-12-13,55.46,55.53,55.1,55.42,862444
2024-12-16,55.42,55.43,54.91,54.94,762864
2024-12-17,54.62,54.89,54.39,54.74,821115
2024-12-18,54.76,54.79,53.26,53.43,1743325
2024-12-19,53.7,53.91,53.405,53.42,1181703
2024-12-20,53.265,53.89,52.76,53.61,1253994
2024-12-23,53.3,53.69,52.95,53.64,681104
2024-12-24,53.61,53.77,53.465,53.6,397040
2024-12-26,53.47,53.785,53.35,53.73,439289
2024-12-27,53.42,53.78,53.35,53.76,567889
2024-12-30,53.59,54.07,53.24,53.9,805591
2024-12-31,53.82,53.97,53.54,53.72,609675
2025-01-02,53.74,53.96,53.44,53.64,2164490
2025-01-03,53.52,54.15,53.32,53.39,7451751
2025-01-06,54.15,54.25,53.61,53.7,7678426
2025-01-07,53.01,53.06,51.99,52.01,1321273
2025-01-08,51.74,51.9,51.36,51.69,1335474
2025-01-10,51.8,51.8,51.22,51.31,1783890
2025-01-13,51.185,51.2,50.32,50.59,1671502
2025-01-14,50.52,51.3,50.52,51.27,967118
2025-01-15,52.05,52.28,51.45,51.79,1416503
2025-01-16,51.57,51.735,51.31,51.7,1091149
2025-01-17,51.69,51.775,50.79,50.88,2219214
2025-01-21,51.36,51.825,51.16,51.82,1661977
2025-01-22,51.76,51.8,51.32,51.45,3002436
2025-01-23,51.44,51.89,51.41,51.73,853145
2025-01-24,51.84,51.93,51.685,51.92,973880
2025-01-27,51.5,52.145,51.5,52.13,1307397
2025-01-28,52.12,52.375,51.905,52.17,1067053
2025-01-29,51.9,52.15,51.8,51.93,800454
2025-01-30,52.32,52.39,51.58,51.86,1979258
2025-01-31,51.63,51.89,50.795,51.17,1677761
2025-02-03,49.3,49.6,47.29,49.47,4798170
2025-02-04,50.46,50.69,50.09,50.18,2264618
2025-02-05,50.43,50.61,50.21,50.48,2063779
2025-02-06,50.67,50.94,50.54,50.93,1596161
2025-02-07,50.96,51.01,50.47,50.9,1056214
2025-02-10,50.86,50.98,50.35,50.61,944914
2025-02-11,50.5,50.98,50.45,50.97,1060052
2025-02-12,50.61,51.14,50.36,51.04,1350644
2025-02-13,51.1,51.35,50.95,51.17,1018901
2025-02-14,51.49,51.6,51.19,51.23,943636
2025-02-18,51,51.05,50.64,51.03,1155893
2025-02-19,50.69,50.88,50.335,50.87,1058808
2025-02-20,50.93,51.15,50.72,51.13,964712
2025-02-21,51.19,51.31,50.325,50.5,1511828
2025-02-24,50.56,51.017,50.36,50.63,1613772
2025-02-25,50.5,50.89,49.26,49.86,2195839
2025-02-26,49.78,50.75,49.7,50.37,1216316
2025-02-27,50.27,50.39,49.65,49.69,1288000
2025-02-28,49.85,49.92,49.16,49.63,2557755
2025-03-03,49.91,50.3861,48.9,49.35,1370254
2025-03-04,48.865,48.89,47.87,48.48,3241194
2025-03-05,48.81,49.19,48.4,48.58,1958241
2025-03-06,48.365,48.67,47.95,48.15,1231027
2025-03-07,47.945,48.425,47.68,48.34,1311653
2025-03-10,47.85,48.18,47.47,47.81,1352193
2025-03-11,47.85,48.13,47.03,47.53,1685429
2025-03-12,47.61,47.83,47.28,47.58,1341431
2025-03-13,47.56,47.68,47.04,47.21,886366
2025-03-14,47.43,48.03,47.43,47.95,1072811
2025-03-17,48.275,48.81,48.15,48.76,1169652
2025-03-18,48.78,48.83,48.23,48.35,1512820
2025-03-19,48.32,48.47,47.96,48.23,2712914
2025-03-20,47.94,48.1684,47.76,48.1,2619303
2025-03-21,47.73,48.03,47.55,48,2008362
2025-03-24,48.31,48.42,48.1,48.34,2841441
2025-03-25,48.63,48.88,48.52,48.75,1212794
2025-03-26,48.9,49.14,48.61,48.74,1123990
2025-03-27,48.59,48.62,48.01,48.34,1218651
2025-03-28,48.3,48.43,47.665,47.73,3683865
