Date,Open,High,Low,Close,Volume
2024-03-25,38.12,38.475,38.11,38.26,8388702
2024-03-26,38.19,38.22,37.56,37.57,7600988
2024-03-27,37.23,37.495,37.19,37.46,5929314
2024-03-28,37.64,37.805,37.49,37.68,4795508
2024-04-01,37.86,38.04,37.295,37.94,6296918
2024-04-02,38.38,38.705,38.175,38.65,7712890
2024-04-03,38.56,38.94,38.35,38.81,8960614
2024-04-04,38.65,38.725,38.31,38.4,13924391
2024-04-05,38.47,38.71,38.16,38.66,13131460
2024-04-08,38.81,39.19,38.55,38.91,13684926
2024-04-09,39.49,39.55,39.15,39.29,12545872
2024-04-10,39.14,39.46,38.925,39.42,13987924
2024-04-11,39.75,40,38.9,39.65,16238763
2024-04-12,40.07,40.4,39.345,39.44,21705267
2024-04-15,39.53,39.55,38.93,39.07,18249006
2024-04-16,38.64,38.78,38.185,38.63,13299775
2024-04-17,38.56,38.89,38.12,38.37,10024356
2024-04-18,38.29,38.455,37.865,37.92,10051717
2024-04-19,38.11,38.56,38.02,38.525,10376953
2024-04-22,38.43,39.145,38.13,38.91,13435710
2024-04-23,38.91,39.4675,38.69,39.29,13510555
2024-04-24,39.58,39.58,39.08,39.34,8037839
2024-04-25,39.4,39.73,39.1,39.62,6369933
2024-04-26,39.5,39.6,39.11,39.47,6807166
2024-04-29,39.42,39.55,39.2901,39.47,12229498
2024-04-30,39.59,39.66,38.73,38.77,12084952
2024-05-01,38.43,38.525,37.99,38.22,11142323
2024-05-02,38.51,38.84,38.44,38.67,10021188
2024-05-03,38.48,38.74,38.11,38.7,8071028
2024-05-06,38.98,39.48,38.92,39.04,9853622
2024-05-07,38.14,38.28,37.51,37.58,15953100
2024-05-08,37.14,37.59,37.04,37.53,9648364
2024-05-09,37.85,38.1,37.785,38.04,7582991
2024-05-10,38.37,38.44,37.78,37.84,6165323
2024-05-13,38.04,38.16,37.8812,38.1,6142948
2024-05-14,38.14,38.16,37.78,37.96,5925274
2024-05-15,37.84,37.93,37.28,37.76,7873584
2024-05-16,37.33,37.39,37.01,37.11,7899504
2024-05-17,37.29,37.59,37.21,37.49,6458450
2024-05-20,37.54,37.6001,37.22,37.26,3736880
2024-05-21,37.3,37.465,37.035,37.06,6526878
2024-05-22,36.79,36.895,36.44,36.56,9516997
2024-05-23,37,37.1513,36.3322,36.42,7323658
2024-05-24,36.72,36.89,36.635,36.72,8183984
2024-05-28,37.32,37.49,37.12,37.4,8891740
2024-05-29,37.51,37.52,37,37.12,5612102
2024-05-30,36.9,37.13,36.82,36.93,5245449
2024-05-31,37.13,37.58,37.0608,37.57,4452932
2024-06-03,37.3,37.305,36.335,36.4,7013529
2024-06-04,35.58,35.66,35.29,35.56,14236142
2024-06-05,35.66,35.66,35.23,35.33,5522148
2024-06-06,35.39,35.56,35.27,35.45,7633325
2024-06-07,35.35,35.625,35.13,35.26,9837067
2024-06-10,35.58,36.14,35.47,35.92,10587142
2024-06-11,35.71,35.87,35.51,35.67,5439894
2024-06-12,36.29,36.3,35.43,35.56,8880534
2024-06-13,35.43,35.482077,34.99,35.19,5188026
2024-06-14,35.07,35.145,34.71,34.89,7014343
2024-06-17,35.03,35.23,34.73,35.11,5230612
2024-06-18,35.48,35.64,35.32,35.39,6023169
2024-06-20,35.55,35.915,35.48,35.71,5149107
2024-06-21,35.71,35.81,35.46,35.51,6500916
2024-06-24,35.73,36.34,35.73,36.25,5292997
2024-06-25,36.13,36.13,35.91,36.08,3785874
2024-06-26,35.85,35.89,35.5777,35.72,6383094
2024-06-27,36.1,36.155,35.78,35.97,4268454
2024-06-28,36.15,36.2552,35.8743,36.1,5322001
2024-07-01,36.25,36.585,36.131,36.43,5982101
2024-07-02,36.85,36.915,36.58,36.76,7290959
2024-07-03,36.87,37.09,36.83,36.97,3536669
2024-07-05,37.39,37.39,36.8905,37.05,4845263
2024-07-08,36.6,36.815,36.41,36.55,4226302
2024-07-09,34.8,35.1899,34.645,34.8,13466300
2024-07-10,35.01,35.14,34.785,34.9,7657322
2024-07-11,34.86,35.09,34.71,35.05,8519756
2024-07-12,35.48,35.48,35.12,35.19,7897518
2024-07-15,35.01,35.2,34.7501,35.03,8695968
2024-07-16,34.49,34.89,34.38,34.89,8226748
2024-07-17,35.04,35.54,35.04,35.42,7683357
2024-07-18,35.71,35.83,35.47,35.59,5479276
2024-07-19,35.33,35.61,35.2111,35.38,5153431
2024-07-22,35.38,35.5053,35.21,35.33,4810954
2024-07-23,35.06,35.085,34.78,34.95,5203504
2024-07-24,35.11,35.276,34.62,34.65,7232011
2024-07-25,34.81,35.32,34.625,35.18,5355324
2024-07-26,35.21,35.42,34.96,35.25,7135519
2024-07-29,35.39,35.42,34.73,34.96,12768996
2024-07-30,35.1,35.345,34.58,34.81,13968292
2024-07-31,35.44,35.56,35.175,35.39,9430562
2024-08-01,35.41,35.46,34.54,34.76,8320436
2024-08-02,34.42,34.555,33.89,34.08,11411577
2024-08-05,33,33.2899,32.72,32.99,10020951
