Date,Open,High,Low,Close,Volume
2024-03-25,67.65,67.85,67.275,67.29,3321802
2024-03-26,67.37,68.125,67.37,67.94,5308830
2024-03-27,68.26,68.66,67.9,68.62,4069747
2024-03-28,68.72,68.915,68.33,68.49,6533625
2024-04-01,68.42,68.54,67.9,68.1,2970096
2024-04-02,67.69,67.92,67.09,67.45,4895374
2024-04-03,67.7,68.57,67.565,68.13,6590938
2024-04-04,68.7,69.2,67.685,67.75,5834144
2024-04-05,67.98,68.785,67.83,68.56,5342333
2024-04-08,68.52,68.795,68.031,68.69,4912625
2024-04-09,68.94,68.94,67.95,68.66,4917465
2024-04-10,68.02,68.795,67.943,68.65,5200008
2024-04-11,68.93,69.21,68.535,68.84,6439168
2024-04-12,68.27,68.53,67.76,68.07,4995155
2024-04-15,68.73,68.96,67.4,67.44,6527104
2024-04-16,67.71,68.665,67.37,68.12,6619233
2024-04-17,68.17,68.33,67.455,67.96,6177611
2024-04-18,68.05,68.2,67.215,67.42,5946798
2024-04-19,67.87,68.08,66.905,67.32,6951268
2024-04-22,67.63,68.605,66.8,68.02,7659790
2024-04-23,68.32,69,67.8,68.99,9075682
2024-04-24,73.14,74.39,72.55,72.91,15276470
2024-04-25,73.13,73.635,72.91,73.26,8172200
2024-04-26,72.88,73.613,72.64,73.17,8786294
2024-04-29,73.08,73.125,71.75,72.5,9463878
2024-04-30,72.34,72.79,71.735,71.87,8718137
2024-05-01,71.61,72.99,71.144,72.21,6021096
2024-05-02,72.47,72.56,70.97,72.03,7610487
2024-05-03,72.22,73.075,71.82,72.85,7452084
2024-05-06,73.04,73.27,72.42,72.55,4922960
2024-05-07,72.7,73.5,72.62,73.43,4151544
2024-05-08,73.51,73.66,72.61,72.72,5054088
2024-05-09,72.74,74.145,72.74,74.1,6134777
2024-05-10,74.2,74.3,73.535,73.69,3790579
2024-05-13,73.68,73.83,72.66,72.81,6182025
2024-05-14,72.6,73.64,72.31,73.49,5848511
2024-05-15,73.86,74.6713,73.86,74.45,4492569
2024-05-16,74.43,74.765,74.175,74.55,5636940
2024-05-17,74.94,74.94,74.06,74.65,6978299
2024-05-20,74.81,76.07,74.81,75.36,6534124
2024-05-21,75.56,76.115,75.45,75.67,5801543
2024-05-22,75.95,76.25,75.145,75.37,6390277
2024-05-23,75.47,75.52,74.29,74.38,5581323
2024-05-24,74.54,76.13,74.54,75.63,4786625
2024-05-28,75.59,75.82,74.86,75.17,4252437
2024-05-29,74.78,75.38,74.78,74.98,6809504
2024-05-30,75.11,75.5,74.62,75,5150739
2024-05-31,75.18,75.68,74.43,75.57,8825296
2024-06-03,75.36,75.92,74.84,75.5,3217224
2024-06-04,75.38,76.11,75.16,75.92,3245818
2024-06-05,76,76.04,75.48,75.89,5194012
2024-06-06,75.75,76.3091,75.35,76.12,5979075
2024-06-07,76.6,77.555,76.35,77.11,6919038
2024-06-10,76.95,77.53,76.7,77.42,3471789
2024-06-11,77.44,77.465,76.75,77.15,3754702
2024-06-12,77.2,77.64,76.68,77.41,3219862
2024-06-13,77.11,77.3,76.25,76.96,4054303
2024-06-14,76.85,77.03,76.43,76.76,3540518
2024-06-17,76.38,76.72,75.96,76.19,6443574
2024-06-18,76.13,76.49,75.38,76.31,5365864
2024-06-20,76.6,77.26,76.4,77,8725728
2024-06-21,77.1,77.81,76.9,77.71,9938194
2024-06-24,77.7,77.99,76.54,76.71,5594645
2024-06-25,76.9,77.6,76.635,77.51,6238098
2024-06-26,77.17,77.425,76.76,77.1,6013179
2024-06-27,77.15,77.5,76.65,77,4196200
2024-06-28,77.01,77.435,76.7,77.01,7714856
2024-07-01,77.3,77.95,76.24,76.41,4234519
2024-07-02,76.39,76.73,75.91,76.55,3321846
2024-07-03,76.8,77,75.71,76.11,2144448
2024-07-05,76.56,76.68,75.77,76.4,4641155
2024-07-08,76.37,76.43,75.99,76.11,4537746
2024-07-09,76.45,76.75,76.07,76.51,3954708
2024-07-10,76.55,77.15,76.03,77.11,3335061
2024-07-11,77.08,77.235,76.6078,76.89,5818465
2024-07-12,76.88,77.8799,76.67,77.69,4430852
2024-07-15,78,78.98,77.71,78.02,6481831
