Date,Open,High,Low,Close,Volume
2024-03-25,30.03,30.2883,30.03,30.05,4578547
2024-03-26,30.07,30.15,29.88,29.88,3768377
2024-03-27,29.91,30.35,29.9,30.34,4246938
2024-03-28,30.47,30.6099,30.445,30.5,3170147
2024-04-01,30.59,30.63,30.35,30.35,2103844
2024-04-02,30.44,30.54,30.27,30.32,3189842
2024-04-03,30.18,30.22,30.03,30.1,3788233
2024-04-04,30.1,30.15,29.63,29.67,5750329
2024-04-05,29.62,29.65,29.34,29.6,5008721
2024-04-08,29.6,29.77,29.55,29.7,3856315
2024-04-09,29.71,29.87,29.47,29.85,6491629
2024-04-10,29.4,29.42,29.01,29.15,9770467
2024-04-11,29.3,29.32,28.935,29.1,5039450
2024-04-12,29.09,29.145,28.56,28.62,7606653
2024-04-15,28.67,28.81,28.36,28.51,6142212
2024-04-16,28.38,28.47,28.25,28.38,4691017
2024-04-17,28.48,28.64,28.42,28.59,3894318
2024-04-18,28.67,28.84,28.62,28.82,3618561
2024-04-19,28.65,29.11,28.64,29.045,5582261
2024-04-22,29.13,29.43,29.07,29.41,5598428
2024-04-23,29.44,29.64,29.43,29.56,4166942
2024-04-24,29.53,29.56,29.28,29.49,6449458
2024-04-25,29.45,29.55,29.13,29.4,5682797
2024-04-26,29.32,30.205,29.08,29.25,12525791
2024-04-29,29.49,29.62,29.41,29.53,3730862
2024-04-30,29.56,29.6892,29.41,29.42,2939986
2024-05-01,29.45,29.65,29.36,29.42,2617104
2024-05-02,29.62,29.87,29.57,29.8,3067652
2024-05-03,29.98,30,29.69,29.81,2426573
2024-05-06,29.96,30.025,29.83,29.95,2386733
2024-05-07,30.07,30.3,29.95,29.97,4325201
2024-05-08,29.99,30.23,29.97,30.16,3007867
2024-05-09,30.22,30.36,30.13,30.36,3222078
2024-05-10,30.58,30.69,30.525,30.67,2908562
2024-05-13,30.81,31.08,30.81,30.92,6951109
2024-05-14,31.05,31.165,31,31.09,3685369
2024-05-15,31.3,31.43,31.21,31.32,3943147
2024-05-16,31.42,31.67,31.42,31.55,3353018
2024-05-17,31.51,31.66,31.35,31.59,3421634
2024-05-20,31.54,31.59,31.35,31.35,2991551
2024-05-21,31.45,31.57,31.38,31.47,2828823
2024-05-22,31.39,31.47,31.305,31.36,2573574
2024-05-23,31.31,31.32,30.7005,30.73,4215361
2024-05-24,30.8,30.88,30.55,30.62,2894183
2024-05-28,30.64,30.72,30.46,30.55,2720710
2024-05-29,30.22,30.25,30.01,30.02,3868177
2024-05-30,30.39,30.75,30.31,30.7,4155482
2024-05-31,30.79,31.05,30.75,31.03,4125313
2024-06-03,31.24,31.35,31.11,31.34,3837782
2024-06-04,30.85,31.22,30.72,31.2,3247785
2024-06-05,31.23,31.25,31.06,31.17,2545489
2024-06-06,30.84,31.44,30.81,31.25,4384725
2024-06-07,31.03,31.28,30.98,30.99,4041001
2024-06-10,30.75,30.87,30.56,30.71,4939277
2024-06-11,30.43,30.61,30.29,30.5,4191631
2024-06-12,30.99,31.03,30.64,30.67,4188020
2024-06-13,30.73,30.73,30.37,30.6,3069995
2024-06-14,30.41,30.645,30.33,30.63,3599197
2024-06-17,30.65,30.95,30.53,30.94,2745490
2024-06-18,30.86,31.12,30.7501,31.12,4199116
2024-06-20,31.13,31.51,31.1,31.5,5747955
2024-06-21,31.45,31.84,31.405,31.7,11469115
2024-06-24,32.2,32.48,32.16,32.36,4498013
2024-06-25,32.32,32.35,31.9,32.13,7334277
2024-06-26,31.87,31.9,31.75,31.85,3996204
2024-06-27,31.92,31.92,31.55,31.64,3322301
2024-06-28,31.04,31.0453,30.805,30.93,4161424
2024-07-01,31.15,31.52,30.9811,31.08,3472035
2024-07-02,30.98,31.12,30.935,31.07,2686139
2024-07-03,31.39,31.47,31.345,31.41,2119040
2024-07-05,31.7,31.73,31.53,31.69,3276219
2024-07-08,31.83,31.89,31.53,31.57,3655166
2024-07-09,31.54,31.895,31.5,31.77,5284751
2024-07-10,31.93,32.06,31.86,32.06,3215034
2024-07-11,32.03,32.27,32.02,32.23,3511127
2024-07-12,32.51,32.71,32.4601,32.61,4372276
2024-07-15,32.4,32.44,32.17,32.2,2900023
2024-07-16,32,32.1858,31.92,32.14,3482823
2024-07-17,32.32,32.75,32.3,32.7,3771655
2024-07-18,32.79,33.31,32.75,33.04,5734189
2024-07-19,33.17,33.2899,33.065,33.2,2876208
2024-07-22,33.59,33.62,33.38,33.52,4305182
2024-07-23,33.44,33.54,33.345,33.35,2881986
2024-07-24,33.46,33.57,33.1812,33.38,4198721
2024-07-25,34.57,35.035,34.57,34.73,8061629
2024-07-26,35.05,35.2,34.915,35.16,5552974
2024-07-29,35.58,35.66,35.34,35.52,8437608
2024-07-30,35.3,35.91,35.24,35.79,5671803
2024-07-31,35.5,35.7,35.15,35.64,12717958
2024-08-01,35.96,36.1832,35.6314,35.9,11683763
2024-08-02,36.03,36.45,35.665,36.45,7872081
2024-08-05,34.32,35.06,34.122,35,16009494
2024-08-06,34.44,35.21,34.41,34.92,11825567
2024-08-07,35.24,35.67,35.155,35.45,11478348
2024-08-08,35.49,36.02,35.4,35.9,11013178
2024-08-09,35.78,36.04,35.56,35.96,5493975
2024-08-12,35.96,36.055,35.81,35.87,4075790
2024-08-13,35.99,36.18,35.925,36.16,3597735
2024-08-14,36.02,36.3,36.02,36.18,6067356
2024-08-15,36.29,36.31,35.97,36,3054182
2024-08-16,35.84,36.09,35.795,36.06,3095609
2024-08-19,36.06,36.3,36.04,36.13,3198093
2024-08-20,36.08,36.245,36.06,36.14,2320869
2024-08-21,36.28,36.39,36.23,36.3,2700475
2024-08-22,36.4,36.425,36.19,36.25,2184589
2024-08-23,36.33,36.68,36.23,36.68,2454265
2024-08-26,36.58,36.82,36.52,36.76,2688033
2024-08-27,36.9,37.16,36.88,37.12,3125641
2024-08-28,37.01,37.215,36.95,37.17,4013993
2024-08-29,37.25,37.385,37.085,37.34,3589913
2024-08-30,37.38,37.59,37.33,37.57,3134412
2024-09-03,37.56,38.12,37.56,38,7828673
2024-09-04,38.105,38.355,38,38.17,4826262
2024-09-05,38.62,38.62,38.25,38.29,4194174
2024-09-06,38.5,38.68,38.4,38.61,5227137
2024-09-09,38.54,39.09,38.54,39.03,5108853
2024-09-10,38.99,39.24,38.815,39.22,7341276
2024-09-11,39.2,39.24,38.81,39.12,8880558
2024-09-12,38.8,39.02,38.61,38.94,4952168
2024-09-13,39.12,39.25,39.01,39.17,3765450
2024-09-16,39.49,39.54,39.31,39.36,3472682
2024-09-17,38.74,38.77,37.9119,38.01,5812169
2024-09-18,38.03,38.21,37.81,37.88,4244078
2024-09-19,37.76,37.79,37.42,37.57,6819664
2024-09-20,37.42,37.52,37.325,37.44,4768542
2024-09-23,37.95,37.998,37.8,37.9,4323833
2024-09-24,38,38.27,37.88,38.1,4399598
2024-09-25,38.09,38.14,37.915,37.96,3491828
2024-09-26,37.47,38.06,37.435,37.82,5255344
2024-09-27,37.41,37.42,36.83,36.84,6567713
2024-09-30,36.69,36.76,36.475,36.58,5409275
2024-10-01,36.55,36.7775,36.33,36.45,8342754
2024-10-02,36.32,36.36,35.895,35.97,5343143
2024-10-03,35.24,35.34,35.02,35.11,7899131
2024-10-04,34.99,35.305,34.96,35.29,3097630
2024-10-07,35.35,35.38,35.1417,35.2,2991180
2024-10-08,35.33,35.33,35.12,35.22,2341200
2024-10-09,35.21,35.565,35.165,35.48,2296956
2024-10-10,35.515,35.58,35.04,35.11,3669263
2024-10-11,35.08,35.25,34.995,35.18,3653274
2024-10-14,35.15,35.5,35.09,35.45,6502411
2024-10-15,35.49,35.705,35.32,35.41,4504613
2024-10-16,35.77,36.01,35.685,35.8,2766161
2024-10-17,35.57,35.6,35.32,35.37,3044757
2024-10-18,34.43,34.57,34.36,34.5,4842788
2024-10-21,34.47,34.595,34.205,34.25,4149292
2024-10-22,34.18,34.89,34.17,34.89,4469184
2024-10-23,34.66,34.755,34.55,34.71,4102894
2024-10-24,34.78,34.85,34.52,34.65,4064076
2024-10-25,34.79,34.83,34.46,34.47,2723929
2024-10-28,34.73,34.9598,34.67,34.91,2541490
2024-10-29,34.89,34.91,34.45,34.46,6505852
2024-10-30,34.525,34.57,34.26,34.36,7554533
2024-10-31,34.24,35.05,34.24,34.98,7223620
2024-11-01,35.26,35.47,34.96,35.07,5076251
2024-11-04,35.33,35.38,34.955,35.11,2791294
2024-11-05,35.28,35.54,35.18,35.46,3200066
2024-11-06,35.97,36,35.2007,35.64,5144302
2024-11-07,35.73,35.895,35.4,35.4,3380093
2024-11-08,35.4,35.488,35.24,35.39,3745707
2024-11-11,35.2,35.44,35.09,35.15,2351443
2024-11-12,35.31,35.31,34.99,35.24,3275136
2024-11-13,35.455,35.46,35.19,35.42,4226262
