Date,Open,High,Low,Close,Volume
2024-03-25,60,60.31,59.78,59.78,1809287
2024-03-26,60.44,60.52,60.16,60.35,1634263
2024-03-27,60.87,61,60.605,60.84,1719225
2024-03-28,60.65,60.99,60.63,60.78,2172586
2024-04-01,60.69,61.18,60.54,61.1,2289874
2024-04-02,60.8,60.8,60.39,60.71,2152496
2024-04-03,60.62,60.64,60.125,60.24,1764398
2024-04-04,60.24,60.485,59.459,59.54,2572197
2024-04-05,59.82,60.185,59.69,59.96,2004501
2024-04-08,60.11,60.36,60.055,60.2,1390805
2024-04-09,60.43,60.69,60.33,60.6,1524645
2024-04-10,59.72,59.75,59.24,59.57,1679090
2024-04-11,60.29,60.33,59.43,59.73,1478473
2024-04-12,59.28,59.44,58.615,58.67,1556327
2024-04-15,58.75,59.01,57.9559,58,1657029
2024-04-16,57.53,57.57,57.09,57.14,1897576
2024-04-17,57.42,57.71,57.195,57.36,1741356
2024-04-18,57.41,57.94,57.295,57.91,1459566
2024-04-19,58.565,58.85,58.32,58.73,1434934
2024-04-22,59.24,59.75,59.12,59.49,2897370
2024-04-23,59.73,60.265,59.54,60.18,1731344
2024-04-24,59.91,60.31,59.52,60.26,1160563
2024-04-25,59.9,60.2,59.555,59.94,1288309
2024-04-26,59.98,60.36,59.86,60.01,1159616
2024-04-29,60.43,60.47,60.22,60.3,1506679
2024-04-30,60.76,60.78,59.64,59.66,2131060
2024-05-01,59.78,60.11,59.235,59.47,1274373
2024-05-02,59.85,60.08,59.64,59.89,1646976
2024-05-03,59.97,60.24,59.53,59.71,1251655
2024-05-06,60.19,60.22,59.49,59.59,2459824
2024-05-07,60.59,60.875,60.43,60.57,3148917
2024-05-08,63.51,63.6,62.84,62.99,3522395
2024-05-09,63.41,63.535,63.1,63.49,2301791
2024-05-10,63.77,64.2289,63.715,64.21,2432199
2024-05-13,64.57,64.81,64.55,64.71,1246118
2024-05-14,65.1,65.7,64.961,65.67,2226479
2024-05-15,66,66.435,65.9,66.03,1945642
2024-05-16,66.29,66.71,66.18,66.47,1340786
2024-05-17,67.1,67.49,66.92,67.42,1591983
2024-05-20,66.65,66.93,66.18,66.34,1512444
2024-05-21,66.38,66.46,66.14,66.24,1150098
2024-05-22,65.46,65.69,65.07,65.19,1080008
2024-05-23,65.19,65.2,64.5,64.62,1587655
2024-05-24,65.2,65.367,64.96,65.04,1355008
2024-05-28,64.22,64.24,63.29,63.51,1635964
2024-05-29,62.23,62.59,62.16,62.28,1365160
2024-05-30,62.605,62.71,62.32,62.33,859628
2024-05-31,62.16,63.07,62.11,63.07,962465
2024-06-03,63.01,63.2,62.575,62.65,1208654
2024-06-04,62.25,62.27,61.8,62.13,1266814
2024-06-05,62.27,62.39,61.91,62.07,701201
2024-06-06,62.95,63.55,62.91,63.31,937297
2024-06-07,62.62,62.75,62.15,62.22,823281
2024-06-10,61.62,61.72,61.22,61.6,929284
2024-06-11,60.65,61.08,60.45,61.06,857796
2024-06-12,61.84,62.2,61.47,61.47,1322084
2024-06-13,61.04,61.04,60.1106,60.45,1851367
2024-06-14,59.3,59.52,58.92,59.49,1591079
2024-06-17,59.49,59.855,59.4,59.7,876564
2024-06-18,59.31,59.52,59.115,59.14,1046081
2024-06-20,59.03,59.46,58.96,59.24,924521
2024-06-21,58.87,59.205,58.59,59.06,1461703
2024-06-24,60.61,60.95,60.54,60.77,1688596
2024-06-25,59.7,60.265,59.635,60.16,2766493
2024-06-26,59.17,59.54,59.02,59.48,1829075
2024-06-27,59.33,59.52,58.825,59.06,1283544
2024-06-28,58.01,58.33,57.875,58.15,2152414
2024-07-01,59.08,59.16,58.195,58.35,1734194
2024-07-02,58.59,58.75,58.23,58.66,1699066
2024-07-03,59.82,60.18,59.71,60.06,1537626
2024-07-05,60.23,60.31,59.54,59.76,1051756
2024-07-08,59.95,59.98,59.33,59.34,869709
2024-07-09,59.26,59.4,59.01,59.01,849390
2024-07-10,59.87,60.325,59.76,60.29,1203889
2024-07-11,60.99,61.38,60.83,61.25,1046336
2024-07-12,60.74,61.845,60.74,61.5,944309
2024-07-15,60.86,60.88,60.15,60.17,1285805
2024-07-16,59.92,60.23,59.6101,60.2,1059068
2024-07-17,60.86,61.75,60.83,61.67,1172070
2024-07-18,61.77,61.85,60.55,60.56,1183985
2024-07-19,60.47,60.59,60.22,60.45,771851
2024-07-22,61.18,61.36,60.8,61.03,884326
2024-07-23,60.75,60.99,60.4399,60.7,858831
2024-07-24,60.47,60.81,60.36,60.55,1077881
2024-07-25,60.4,60.9,60.39,60.7,1024316
2024-07-26,60.92,61.395,60.85,61.38,1076419
2024-07-29,59.64,60.095,59.35,60.05,2161581
2024-07-30,59.68,59.82,59.34,59.58,1557309
2024-07-31,59.47,59.79,59.31,59.5,1727320
2024-08-01,61.19,61.82,60.6,61.26,3526257
2024-08-02,63.31,63.7,62.89,63.38,2086791
2024-08-05,61.03,61.29,60.52,60.84,2355433
2024-08-06,59.97,61.115,59.96,60.5,1854616
2024-08-07,60.79,61.18,60.46,60.5,1441278
2024-08-08,60.48,61.015,60.38,60.93,2677867
2024-08-09,60.59,60.92,60.23,60.67,945854
2024-08-12,60.27,60.485,60.03,60.12,1196123
2024-08-13,60.05,60.49,59.87,60.43,1283685
2024-08-14,60.52,60.69,60.37,60.38,1103586
2024-08-15,60.34,60.78,60.125,60.62,1353534
2024-08-16,60.35,60.72,60.275,60.65,972434
2024-08-19,60.69,61,60.69,60.88,869595
2024-08-20,60.63,60.65,60.235,60.55,1112195
2024-08-21,60.82,60.97,60.65,60.93,878146
2024-08-22,61.2,61.2714,60.835,60.97,779808
2024-08-23,61.24,61.74,61.13,61.69,734742
2024-08-26,61.29,61.57,61.25,61.3,787197
2024-08-27,61.85,61.975,61.725,61.87,874333
2024-08-28,61.45,61.5401,61.22,61.45,547827
2024-08-29,61.66,61.745,61.2,61.52,676295
2024-08-30,61.34,61.45,60.95,61.44,702439
2024-09-03,61.03,61.835,61.03,61.48,978401
2024-09-04,62.1,62.79,62.04,62.59,974771
2024-09-05,63.48,63.79,63.25,63.44,1222742
2024-09-06,62.91,63.12,62.64,62.84,809580
2024-09-09,63.07,63.91,62.97,63.66,942259
2024-09-10,64.32,64.42,63.95,64.17,885677
2024-09-11,64.64,64.68,64.01,64.35,915027
2024-09-12,64.33,64.89,64.32,64.85,1061653
2024-09-13,65,65.2,64.63,64.9,780329
2024-09-16,64.75,64.96,64.56,64.75,646383
2024-09-17,64.59,64.63,64.11,64.25,741352
2024-09-18,64.08,64.14,63.39,63.41,1777183
2024-09-19,63.9,63.99,63.565,63.8,1181139
2024-09-20,63.33,63.38,62.955,63.13,1092259
2024-09-23,63.01,63.365,62.985,63.02,740535
2024-09-24,63.91,64.44,63.71,64.17,1179321
2024-09-25,63.5,63.58,63.085,63.15,839408
2024-09-26,65,65.66,64.75,65.52,1388768
2024-09-27,66.43,66.65,65.96,65.99,1355304
2024-09-30,66.49,66.56,65.965,66.29,1113751
2024-10-01,67.38,67.4,66.495,66.55,1222697
2024-10-02,66.3,66.38,65.91,66.28,835099
2024-10-03,66.4,66.5,66.07,66.27,1433112
2024-10-04,65.25,66.4,65.18,66.4,882690
2024-10-07,65.86,65.99,64.71,65.02,1150823
2024-10-08,64.3,64.36,63.9152,64.23,864627
2024-10-09,64.33,64.53,64.14,64.27,737703
2024-10-10,64.5,64.53,63.92,64.07,789661
2024-10-11,64.76,64.97,64.46,64.85,2002636
2024-10-14,64.48,65.43,64.45,65.42,1462713
2024-10-15,65.93,66.42,65.405,65.43,1250105
2024-10-16,65.39,65.735,65.1,65.3,509317
2024-10-17,65.48,65.61,65.13,65.47,804941
2024-10-18,65.53,66.17,65.44,66.04,624372
2024-10-21,65.69,65.8,64.98,65.06,681672
2024-10-22,64.46,64.72,64.415,64.65,570665
2024-10-23,64.55,64.7,64.34,64.57,807092
2024-10-24,64.81,64.9525,64.52,64.61,931548
2024-10-25,64.59,64.6893,63.89,63.9,761119
2024-10-28,64.43,64.72,64.33,64.39,1193812
2024-10-29,64.08,64.48,63.955,63.96,1165681
2024-10-30,63.16,63.7,62.9,62.91,1679239
2024-10-31,60.23,60.333,59.11,59.37,3629281
2024-11-01,60.17,60.22,59.3,59.3,1510471
2024-11-04,59.29,59.42,58.385,58.55,1600865
2024-11-05,58.91,59.075,58.71,58.83,1147987
2024-11-06,57.09,57.28,56.43,57.27,3459972
2024-11-07,57.96,58.3315,57.72,57.82,1640751
2024-11-08,57.36,57.53,57.02,57.28,1650150
2024-11-11,57.04,57.23,56.92,57.07,3992168
2024-11-12,56.29,56.32,55.68,56,4358421
2024-11-13,55.72,55.87,55.43,55.8,2537850
2024-11-14,56.93,57.03,56.31,56.35,2695249
2024-11-15,56.53,56.55,56.09,56.25,2181601
2024-11-18,56.24,56.585,56.14,56.5,1233437
2024-11-19,55.94,56.225,55.75,56.06,2721475
2024-11-20,55.075,55.31,54.78,55.2,2418733
2024-11-21,54.74,55.11,54.51,54.69,2537701
2024-11-22,54.65,54.84,54.62,54.73,1920125
2024-11-25,55.5,55.64,55.025,55.04,2028674
2024-11-26,54.52,54.52,53.67,53.93,2493578
2024-11-27,54.42,54.57,54.045,54.08,1522066
2024-11-29,53.21,53.905,53.16,53.8,1282238
2024-12-02,53.95,54.235,53.3,54.14,2887213
2024-12-03,54.12,54.27,53.77,53.87,2503558
2024-12-04,53.365,53.39,53.005,53.17,2512609
2024-12-05,53.48,53.505,53.09,53.13,4875656
2024-12-06,53.585,53.71,52.885,52.91,3095905
2024-12-09,53.12,53.6398,53.01,53.06,4262347
2024-12-10,53.405,53.45,52.94,52.96,2718115
2024-12-11,53.06,53.08,52.3,52.38,3368629
2024-12-12,53.52,53.5901,53.2,53.5,3034566
2024-12-13,53.9,53.99,53.385,53.43,2353292
2024-12-16,52.91,53.15,52.53,52.53,3287600
2024-12-17,52.21,52.34,51.735,51.77,2300319
2024-12-18,51.57,51.6986,50.08,50.11,2975335
2024-12-19,50.09,50.38,49.83,50.1,2331070
2024-12-20,49.69,50.43,49.66,50.21,2032861
2024-12-23,50.14,50.65,49.87,50.54,2136566
2024-12-24,50.385,50.405,50.135,50.39,734749
2024-12-26,50.3,50.515,50.23,50.37,1859442
2024-12-27,50.13,50.735,50.1,50.37,1857849
2024-12-30,50.08,50.1,49.67,49.78,2371469
2024-12-31,49.81,50.255,49.805,50.07,2416931
2025-01-02,50.14,50.488,49.765,49.93,1703255
2025-01-03,49.4,49.435,48.55,48.85,3346952
2025-01-06,48.77,49.51,48.66,49.14,2460612
2025-01-07,49.945,50.02,49.12,49.22,1917555
2025-01-08,48.9,49.032,48.62,49.03,1679601
2025-01-10,48.36,48.38,46.095,46.15,5554057
2025-01-13,46.165,46.64,45.94,46.41,3491867
2025-01-14,46.58,46.735,46.3,46.49,1656702
2025-01-15,46.96,47.0318,46.32,46.46,2691554
2025-01-16,46.53,47.255,46.34,47.12,2213061
2025-01-17,47.9,48.1,47.7099,48,2504895
2025-01-21,48.35,48.455,48.145,48.32,2503017
2025-01-22,48.03,48.06,47.6,47.6,2356364
2025-01-23,48.1,48.28,47.64,48.21,1746670
2025-01-24,48.61,48.98,48.5,48.87,1439550
2025-01-27,49.17,50.07,49.17,49.99,2296653
2025-01-28,49.8,49.89,49.085,49.21,1754295
2025-01-29,49.035,49.255,48.9997,49.17,2034741
2025-01-30,49.88,50.07,49.57,49.82,2341265
2025-01-31,49.45,49.79,49.07,49.18,3584541
2025-02-03,48.27,49.06,47.89,48.69,2429225
2025-02-04,48.875,48.968,48.65,48.7,1263711
2025-02-05,49,49.15,48.585,49.11,1639132
2025-02-06,50.46,50.53,50.05,50.44,3039493
2025-02-07,50.87,50.9,50.29,50.3,2436558
2025-02-10,50.37,50.445,50.115,50.33,1555821
