Date,Open,High,Low,Close,Volume
2024-03-25,128,129.285,127.91,128.84,1792585
2024-03-26,129.75,130,127.64,127.88,1993014
2024-03-27,129.51,130.98,128.92,130.89,2146430
2024-03-28,131.01,131.75,130.42,131.37,3132574
2024-04-01,131.8,132,130.85,131.03,2478183
2024-04-02,128.05,128.13,124.67,126.31,3621107
2024-04-03,125.63,127.33,125.355,126.57,2101897
2024-04-04,128,129.15,125.655,126.01,2445082
2024-04-05,126,128.4,125.36,127.58,1906734
2024-04-08,127.49,129.93,126.83,129.32,2422518
2024-04-09,130,132.09,128.5,132,3258597
2024-04-10,128.06,128.57,125.71,126.08,3339913
2024-04-11,126.5,128.19,124.63,126.87,3429060
2024-04-12,125.7,125.99,122.67,123.47,4002864
2024-04-15,124.82,125.5,119.94,121.17,3350804
2024-04-16,120.63,122.86,119.69,121.88,3540130
2024-04-17,123.28,124.61,121.94,123.19,5150855
2024-04-18,121.13,123.45,119.06,120.32,5701873
2024-04-19,120.15,121.79,118.06,118.4,4161200
2024-04-22,119.55,123,117.76,122.09,3290887
2024-04-23,122.6,125.62,122.3201,124.31,3379225
2024-04-24,123.95,124.81,122.56,123.78,2021499
2024-04-25,121.92,123.71,119.37,123.36,3620701
2024-04-26,122.91,123.39,122.01,122.49,2962718
2024-04-29,123.05,123.86,120.12,120.62,2294562
2024-04-30,119.12,120.11,116.48,116.61,4329191
2024-05-01,116.54,120.55,115.82,117.49,4142689
2024-05-02,118.63,119.89,116.39,118.99,3653229
2024-05-03,121.5,123.11,117.75,117.99,4437459
2024-05-06,119.19,121.725,118.67,121.21,3421854
2024-05-07,121,123.09,120.36,121.5,3233861
2024-05-08,120.15,120.5,118.69,119.8,2919621
2024-05-09,119.56,123.48,118.81,123.03,5938714
2024-05-10,124.33,124.33,120,124.04,2517809
2024-05-13,124.83,124.83,122.04,122.13,1826243
2024-05-14,122.69,126.14,122.69,125.97,2828946
2024-05-15,127.34,131.34,126.53,131.31,4480168
2024-05-16,130.5,130.84,127.77,127.88,4167688
2024-05-17,128.6,128.62,124.53,125.67,3954095
2024-05-20,125.01,126.12,124.6207,125.67,3081902
2024-05-21,125.75,128.04,125.02,127.71,2960627
2024-05-22,128,128.37,125.65,126.68,2617488
2024-05-23,127.75,128,122.595,123.11,3498259
2024-05-24,123.2,124.12,122.815,123.64,1815353
2024-05-28,123.81,124.14,120.55,121.21,2927287
2024-05-29,119,119.54,115.98,116.13,4754501
2024-05-30,116.11,119.46,116.06,119.33,2680388
2024-05-31,119.77,121.21,117.85,120.5,3636412
2024-06-03,121.31,121.345,116.7,119.21,4056939
2024-06-04,118.14,119.81,117.89,119.08,2022636
2024-06-05,119.83,121.79,119.1,121.71,2800080
2024-06-06,121.46,122.485,119.01,119.17,3380258
2024-06-07,117.46,119.08,116.0002,117.62,3200870
2024-06-10,117.35,119.97,117.08,119.7,2385138
2024-06-11,119.59,119.59,117.345,119.01,2613361
2024-06-12,123.43,126,122.8,123.43,3755012
2024-06-13,123.15,123.5899,121.48,122.21,2015921
2024-06-14,121.1,121.57,120.16,121.25,1685481
2024-06-17,121,122.63,120.58,122.16,1756849
2024-06-18,122.33,123.09,121.72,122.9,2244817
2024-06-20,122.5,125.08,122.415,124.68,2629924
2024-06-21,124.75,124.78,123.15,124.12,5209800
2024-06-24,124.17,126.45,124.02,125.26,2289352
2024-06-25,124.19,124.8,123.43,124.42,1861066
2024-06-26,123.62,125.14,123.2,124.16,2120979
2024-06-27,123.5,124.39,122.87,124.12,2084101
2024-06-28,124.4,126.55,123.41,123.8,4058890
2024-07-01,124.39,125.58,121.41,122.23,3568696
2024-07-02,121.79,123.52,121.52,123.21,2292909
2024-07-03,123.21,124,122.23,123.4,2102519
2024-07-05,123.48,123.48,121.75,122.72,1957607
2024-07-08,122.29,122.91,120.5,120.77,2270592
2024-07-09,120.54,122.25,119.75,121.28,2495470
2024-07-10,121.79,124.37,121.31,124.26,1976374
2024-07-11,126.5,127.9299,125.52,126.61,3406098
2024-07-12,127.04,129.86,126.88,129.32,3390893
2024-07-15,129.75,133.17,129.54,132.37,4505297
2024-07-16,133.45,137.36,133.11,137.01,6351482
2024-07-17,135.47,136.86,133.62,134.85,5851815
2024-07-18,132.25,140.43,131.825,136.41,7386332
2024-07-19,138.29,142.04,136.68,138.59,7353571
2024-07-22,140,141.83,138.73,141.18,4004191
2024-07-23,142.05,145.16,142.035,143.62,4640029
2024-07-24,142.5,143.095,137.48,137.63,4497468
2024-07-25,137.71,143.06,136.15,140.02,4412722
2024-07-26,142.4,142.9,140.21,142,3262890
2024-07-29,141,141.57,139.46,140.98,2325864
2024-07-30,141.73,142.86,139.915,141.34,2831449
2024-07-31,142.76,144.36,140.925,142.15,3617961
2024-08-01,141.92,142.23,135.64,137.03,4044773
2024-08-02,134.32,135.2,131.08,133.05,4695832
2024-08-05,126.85,132.19,124.45,129.51,6374316
2024-08-06,129.89,132.82,128.82,130.31,3288934
2024-08-07,133.62,133.84,127.34,127.59,2970532
2024-08-08,129.19,131.1833,127.96,130.65,1975288
2024-08-09,130.56,131.87,129.1,130.93,1416063
2024-08-12,131.03,132.24,128.18,129.28,3100471
2024-08-13,130.68,133.7,130.11,133.35,3219349
2024-08-14,133.68,136.5,133.37,136.16,2970242
2024-08-15,137.86,138.25,135.55,136.27,3508924
2024-08-16,136.23,137,133.24,134.28,3727431
2024-08-19,134,135,133.51,134.65,2146196
2024-08-20,134.85,135.3,132.71,132.98,1811419
2024-08-21,133.27,135,131.73,134.75,1945381
2024-08-22,134.74,135.5,133.52,134.79,1795547
2024-08-23,135.92,140.69,135.72,139.28,4886915
2024-08-26,140.35,142.25,139.82,141.96,3795263
2024-08-27,140.67,142.33,140.57,141.25,3870788
2024-08-28,140.79,142.06,139.27,140.08,2548579
2024-08-29,140.53,141.54,139.715,140.58,2744905
2024-08-30,141.34,142.69,138.62,142.36,3421587
2024-09-03,141.43,141.95,136.98,138.14,2339776
2024-09-04,137.65,138.97,136.59,137.85,1703740
2024-09-05,138.67,140.89,137.73,138.27,2234603
2024-09-06,138.61,140.1,135.6316,137.12,2577891
2024-09-09,138.73,140.78,138.46,139.77,2133732
2024-09-10,140.29,142.5,138.17,142.21,2684673
2024-09-11,141.89,143.43,138.24,143.27,3148585
2024-09-12,144.05,146.98,142.71,146.5,3542993
2024-09-13,148,151.87,147.75,151.19,4681216
2024-09-16,151.56,155.18,150.86,154.56,4426357
2024-09-17,155.35,156.46,153.73,155.05,3923367
2024-09-18,155.3,157.76,152.69,154.93,3921457
2024-09-19,159.8,160.24,155.92,159.66,4707684
2024-09-20,159.84,161.25,157.83,158.12,5540468
2024-09-23,158.92,160.21,156.5,157.21,3485444
2024-09-24,157.25,158.16,156.18,157.55,2227544
2024-09-25,156.9,157.91,152.22,152.77,3918422
2024-09-26,154.6,155.03,152.21,153.47,3155357
2024-09-27,154.24,155.86,153.64,154.94,2170592
