Date,Open,High,Low,Close,Volume
2024-03-25,60.89,61.52,60.58,60.95,12040348
2024-03-26,61.15,61.95,61,61.66,17947413
2024-03-27,62.03,62.76,61.72,62.75,16684396
2024-03-28,62.73,63.365,62.58,63.24,19011955
2024-04-01,63.6,63.9,63.02,63.46,14223891
2024-04-02,62.65,63.59,62.65,62.84,16062020
2024-04-03,62.86,63.39,61.5199,61.69,18079907
2024-04-04,62.15,62.74,60.75,60.91,13401117
2024-04-05,60.82,62.04,60.4237,61.6,12686337
2024-04-08,61.67,62.32,61.66,61.73,10708294
2024-04-09,61.75,62.09,60.905,61.66,10302993
2024-04-10,60.52,61.305,59.97,60.18,18087994
2024-04-11,60.35,60.89,59.5,60.71,18181851
2024-04-12,62.29,62.6,58.75,59.68,28561854
2024-04-15,60.18,60.91,58.19,58.56,19242295
2024-04-16,58.18,58.55,56.74,57.02,23211424
2024-04-17,57.49,58.89,57.36,58.17,15971649
2024-04-18,58.49,58.97,57.93,58.32,12272458
2024-04-19,58.23,59.439,58.23,59.15,13367493
2024-04-22,59.44,61.055,59.2,60.95,14513095
2024-04-23,61.08,62.77,61.02,62.67,17427795
2024-04-24,62.13,62.73,61.84,62.47,10122993
2024-04-25,61.84,62.43,61.1,61.79,13339114
2024-04-26,61.51,63.225,61.51,62.66,16364096
2024-04-29,62.74,63.355,61.955,62.26,11296694
2024-04-30,61.91,62.335,61.29,61.33,11163388
2024-05-01,61.48,62.27,60.8814,61.35,14100556
2024-05-02,62.19,62.19,60.98,61.54,11292522
2024-05-03,61.51,62.15,61.41,61.52,11048877
2024-05-06,62.055,62.94,61.72,62.81,13386734
2024-05-07,62.82,63.16,61.97,62,10158245
2024-05-08,61.64,62.95,61.51,62.75,9755184
2024-05-09,62.38,63.4299,62.285,63.32,11563041
2024-05-10,63.58,63.92,63.12,63.53,9548738
2024-05-13,63.62,63.95,63.37,63.4,6617927
2024-05-14,63.51,63.965,63.23,63.59,8322542
2024-05-15,63.63,64.39,63.6015,64.24,9461304
2024-05-16,64.1,64.47,63.425,64.14,11682207
2024-05-17,64.38,64.55,63.9,64.07,8418394
2024-05-20,64.07,64.25,62.92,63.16,11792074
2024-05-21,63.26,64.88,63.2,64.74,11197241
2024-05-22,64.29,64.98,63.64,63.82,8855269
2024-05-23,63.8,64.03,62.5,63.02,11535002
2024-05-24,63.33,63.965,63.27,63.58,9424967
2024-05-28,63.23,63.57,62.35,62.45,8404372
2024-05-29,61.56,62.18,61.2,62.01,7224238
2024-05-30,62.1,62.48,61.61,61.93,10072775
2024-05-31,62,62.39,61.44,62.31,17351604
2024-06-03,62.92,63,61.32,61.92,11373921
2024-06-04,61.02,62.029,60.76,61.03,10424195
2024-06-05,61.28,61.86,60.93,61.77,8780723
2024-06-06,61.8,62.045,61.25,61.94,8537891
2024-06-07,61.6,62.585,61.58,61.78,8260840
2024-06-10,61.25,61.66,60.74,61.43,9302388
2024-06-11,60.77,60.79,58.9,59.14,16966763
2024-06-12,60.91,61.21,59.9,60.01,15398496
2024-06-13,59.75,60.37,59.15,60.23,9358195
