Date,Open,High,Low,Close,Volume
2024-03-25,356.96,358.87,355.03,355.95,1774760
2024-03-26,356.46,359.587,356,356.39,1637312
2024-03-27,358.72,364.81,357.8783,364.65,2262845
2024-03-28,364.62,367.22,363.53,366.43,2028629
2024-04-01,367.48,367.93,362.64,363.74,1953766
2024-04-02,362.31,364.99,361.48,364.83,1968867
2024-04-03,365.49,376.07,364.6,375.79,2623737
2024-04-04,377.37,381.03,368.88,369.79,2492175
2024-04-05,372.5,381,371.79,379.3,2068267
2024-04-08,379.11,382.01,372.89,373.47,2689993
2024-04-09,375.03,377.16,365.51,371.9,2043292
2024-04-10,366.2,372.62,364.39,372.07,2148522
2024-04-11,372.63,373.37,366.9,371.98,2535736
2024-04-12,368.64,372.8425,362.68,365.63,2072870
2024-04-15,372.97,374.46,362.1101,363.91,2170956
2024-04-16,363.02,363.455,357.18,359.88,2514069
2024-04-17,362.65,362.91,352.88,358.32,2313776
2024-04-18,361.15,363.48,356.1677,357.93,2380716
2024-04-19,358.29,360.95,352.14,354.48,2928296
2024-04-22,356.1,362,353.24,357.61,2085356
2024-04-23,360,365.52,359.04,363.25,1810693
2024-04-24,363.95,368.17,358.895,363.52,3032711
2024-04-25,330.44,341.94,330.32,338,6459595
2024-04-26,338.44,345.5,338.33,343.38,3324630
2024-04-29,343.98,350.9499,343.98,349.8,2213594
2024-04-30,347.02,347.77,333.12,334.57,4201677
2024-05-01,333.38,338.495,330.74,331.07,3520821
2024-05-02,333.52,336.16,329.25,335.44,2492004
2024-05-03,338.09,341.61,334.98,336.75,1977087
2024-05-06,340.87,342.5499,339.7,342.1,1653860
2024-05-07,344.47,348.54,343.395,345,1965752
2024-05-08,340,346.27,338.74,344.5,2260496
2024-05-09,345.92,352.88,345.43,351.78,3208947
2024-05-10,355,357.51,353.5226,354.79,2210787
2024-05-13,354.8,358.55,354.37,356.68,2051224
2024-05-14,357.72,360.61,357.03,358.18,1563528
2024-05-15,361.47,363.31,358.12,360.04,1913878
2024-05-16,356.75,358.77,349.61,350.72,2821686
2024-05-17,352.97,356.41,351.56,356.27,2104332
2024-05-20,356.4,364.4299,354.77,362.75,2247917
2024-05-21,362.26,363.24,357.5,359.07,1841136
2024-05-22,358.5,359.2,352.56,355.94,2104298
2024-05-23,360.4,361.34,348.79,350.7,2749157
2024-05-24,352.64,353.91,346.68,348.9,2635223
2024-05-28,348,349.2317,344.4,346.47,2264877
2024-05-29,345,345.31,337.72,338.11,3040026
2024-05-30,338.47,344.55,338.47,339.25,2746084
2024-05-31,339.34,340.885,335.06,338.52,8319505
2024-06-03,340.87,341.4,325.75,331.36,3878646
2024-06-04,328.71,330.33,324.5001,327.57,3706638
2024-06-05,329.48,331.27,326.7,329.45,2616330
2024-06-06,330.22,331.03,327.09,328.29,2452154
2024-06-07,326.2,332.8799,323.7176,328.94,2499318
2024-06-10,328.71,331.91,328.44,329.61,2640555
2024-06-11,327.76,328.64,323.725,327.31,3247002
2024-06-12,333.15,335.17,326,328.73,4817488
2024-06-13,327.5,327.89,321.45,326.36,3183935
2024-06-14,321.39,322.675,315.85,321.47,4195333
2024-06-17,321.47,323.84,318.88,322.4,3198913
2024-06-18,323.05,325.6,321,325.14,3275381
2024-06-20,325.06,331.1,324.58,329.13,4463440
2024-06-21,330.53,330.55,326.18,327.84,8265206
2024-06-24,329.36,333.67,326.07,330,2447399
2024-06-25,328.01,329.47,324.37,327.4,2995905
2024-06-26,326.25,327.71,323.78,326.73,2198622
2024-06-27,326.03,329.23,324.67,327.46,1995103
2024-06-28,328.51,334.19,328.32,333.1,8891479
2024-07-01,335.11,335.29,325.37,329.08,2950343
2024-07-02,328,330.09,325.58,327.76,2119862
2024-07-03,328.26,331.41,328.26,330.61,1352181
2024-07-05,331.57,333.44,326.63,328.35,2280941
2024-07-08,330.36,333.26,327.14,329.06,1913367
2024-07-09,328.54,330.12,325.83,326.06,1896255
2024-07-10,326.1,328.48,321.64,328.48,2904464
2024-07-11,330,334.43,329.3,331.13,3016860
2024-07-12,334.95,338.23,333.43,335.59,2451399
2024-07-15,339.1,347.9,337.84,345.77,3394255
2024-07-16,346.83,362.28,345.26,360.58,4636980
2024-07-17,358.97,362.685,356.2,357.8,3060996
2024-07-18,356.5,369.23,355.75,356.03,3876297
2024-07-19,355.35,356.4854,346.69,347.63,3462657
2024-07-22,348,348.73,341.375,347.87,2659572
2024-07-23,345.73,348.66,341.38,344.17,2027837
2024-07-24,342.95,344.82,335.45,336.04,2835754
2024-07-25,335.51,348.2,333.95,344.3,3291486
2024-07-26,348.64,352.94,346.88,350.48,1894930
2024-07-29,350.18,351.38,343.13,344.53,2190368
2024-07-30,343.66,345.715,338.62,341.72,1970785
2024-07-31,345.35,350.99,340.85,346.2,2568331
2024-08-01,346.3,349.83,328.0794,331.52,3747881
2024-08-02,322.75,323.4,317.66,320.87,4246740
2024-08-05,309,320.58,307.05,316.8,4681329
2024-08-06,314.05,332.17,310.5,326.44,5071715
2024-08-07,333.51,335.18,324.45,325.8,3011727
2024-08-08,330,336.4299,327.61,336.16,2268337
2024-08-09,336,338.5,332.48,338.26,1668078
2024-08-12,338.26,339.845,333.595,336.03,2127606
2024-08-13,337.18,339.52,333.73,338.8,1503929
2024-08-14,339.6,341.79,334.6,337.59,1610888
2024-08-15,344.5,347.64,340.79,345.64,3232783
2024-08-16,345.25,345.84,340.7601,343.48,2483755
2024-08-19,343.68,346.1,343.3,344.65,2252755
2024-08-20,345,346.17,341.82,343.3,1479542
2024-08-21,344.58,345.6,341.85,342.97,1433163
2024-08-22,343,345.14,341.77,342.36,2021578
2024-08-23,344.97,349.5439,343.07,348.41,2183912
2024-08-26,349.81,354.41,348.935,351.16,1718059
2024-08-27,350.35,351.72,347.1,351.12,1211040
2024-08-28,350.59,354.43,345.84,348.2,1514474
2024-08-29,351.22,356.46,347.49,351.64,1664658
2024-08-30,352.59,356.24,349.83,356.1,2974052
2024-09-03,352.21,352.63,338.4001,340.24,3107219
2024-09-04,338.59,340.85,335.29,336.75,2782497
2024-09-05,336.02,336.485,330.56,333.56,2525491
2024-09-06,334.2,338.62,328.12,329.36,2676623
2024-09-09,333.91,336.36,332.97,334.04,2355801
2024-09-10,335.11,335.75,329.39,334.16,1869324
2024-09-11,333,335.48,326.11,335,1934695
2024-09-12,335.28,341.04,333.68,339.58,1747566
2024-09-13,342.42,347.22,340.3541,345.31,2518723
2024-09-16,348.35,351.46,344.29,347.96,1648247
2024-09-17,350,354.58,349.2352,353.69,2088589
2024-09-18,355,361.63,352.32,355.12,1990660
2024-09-19,363,374.69,361.27,373.31,4066612
2024-09-20,370.4,371.45,365.84,368.82,5440526
2024-09-23,368.99,372.97,366.975,371.17,2442816
2024-09-24,380,389.43,379.5,385.93,4024264
2024-09-25,387,388.64,377.92,378.25,2661536
2024-09-26,390.01,397.22,386.2,390.96,3906800
2024-09-27,391,395.56,389.1382,391.08,2683768
2024-09-30,389.38,392.755,386.82,391.12,2251585
2024-10-01,391.27,395.485,386.63,392.39,2091388
2024-10-02,391.98,395.66,388.6357,394.05,1768062
2024-10-03,392.34,394,388.72,391.09,1866089
2024-10-04,396.72,397.46,391.85,397.09,1675430
2024-10-07,396.45,401.17,396.1385,398.25,2224513
2024-10-08,394.26,395,384.8488,387.96,2438847
2024-10-09,388.17,396.6,387.5001,396.19,1757882
2024-10-10,395.18,396.96,390.5,396.64,1331845
2024-10-11,396.64,403.6,396.64,402.02,2110351
2024-10-14,393.39,396.29,386.87,393.95,3006132
2024-10-15,390.63,392.47,387.59,387.99,2715320
2024-10-16,387.4,394.6,386.925,393.62,1551797
2024-10-17,395.15,397.12,393.16,394.49,1561648
2024-10-18,396.25,396.45,389.72,393.86,3024091
2024-10-21,392.29,393.15,389.24,390.48,2376089
2024-10-22,389.73,391.29,385.725,388.46,1523872
2024-10-23,386.95,390.03,382.6933,385.73,1501236
2024-10-24,386.95,388.36,382.219,387.06,1844245
2024-10-25,389.61,392.03,384.31,385.97,1606883
2024-10-28,388.39,391.57,387.37,390.61,3213934
2024-10-29,389.5,389.6,385.55,387.51,2186415
2024-10-30,374,388.26,367.2,379.24,4037464
2024-10-31,377.35,378.9132,372.75,376.2,2394488
2024-11-01,378.07,383.265,376.94,379.63,1633361
2024-11-04,378.1,381.485,375.3,376.52,1793751
2024-11-05,377.13,386.07,375.65,383.37,1724115
2024-11-06,405.17,418.3041,404.01,416.88,4720049
2024-11-07,414.92,418.5,407.54,408.21,3211102
2024-11-08,400.96,403.06,392.4,393.37,3345862
2024-11-11,397.91,402.08,395.0101,396.54,1859182
2024-11-12,397.71,398.73,391.15,393.01,1737372
2024-11-13,388.6,391.2,385.67,387.07,2002200
2024-11-14,388,390.175,386.205,387.36,1372462
2024-11-15,385.99,388.49,382.2,384.07,2165453
2024-11-18,386,386.3,382.92,384.46,1626303
