Date,Open,High,Low,Close,Volume
2024-03-25,256.08,256.9,255.04,255.61,1332261
2024-03-26,254.78,257.555,254.41,256.08,2359151
2024-03-27,256.98,258.59,256.6,258.5,1493616
2024-03-28,259.18,259.92,257.965,259.13,1878945
2024-04-01,258.97,259,256.6,257.4,753394
2024-04-02,257.86,258.28,256.06,256.34,928934
2024-04-03,256.06,257,254.6,254.79,1102234
2024-04-04,255.31,257.07,252.02,252.23,1331062
2024-04-05,254,254.71,252.445,252.9,1266199
2024-04-08,252.56,253.88,251.82,253.16,1271195
2024-04-09,253.32,253.685,246.85,248.03,1424989
2024-04-10,248.4,250.57,247.07,248,1341587
2024-04-11,247,247.055,244.06,244.53,2163845
2024-04-12,244.58,246.01,243.815,245.81,1506616
2024-04-15,249.35,249.39,244.21,244.44,1478705
2024-04-16,245.91,246.635,244.62,245.21,1257334
2024-04-17,243.58,244.99,241.38,243.53,1797251
2024-04-18,245.2,246.08,244.41,245.39,1565896
2024-04-19,247.04,250.63,244.97,250.28,2573499
2024-04-22,251.02,253.57,250,251.5,1639071
2024-04-23,251.82,252.95,249.14,249.88,1917348
2024-04-24,240.57,243.605,238.85,243.01,3228930
2024-04-25,242.75,246.36,242.25,245.96,1920486
2024-04-26,243.99,246.91,243.14,245.45,1565900
2024-04-29,245.57,249.35,245.51,249.22,2218382
2024-04-30,249.66,250.3,248.245,248.64,1862883
2024-05-01,249.13,251.74,249.13,249.93,1158352
2024-05-02,250.52,251.34,248.54,250.25,1588660
2024-05-03,248.93,250.45,244.84,248.54,1444710
2024-05-06,250.18,252.09,249.9,252.05,761851
2024-05-07,252.95,253.18,251.735,251.95,1223574
2024-05-08,253.5,253.61,251.325,251.63,1398939
2024-05-09,251.26,254.33,250.9,254.04,1128932
2024-05-10,255,255.49,253.62,254.84,660235
2024-05-13,255.03,255.44,253.19,254.54,1001908
2024-05-14,254.44,255.185,252.59,253.16,1163757
2024-05-15,252.4,253.72,251.9885,252.97,1116093
2024-05-16,269.66,270.16,260.5,264.88,4866814
2024-05-17,267.4,275.41,266.21,274.28,4303251
2024-05-20,274.74,275.37,264.03,264.14,2071189
2024-05-21,264.96,267.29,264.615,265,1413068
2024-05-22,265.1,268.95,265.02,267.44,1687282
2024-05-23,268.75,268.75,262.52,263.08,1404037
2024-05-24,263.78,265.45,263.53,264.76,862636
2024-05-28,265.01,265.01,262.39,262.64,1300123
2024-05-29,262.87,263.6035,261.27,261.53,1330062
2024-05-30,261,265.89,261,265.15,1349559
2024-05-31,265.72,271.28,265.39,270.82,3170591
2024-06-03,270,270.19,265.0448,266.64,1108108
2024-06-04,265.15,266.12,263.27,264.81,1385771
2024-06-05,265.8,266.17,262.6,264.14,856608
2024-06-06,264.8,266.9,262.68,263.75,1106763
2024-06-07,265.54,269.75,265.51,267.22,1523806
2024-06-10,267.46,268.4884,265.16,267.69,2052766
2024-06-11,267.61,268,263.54,263.92,1615861
2024-06-12,264,264.675,260.81,263.04,1099397
2024-06-13,262.76,263.21,260.26,263.21,1538351
2024-06-14,260.35,262.38,259.14,259.46,1351637
2024-06-17,259.87,261.38,259.3741,260.72,1269062
2024-06-18,260.91,264.1754,260.47,263.03,1445357
2024-06-20,263.26,268.035,263.03,266.48,1386717
2024-06-21,266.82,267.05,262.66,264.6,2452670
2024-06-24,265.18,267.67,264,266.12,989045
2024-06-25,265.92,266.84,262.6501,263.29,898318
2024-06-26,262.17,262.92,258.4,260.01,1314702
2024-06-27,260,262.295,258.91,262.03,942032
2024-06-28,257.8,259.47,253.71,255.08,2794049
2024-07-01,256.93,258.35,254.01,254.82,1205158
2024-07-02,252.61,255.78,252.44,255.57,1111683
2024-07-03,254.85,256.14,253.4,254.08,735112
2024-07-05,254.08,254.83,251.67,252.51,1235632
2024-07-08,253.79,255.68,252.95,252.99,1033633
2024-07-09,251.84,255.66,251.42,253.34,1072325
2024-07-10,254,256.51,253.4333,256.32,1037329
2024-07-11,256.32,258.2322,255.25,257.99,1520662
2024-07-12,258.59,259.53,257.33,258.34,1303844
2024-07-15,259.27,261.61,259.01,260.2,943797
2024-07-16,260.55,263.37,260,261.65,1235873
2024-07-17,262,267.6,262,267.47,1976009
2024-07-18,266.54,271.415,265.79,267.67,2055185
2024-07-19,268.53,268.53,258.5159,259.88,2759519
2024-07-22,259.85,262.3,259.185,262.01,1307341
2024-07-23,262.53,263.29,261.18,263.25,1307831
2024-07-24,267.86,267.89,258.68,260.04,1940348
2024-07-25,258.33,265.4,258.33,261.61,1422459
2024-07-26,262.9,270.63,262.55,270.06,1653253
2024-07-29,271.36,272.335,269.3601,271.7,1017460
2024-07-30,272.67,277.91,272.465,276.66,1741424
2024-07-31,275.3,277.27,274.09,275.66,1629350
2024-08-01,277.91,277.91,270.12,271.95,1079417
2024-08-02,270.23,276.31,267.9552,271.32,1279138
2024-08-05,270.32,271.11,262.36,269.32,4310763
2024-08-06,268.79,270.51,264.845,265.18,2104339
2024-08-07,266.67,269.8518,265.39,265.71,1863237
2024-08-08,265.45,270.05,265.45,269.22,953966
2024-08-09,270.65,270.65,267.925,270.26,958866
2024-08-12,271,271.71,267.42,268,958886
2024-08-13,268.99,269.92,266.51,267.82,1345332
2024-08-14,268.42,272.54,268.2,272.37,1241686
2024-08-15,274.25,276.12,272.095,272.64,1300888
2024-08-16,273.11,274.1,271.705,273.41,1077087
2024-08-19,273.95,275.85,272.9725,274.03,931229
2024-08-20,273.67,274.44,271.685,272.03,703613
2024-08-21,273.36,273.97,270.245,272.07,881954
2024-08-22,272.09,273.08,270.57,272.85,933770
2024-08-23,273.33,276.66,272.54,276.1,1325683
2024-08-26,276.45,279.24,274.85,275.63,692960
2024-08-27,276.66,278.265,276.12,277.21,796143
2024-08-28,277.52,280.235,276.8788,278.71,1089208
2024-08-29,279.12,282.25,277.24,281.98,1276540
2024-08-30,282.15,284.495,281.07,284.18,2343571
2024-09-03,285.08,288.51,284.05,286.7,1843076
2024-09-04,288.57,291.638,287.7,290.94,2234092
2024-09-05,292.63,293.125,285.28,287.33,1825200
2024-09-06,286.9,288.8969,285.59,287.5,1722890
2024-09-09,288.2,293.2729,285.92,292.2,1892608
2024-09-10,293.28,294.1808,289.3,291.03,1178540
2024-09-11,290.69,290.69,282.63,284.34,1803161
2024-09-12,284.05,288.8,283.73,288.56,1476621
2024-09-13,288.15,290.74,287.04,288.87,1309756
2024-09-16,290.71,293.21,290,291.32,1265048
2024-09-17,291,291.7829,289.15,290.78,1308693
2024-09-18,291.19,291.19,287.5401,289.18,1558654
2024-09-19,289.79,291.3,285.72,290.58,1789441
2024-09-20,290.33,291.97,288,290.66,9796662
2024-09-23,290.48,292.9417,290.46,292.11,1470482
2024-09-24,292.05,292.11,289.0666,289.76,1868800
2024-09-25,291.5,291.8,289.31,290.33,1108683
2024-09-26,288.11,290.85,287.2,289.84,1025598
2024-09-27,289.39,290.3431,288.3358,289.57,865522
2024-09-30,289.175,289.23,285.27,288.39,1176609
2024-10-01,287.83,293.57,286.45,292.12,1768734
2024-10-02,291.54,293.71,290.36,291.33,1308331
2024-10-03,291.35,291.9827,288.22,288.54,758183
2024-10-04,284.5,290.8,284.03,290.59,967956
2024-10-07,289.38,289.52,275.22,277.18,2389100
2024-10-08,276.71,281.225,276.02,279.96,1413339
