Date,Open,High,Low,Close,Volume
2024-03-25,50.15,50.615,50.15,50.32,5134483
2024-03-26,50.49,51.14,50.3,50.3,1464933
2024-03-27,49.85,50.07,49.45,50.07,1453484
2024-03-28,50.08,50.84,49.98,50.72,1337841
2024-04-01,50.53,50.7,49.91,50.38,1955490
2024-04-02,50.02,50.29,49.72,49.82,1279621
2024-04-03,49.79,50.37,49.69,49.88,1090874
2024-04-04,50.38,50.45,49.39,49.45,1403996
2024-04-05,49.25,49.885,49.21,49.69,1146653
2024-04-08,49.79,50.2,49.73,50.18,942366
2024-04-09,50.45,50.55,49.7405,50.21,962264
2024-04-10,49.55,49.57,48.79,49.07,2518571
2024-04-11,49.07,49.07,48.25,48.66,1286251
2024-04-12,48.12,48.44,47.76,48.03,1126918
2024-04-15,48.55,48.66,47.48,47.71,1138318
2024-04-16,47.33,47.33,46.72,47,1760961
2024-04-17,47.32,47.64,46.75,47.05,1101113
2024-04-18,47.3,47.54,46.9429,47.22,1122061
2024-04-19,47.1,47.79,47.1,47.565,3535317
2024-04-22,47.82,47.86,47.42,47.69,1654641
2024-04-23,47.81,48.075,47.53,48.02,948370
2024-04-24,47.77,48,47.38,47.54,849996
2024-04-25,47.32,47.59,46.84,47.4,1051556
2024-04-26,47.58,47.88,47.37,47.82,843860
2024-04-29,47.8,47.88,47.23,47.4,699319
2024-04-30,47.2,47.23,46.69,46.69,982592
2024-05-01,46.71,47.36,46.5,46.88,1531510
2024-05-02,47.26,47.46,46.83,47.31,753409
2024-05-03,47.87,48.06,47.55,47.88,834741
2024-05-06,48.35,48.43,47.83,48.38,893196
2024-05-07,48.58,48.65,47.98,47.99,693508
2024-05-08,47.66,48.625,47.65,48.59,887188
2024-05-09,48.66,49.15,48.66,49.11,684745
2024-05-10,49.44,49.635,49.255,49.4,658917
2024-05-13,49.78,49.78,49.235,49.3,559302
2024-05-14,49.46,49.67,48.975,49,845061
2024-05-15,49.13,49.42,49.13,49.22,865350
2024-05-16,49.12,49.27,48.88,48.94,772898
2024-05-17,49.14,49.46,48.93,49.4,930616
2024-05-20,49.28,49.48,48.93,48.94,493246
2024-05-21,48.96,49.34,48.76,49.07,752254
2024-05-22,48.79,48.87,48.06,48.39,1062466
2024-05-23,48.53,48.86,47.89,48.17,1742429
2024-05-24,48.37,48.675,48.37,48.54,1101859
2024-05-28,48.62,48.8,48.29,48.53,1052906
2024-05-29,47.81,47.89,47.025,47.07,1597399
2024-05-30,48.65,50.845,48.18,50.6,2333434
2024-05-31,50.86,50.86,48.54,49.54,2596405
2024-06-03,50.15,50.17,49.42,49.92,1228976
2024-06-04,49.46,49.62,49.15,49.48,661987
2024-06-05,49.64,49.89,48.89,49.29,862942
2024-06-06,49.24,49.49,48.99,49.23,588352
2024-06-07,48.9,49.215,48.74,48.99,825792
2024-06-10,48.71,48.98,48.57,48.77,2408314
2024-06-11,48.49,48.5,47.92,48.02,2114778
2024-06-12,48.71,49.31,48.49,48.68,2661661
2024-06-13,48.57,48.57,47.82,48.03,1448830
2024-06-14,47.59,47.61,46.9903,47.53,995648
2024-06-17,47.48,47.52,47.07,47.49,802808
2024-06-18,47.5,48.03,47.41,47.85,779709
2024-06-20,47.74,47.905,47.34,47.4,849108
2024-06-21,47.19,47.85,47.16,47.46,945573
2024-06-24,47.81,48.48,47.69,48.45,3057096
2024-06-25,48.53,48.63,48.084,48.47,1061905
2024-06-26,48.17,48.24,47.92,48.13,722903
2024-06-27,48.2,48.55,47.98,48.52,675189
2024-06-28,47.99,48.12,47.41,47.54,719877
2024-07-01,47.8,48.12,47.28,47.28,512790
2024-07-02,47.2,48.08,47.11,48.02,3027915
2024-07-03,48.12,48.725,48.1,48.46,444163
2024-07-05,48.56,48.73,48.22,48.27,603720
2024-07-08,48.27,48.49,48.04,48.26,446392
2024-07-09,48.05,48.69,48.05,48.52,708786
2024-07-10,48.64,49.02,48.57,48.99,2228940
2024-07-11,49.35,49.37,48.96,49.34,2358703
2024-07-12,49.5,49.72,48.43,48.43,3104804
2024-07-15,49,49.89,48.95,49.88,2531144
2024-07-16,49.88,50.345,49.765,50.23,1225802
2024-07-17,49.94,50.3,49.89,49.99,663130
2024-07-18,49.97,50.35,49.74,50.03,807649
2024-07-19,49.91,50.23,49.65,49.99,835348
2024-07-22,50.13,50.76,49.93,50.66,955780
2024-07-23,50.51,50.94,50.3208,50.65,818596
2024-07-24,50.36,50.8972,50.07,50.12,869366
2024-07-25,50.02,50.8,49.96,50.53,1087810
2024-07-26,50.7,51.345,50.65,51.21,1134458
2024-07-29,51.24,51.33,50.695,50.9,699619
2024-07-30,51,51.64,50.86,51.28,801170
2024-07-31,51.6,52.03,51.29,51.69,765510
2024-08-01,51.54,51.7215,50.375,50.52,1299796
2024-08-02,49.87,49.95,49.18,49.77,1650880
2024-08-05,47.72,48.79,47.55,48.43,1065109
2024-08-06,48.48,49.94,48.35,49.82,983368
2024-08-07,50.5,50.5,49.44,49.61,980490
2024-08-08,50,50.83,49.84,50.64,709186
2024-08-09,50.71,51.07,50.58,50.93,614471
2024-08-12,51,51.0899,50.49,50.7,715450
2024-08-13,51.04,51.19,50.83,51.15,744076
2024-08-14,51.27,51.57,51.19,51.46,653407
2024-08-15,51.84,52.075,51.44,51.51,1288713
2024-08-16,51.58,52.64,51.55,52.58,929277
2024-08-19,52.68,53.36,52.4,53.2,663441
2024-08-20,53.06,53.47,52.96,53.4,1054015
2024-08-21,53.5,53.72,53.295,53.47,852691
2024-08-22,53.36,53.71,53.22,53.69,684688
2024-08-23,53.9,54.6,53.88,54.42,1075035
2024-08-26,54.57,54.67,54.4,54.58,3867372
2024-08-27,54.46,55.19,54.39,55.11,936505
2024-08-28,55.06,55.63,54.48,54.53,1316346
2024-08-29,56.01,58.02,55.91,57.51,2145853
2024-08-30,57.99,59.105,57.73,58.44,1664396
2024-09-03,58.05,58.05,57.42,57.92,1480155
2024-09-04,58.01,59.02,57.67,58.92,1261704
2024-09-05,59.36,59.845,58.98,59.73,2545175
2024-09-06,59.61,60.48,58.81,59.32,1479916
2024-09-09,59.78,60.565,59.64,60.52,782706
2024-09-10,60.57,60.86,59.782,60.3,978970
2024-09-11,60.11,61.25,60.11,61.24,2319181
2024-09-12,61.06,61.2,60.59,60.92,2613166
2024-09-13,61.07,61.55,60.94,61.45,2065797
2024-09-16,61.9,61.9,61.2,61.53,1097265
2024-09-17,61.58,61.85,61.3,61.58,1323737
2024-09-18,61.6,61.6,60.81,60.9,949672
2024-09-19,61.59,61.88,61.01,61.66,832885
2024-09-20,61.79,62.01,61.22,61.68,1304697
2024-09-23,61.79,61.79,61.15,61.51,784893
2024-09-24,61.63,61.88,61.47,61.65,673452
2024-09-25,61.64,62.09,61.53,62,923584
2024-09-26,62.1,62.67,61.96,62.24,3910842
2024-09-27,61.58,61.78,61.18,61.21,1024391
2024-09-30,61,61.48,60.86,61.34,729306
2024-10-01,61.21,61.4,60.225,60.44,1844369
2024-10-02,60.41,61.02,60.34,60.9,1196814
2024-10-03,61.02,61.02,59.86,59.99,1287267
2024-10-04,60.34,60.63,60.17,60.24,589777
2024-10-07,60.23,60.375,59.51,59.82,690315
2024-10-08,59.82,60.14,59.73,60.07,738683
2024-10-09,59.9,60.3,59.73,60.28,497908
2024-10-10,60.03,60.03,59.15,59.58,1961818
2024-10-11,59.68,61.1,59.68,60.96,2508177
2024-10-14,60.97,61.33,60.1,60.52,1483030
2024-10-15,60.74,61.57,60.64,61.46,3636139
2024-10-16,61.78,62.56,61.63,62.47,1196809
2024-10-17,62.32,63.02,62.32,62.64,984340
2024-10-18,62.39,62.99,62.39,62.66,551827
2024-10-21,62.55,62.65,62.0426,62.38,959094
2024-10-22,62.13,62.68,62.13,62.51,643814
2024-10-23,62.37,62.86,62.18,62.76,696996
2024-10-24,62.76,63.15,62.605,63.05,796839
2024-10-25,63.26,63.36,62.645,62.81,1084593
2024-10-28,62.98,63.53,62.76,63.3,696203
2024-10-29,63.34,63.46,62.93,63.17,760372
2024-10-30,63.02,63.47,62.79,63.29,515740
2024-10-31,63.43,63.43,62.43,62.56,838298
2024-11-01,62.9,63.285,62.67,62.95,593944
2024-11-04,63.22,63.75,62.94,63.2,633670
2024-11-05,63.41,63.855,63.3,63.77,498305
2024-11-06,64.02,64.02,62.73,63.5,1072652
2024-11-07,63.79,64.79,63.79,64.64,832325
2024-11-08,64.2,64.48,63.852,64.33,633513
2024-11-11,64.42,65.09,64.17,64.51,783675
2024-11-12,64.625,64.74,63.91,64.45,628947
2024-11-13,64.36,64.66,63.93,64.01,464517
2024-11-14,64.05,64.25,63.41,63.9,512256
2024-11-15,63.77,64.01,62.83,63.58,925699
2024-11-18,63.59,64.11,63.22,64.01,676085
2024-11-19,63.9,64.475,63.41,64.33,481695
2024-11-20,64.71,64.91,64.36,64.89,781787
2024-11-21,64.88,65.485,64.61,65.21,809252
2024-11-22,65.19,65.535,64.94,65.42,531239
2024-11-25,65.51,65.89,65.15,65.41,1030847
2024-11-26,64.49,64.96,63.65,64.73,804567
2024-11-27,64.74,65.16,64.575,64.68,839403
2024-11-29,64.37,64.8,64.32,64.76,263765
2024-12-02,64.79,64.98,64.06,64.07,917434
2024-12-03,64.49,64.76,63.31,63.47,1119605
2024-12-04,63.54,64.07,63.42,63.62,1149416
2024-12-05,64.77,67.12,64.69,66.58,2132087
2024-12-06,66.34,67.135,66,66.66,1114515
2024-12-09,66.805,66.805,65.925,66.18,1110327
2024-12-10,66.11,66.69,66.11,66.48,1258040
2024-12-11,66.61,67.45,66.61,67.31,1748121
2024-12-12,67.18,67.25,66.3011,66.31,1376986
2024-12-13,66.46,66.64,65.74,66.15,1333319
2024-12-16,66.09,66.3,65.81,66.16,906273
2024-12-17,65.76,65.89,65.46,65.76,637520
2024-12-18,65.52,65.65,63.81,64.09,1446191
2024-12-19,64.81,64.85,63.75,63.78,766439
2024-12-20,63.44,64.59,63.21,64.37,845314
2024-12-23,63.99,64.31,63.53,64.28,542594
