Date,Open,High,Low,Close,Volume
2024-03-25,215.14,216.4599,214.4,215.19,978295
2024-03-26,214.71,215.3099,211.89,212.88,1375065
2024-03-27,213.37,215.65,212.53,215.6,1817797
2024-03-28,215.89,216.485,212.98,215.29,1755363
2024-04-01,215.33,215.7,211.93,212.02,1036570
2024-04-02,212.04,214.89,211.381,214.8,1983175
2024-04-03,214.8,215.62,211.9715,212.03,1796953
2024-04-04,213.17,214.28,211.92,212.21,2182683
2024-04-05,211.37,213.26,210.8,211.08,1163273
2024-04-08,211.04,214.13,210.17,212.75,2006133
2024-04-09,213.77,214.475,208.47,209.78,1634092
2024-04-10,210.41,213.37,209.63,212,2127002
2024-04-11,211.61,213.87,210.44,212.77,1653375
2024-04-12,212.4,212.84,209.29,209.5,1582601
2024-04-15,211.04,212.1,206.075,206.23,1977426
2024-04-16,207.35,208.75,206.15,206.48,1151676
2024-04-17,208.06,209.13,206.21,208.42,1853402
2024-04-18,210.15,210.36,207.77,209.65,1256380
2024-04-19,211.28,214.5,210.27,213.04,2563918
2024-04-22,213.3,216.71,212.875,215.48,1743304
2024-04-23,215.01,217.45,214.14,216.77,2048662
2024-04-24,215.63,216.63,209.07,212.59,2636859
2024-04-25,212.345,216.52,211.19,212.54,2048136
2024-04-26,211.92,212.4,209.635,210.94,1353130
2024-04-29,209.69,213.135,209.195,209.62,1316666
2024-04-30,209.11,210.14,207.685,209.64,1394473
2024-05-01,209.05,210.51,207.55,208.07,1869433
2024-05-02,209.37,209.74,206.85,207.48,1922646
2024-05-03,205.86,207.92,202.775,207.65,2065362
2024-05-06,208.56,208.96,205.99,208,1722597
2024-05-07,208.17,208.9,204,208.34,2144295
2024-05-08,208.1,211.87,206.735,211.84,1708239
2024-05-09,211.84,213.72,211,213.61,1983498
2024-05-10,213.53,213.71,207.85,208.46,1838846
2024-05-13,208.59,211.51,208.54,209.92,1555574
2024-05-14,209.13,210.989,207,210.8,1702030
2024-05-15,210.005,211.41,207.93,208.26,1770761
2024-05-16,208.26,213.33,208.04,212.73,1246174
2024-05-17,214.32,214.82,212.3,213.14,1466368
