Date,Open,High,Low,Close,Volume
2024-03-25,36.2725,37.0687,36.2725,37.0297,4546236.6802545
2024-03-26,37.1127,37.1225,36.6779,36.6877,5087927.7036813
2024-03-27,36.5168,37.0493,36.3898,36.8684,7495653.0677537
2024-03-28,37.1811,37.401,36.9076,37.2838,4099303.6139652
2024-04-01,37.5964,37.8113,37.0737,37.6648,9431191.4518774
2024-04-02,37.9627,38.3096,37.5402,38.1924,4536822.4994229
2024-04-03,38.2363,38.9447,38.2266,38.7785,3724566.4041118
2024-04-04,38.974,39.1303,38.6516,39.1303,8946722.4356187
2024-04-05,39.0472,39.6677,38.5075,39.6579,8596209.4953807
2024-04-08,39.6579,39.6921,38.9251,39.482,9671995.1027766
2024-04-09,39.6335,40.0194,39.2817,39.9559,8353782.5686825
2024-04-10,39.7556,40.3076,39.5847,40.2148,7494164.8943542
2024-04-11,40.3418,40.3418,38.9838,39.8728,26062538.365915
2024-04-12,39.868,40.0634,38.4219,38.7053,12669020.757025
2024-04-15,38.8127,38.8763,37.6696,37.8797,12266196.577137
2024-04-16,37.5866,38.2461,37.4596,37.8064,11832288.610354
2024-04-17,37.782,38.4635,37.4547,37.7234,8571148.0002903
2024-04-18,37.7772,37.9579,37.1592,37.5329,4264447.874189
2024-04-19,37.4937,37.8846,37.3716,37.3961,7660062.452805
2024-04-22,37.2886,37.8846,37.0541,37.5035,8777029.7279481
2024-04-23,37.2984,37.7136,36.9965,37.6501,7003561.0009587
2024-04-24,37.6746,37.736,37.3326,37.5719,6338490.7817801
2024-04-25,37.3716,37.9872,37.1029,37.782,5570587.1665903
2024-04-26,38.1044,38.2168,37.5915,38.0898,3273950.7739355
2024-04-29,38.207,38.2608,37.7968,38.2022,3293135.3146517
2024-04-30,37.9529,37.9529,36.9906,37.0395,4746849.4143355
2024-05-01,37.0053,37.1567,36.4679,36.6145,6598767.6012488
2024-05-02,36.3116,37.0443,35.8329,36.5705,5565066.391269
2024-05-03,37.0004,37.0395,36.2431,36.4679,5634668.6910376
2024-05-06,36.8294,37.3766,36.7854,37.1127,2998178.1186558
2024-05-07,37.1029,37.6208,37.0004,37.3424,3731180.2806648
2024-05-08,36.9906,37.7185,36.9564,37.6648,3321482.2544551
2024-05-09,37.7918,38.1288,37.7136,37.8748,6488262.0265559
2024-05-10,38.1386,38.2999,37.3619,37.3814,4943404.982422
2024-05-13,37.6892,37.7576,37.2486,37.3276,2911823.1213604
2024-05-14,37.3716,37.5329,36.9026,37.0639,4970484.8254794
2024-05-15,36.976,37.2446,36.4215,37.1421,2550508.1301878
2024-05-16,37.2934,37.3472,36.8734,37.0151,2281036.1595351
2024-05-17,37.2446,37.7088,37.0687,37.6501,2768252.2579151
2024-05-20,37.699,37.9188,37.6159,37.743,1552750.2994692
2024-05-21,37.5769,37.9114,37.313,37.6843,2324557.5551995
2024-05-22,37.4107,37.4401,36.424,36.844,5179185.2804704
2024-05-23,37.318,37.5769,36.6193,36.8196,3815271.289267
2024-05-24,37.1225,37.6892,37.0199,37.4254,2637808.8442791
2024-05-28,37.7136,37.9652,37.3863,37.8455,3093365.9470641
2024-05-29,37.7038,37.7136,36.4142,36.7024,3707003.0921886
2024-05-30,36.7561,37.4351,36.6829,37.0199,3045115.9674204
2024-05-31,37.2104,37.5475,37.0297,37.5329,3618865.1526222
2024-06-03,37.6208,37.6208,35.7322,35.7839,4639868.7840636
2024-06-04,35.2808,35.3345,34.306,35.0365,4866210.3372078
