Date,Open,High,Low,Close,Volume
2024-03-25,140.15,141.955,140,140.55,2376265
2024-03-26,140.92,141.9299,140.66,140.83,1729923
2024-03-27,141.82,144.57,141.465,144.51,2593270
2024-03-28,145.6,149.275,145,148.89,4039497
2024-04-01,148.85,148.89,144.99,145.3,1638915
2024-04-02,144.5,144.92,143.12,144.41,1924683
2024-04-03,144.1,144.71,142.42,143.27,1949709
2024-04-04,146.76,147.21,142.05,142.13,2419106
2024-04-05,142.11,143.685,141.675,143.52,1567339
2024-04-08,143.78,145.24,143.525,143.92,1717325
2024-04-09,144.12,144.5,142.495,143.52,1354775
2024-04-10,141.16,141.57,138.15,139.94,3041265
2024-04-11,140.12,141.37,137.6035,140.34,2153334
2024-04-12,138.18,139.66,137.86,139.62,2530555
2024-04-15,141.8,142.425,138.15,139.18,2862696
2024-04-16,138.3,138.605,136.25,136.41,2206372
2024-04-17,137.75,138.57,136.52,136.77,1762320
2024-04-18,137.99,143.66,137.99,141.63,3001370
2024-04-19,142.26,145.19,142.26,142.92,2530369
2024-04-22,144.1,147.28,143.0901,147.25,2875531
2024-04-23,147.08,149.9359,146.88,147.9,2503162
2024-04-24,147.14,149.6,146.76,148.87,3961836
2024-04-25,148.34,149,144.93,145.97,3757765
2024-04-26,145.16,148.98,144.7,146.21,4328677
2024-04-29,146.83,147.27,144.79,145.5,2169353
2024-04-30,144.37,145.025,143.34,143.43,2038180
2024-05-01,143,143.82,141.15,141.64,1948347
2024-05-02,143.19,143.44,141.46,141.81,2105951
2024-05-03,143.18,143.43,142.03,142.41,1638256
2024-05-06,143.43,144.6,142.83,143.33,1493572
2024-05-07,144.19,144.62,141.61,142.56,1927112
2024-05-08,142.09,143.22,141.52,142.83,1269020
2024-05-09,142.66,143.46,141.94,142.49,1583136
2024-05-10,142.25,143.15,142.02,142.56,1322491
2024-05-13,143.88,144.24,141.91,142.2,1058405
2024-05-14,143.04,143.75,142.14,143.08,1680234
2024-05-15,144.04,145.38,143.5379,144.35,2064829
2024-05-16,144.4,144.97,140.41,141.05,3111300
2024-05-17,142.15,142.23,140.85,141.81,1380022
2024-05-20,141.81,142.025,140.1,140.62,1340760
2024-05-21,140.27,141.02,139.95,140.42,1948158
2024-05-22,139.97,141.59,139.23,139.43,1715520
2024-05-23,139.64,139.64,136.21,137.49,2788713
2024-05-24,138.05,139.24,137.435,137.62,1571698
2024-05-28,137.74,138.11,136.23,136.62,1659865
2024-05-29,134.82,136.19,133.7,135.65,1616188
2024-05-30,136.24,136.87,135.12,136.18,1707047
2024-05-31,136.51,137.76,136.22,137.63,4432570
2024-06-03,137.43,138,134.89,137.12,2002780
2024-06-04,135.47,136.55,133.71,134.48,1942771
2024-06-05,134.82,135.68,133.54,135.48,2226520
2024-06-06,136.57,138.62,135.865,136.37,2383919
2024-06-07,135.69,141,135.29,139.8,2835943
2024-06-10,138.81,141.18,138.32,140.9,2544384
2024-06-11,140.16,140.4,134.55,135.14,2436130
2024-06-12,137.28,138.9927,136.17,137.1,2240488
2024-06-13,136.31,136.68,134.29,135.09,1895977
2024-06-14,134.03,135.25,133.3006,133.7,2612963
2024-06-17,133.79,137.355,133.5,137.1,2054456
2024-06-18,137.01,138.21,136.77,137.34,1399643
2024-06-20,137.82,138.15,135.84,138.13,1811775
2024-06-21,137,137.77,135.21,136.77,3152706
2024-06-24,137.04,139.11,135.63,137.68,1749027
2024-06-25,137.15,137.65,134.76,134.86,1744110
2024-06-26,133.71,136.94,133.08,136.77,2834194
2024-06-27,136.03,136.24,132.9236,134.03,3535201
2024-06-28,135.39,138.79,134.662,138.45,4959929
2024-07-01,138.8,141.8,138.45,139.7,3081255
2024-07-02,139.64,140.52,138.725,140.48,2019978
2024-07-03,140.27,140.67,138,138.42,1805381
2024-07-05,138.38,138.735,135.88,136,2622569
2024-07-08,137.22,138.06,135.5,135.81,2298779
2024-07-09,135.81,138.93,135.36,136.99,2575901
2024-07-10,136.19,137,135.41,136.61,1665959
2024-07-11,137.05,139.07,136.56,138.99,1803761
2024-07-12,139.12,139.47,137.498,138.41,1680176
2024-07-15,140.82,144.64,140.21,144.61,3018249
2024-07-16,144.64,149.59,144.19,149.56,3796875
2024-07-17,148.87,151.34,147.44,149.47,2931451
2024-07-18,151.77,153.35,147.69,148.72,3936943
2024-07-19,148.92,149.12,146.3,147.27,2564721
2024-07-22,146.21,147.32,144.5,145.11,3257199
2024-07-23,145.26,147.46,144.84,145.5,3686332
2024-07-24,143.67,148.93,140.5,146.41,4567844
2024-07-25,146.17,150.05,145.49,148.09,2666048
2024-07-26,149.28,150.1,148.41,149.36,1795053
2024-07-29,149.52,149.86,147.38,149.06,1779258
2024-07-30,150.74,152.65,149.32,152.25,2387511
2024-07-31,151.96,152.87,150.97,151.4,2026828
2024-08-01,151.73,152.64,142.34,143.89,3245991
2024-08-02,141.49,141.49,135.8,136.12,3542499
2024-08-05,131.94,133.31,128.225,131.42,3561145
2024-08-06,131.37,134.815,130.78,133.69,3070144
2024-08-07,135.7,137.23,132.1,132.29,2101003
2024-08-08,133.59,135.19,133.21,134.37,1742423
2024-08-09,134.6,135.055,133.28,134.81,1325962
2024-08-12,134.26,135.165,131.88,132.12,1797091
2024-08-13,133,134.27,131.78,134,1673910
2024-08-14,134.7,136.4,134.04,135.95,1699454
2024-08-15,138.34,141.17,136.07,137.11,2374490
2024-08-16,137.06,139.81,136.58,139.56,1883617
2024-08-19,139.74,143,139.74,142.93,1339727
2024-08-20,142.5,142.62,140.92,141.51,1326179
2024-08-21,141.8,142.3,139.19,139.78,1386776
2024-08-22,139.56,140.63,139.06,139.48,2339331
2024-08-23,140.46,143.68,139.52,142.54,2885998
2024-08-26,143.44,144.005,141.63,142.52,1823844
2024-08-27,142.71,143.43,141.86,142.38,1055897
2024-08-28,142.07,144.53,142.07,144.15,1769667
2024-08-29,145.32,145.63,142.765,145.37,1230288
2024-08-30,145.68,147.22,144.85,146.93,1983621
2024-09-03,145.47,147.27,144.925,145.6,1530935
2024-09-04,146.32,147.17,142.845,143.77,1996419
2024-09-05,144.79,145.3699,140.915,142.09,2261433
2024-09-06,142.1,145.08,138.14,139,2381660
2024-09-09,140.42,143.53,139.945,142.6,1998573
2024-09-10,140.26,140.625,131.55,137.99,7077839
2024-09-11,136.75,136.8,132.61,136.46,2864181
2024-09-12,136.74,138.07,134.73,137.54,1945922
2024-09-13,138.5,140.65,137.64,138.97,1822889
2024-09-16,138.9,141.8,138.9,140.95,2612779
2024-09-17,140.93,146.6,140.93,145.08,2166068
2024-09-18,145.41,148.5,143.855,145.43,2165302
2024-09-19,148.5,153.07,148.11,153.05,3456657
2024-09-20,153.36,153.36,150.71,152.28,3417019
2024-09-23,153,154.18,151.165,151.25,1735089
2024-09-24,151.49,151.65,144.36,147.35,2389723
2024-09-25,148.27,148.27,145.665,146.33,1593046
2024-09-26,146.51,148.13,145.3,147.78,1492212
2024-09-27,148.77,150.27,147.57,149.09,1512463
2024-09-30,148.54,149.85,147.5,149.73,1262257
2024-10-01,149.65,149.745,145.37,146.8,1713835
2024-10-02,146.85,148.06,145.18,146.52,1881403
2024-10-03,145.31,145.74,143.3,145.2,1967224
2024-10-04,148.78,153.55,148.77,153.44,2550961
2024-10-07,152.3,153.44,150.66,152,2016675
2024-10-08,152.27,152.525,149.46,149.5,1904446
2024-10-09,149.91,151.88,149.21,151.8,2079432
2024-10-10,151.07,152.31,150.12,151.13,1440847
2024-10-11,152,156.34,152,155.68,2498943
2024-10-14,155.68,157.355,154.0392,156.61,2379698
2024-10-15,157.7,159.78,155.83,156.73,2164801
2024-10-16,159.1,159.29,157.42,158.07,1942312
2024-10-17,158.6,160.45,158.07,159.75,2771948
2024-10-18,159.7,159.76,155.36,159.03,2516982
2024-10-21,158.58,159.62,156.02,157.02,2265774
2024-10-22,157.1,157.38,155.37,156.02,2187055
2024-10-23,155.86,156.995,152.98,154.25,2742235
2024-10-24,155.2,155.42,152.22,153.26,3592613
2024-10-25,164.28,167.9329,161.11,161.27,6087492
2024-10-28,161.58,165.91,160.0901,165.37,4109049
2024-10-29,164.67,165.36,162.48,162.99,2596626
