Date,Open,High,Low,Close,Volume
2024-03-25,123.72,126.6498,123.15,126.23,7054378
2024-03-26,126.5,126.9,125.2,125.99,5203426
2024-03-27,125.65,127.02,125.32,126.84,3847838
2024-03-28,128,128.64,126.71,127.28,4657970
2024-04-01,128,128.94,126.75,128.68,3036214
2024-04-02,129.52,130.84,128.6292,130.67,4969715
2024-04-03,130.91,132,130.52,131.63,3707331
2024-04-04,132.13,132.43,131.05,131.75,3908373
2024-04-05,131.96,133.84,131.19,133.52,3595473
2024-04-08,133.75,134.0249,132.18,132.42,4481961
2024-04-09,132.79,133.2,131.015,132.25,3756123
2024-04-10,132.48,133.68,131.76,132.82,4402423
2024-04-11,132.54,133.19,130.65,132.92,4328801
2024-04-12,134.28,135.18,130.39,131.2,4955293
2024-04-15,132.13,132.61,130.03,130.25,4219317
2024-04-16,130,130.8,128.5,129.53,3878617
2024-04-17,129.12,130.14,127.55,128.33,3869900
2024-04-18,128.73,129.215,127.25,127.81,3588154
2024-04-19,128.14,130.51,127.81,129.38,3984118
2024-04-22,128.61,130.4,126.94,129.33,4195048
2024-04-23,128.63,130.19,127.73,129.84,3773647
2024-04-24,129.37,129.69,128.29,129.28,3846633
2024-04-25,129.7,130.64,128.3,130.11,3666362
2024-04-26,129.46,130.77,128.86,130.24,4823139
2024-04-29,129.75,130.44,128.8,130.22,3915236
2024-04-30,129.81,129.855,125.43,125.62,6296791
2024-05-01,125.08,125.73,123.42,124.34,5433051
2024-05-02,124.72,125.2,121.66,122.25,7685897
2024-05-03,122.51,122.68,120.875,122.23,5020657
2024-05-06,123.08,125.215,123.02,123.55,4848582
2024-05-07,123.66,124.94,123.07,123.54,5902236
2024-05-08,122.83,123.97,122.7,123.06,4200328
2024-05-09,122.99,124.23,122.65,123.39,5430639
2024-05-10,123.04,123.98,121.57,121.91,4515911
2024-05-13,121.87,122.56,121.27,121.59,6421346
2024-05-14,121.53,122.17,120.43,121.04,6144949
2024-05-15,120.67,121.9094,118.66,120.7,6138611
2024-05-16,120.35,121.3899,119.6,119.83,5002908
2024-05-17,120.9,121.99,120.06,121.71,4450253
2024-05-20,121.75,122.11,120.49,120.89,2814786
2024-05-21,120.69,121.73,120.29,120.41,2756867
2024-05-22,119.52,119.72,117.39,118.19,4468079
2024-05-23,118.83,119.43,117.2,117.65,3757306
2024-05-24,118.39,118.59,116.86,117.25,2851146
2024-05-28,117.83,119.23,117.73,118.96,3830701
2024-05-29,117.6,117.66,113.81,115.25,14291213
2024-05-30,115.7,116.38,112.925,113.58,9917059
2024-05-31,113.86,116.54,113.77,116.48,13830213
2024-06-03,116.26,116.43,112.96,113.87,7129476
2024-06-04,112.8,113,111.299,112.27,7683582
2024-06-05,112.06,112.45,111.3,112.23,5119098
2024-06-06,111.77,112.4,111.54,112.2,5355190
2024-06-07,111.97,112.79,111.15,112,4375865
2024-06-10,112.38,114,111.97,113.3,5307542
2024-06-11,113.19,113.65,112.65,113.63,4181946
2024-06-12,114.5,114.97,111.56,112.19,8650055
2024-06-13,112,112.17,110.09,110.89,5939304
2024-06-14,111.18,111.18,109.12,109.39,5690366
2024-06-17,108.9,109.9,108.48,109.54,5754208
2024-06-18,110.07,111.2,109.01,109.41,5690191
2024-06-20,109.6,111.85,109.26,111.33,5442578
2024-06-21,111.83,112.26,110.73,111.34,27097211
2024-06-24,112.25,115.99,111.91,115.17,8802734
2024-06-25,114.71,115.06,113.66,114.99,4961491
2024-06-26,115.2,115.2,112.76,113.61,5366540
2024-06-27,114,114.33,113.11,113.97,3846595
2024-06-28,115.4,115.57,113.64,114.38,7191846
2024-07-01,115.04,115.46,113.65,114.36,3925186
2024-07-02,115.38,115.61,113.33,114.12,3836725
2024-07-03,114.05,115.66,113.7,114.77,2326248
2024-07-05,114.53,114.72,112.14,112.55,4188395
2024-07-08,111.97,112.64,111.3171,112.23,4199597
2024-07-09,110.91,112.64,110.6565,111.19,3461634
2024-07-10,110.79,112.63,110.48,112.53,3867878
2024-07-11,112.53,114.38,111.96,113.99,5839484
2024-07-12,114.4,114.6,112.85,113.14,4505875
2024-07-15,114.01,115.2,113.0201,114.57,5118338
2024-07-16,113.72,115.42,113.15,115.19,4633690
2024-07-17,115.75,117.4,115.53,116.08,6484037
2024-07-18,116.3,118.4,115.3513,116.61,5957102
2024-07-19,117.16,117.32,114.23,114.35,7559145
2024-07-22,113.6,113.67,112.1,112.32,5172805
2024-07-23,111.85,112.05,110.07,110.83,5714279
2024-07-24,111.72,112.42,110.51,111.1,4808122
2024-07-25,111,112.04,110.45,111.03,5492133
2024-07-26,111.15,111.54,109.93,110.86,5199044
2024-07-29,111.24,111.29,108.375,109.12,4629531
2024-07-30,109.17,110.27,108.94,109.91,9794242
2024-07-31,111.61,112.4,111.1,111.2,7554556
2024-08-01,112.45,112.68,107.92,108.39,9704569
2024-08-02,107.72,108.08,103.98,105.77,7445068
2024-08-05,104,105.31,102.2658,104.57,8474984
2024-08-06,104.57,106.45,104.11,105.8,8424866
2024-08-07,107.25,108.44,106.44,106.93,7735376
2024-08-08,107.24,108.64,106.92,108.27,5392929
2024-08-09,108.27,109.1,107.09,108.61,5776222
2024-08-12,108.45,110.23,108.28,110.03,5906943
2024-08-13,108.99,109.375,107.86,108.34,5866836
2024-08-14,108.51,109.84,108.23,109.33,6388043
2024-08-15,109.68,111.37,109.68,111.23,6307107
2024-08-16,110.32,111.38,109.86,111.18,3819194
2024-08-19,111.22,112.75,111.12,111.74,4335845
2024-08-20,111.57,111.81,108.85,109.85,6783295
2024-08-21,110.805,111.19,108.9,109.62,4012061
2024-08-22,109.6,110.515,109.41,109.97,3644660
2024-08-23,110.83,111.49,110.27,111.4,4024190
2024-08-26,113.02,115.03,112.94,113.56,6253903
2024-08-27,113.66,113.66,112.06,112.43,3521682
2024-08-28,112.04,112.2,110.64,112.15,4506609
2024-08-29,112.98,115.14,112.07,114.37,5270355
2024-08-30,113.12,114.04,112.41,113.79,5559473
2024-09-03,111.9,111.91,109.21,109.85,6369950
2024-09-04,110.33,111.19,108.44,108.56,6251482
2024-09-05,109.22,109.39,107.29,107.45,5582550
2024-09-06,107.73,108.62,105.72,106.02,5229946
2024-09-09,106.05,106.67,105.54,105.6,6477014
2024-09-10,105.55,105.7399,103.24,104,5611503
2024-09-11,103.8,104.04,101.295,102.57,6803068
2024-09-12,102.72,103.68,102.15,102.9,6775934
2024-09-13,103.32,104.368,103.05,103.5,5441624
2024-09-16,104.96,105.685,104.45,105.55,9325463
2024-09-17,105.51,108.495,105.3,108.29,8661529
2024-09-18,107.52,109.93,107.51,108.62,7424108
2024-09-19,110.5,111.345,109.365,110.55,7990658
2024-09-20,111.16,111.74,109.73,109.87,33515146
2024-09-23,110.1,110.9399,107.49,109.69,8197582
2024-09-24,111.34,111.47,108.775,108.91,7787402
2024-09-25,108.5,108.82,105.69,105.73,6561430
2024-09-26,103,104.22,102.165,102.31,9523996
2024-09-27,102.63,104.84,102.6,104.72,5489511
2024-09-30,104.455,105.58,103.87,105.28,6584319
2024-10-01,104.54,109.675,104.1,109.37,8067607
2024-10-02,111.28,111.64,108.585,110.36,7559883
2024-10-03,110.7,112.51,109.99,112.42,7397411
2024-10-04,113.57,114.63,112.05,114.54,7585770
2024-10-07,114.94,116.08,114.44,114.72,4899753
2024-10-08,112.74,112.915,110.16,110.8,5579751
2024-10-09,109.91,111.52,109.55,110.97,4217323
2024-10-10,111.64,112.8347,110.76,111.86,3946412
2024-10-11,110.75,111.7,110.2717,110.49,6820341
2024-10-14,109.7,110.4349,108.9,109.47,5173958
2024-10-15,106,107.125,105.12,105.21,6395653
2024-10-16,105.64,106,105.04,105.16,4602918
2024-10-17,105.32,106.24,104.94,106.15,5093494
2024-10-18,105.93,106.14,104.7,105.67,4326673
2024-10-21,106.65,106.8399,104.69,104.99,4387062
2024-10-22,105.78,105.8099,104.76,105,4711056
2024-10-23,104.59,105.06,103.66,104.51,4541611
2024-10-24,105,105.1659,103.45,104.37,3504595
2024-10-25,105.06,105.4296,104.25,104.56,3823136
2024-10-28,101.8,103.35,101.5,103.26,4439122
2024-10-29,102.96,103.76,102.16,102.32,3809359
2024-10-30,102.86,103.43,102.365,102.98,6413077
2024-10-31,106.97,110.65,106.0001,109.54,11969396
2024-11-01,109.51,110.01,106.68,107.84,7428060
2024-11-04,109,110.0675,108.72,108.86,5441897
2024-11-05,109.19,110.015,108.58,109.21,6003071
2024-11-06,112,114.87,111.3875,113.63,7733605
2024-11-07,113.91,113.99,111.86,112.4,5441982
2024-11-08,111.1,112,110.56,111.59,5314319
2024-11-11,111.52,112.75,110.95,112.05,3820476
2024-11-12,112.46,112.83,110.47,110.64,5175841
2024-11-13,110.415,112.455,109.5,111.82,5961567
2024-11-14,112.615,113.02,111.35,112.92,4389852
2024-11-15,112.75,114.07,111.88,112.32,4124037
2024-11-18,113.43,114.46,112.75,113.76,5089153
2024-11-19,112.439,114.14,112.25,113.09,5100327
2024-11-20,112.92,113.99,112.64,113.43,4092747
2024-11-21,114.01,115.38,111.5,111.9,12535797
2024-11-22,112.06,112.7299,111.13,111.75,7516628
2024-11-25,111.78,111.96,105.54,106.1,23447383
2024-11-26,106.49,107.35,104.9,106.78,12073684
2024-11-27,107.275,108.99,107.11,107.39,6237819
2024-11-29,107.99,108.52,107.36,108.34,3918669
2024-12-02,108.34,108.74,105.54,106.14,5939700
2024-12-03,107.105,107.67,105.71,106.05,5862557
2024-12-04,105.94,106.105,102.83,103.51,7291015
2024-12-05,105.1,105.87,104.01,104.44,7074715
2024-12-06,104.45,104.5899,102.4,103.22,5365601
2024-12-09,104.2,105.05,102.88,103.16,6526514
2024-12-10,103.625,104.14,102.1,102.36,5861215
2024-12-11,102.37,102.72,101.69,102.19,8195505
2024-12-12,102.315,102.62,100.87,100.91,5908601
2024-12-13,101.2,102.26,100.58,101.02,6887814
2024-12-16,101.435,101.49,99.43,99.57,7441806
2024-12-17,98.77,99.26,96.75,98.26,8737833
2024-12-18,98.12,98.505,95.75,95.85,8466527
2024-12-19,96.99,96.99,95.1,95.18,9953878
2024-12-20,94.755,96.38,94.23,95.12,29542161
2024-12-23,95.35,96.88,94.58,96.38,7892584
2024-12-24,96.5,97.19,95.85,97.11,2677353
2024-12-26,97.06,97.15,96.24,96.89,4325685
2024-12-27,96.94,97.9799,96.47,96.92,5889944
2024-12-30,97.235,97.6,96.135,97.09,5238836
2024-12-31,97.25,99.3,97.1,99.17,5556515
2025-01-02,99.88,101.28,99.515,100.08,5080848
2025-01-03,100.33,101.4,100.29,101.09,5759562
2025-01-06,101.55,102.15,99.64,99.99,5935524
2025-01-07,100.475,102.4876,99.91,101.67,5074668
2025-01-08,100.98,102.45,100.75,101.62,5119883
2025-01-10,103.44,104.44,101.19,101.92,7013460
2025-01-13,102.19,105.1,102.02,104.23,7342078
2025-01-14,103.24,104.9512,103.1455,104.88,4808477
2025-01-15,105.02,105.87,104.44,105.48,4566904
2025-01-16,105.16,106.17,105.09,105.61,5273472
2025-01-17,105.61,106.15,105.17,105.85,8559268
2025-01-21,104.5617,105.73,104.0368,104.28,7144716
2025-01-22,104.26,104.99,102.92,103.06,4839050
2025-01-23,104.125,105.48,103.63,103.99,5734192
2025-01-24,104.47,104.75,101.73,101.83,5962078
2025-01-27,102.45,103.71,101.4,102.69,6830959
2025-01-28,103.015,103.33,100.74,101.38,4742316
2025-01-29,101.28,101.9,100.35,101.56,4130613
2025-01-30,101.97,102.2672,100.94,101.46,4047118
2025-01-31,101.335,101.335,98.56,98.83,6267053
2025-02-03,98.7,98.94,97.04,98.48,5949006
2025-02-04,97.53,100.8,97.53,100.58,5310997
2025-02-05,100.55,100.88,99.4,100.21,6961064
2025-02-06,98.89,101.1,98.6,99.94,8543441
2025-02-07,100.285,100.45,98.27,98.36,12121721
2025-02-10,99.61,99.61,97.8207,99.48,10338489
