Date,Open,High,Low,Close,Volume
2024-03-25,303.7,307.71,302.54,306.06,4141223
2024-03-26,307.48,307.98,304.89,305.83,3893853
2024-03-27,307.44,309.3,298.63,301.38,3859858
2024-03-28,300,302.8,299.6348,301.18,4892275
2024-04-01,301.69,303.51,299.99,302.26,2918140
2024-04-02,297.5,304.457,294.8895,304,4746113
2024-04-03,303.99,307.16,303.1,304.74,3047382
2024-04-04,308.26,311.3,292.1,294.14,8351020
2024-04-05,293.54,303.415,293.295,301.91,4918179
2024-04-08,301.1,303.5,299.52,301.73,3142901
2024-04-09,303.32,305.6,299.2501,302.37,2998100
2024-04-10,298.45,300.92,298.15,299.62,3036384
2024-04-11,299.47,301.09,296.4077,299.15,3468596
2024-04-12,296.87,297.85,293.5,294.32,3819966
2024-04-15,282.94,286.4766,271.66,272.9,18365087
2024-04-16,274.78,280.56,272.4401,277.41,7624347
2024-04-17,277.74,278.9678,274.84,276.32,4199384
2024-04-18,276.32,276.33,269.75,271.92,5918155
2024-04-19,272.49,273.15,268.73,270.42,4906192
2024-04-22,279.39,279.7,269.56,273.81,6747204
2024-04-23,274.95,276.7,270.41,276.68,6285237
2024-04-24,278,278.9393,274.11,276.19,3938845
2024-04-25,271.6,273.58,269.28,273.14,4811919
2024-04-26,275,276.9,273.4625,274.29,3754585
2024-04-29,274.89,277.29,273.2201,275.74,3608840
2024-04-30,274.51,274.61,268.355,268.94,5217985
2024-05-01,269.02,274,266.55,268.69,3761619
2024-05-02,270.43,273.08,267.94,272.13,3859883
2024-05-03,276.82,277.67,273.35,273.66,4041636
2024-05-06,276.17,277.13,274.06,275.63,3744763
2024-05-07,275.59,278.882,274.07,277.18,3507733
2024-05-08,275.73,279.94,275.73,278.97,3283270
2024-05-09,272.17,275.35,271.0708,275.17,4709740
2024-05-10,276.1,279.64,274.97,276.67,2912308
2024-05-13,277.14,277.8,275.185,277.52,2998662
2024-05-14,276.96,278.86,275.04,276.8,3056843
2024-05-15,279.74,287.8,279.73,287.54,5828547
2024-05-16,289.42,290.02,284.58,284.68,3559188
2024-05-17,287.04,287.34,284.26,285.61,3478869
2024-05-20,286,287.7206,285.11,287.07,2799272
2024-05-21,286.79,287.22,283.29,283.76,3492113
2024-05-22,283.41,287.09,282.835,283.82,3309164
2024-05-23,286.68,287,277.46,278.57,5456632
2024-05-24,270.93,274.96,268.53,272.29,8325132
2024-05-28,273.1,273.225,267.16,269.83,9294119
2024-05-29,268,272.865,267.77,271.62,13397852
2024-05-30,223.4,225.09,212,218.01,66860913
2024-05-31,219.11,234.62,216.06,234.44,36807425
2024-06-03,234.62,240.99,230.2101,236.62,19962737
2024-06-04,235.72,240.5899,232.2,234.86,11197479
2024-06-05,235.64,236.92,231.55,236.53,10772093
2024-06-06,239.88,246.75,239.45,242.76,11693763
2024-06-07,242.33,243.9299,240.2884,241.85,6883831
2024-06-10,241.79,243.64,240.43,241.84,7660118
2024-06-11,241.16,243.75,236.26,240.99,7264354
2024-06-12,240.56,242.2,234.89,235.8,10260116
2024-06-13,235.52,235.65,228.66,229.03,13566707
2024-06-14,229.35,235.2499,229.2,231.94,8833734
2024-06-17,230.28,231.84,227.77,230.48,10563678
2024-06-18,230.48,232.29,229.23,231.81,7119770
2024-06-20,232.85,243.77,232.85,241.8,14809627
2024-06-21,240.57,245.374,240.19,245.06,15928785
2024-06-24,243.19,244.41,239.81,239.94,7545685
2024-06-25,241.78,243.1,239.87,241.76,6216627
2024-06-26,241.47,243.61,239.901,243.15,4524735
2024-06-27,245,258.6,244.45,252.85,12869018
2024-06-28,253.5,260.18,253.18,257.1,12619303
2024-07-01,258.15,259.4799,254.53,256.21,5871685
2024-07-02,255.05,257.73,254.06,256.19,5130593
2024-07-03,256.98,261.22,256.935,260.95,4755729
2024-07-05,262.72,265.8059,261.315,263.19,6562111
2024-07-08,261.38,262.84,257.19,257.37,6539287
2024-07-09,256.09,257,251.09,252.43,7017109
2024-07-10,251.2,254.8,246.11,252.59,8947679
2024-07-11,252.6,255.42,250.92,251.12,5343727
2024-07-12,251.62,255.29,249.69,253.97,4705492
2024-07-15,256.02,256.39,252.12,252.86,4404270
2024-07-16,253.78,256.78,252.67,256.03,4780386
2024-07-17,254,255.57,249.61,251.22,5625254
2024-07-18,252.14,252.45,245.72,247.35,6351643
2024-07-19,248.65,248.99,245.17,247.63,4468875
2024-07-22,248.75,255.58,248,254.08,5647588
2024-07-23,256.59,257.33,253.7513,256.06,3905543
2024-07-24,253.63,255.91,248.9,249.78,5204088
2024-07-25,254.74,264.08,251.7245,256.52,7155846
2024-07-26,258.17,264.49,257.07,262.71,6127323
2024-07-29,262.71,266.075,258.52,258.59,5101425
2024-07-30,259.62,260.75,255.12,257.93,3944295
2024-07-31,256.21,261.83,255.35,258.8,4647690
2024-08-01,259.9,263.36,249.74,253.06,5527395
2024-08-02,247.79,248,241.1165,243.97,6504544
2024-08-05,232.32,241.82,232.21,239.01,6899342
2024-08-06,241.09,243.85,238.03,238.42,5673889
2024-08-07,242.61,246.53,239.66,240.04,4035549
2024-08-08,243.24,249.43,243.08,249.12,4474252
2024-08-09,248.7,252.95,248.45,252.53,2975285
2024-08-12,252.6,254.09,249.02,251.31,3679904
2024-08-13,253,255.78,253,254.6,4031818
2024-08-14,255.39,257.71,253.86,255.32,4145248
2024-08-15,257.9,262.89,256.24,262.79,5167930
2024-08-16,261.75,263.6,259.68,262.91,3494863
2024-08-19,263.1,265.39,261.63,265.38,4501262
2024-08-20,264.95,265.5,261.03,261.84,5731309
2024-08-21,261.1,262.14,259.18,261.09,4648204
2024-08-22,261.5,263.26,257.27,258.59,5111442
2024-08-23,261.99,265.6,260.7,264,4711326
2024-08-26,263.94,267.3,263.24,265.28,3818271
2024-08-27,259.65,264.46,259.4,264.2,5276384
2024-08-28,261.83,265.18,257.36,258.9,10981901
2024-08-29,271.01,271.95,256.28,257.01,14301691
2024-08-30,257.44,259.13,251,252.9,10507704
2024-09-03,252.62,253.69,246.64,248.06,6190352
2024-09-04,246.47,249.48,245.16,247.68,4706546
2024-09-05,245.98,248.4999,245,246.12,4083624
2024-09-06,247.74,250,241.4401,243.97,6259431
2024-09-09,246.5,249.36,244.77,245.76,4588809
2024-09-10,247.13,247.34,243.311,246.16,3544808
2024-09-11,244.81,250.02,242.0141,249.57,4822215
2024-09-12,251.39,254.14,249.57,253.37,5221397
2024-09-13,252.54,256.83,252.445,254.57,4998901
2024-09-16,254.57,257.81,254.57,256.91,5367024
2024-09-17,258.72,259.37,254.76,255.19,5423388
2024-09-18,256,256.12,250.96,252.43,4436734
2024-09-19,260.72,269.54,258.05,265.99,11022830
2024-09-20,266.01,270.32,261.32,266.8,11463169
2024-09-23,267.25,268.06,262.24,264.21,6033986
2024-09-24,269.83,272.46,266.29,270.44,7154459
2024-09-25,270.45,277.05,269.384,274.09,7920044
2024-09-26,276.13,278.64,272.71,275.76,5253376
2024-09-27,276.26,277.84,275.0601,276.64,5220075
2024-09-30,273.95,275.74,269.14,273.71,5062226
2024-10-01,274.14,274.7,269.69,270.87,4369918
2024-10-02,273.72,282,270.8517,279.48,8512272
2024-10-03,278.99,281.12,277.73,280.91,3868447
2024-10-04,283.86,287.89,281.47,287.75,6131284
2024-10-07,286.58,288.17,283.38,284.57,4794652
2024-10-08,286,292.63,284.1035,291.57,5211209
2024-10-09,290.82,291.57,287.08,287.92,4850952
2024-10-10,287.92,290.23,284.62,290.17,3965512
2024-10-11,289.21,290.24,286.3,288.1,3597035
2024-10-14,289.92,292.4499,288.25,291.64,3642540
2024-10-15,293.46,293.58,288.0004,288.35,3850782
2024-10-16,287.55,290.92,284.23,290.86,3496969
2024-10-17,291.96,293.34,290.1,291.11,2830025
2024-10-18,292.04,294.71,290.15,292.94,3087902
2024-10-21,289,292.92,288.04,291.29,2712571
2024-10-22,289.75,291.942,287.65,288.33,3100125
2024-10-23,287.73,288.3032,282.6176,284.43,3227071
2024-10-24,286.56,288.91,285.18,286.76,3210656
2024-10-25,290,294.38,288.83,290.46,3351560
2024-10-28,293.6,296.07,292.49,293.77,3867816
2024-10-29,294,300.595,292.81,298.89,4280743
2024-10-30,297.07,299.54,296.35,296.4,2826545
2024-10-31,292.6,296.09,289.55,291.37,4301838
2024-11-01,290.23,296.99,290,294.72,3527502
2024-11-04,297.99,300.18,292.92,298.01,5108329
2024-11-05,297.44,298.81,294.74,297.49,4456064
2024-11-06,305,308.56,303.07,306.9,5874885
2024-11-07,307.5,312.19,306.0001,310.78,5722636
2024-11-08,310.03,322.81,309.437,321.95,8484970
2024-11-11,325.625,344.88,325.25,341.73,13954199
2024-11-12,339.29,348.86,338.51,341.15,7659675
2024-11-13,343.485,348.1906,338.77,341.72,6902936
2024-11-14,342.25,346,330.82,331.65,7630619
2024-11-15,326.93,330.26,324.18,325.26,7093003
2024-11-18,326.345,327,320.205,322.25,4251074
2024-11-19,318.565,324.7,316.0001,323.43,5469892
