Date,Open,High,Low,Close,Volume
2024-03-25,78.83,79.83,78.55,78.98,7956840
2024-03-26,77.66,79.745,77.66,79.32,10158917
2024-03-27,79.55,79.99,78.71,79.43,10263568
2024-03-28,79.54,80.75,79.315,79.76,8981310
2024-04-01,79.73,79.98,79.1,79.56,8967665
2024-04-02,74.88,75.19,71.96,73.82,23677328
2024-04-03,74.04,74.7,73.32,74.6,9200700
2024-04-04,74.88,75.27,73.78,73.9,5816269
2024-04-05,74.06,75.12,73.7,74.58,6366618
2024-04-08,74.41,74.75,73.835,74.44,6497038
2024-04-09,74.74,74.85,73.11,73.36,5935359
2024-04-10,73.1,73.18,70.84,71.15,8366055
2024-04-11,71.12,71.21,69.7,69.74,10455283
2024-04-12,69.54,69.8583,68.3175,68.64,7691021
2024-04-15,69.12,70,68.775,68.96,7236243
2024-04-16,71.66,71.66,68.97,69.03,9607388
2024-04-17,69.09,69.4,67.96,68.6,8100101
2024-04-18,69.17,69.6,68.86,69.39,10087092
2024-04-19,69.17,69.935,68.79,69.74,7808581
2024-04-22,69.49,70.12,69.13,69.63,5701582
2024-04-23,69.82,70.21,68.375,68.5,8450704
2024-04-24,68.1,68.21,67.48,67.77,8651960
2024-04-25,67.5,67.75,66.875,67.33,8918219
2024-04-26,67.21,67.42,66.75,67.18,6396438
2024-04-29,67.14,67.875,67.08,67.45,6556349
2024-04-30,67.2,68.185,66.92,67.71,13488466
2024-05-01,56,56.885,54,56.31,65769862
2024-05-02,56.39,56.74,53.7,55.15,37885245
2024-05-03,55.22,56.43,54.96,55.9,23946075
2024-05-06,55.99,56.27,55.32,55.97,16620136
2024-05-07,55.66,57.09,55.58,55.74,17488119
2024-05-08,55.79,56.06,54.685,54.91,13625329
2024-05-09,54.9,55.74,54.72,55.68,10300491
2024-05-10,55.72,56.44,55.57,55.82,9288418
2024-05-13,55.91,57.55,55.88,56.47,11767627
2024-05-14,56.69,57.1024,55.2,56,15410680
2024-05-15,56.21,56.4928,55.635,56.26,16430970
2024-05-16,56.36,57.725,56.29,57.52,13974759
2024-05-17,57.65,57.695,57.08,57.68,9607690
2024-05-20,57.65,57.87,57.27,57.4,11475943
2024-05-21,57.45,57.49,56.7,57.32,16758056
2024-05-22,57.42,57.56,57.16,57.44,9543931
2024-05-23,57.18,59.73,55.48,55.65,18271083
2024-05-24,56.13,56.85,55.53,55.54,11725739
2024-05-28,55.38,55.385,53.58,53.63,14387106
2024-05-29,53.2,53.72,52.7705,53.67,16543442
2024-05-30,53.67,56.22,53.6,56.04,16154336
2024-05-31,56,59.62,55.82,59.6,22366748
2024-06-03,59.13,60.44,59.0025,60.21,17087324
2024-06-04,60.19,60.42,59.33,60.26,12873084
2024-06-05,60.26,60.71,59.62,60.7,8933039
2024-06-06,60.5,61.0095,59.91,60.94,9545860
2024-06-07,60.7,61.95,60.56,61.78,12239983
2024-06-10,61.53,61.53,59.905,60.28,10633370
2024-06-11,60.08,60.21,59.555,60,10286321
2024-06-12,59.96,60.33,59.32,59.99,10617899
2024-06-13,59.87,61.84,59.07,61.03,14136576
2024-06-14,60.92,60.93,59.16,60.22,11690758
2024-06-17,60,61.235,59.84,61.09,7791324
2024-06-18,61.3,61.87,60.87,61.01,8908978
2024-06-20,60.81,61.33,60.4,61,6899505
2024-06-21,61.12,61.63,60.48,61.37,20871253
2024-06-24,61.5,62.065,61.27,61.73,8704665
2024-06-25,61.73,61.98,60.44,60.44,8446888
2024-06-26,60.23,60.95,59.77,60.63,8197761
2024-06-27,58.37,58.485,57.22,58.36,16224729
2024-06-28,59,59.985,58.47,59.06,14343538
2024-07-01,59.2,60.02,57.81,58.15,8337910
2024-07-02,58.04,58.22,57.2292,57.52,7143034
2024-07-03,57.56,57.85,56.45,56.7,5371350
2024-07-05,56.67,56.74,55.85,56.62,6275293
2024-07-08,56.65,57.38,56.615,56.89,5908211
2024-07-09,56.27,57.725,55.84,57.62,8833790
2024-07-10,57.87,58.05,56.36,57.53,11035018
2024-07-11,57.42,58.34,57.42,58.21,7531390
2024-07-12,58.3,59.57,57.8507,59,8220232
2024-07-15,59.64,59.97,58.415,58.67,6186530
2024-07-16,59.32,60.23,58.81,60.06,9724216
