Date,Open,High,Low,Close,Volume
2024-03-25,155.48,157.31,155.27,156.47,6058745
2024-03-26,156.52,156.86,154.65,155.27,6677938
2024-03-27,154.87,156.44,154.85,156.35,7416870
2024-03-28,157.15,158.19,156.37,157.74,8331627
2024-04-01,158.27,159.5899,156.94,159.08,6285717
2024-04-02,160.05,161.22,159.02,159.78,8815351
2024-04-03,160.1,160.95,159.72,160.44,7819734
2024-04-04,160.8,161.95,159.82,160.69,9269716
2024-04-05,161.33,162.17,159.86,161.6,7432807
2024-04-08,161.65,162.501,160.33,161.27,7253196
2024-04-09,161.85,162.5316,160.46,162,6577437
2024-04-10,162.21,162.77,161.01,162.67,7525837
2024-04-11,163.62,163.62,159.8,161.89,7682512
2024-04-12,162.29,163.87,158.045,158.96,11071045
2024-04-15,159.94,160.4899,157.36,157.59,7236857
2024-04-16,157.3,157.81,155.42,156.28,5541895
2024-04-17,155.99,157.7099,155.64,156.4,6733879
2024-04-18,157.14,158.04,156.39,157.57,4979193
2024-04-19,158.75,160.75,158.1495,160,7732028
2024-04-22,159.95,162.7,158.4403,161.92,6779221
2024-04-23,161.31,162.85,160.6,162.85,5597617
2024-04-24,161.88,163.84,161.446,163.57,7610335
2024-04-25,163.7,165.6,162.67,165.28,9702581
2024-04-26,165.23,166.98,163.3,165.89,9736350
2024-04-29,165.91,167.11,164.69,166.33,6366752
2024-04-30,165.97,166.12,160.95,161.27,8457341
2024-05-01,160.78,161.45,158.9,159.63,7714962
2024-05-02,160.41,161.775,159.89,160.73,8597124
2024-05-03,160.66,160.66,157.04,160.25,11664505
2024-05-06,160.73,164.02,160.73,162.3,8430277
2024-05-07,162.31,163.15,162.02,162.67,6869948
2024-05-08,161.95,163.08,161.5367,162.54,6706361
2024-05-09,163.02,165.51,162.73,165.45,6683313
2024-05-10,166.04,166.42,165.0153,165.82,5490944
2024-05-13,166.48,166.91,162.98,164.53,6848303
2024-05-14,164.34,165.2,163.02,163.61,4923968
2024-05-15,163.13,163.8,160.17,163.05,7603063
2024-05-16,161.53,162,160.48,161.09,6409418
2024-05-17,161.75,162.9679,161.19,162.67,5497919
2024-05-20,162.72,163,161.075,161.14,4913820
2024-05-21,160.58,161.46,159.74,159.97,4783287
2024-05-22,159.52,159.52,156.52,157.57,6260509
2024-05-23,157.92,158.6,156.33,156.94,6718378
2024-05-24,158.08,158.97,157.3,157.75,4477720
2024-05-28,158.12,159.42,157.95,159.04,6928298
2024-05-29,158.02,158.49,156.44,156.9,5909632
2024-05-30,156.85,158.455,156.81,158.26,6371243
2024-05-31,158.63,162.58,158.51,162.3,10334227
2024-06-03,161.49,161.68,156.46,157.46,9009935
2024-06-04,155.72,156.35,154.11,156.13,6360542
2024-06-05,156.16,157.02,154.53,154.98,7058506
2024-06-06,154.5,156.02,153.39,155.93,5215140
2024-06-07,155.71,157.69,155.13,156.08,5887651
2024-06-10,156.41,158.2,156.32,156.74,7075943
2024-06-11,156.17,156.75,154.48,156.49,5132009
2024-06-12,157.49,157.625,152.4,154.22,10017421
2024-06-13,153.77,154.09,152.23,152.84,6163015
2024-06-14,153.13,153.295,151.97,152.57,6159138
2024-06-17,152.5,153.93,151.93,153.19,6321386
2024-06-18,153.55,155.95,152.84,153.33,6942882
2024-06-20,153.71,157.41,153.25,156.64,8336031
2024-06-21,156.8,157.665,155.22,155.28,21292090
2024-06-24,156.27,159.54,156.19,159.31,7971620
2024-06-25,159.12,159.36,157.67,158.46,6056711
2024-06-26,158.46,158.46,155.79,155.95,8637756
2024-06-27,156.7,156.94,155.635,156.32,5568733
2024-06-28,157.52,158.58,156.17,156.42,11283390
2024-07-01,157.16,158.7,155.98,156.52,5584116
2024-07-02,157.68,157.72,155.45,156.75,7216801
2024-07-03,156.94,157.74,156.5641,156.71,3264196
2024-07-05,156.55,156.55,153.68,154.31,6183056
2024-07-08,153.32,155.28,153.32,154.33,4990726
2024-07-09,153,154.76,152.3481,152.98,5303129
2024-07-10,152.5,155.44,152.3,155.13,5416594
2024-07-11,155,156.68,154.22,155.26,8323125
2024-07-12,156.16,156.44,154.56,155.59,6446316
2024-07-15,156.95,159.52,156.3705,158.04,5661170
2024-07-16,157.01,158.31,156.15,157.77,6924187
2024-07-17,158.5,161.48,158.29,161.23,7296622
2024-07-18,161.23,164.28,160.24,161.97,6577674
2024-07-19,162.48,162.7,158.41,159.15,6427723
2024-07-22,158.22,158.98,156.855,156.99,5577286
2024-07-23,156.35,156.5969,153.84,154.09,6238721
2024-07-24,154.69,155.7,153.42,155.07,5971731
2024-07-25,155.37,158.26,154.62,157.54,5432141
2024-07-26,157.73,159.04,157.06,157.84,5232519
2024-07-29,158.25,158.25,154.86,156.6,5071988
2024-07-30,156.46,160.09,156.435,159.57,5740861
2024-07-31,161.69,161.69,160.05,160.47,6209200
2024-08-01,158.71,159.5,152.03,152.62,16689945
2024-08-02,151.13,152.04,147.02,148.55,13278618
2024-08-05,145.52,145.77,143.41,144.66,13037190
2024-08-06,144.49,145.09,143.12,143.23,9692659
2024-08-07,144.58,145.725,142.28,142.41,8867862
2024-08-08,143.075,144.82,142.71,144.49,7531112
2024-08-09,144.21,146.11,143.19,144.99,7653053
2024-08-12,145.84,146.7381,139.69,145.02,8442174
2024-08-13,144.08,144.55,143.05,144.15,7794816
2024-08-14,144.39,145.24,143.43,144.67,5874216
2024-08-15,145.59,147.52,145.48,146.8,6304232
2024-08-16,146.05,147.62,145.64,147.27,6874416
2024-08-19,146.01,147.73,145.89,146.83,5967406
2024-08-20,146.33,146.51,144.56,144.69,7497606
2024-08-21,145.43,146.64,144.55,145.32,5984993
2024-08-22,145.35,146.3343,145.13,145.73,4026998
2024-08-23,146.525,148.0937,146.3152,147.62,4824078
2024-08-26,148.97,150.09,147.55,148.5,5780289
2024-08-27,148.67,149.55,146.74,146.95,5099956
2024-08-28,146.44,147.14,145.48,146,5614416
2024-08-29,146.46,148.18,145.44,147.42,4466696
2024-08-30,146.22,148.08,145.7,147.95,6414755
2024-09-03,145.55,145.77,144.28,144.66,7944740
2024-09-04,144.64,145.5271,141.67,142.07,9820730
2024-09-05,143.17,143.17,140.6,140.93,9371051
2024-09-06,141.065,142.11,137.87,138.56,7836358
2024-09-09,138.635,142.02,138.54,140.3,9892347
2024-09-10,140.895,141.08,137.09,138.23,8202480
2024-09-11,138.21,138.4801,135.3672,137.88,9534010
2024-09-12,138.23,139.47,137.42,139.21,6593436
2024-09-13,139.87,141.53,139.7124,140.61,5900747
2024-09-16,141.69,143.165,141.065,142.09,6864275
2024-09-17,141.8,144.14,141.74,143.41,7338782
2024-09-18,143.32,145.6,143.19,143.96,6180252
2024-09-19,145.81,146.78,144.93,144.99,7247416
2024-09-20,145.23,145.91,143.44,145.68,23162864
2024-09-23,146.25,148.415,145.95,147.54,6960639
2024-09-24,148.88,149.1,146.91,147.45,6014208
2024-09-25,146.945,147.41,143.5,143.97,7888444
2024-09-26,140.9,143.22,140.63,141.99,8046171
2024-09-27,142.98,145.77,142.84,145.49,8049155
2024-09-30,145.37,147.48,144.28,147.27,7494608
2024-10-01,146.35,150.52,145.45,149.7,9489121
2024-10-02,151.68,152.28,149.26,150.95,8105420
2024-10-03,151.31,152.17,150.02,151.25,6553282
2024-10-04,152.48,152.5,150.135,150.74,7895285
2024-10-07,151.5,152.75,150.69,151.12,5895852
2024-10-08,149.2,149.6,147.73,148.75,5892739
2024-10-09,147.51,150.37,147.36,149.65,4973453
2024-10-10,150.68,151.55,149.85,150.62,4420891
2024-10-11,150.38,152.33,150.25,151.42,5051314
2024-10-14,150.52,151.9,150.18,151.78,4214721
2024-10-15,148.8,149.955,147.56,147.73,6704610
2024-10-16,148.35,149.0312,148.21,148.73,4303737
2024-10-17,149.26,151.33,148.97,151.2,6593136
2024-10-18,150.815,151.08,149.375,150.75,5208202
2024-10-21,152,152.48,150.49,150.88,5073999
2024-10-22,151.25,151.68,150.22,150.92,4416409
2024-10-23,150.36,151,149.2909,150.48,5248853
2024-10-24,151.13,151.45,149.38,150.45,5474258
2024-10-25,151.39,152.12,150.46,150.81,6839894
2024-10-28,148.25,150.7,148.16,150.54,8892039
2024-10-29,150.04,150.415,147.87,148.52,6014676
2024-10-30,149.08,149.65,147.66,148.05,5784011
2024-10-31,148.755,149.57,147.89,148.82,8400855
2024-11-01,152.48,155.9303,151.7,153.07,11727977
2024-11-04,154.42,154.42,152.6199,153.97,6129961
2024-11-05,154.53,154.67,152.55,153.41,5978897
2024-11-06,157.1,158.61,156.12,157.72,12118908
2024-11-07,157.94,158.01,156.4,156.77,8143245
2024-11-08,156.6,157.58,155.67,156.93,6041457
2024-11-11,157.18,157.94,155.9,156.5,7771691
2024-11-12,157.11,157.47,155.12,155.29,5681869
2024-11-13,155.63,159.02,154.53,158.72,8824013
2024-11-14,159.84,161.83,159.68,161.8,10111234
2024-11-15,161.52,162.38,160.76,161.42,9022753
2024-11-18,160.56,161.52,159.07,160.76,6092141
2024-11-19,159.98,160.4272,158.751,159.6,4657409
2024-11-20,159.91,161.44,159.78,161.33,6391252
2024-11-21,162.02,162.65,161.29,161.63,7945531
2024-11-22,161.51,162.61,161.15,162.36,7006293
2024-11-25,162.15,163.17,159.83,160.36,10702395
2024-11-26,162.31,162.94,161.4,162.53,7369944
2024-11-27,162.76,164.68,161.61,162.11,7674474
2024-11-29,162.25,162.7499,160.66,161.93,5076953
2024-12-02,162.29,162.95,160.11,162.21,6229596
2024-12-03,162.98,163.197,161.39,161.92,5900066
2024-12-04,161.83,161.84,157.86,158.32,7862728
2024-12-05,159.29,160.67,158.69,159.33,6358358
2024-12-06,158.75,158.83,155.17,155.24,9701694
2024-12-09,157.2,160.08,156.82,157.08,9404473
2024-12-10,159.06,159.52,156.7,157,9126158
2024-12-11,156.86,157.17,155.8,156.21,13764742
2024-12-12,155.87,156.525,154.2653,154.71,7621522
2024-12-13,154.87,154.961,153.07,153.87,5816180
2024-12-16,153.89,153.89,149.25,149.36,11961219
2024-12-17,148.04,148.65,146.91,148.11,11909333
2024-12-18,147.76,148.67,143.98,144.08,10174494
2024-12-19,144.57,144.76,140.95,141.15,16544329
2024-12-20,140.825,142.85,140.55,142.85,32209195
2024-12-23,142.48,143.345,141.54,142.97,8156466
2024-12-24,143.1,144.045,142.26,143.84,3556081
2024-12-26,143.67,144.31,142.9,143.98,4494424
2024-12-27,144.29,145.71,143.39,144,5296875
2024-12-30,143.79,143.98,142.35,143.07,6194835
2024-12-31,143.52,145.34,143.32,144.84,6137843
2025-01-02,145.475,148.07,145.475,146.71,7170257
2025-01-03,147.685,148.5,147.3,147.85,5813935
2025-01-06,148.4,150.33,146.87,147.26,5888731
2025-01-07,148.505,150.4999,147.63,149.59,7735997
2025-01-08,148.04,151.18,148.03,150.3,7640885
2025-01-10,153.41,154.34,150.87,153.14,11074716
2025-01-13,154.1,157.35,154,155.35,11774073
2025-01-14,155.205,156.91,154.46,156.9,6830219
2025-01-15,156.875,158.69,156.38,158.33,7899997
2025-01-16,158.13,159.895,158.03,159.38,5578902
2025-01-17,159.13,161.77,158.7978,161.47,9260428
2025-01-21,161.15,161.4,157.49,158.24,10131372
2025-01-22,157.68,158.44,156.27,156.41,7232227
2025-01-23,157.63,157.94,155.62,156.01,5979808
2025-01-24,156.46,157.47,155.2701,155.65,8003778
2025-01-27,156.33,157.8899,155.52,157.23,7140991
2025-01-28,157.71,158.92,155.1838,156.21,6425353
2025-01-29,155.715,156.58,154.81,155.69,5630563
2025-01-30,156.56,157.45,155.52,156.32,6931918
2025-01-31,153.76,154.37,148.65,149.19,16731592
2025-02-03,149,150.86,147.8,149.34,7604961
2025-02-04,148.885,153.385,148.72,153.22,8458070
2025-02-05,152.99,153.8,152.29,152.99,6533680
2025-02-06,154.22,155.255,151.06,151.9,6420525
2025-02-07,152.5,153.81,151.9243,152.62,4724947
2025-02-10,154.16,155.8,154.06,155.77,5653770
2025-02-11,156.35,158.71,156.12,157.44,6011842
2025-02-12,156.75,157.465,154.5716,154.9,6693461
2025-02-13,154.78,156.42,153.32,155.88,7836362
2025-02-14,155.08,157.45,154.88,155.34,5828805
2025-02-18,155.54,157.31,154.78,156.16,5981480
2025-02-19,156.52,158.36,156,157.23,4945813
2025-02-20,157.46,158.95,157.07,158.79,6256154
2025-02-21,158.11,158.95,156.82,156.92,6689815
2025-02-24,157.085,158.33,156.75,157.89,5925047
2025-02-25,157.99,158.99,155.46,156.42,6811293
2025-02-26,156.62,156.69,154.4,155.14,6005232
2025-02-27,155.605,158.29,154.81,156.67,7517237
2025-02-28,156.695,158.67,154.92,158.62,8828547
2025-03-03,159.46,160.09,151.76,153.09,9059814
2025-03-04,151.205,154.1525,150.05,152,8826344
2025-03-05,150.15,151.365,147.74,150.81,9288538
2025-03-06,150.51,153.33,149.47,152.95,7314687
2025-03-07,153.95,157.45,153.71,156.34,8562635
2025-03-10,157.19,160.37,156.17,157.57,11750302
2025-03-11,158.43,158.84,153.79,154.08,10466294
2025-03-12,153.48,154.79,152.215,152.67,9710223
2025-03-13,152.265,154.43,151.92,153.61,9022758
2025-03-14,153.99,157.24,153.01,157.02,6671549
2025-03-17,157.22,159.45,156.765,158.72,7615153
2025-03-18,159.5,161.09,158.825,160.81,9289469
2025-03-19,160.965,164.54,160.9,164.05,11503859
2025-03-20,163.13,165.31,162.41,164.77,9545886
2025-03-21,164.49,164.885,163.11,164.75,21625460
2025-03-24,164.69,166.43,164.315,165.02,8068002
2025-03-25,166.08,167.82,165.11,165.94,7869159
2025-03-26,167.37,168.96,167.25,167.97,10077764
2025-03-27,167.25,168.22,165.85,166.65,6862691
2025-03-28,166.7,167.13,165.295,166.09,4923025
2025-03-31,166.19,168.92,166.13,167.29,10675731
2025-04-01,167.29,168.6,166.16,168.51,6378587
2025-04-02,167.4,167.98,165.85,166.47,7044869
2025-04-03,160.12,161.35,155.8,156.12,15500988
2025-04-04,151.755,152.46,142.75,143.28,20374716
2025-04-07,138.73,146.19,137.29,140.15,17816954
2025-04-08,144.15,144.49,134.87,136.93,12904424
2025-04-09,135.02,147.47,133.88,146.03,16846839
2025-04-10,143.22,143.63,133.45,134.98,20991216
2025-04-11,135.01,137.122,132.04,135.63,17224405
2025-04-14,138.48,138.535,134.1,135.32,9628152
2025-04-15,134.32,136.63,134.25,134.54,9334825
2025-04-16,135.4,137.55,134.8,135.36,8637220
2025-04-17,136.69,140.24,136.45,137.87,8434434
2025-04-21,136.02,136.29,132.33,133.73,9967487
2025-04-22,135.26,138.235,134.94,137.3,7984676
2025-04-23,137.21,138.55,135.15,136.68,10001966
2025-04-24,137.92,139.4,137.216,139.07,7745778
2025-04-25,138.33,139.05,137.25,138.73,6878491
2025-04-28,138.97,140.46,138.68,140.1,6715539
2025-04-29,138.69,140.01,138.57,139.3,7343820
2025-04-30,138,138.15,134.14,136.06,13858040
2025-05-01,135.42,137.95,135.12,136.26,10199849
2025-05-02,137.875,139.78,135.29,138.5,12393235
2025-05-05,136.77,137,135.18,135.5,9664980
2025-05-06,136.35,137.31,135.04,135.6,9916241
2025-05-07,136.07,136.3,134.62,135.79,8423485
2025-05-08,136.685,138.89,136.47,137.04,8669305
2025-05-09,138.48,139.37,137.7,138.49,5965723
2025-05-12,142.45,143.71,140.57,141.62,8028200
2025-05-13,141.86,143.23,140.92,142.35,8536797
2025-05-14,141.76,142.23,140.725,141.67,6453620
2025-05-15,140.1,142.46,139.51,142.26,7545407
2025-05-16,143,143,140.696,142.1,8200079
2025-05-19,139.47,139.52,137.12,138.49,7713568
2025-05-20,138.285,138.75,137.03,137.27,6503930
2025-05-21,136.62,137.1293,135.49,135.56,9073206
2025-05-22,134.99,135.99,133.77,135.29,8877579
2025-05-23,134.65,136.79,134.06,136.54,7025946
2025-05-27,137.38,137.969,136.41,137.83,8348877
2025-05-28,138.78,138.79,135.66,136.02,6876282
2025-05-29,136.5,137.94,136.1,137.91,7556199
2025-05-30,136.88,137.45,135.21,136.7,12858865
2025-06-02,138.49,138.69,136.4304,137.84,9076639
2025-06-03,137.645,140.59,136.6,139.55,9001305
2025-06-04,139.42,140.63,137.33,137.37,8735619
2025-06-05,138.15,138.29,136.7,136.9,6350526
2025-06-06,138.09,140.61,138.09,140.21,6563518
2025-06-09,140.55,142.14,139.685,140.76,7159471
