Date,Open,High,Low,Close,Volume
2024-03-25,398.8,401.625,397.035,398.03,1106511
2024-03-26,398.32,399.99,396.2488,398.52,1053208
2024-03-27,398,409.42,397.27,409.14,1544016
2024-03-28,408.58,413.32,408.58,410.74,1426777
2024-04-01,410.17,411.92,403.68,404.14,1319513
2024-04-02,405,409.7,402.24,404,1164615
2024-04-03,404.23,408.65,403.285,406.03,1077389
2024-04-04,410.67,413.92,405.32,407.11,1218568
2024-04-05,408.65,413.15,406.01,412.54,994476
2024-04-08,413,414.8,409.65,410.75,1269842
2024-04-09,413.48,413.9,409.46,411.48,1114502
2024-04-10,406.89,412.715,404.4001,411.97,1407738
2024-04-11,412.74,414.06,406.915,412.84,1472958
2024-04-12,411.25,412.49,396.81,397.27,1886049
2024-04-15,402.29,404.22,392.57,393.8,1353286
2024-04-16,392.26,395.705,386.64,393.01,1865373
2024-04-17,396,397.62,392.39,396.88,1442287
2024-04-18,398.48,402.279,396.72,400.6,1562949
2024-04-19,400.97,402.9799,398.755,400.44,1125178
2024-04-22,398.85,402.89,392.18,399.61,1005524
2024-04-23,400.87,405.62,396.72,397.21,1278290
2024-04-24,397.55,397.76,392.37,394.62,986781
2024-04-25,385.77,394.91,384.135,394.06,1316947
2024-04-26,392.62,395.95,391.1,393.33,998338
2024-04-29,395.34,402.59,395.34,400.96,847191
2024-04-30,397.78,398.38,390.1301,391.41,1016677
2024-05-01,388.955,391.23,383.77,387.5,2018089
2024-05-02,388.62,398.37,385.71,395.96,1790112
2024-05-03,399.64,401.34,394.85,400.96,1626960
2024-05-06,405,407,399.1944,401.84,1042754
2024-05-07,403.66,406.57,402.74,405.57,942025
2024-05-08,404.22,406.9599,401.46,405.42,640330
2024-05-09,405.42,410.49,405.42,409,995123
2024-05-10,410.5,411.69,405.67,407.89,1426791
2024-05-13,409,416.565,407.56,407.99,1402804
2024-05-14,410,417.465,410,412.78,1765968
2024-05-15,414.68,416.53,412.255,414.02,1861222
2024-05-16,406.89,410,394.18,394.43,3623785
2024-05-17,394.47,397.59,391.54,397.02,1612076
2024-05-20,395.75,396.825,390.94,391.48,1158468
2024-05-21,390.93,391.18,385.22,386.74,1370850
2024-05-22,386,388.56,384.25,386.01,1318814
2024-05-23,387.13,387.57,378.72,379.24,1736784
2024-05-24,379.88,381.36,373.73,374.96,1511751
2024-05-28,375,375,366.98,369.27,1448430
2024-05-29,364.99,367.85,362.68,364.98,1673457
2024-05-30,365.34,368.58,364.95,368.35,1340879
2024-05-31,369.6,375.08,366.315,374.76,2332147
2024-06-03,375.36,375.49,364.55,368.12,1284438
2024-06-04,367.9,369.59,364.05,369.37,1328880
2024-06-05,369.95,371.54,365.465,370.99,1394990
2024-06-06,371.5,373.89,369.35,371.27,1305412
2024-06-07,369,373.01,366.66,368.58,1080006
2024-06-10,367.82,372.68,367.05,368.3,1033868
2024-06-11,366.68,367.44,363.78,365.13,948533
2024-06-12,369.19,372.94,367.5766,370.09,1055547
2024-06-13,368.18,378.27,368.18,377.95,1583920
2024-06-14,375.01,379.06,372.95,378,1485224
2024-06-17,375.95,381.27,374.67,379.22,1227920
2024-06-18,380.21,383.25,379.41,382.76,1211963
2024-06-20,381.75,384.5,380.01,381.53,1352587
2024-06-21,377.96,380,374.01,375.04,2450701
2024-06-24,376.76,382.9299,376.01,378.17,1323116
2024-06-25,375.52,375.958,367.1428,369.47,1648594
2024-06-26,370.74,376.37,367.36,376.25,2442533
2024-06-27,375,378.14,374.69,376.79,1709352
2024-06-28,378.19,381.39,369.5,373.63,6689701
2024-07-01,375.07,375.305,360.56,360.99,1458106
2024-07-02,359.53,365.46,359.2519,364.95,1290228
2024-07-03,365.44,367.615,361.11,362.79,668937
2024-07-05,363.16,363.16,356.8,360.03,1273682
2024-07-08,360.1,361.64,354.75,355,1671607
2024-07-09,354.76,355.32,345.935,348.84,2113342
2024-07-10,349.3,352.5504,347.8,351.53,1475988
2024-07-11,352.9,362.77,352.5,361.6,1765797
2024-07-12,364.5,368.15,363.4701,365.33,1035110
2024-07-15,365.06,372.18,363.13,371.67,1158559
2024-07-16,372,380.63,365.93,377.51,1733075
2024-07-17,378.03,387.53,377.6805,385.13,1528188
2024-07-18,382.8,390.34,380.53,380.64,1736152
2024-07-19,383.24,384.14,377.18,378.06,1152144
2024-07-22,379.13,380.65,372.28,379.25,1071328
2024-07-23,376.34,378.29,370.76,371.52,1336087
2024-07-24,370.41,375.675,367.93,369.39,1256382
2024-07-25,368.17,386.26,368.17,381.69,1241550
2024-07-26,385.27,389.99,384.07,386.55,1380906
2024-07-29,385.17,386.54,371,376.77,1491025
2024-07-30,365.97,375,364.18,371.77,2267031
2024-07-31,373.22,376.78,370.99,371.98,1659500
2024-08-01,366.37,371.21,356.02,357.91,2991282
2024-08-02,356.16,360.385,351.09,353.75,2820703
2024-08-05,345.77,351.41,340.2001,344.84,2509169
2024-08-06,347.49,349.5512,342.7,346.06,1570942
2024-08-07,350,354.04,345.86,345.98,1384675
2024-08-08,346.88,350.85,346.4,349.14,1557651
2024-08-09,348.63,348.91,343.38,346.03,1335203
2024-08-12,346.75,348.1623,343.9,345.01,1581260
2024-08-13,347.82,352.43,346.0046,350.59,1696675
2024-08-14,350,355.8,348.35,351.28,2040505
2024-08-15,359.2,378.4699,357.9006,373.26,3184486
2024-08-16,372.14,378.525,371.16,377.92,2103088
2024-08-19,378.99,381.01,371.81,372.91,1676485
2024-08-20,374.94,376.6,371.76,372.59,932335
2024-08-21,373.84,377.83,372.12,377.05,1249228
2024-08-22,377.08,378.105,373.55,376.59,1072734
2024-08-23,378.8,382.85,376.59,381.18,1197519
2024-08-26,381.48,385.3,380.68,383.09,1108515
2024-08-27,381.5,382.03,374.94,375.98,1107170
2024-08-28,374.99,379.37,374.46,377.95,1096819
2024-08-29,379.79,384.5,376.95,381.82,1075066
2024-08-30,382.2,385.8898,378.453,385.74,1413160
2024-09-03,384.86,388.38,379.96,385.69,1929731
2024-09-04,386.54,398.58,386.1,391.95,2370341
2024-09-05,392,395,382.83,383.69,1397289
2024-09-06,384.84,389,381.315,381.56,1670319
2024-09-09,384.14,392,383.48,387.23,1215266
2024-09-10,388.52,389.46,381.68,387.3,1041587
2024-09-11,386.67,388.86,378.66,388.59,1160011
2024-09-12,386.64,389.055,383.095,387,1068685
2024-09-13,389.99,395.2,386.42,394.68,1126196
2024-09-16,396,399.6,393.12,394.66,940225
2024-09-17,396.5,400.12,395.45,397.88,983252
2024-09-18,398,405.99,396.89,401.07,1163461
2024-09-19,406.52,412.45,403.335,409.73,1751158
2024-09-20,406.62,409.91,402.48,405.89,2709595
2024-09-23,405.02,410.26,404.07,408.95,1184549
2024-09-24,411.74,415.75,407.365,410.89,1253685
2024-09-25,412.84,413.87,406.07,406.93,923692
2024-09-26,409.96,413.145,408.37,411.47,1062180
2024-09-27,414.1,419.63,412.57,418,1410903
2024-09-30,416.25,417.94,412.5401,417.33,1176773
2024-10-01,415.175,420.47,411.12,416.44,1089177
2024-10-02,416.12,417.58,414.14,416.49,863795
2024-10-03,412.69,413.83,407.7214,408.74,1103915
2024-10-04,412,412.14,405.07,407.99,877896
2024-10-07,407.87,409.09,404.385,406.04,942080
2024-10-08,403.54,405.91,398.78,400.28,981526
2024-10-09,401.5,406.37,401.5,405.48,760351
2024-10-10,404.77,406.55,401.86,405.76,578148
2024-10-11,405.05,412.37,404.465,411.08,653446
2024-10-14,408.03,408.78,399.46,407.72,996423
2024-10-15,405.02,409.04,401.48,401.99,834560
2024-10-16,403.23,410.445,403.115,409.37,867752
2024-10-17,408.12,409.25,396.53,405.14,1398486
2024-10-18,406.99,409.58,404.2,408.73,749969
2024-10-21,408,410.725,405.92,406.96,838747
2024-10-22,407.05,407.9,401.81,406.65,610159
2024-10-23,407.25,411.732,406.26,408.64,1112959
2024-10-24,408.99,411.7643,407.1685,411.07,718315
2024-10-25,413,414.75,407.42,407.93,591048
2024-10-28,409,413.33,408.245,412.35,828317
2024-10-29,410.2,411,405.21,406.04,758578
2024-10-30,402.66,408.14,401.3285,404.69,785077
2024-10-31,404.26,407.305,402,404.69,746280
2024-11-01,405.8,407.0764,398.31,400.42,1522533
2024-11-04,400.42,406.86,399.5141,401.68,801931
2024-11-05,398.31,404.01,396.79,400.37,902554
2024-11-06,412.62,415.5,402.105,405.71,1664267
2024-11-07,407.61,411.97,406.3101,411.16,1073506
2024-11-08,402.1,406.49,393.72,394.06,1623152
2024-11-11,395.47,402.88,393.17,402.65,1143472
2024-11-12,400.57,402.19,393.12,393.75,1144922
2024-11-13,391.55,392.13,387.03,389.45,1474846
2024-11-14,390.56,395.52,387.79,394.64,1225339
2024-11-15,392.5,399.57,390,398.95,1168176
2024-11-18,397,406.98,396.14,404.53,1457301
2024-11-19,400.5,402.62,397.75,400.09,1076748
2024-11-20,404.98,408.94,400.64,404.96,1487015
2024-11-21,412.75,442.05,410.9593,437.54,4148994
2024-11-22,435.93,447.5,432.21,446.65,2202297
2024-11-25,446.7,469.39,446.7,462.69,3266857
2024-11-26,456.64,463.3445,454.39,461.04,1747268
2024-11-27,461.095,467.06,461.095,466,1258787
2024-11-29,466.24,469.09,464.17,465.9,732229
2024-12-02,463.7,464.3,458.85,462.95,1318644
2024-12-03,464.17,465.54,458.95,459.25,1166248
2024-12-04,459,462.23,453.3,456.26,1056418
2024-12-05,457.63,458.365,447.93,448.12,1159719
2024-12-06,446.5,448.96,442.97,444,1130085
2024-12-09,445,453.2534,444.12,449.41,1209323
2024-12-10,447.2,448.69,441,443.96,1215691
2024-12-11,448,449.76,446.0822,448.03,1677747
2024-12-12,446.9,447.63,438.46,439.48,867306
2024-12-13,440.23,442.12,437.0201,440.44,900756
2024-12-16,440.23,441.4,436,438.42,956866
2024-12-17,436.25,444.94,435,443.59,1357363
2024-12-18,442.41,445.31,424.51,426,1423826
2024-12-19,428.13,431.06,421.97,426.63,1757472
2024-12-20,426.52,436.4975,425.74,432.49,2446431
2024-12-23,432.11,432.63,427,432.38,1094273
2024-12-24,430.61,433.59,428.71,432.84,383167
2024-12-26,431.98,435.45,430.4425,433.84,444867
2024-12-27,429.83,435.17,427.0901,430.06,735346
2024-12-30,427.71,427.895,421.73,424.64,792568
2024-12-31,424.64,427.8,421.46,423.7,772818
2025-01-02,426.19,428.84,417.88,418.18,1005316
2025-01-03,420.215,422.94,416.68,422.22,875122
2025-01-06,424,429.1,417.88,418,1077951
2025-01-07,417.04,420.0995,412.345,413.27,1223518
2025-01-08,411.06,411.97,408.21,410,878065
2025-01-10,403.942,411.39,403.01,408.57,1699154
2025-01-13,408.1,432.27,406.08,429.91,1988831
2025-01-14,430.2,433.44,427.3601,432.31,1224705
2025-01-15,437.405,438,426.45,428.88,1432095
2025-01-16,430.38,439.87,428.51,439.11,1181427
2025-01-17,447.63,457.2246,443.64,455.44,2315715
2025-01-21,458.76,465.59,453.55,463.15,1733913
2025-01-22,462.84,464.32,458.57,459.75,1132229
2025-01-23,460.645,475.92,460.645,474.72,1934695
2025-01-24,473.99,479.48,472.36,478.77,1400811
2025-01-27,480,484.39,474.11,484.15,1418544
2025-01-28,483.155,485.84,476.32,479.99,1642409
2025-01-29,481,482.84,477.325,478.16,977036
2025-01-30,475.7,483.58,474.42,479.99,1122301
2025-01-31,477.74,479.59,474.0625,476.56,1400758
2025-02-03,465.29,469.67,459.14,467.05,1397663
2025-02-04,467.025,474.63,465,472.27,1045683
2025-02-05,473.55,473.99,464.71,467.68,1084659
2025-02-06,469.69,471.36,463.4627,464.98,809354
2025-02-07,468.38,469.47,463,465.6,898075
2025-02-10,468.785,471.88,464,469.98,1349051
2025-02-11,469.52,476.7,468.875,474.3,1489074
2025-02-12,470.74,477.78,463.97,476.56,2038906
2025-02-13,454.5,474.38,451.22,466.22,3058590
2025-02-14,469,481.14,467.095,480.22,1919441
2025-02-18,481,502.1,480,501.56,2367988
2025-02-19,497.19,515.05,496,509.27,2095585
2025-02-20,508.05,509.26,493.11,495.79,1514546
2025-02-21,497.52,498.7699,487.26,489.98,1104505
2025-02-24,490,492.35,482.15,484.55,1245878
2025-02-25,486.88,490.75,482.85,487.59,1214842
2025-02-26,490,490.73,477.42,478.52,1557775
2025-02-27,480.76,487.4555,479.16,480.55,1328590
2025-02-28,479.915,485.21,472.56,480.79,1995901
2025-03-03,482.445,484.665,463.545,465.83,1487749
2025-03-04,453.905,463.29,447.65,458.38,2325973
2025-03-05,460.39,468.84,458.65,467.5,1291545
2025-03-06,468,484.89,465.3,482.84,1695852
2025-03-07,480.49,500.27,478.27,499.62,2615890
2025-03-10,497.9,504.98,480.55,488.78,2174137
2025-03-11,485.11,488.54,472.71,475.5,1492326
2025-03-12,475,476.624,463.21,471.37,1679979
2025-03-13,472.51,480,465.5,467.09,1314662
2025-03-14,471.87,481.32,470.45,477.5,1018178
2025-03-17,476,486.08,475.51,482.35,893001
2025-03-18,481.02,486.04,478.94,481.17,931744
2025-03-19,480.36,482.82,477.18,479.41,841944
2025-03-20,475.985,480.54,468.09,477.02,1153437
2025-03-21,473.47,475.7,468.3025,472.43,1685211
2025-03-24,476.35,483.23,474.16,479.96,903919
2025-03-25,481,482.16,477.15,478.93,808229
2025-03-26,481.35,484.89,477.18,483.62,811268
