Date,Open,High,Low,Close,Volume
2024-03-25,254.28,254.78,246.19,247.8,3372489
2024-03-26,247.27,249.46,247.27,248.46,1962942
2024-03-27,249.84,250.25,247.08,248.77,2665369
2024-03-28,248.34,251.055,247.2,249.72,2560205
2024-04-01,249.72,250.04,246.67,247.79,1728872
2024-04-02,245,246.28,242.58,245.94,2955689
2024-04-03,246,248.1,243.78,244.34,1898629
2024-04-04,246.48,247.125,241.72,241.9,2693891
2024-04-05,242.13,246.1,242.04,244.28,2280852
2024-04-08,244.54,245.99,243.7201,244.25,2425994
2024-04-09,246.57,249.86,245.525,249.8,1602068
2024-04-10,244.82,246.25,243.43,245.87,2229554
2024-04-11,246.31,246.98,243.07,244,2081285
2024-04-12,242.38,243.18,239,239.95,2684915
2024-04-15,242.36,243.26,238.16,239.66,2824169
2024-04-16,241.1,241.34,238.53,240.34,3225524
2024-04-17,240.42,240.84,238.02,239.39,2988576
2024-04-18,232.26,238.44,230.74,236.36,4261041
2024-04-19,237.78,237.8,234.02,235.47,2351260
2024-04-22,235.96,238.725,234.47,236.08,2820270
2024-04-23,254.72,256.72,249.59,253.11,6876672
2024-04-24,249.03,254.09,247.98,250.41,3344940
2024-04-25,249.93,250.64,245.28,245.8,2943566
2024-04-26,243.68,248.0992,243.68,246.58,2710446
2024-04-29,246.25,248.97,245.731,246.82,1616439
2024-04-30,246.5,247,244.28,246.62,3940994
2024-05-01,246.26,249.52,244.55,246.89,2310441
2024-05-02,248.99,249.435,242.66,246.84,2780607
2024-05-03,249.54,249.73,247.59,248.38,1787817
2024-05-06,248.71,249.55,246.91,247.4,1741111
2024-05-07,246.54,249.1,246.2,248.76,1683421
2024-05-08,249.3,249.82,248.15,249.55,1471346
2024-05-09,249.62,251.53,249,251.43,1604539
2024-05-10,252.04,254.9,250.83,253.38,1520786
2024-05-13,253,254.75,251.61,251.61,1305646
2024-05-14,254.3,259.79,252.53,259.26,3096680
2024-05-15,260,264.02,259.74,263.46,3073102
2024-05-16,262.46,265.365,261.545,264.84,3448391
2024-05-17,265.03,265.94,263.18,265.8,3187418
2024-05-20,265.64,267.64,265.05,267.11,1757819
2024-05-21,267.24,267.33,264.73,266.55,2561201
2024-05-22,267.39,268.98,266.56,267.19,2533646
2024-05-23,267.18,267.19,261.1,261.4,2901184
2024-05-24,262.18,263.13,260.85,262.78,2089037
2024-05-28,262.56,263.81,257.25,258.71,2881256
2024-05-29,253.47,256.483,253.47,255.93,2931704
2024-05-30,248.95,253.68,248.53,252.74,3450877
2024-05-31,253.09,256.98,252.74,256.8,4801089
2024-06-03,257.24,261.57,256.69,261.38,3003305
2024-06-04,261.39,264.23,260,263.33,3119814
2024-06-05,264,268.09,262.6,267.85,2551960
2024-06-06,267.42,269.11,265.5749,267.98,2405927
2024-06-07,267.58,267.725,262.82,263.08,3626851
2024-06-10,262.38,265.64,261.88,264.67,3115366
2024-06-11,264.1,264.58,260.29,261.25,3444754
2024-06-12,261.42,266.11,260.57,264.61,3311190
2024-06-13,263.5,263.5,252.43,255.01,4945532
2024-06-14,253.59,254.87,252.95,254.85,3097194
2024-06-17,254.27,255.24,253.98,254.13,3366811
2024-06-18,254.92,258.38,254,257.51,3162250
2024-06-20,250.39,251.77,247.2,248.56,6112202
2024-06-21,249.85,255.11,249.48,254.96,6839526
2024-06-24,254.95,258.29,252.92,256.76,3122605
2024-06-25,256.14,257.41,254.01,254.14,2526691
2024-06-26,253.18,255.75,252.21,253.59,2460941
2024-06-27,252.94,253.08,251.03,251.76,2409367
2024-06-28,250.13,252.615,247.99,249.85,4638276
2024-07-01,249.98,250.3,243.2,244.51,3925570
2024-07-02,242.17,242.52,238.87,240.41,5068083
2024-07-03,240.91,243.06,240,240,1935837
2024-07-05,240.99,241.425,238.5,239.25,3932293
2024-07-08,239.46,240.7,237.95,240.65,2489795
2024-07-09,241.88,241.88,238.72,239.79,2064209
2024-07-10,240.39,242.38,239.95,242.2,2108385
2024-07-11,243.71,248.685,242.01,246.27,2815467
2024-07-12,245.93,248.2499,244.79,246.7,2546265
2024-07-15,246.4,247.44,243.76,246.23,2869228
2024-07-16,248,252.69,247.07,252.14,2754056
2024-07-17,252.48,254.55,250.91,251.25,2718636
2024-07-18,249.64,255.46,241.875,244.79,4266945
2024-07-19,244.99,245.25,241,243.54,2982627
2024-07-22,246.11,251.27,245.175,250.89,3314271
2024-07-23,270,272.975,263.56,264.18,7523311
2024-07-24,261.88,268.265,261.6,265.76,4080219
2024-07-25,265.38,276.31,264.39,270.09,4249956
2024-07-26,271.9,277.72,271.19,273.91,2810147
2024-07-29,272.1,273.24,268.09,271.65,2176541
2024-07-30,273.23,276.25,271.76,275.19,2953190
2024-07-31,275.5,280.26,273.46,277.08,2887183
2024-08-01,279.26,281.7,278.25,280.76,2132563
2024-08-02,279.45,279.45,272.14,276.75,3108808
2024-08-05,269.2,273.27,265.77,269.32,2632644
2024-08-06,271.03,274.07,268.695,268.97,2763620
2024-08-07,270,271.03,262.91,263.31,2805395
2024-08-08,265.09,269.46,263.45,268.64,2265107
2024-08-09,268.41,270.385,266.71,268.11,2017772
2024-08-12,268.24,268.28,264.28,267.2,2099766
2024-08-13,268.06,270.25,267.13,268.71,1857964
2024-08-14,268.48,269.04,265.81,268.08,1357810
2024-08-15,270,270.7,266.98,269.33,1653543
2024-08-16,268.88,269.71,266.74,269.32,1746456
2024-08-19,270,272.265,269.21,271.27,1603024
2024-08-20,271.84,273.7,271.075,271.66,1409462
2024-08-21,272.01,273.75,269.72,271.1,1455089
2024-08-22,272.23,272.23,267.25,267.83,1662838
2024-08-23,269.25,270.7299,266.3231,269.48,1464013
2024-08-26,269.93,270.33,267.375,268.07,1252208
2024-08-27,268.67,269.55,267.17,268.82,1552486
2024-08-28,268.03,268.97,265.21,266.06,1693071
2024-08-29,267.03,268.54,265.01,267.02,1904049
2024-08-30,268.3,269.31,265.59,269.31,4600180
2024-09-03,267.05,269.2,262.59,264.23,2325671
2024-09-04,262.24,265.12,261.0801,264.49,1732758
2024-09-05,264.33,265.96,261.59,264.71,1764121
2024-09-06,265.52,270.11,265.07,266.2,3324729
2024-09-09,267.62,273.18,266.28,273.09,3223933
2024-09-10,273,275.03,270.43,274.72,2267751
2024-09-11,273.78,273.78,268.33,271.98,2536291
2024-09-12,271.78,273.03,267.56,272.49,2606572
2024-09-13,272.9,274.91,271.31,274.25,2248476
2024-09-16,276.69,278.28,275.5,276.03,1904525
2024-09-17,275.9,276.43,271.06,272.47,2158592
2024-09-18,271.68,275.87,268.04,271.9,2477914
2024-09-19,275.44,278.29,273.6,276.43,3293977
2024-09-20,275.28,275.28,270.26,272.63,9267310
2024-09-23,273.73,274.91,271.83,273.15,1954577
2024-09-24,272.54,275.73,271.04,274.2,2834522
2024-09-25,276.17,276.21,266.86,267.88,2535473
2024-09-26,272.845,279.9,270.91,276.93,2713534
2024-09-27,277.49,279.59,275.39,275.44,1337457
2024-09-30,275.87,278.33,273.74,278.02,1500593
2024-10-01,278.62,278.62,273.02,274.56,1367222
2024-10-02,274.49,275.6,271.03,273.91,1111813
2024-10-03,272.86,273.3,269.57,270.52,1332096
2024-10-04,271.56,272.56,268.65,270.03,1132669
2024-10-07,268.5,270.5,267.47,268.79,1153297
2024-10-08,266.98,270.35,266.5,268.81,1431916
2024-10-09,269.78,270.48,266.82,269.23,1507978
