Date,Open,High,Low,Close,Volume
2024-03-25,94.88,95.16,94.39,94.84,2015963
2024-03-26,94.8,95.07,93.57,93.67,2823082
2024-03-27,94.1,96.13,94.03,96.09,3166169
2024-03-28,96.14,96.85,95.77,96.71,2637612
2024-04-01,96.5,96.59,95.375,96.07,1859657
2024-04-02,96.14,97.3601,95.46,96.54,2305630
2024-04-03,96.5,96.61,95.84,95.97,2278093
2024-04-04,96.74,96.87,95.195,96.12,2694691
2024-04-05,95.72,96.2,95.16,95.91,2525332
2024-04-08,95.63,96.55,95.54,96.31,2348712
2024-04-09,96.7,97.49,96.11,97.32,2460455
2024-04-10,95.71,96.08,94.51,95.41,2475509
2024-04-11,96.22,96.23,94.51,95.29,2116174
2024-04-12,95.64,95.92,94.615,94.9,2279785
2024-04-15,95.45,95.63,93.68,94.13,2623151
2024-04-16,94,94,92.745,92.87,2655575
2024-04-17,93.57,94.755,93.2,94.5,1768088
2024-04-18,94.91,96.03,94.21,95.93,2639328
2024-04-19,96.1,98.405,95.98,98.26,4212750
2024-04-22,98.13,98.5,97.7,98.12,2933073
2024-04-23,98.11,99.05,97.9,98.2,2148843
2024-04-24,97.51,99.19,96.68,98.96,2652668
2024-04-25,98.84,99.605,98.01,99.03,2540756
2024-04-26,99,99.22,97.62,97.71,1994792
2024-04-29,98.25,99.08,98.21,98.73,2125094
2024-04-30,98.29,98.9399,97.65,98.26,2565865
2024-05-01,97.95,100.56,97.49,99.78,4862019
2024-05-02,100,100.0783,98.58,99.31,2808054
2024-05-03,99.85,100.34,99.1,100.26,4338461
2024-05-06,100.49,100.74,99.85,100.42,3081700
2024-05-07,101,102.36,100.3,102.26,5230079
2024-05-08,102.43,102.64,101.67,102.38,3497934
2024-05-09,102.25,103.05,102,103.02,2996222
2024-05-10,103.49,103.64,102.6,102.67,2778688
2024-05-13,102.7,103.83,102.61,102.89,2185261
2024-05-14,103.16,103.26,102.2257,102.31,2168178
2024-05-15,103.3,103.66,102.8601,103.35,2636053
2024-05-16,102.3,103.25,102.3,102.84,4143362
2024-05-17,103.14,103.93,102.44,103.89,3694076
2024-05-20,103.93,103.93,103.33,103.66,2089005
2024-05-21,103.79,104.6,103.25,104.38,2753641
2024-05-22,103.9,104.38,103.14,103.44,3124944
2024-05-23,103,103.15,101.61,101.79,2529900
2024-05-24,102.02,102.495,101.67,102.17,1864573
2024-05-28,101.9,102.67,101.095,101.18,2472533
2024-05-29,100.53,100.8599,100.03,100.42,2527921
2024-05-30,100.78,101.36,100.02,101.3,2423988
2024-05-31,101.62,103.64,101.45,103.57,4000781
2024-06-03,103.09,103.815,102.82,103.41,3429750
2024-06-04,103.25,104.8693,103.05,104.6,4822705
2024-06-05,104.4,104.6,103.025,103.2,2228298
2024-06-06,103.04,103.82,102.52,102.86,1945296
2024-06-07,102,103.78,101.7318,102.62,1886828
2024-06-10,102.5,102.98,101.92,102.52,1915559
2024-06-11,102.01,102.67,101.29,102.36,2434466
2024-06-12,103,103.26,100.925,101.32,2397272
2024-06-13,101.29,101.7999,100.4499,101.26,1811224
2024-06-14,100.89,102.39,100.67,102.36,2668062
2024-06-17,101.95,102.095,100.69,100.8,2953111
2024-06-18,100.73,101.14,99.7,100.03,2469400
2024-06-20,100.25,100.73,99.401,100.1,3084988
2024-06-21,100.29,101.05,99.55,99.84,4986006
2024-06-24,99.99,101.84,99.7792,101.51,2026388
2024-06-25,101.24,101.46,99.96,100.2,2145406
2024-06-26,99.85,100.21,99.3,99.95,1958946
2024-06-27,100,100.89,99.75,100.59,2358016
2024-06-28,100.59,100.76,99.65,100.23,3898744
2024-07-01,100.73,101.26,99.2867,99.35,2097633
2024-07-02,99.63,100.01,99.21,99.81,1856087
2024-07-03,99.72,101.07,99.54,99.84,1072695
2024-07-05,100,100.97,99.55,100.56,1929944
2024-07-08,100.44,101.39,100.03,100.64,2535169
2024-07-09,100.59,101.4,100.3,100.94,3200563
2024-07-10,101.25,102.9,100.9,102.83,3128571
2024-07-11,103.06,104.89,102.66,104.46,3331254
2024-07-12,104.68,105.9,104.2709,105.39,2715453
2024-07-15,104.69,105.39,104.015,105.32,2863449
2024-07-16,106.31,107.2559,105.8502,106.53,3056995
2024-07-17,107.07,108.44,105.65,107.52,3374837
2024-07-18,107.01,108.59,106.715,106.91,2638710
2024-07-19,107.58,107.605,106.31,106.92,2163194
2024-07-22,106.94,107.7,106.58,107.54,2373275
2024-07-23,107.48,107.9,107.02,107.12,1512114
2024-07-24,108.25,108.92,107.04,108.6,2875664
2024-07-25,109,110.02,106.95,107.56,3165244
2024-07-26,107.8,108.48,107.41,108.03,2270522
2024-07-29,108.28,109.2,107.94,108.68,3445128
2024-07-30,108.12,110.03,107.895,109.9,2929982
2024-07-31,108.9,109.75,108.43,109.27,3946121
2024-08-01,109.77,112.71,109.27,112.6,3975502
2024-08-02,114.35,116.67,111.65,113.92,4606697
2024-08-05,114.11,114.98,111.01,111.01,4918669
2024-08-06,112.49,114.2,111.36,112.92,4289815
2024-08-07,113.22,114.78,112.63,113.51,4921524
2024-08-08,112.47,113.96,111.9,112.43,4716709
2024-08-09,112.95,112.96,111.13,112.67,2218742
2024-08-12,112.63,113.42,112.095,113.37,3058672
2024-08-13,113.35,113.94,112.77,113.72,2732952
2024-08-14,113.38,114.54,112.81,113.46,1979232
2024-08-15,112.93,113.269,112.4,113.11,2658325
2024-08-16,112.38,112.65,111.61,112.3,2642700
2024-08-19,112.28,113.18,112.25,112.72,1716210
2024-08-20,112.91,113.41,112.1,112.38,2822667
2024-08-21,112.37,113.16,112.255,112.73,2798787
2024-08-22,112.66,112.68,111.45,112.12,5459732
2024-08-23,112.25,113,111.9,112.36,2732539
2024-08-26,112.53,113.63,112.01,113.01,3038898
2024-08-27,112.77,113.09,111.775,111.9,2136530
2024-08-28,112.39,113.64,111.89,112.7,2429737
2024-08-29,112.7,113.07,111.85,112.99,2022057
2024-08-30,113,114.08,112.84,113.95,3022442
2024-09-03,114,116.4099,113.91,115.79,3792664
2024-09-04,116.48,117.93,116.19,117.06,2795025
2024-09-05,117.77,118.11,116.32,116.85,2585878
2024-09-06,117.05,117.33,116.225,116.6,3482508
2024-09-09,116.93,117.25,115.94,117.16,2829822
2024-09-10,117.37,118.18,116.71,116.93,2594220
2024-09-11,116.38,116.49,115.34,116.2,3667419
2024-09-12,116.36,116.825,115.84,115.97,2390288
2024-09-13,116.24,117.4,115.74,117.31,2311011
2024-09-16,118.11,118.31,117.46,117.7,2212044
2024-09-17,117.55,117.73,116.315,116.73,2251567
2024-09-18,116.63,117.175,115.29,115.88,2265346
