Date,Open,High,Low,Close,Volume
2024-03-25,28.87,29.08,28.87,28.95,4444429
2024-03-26,29.02,29.08,28.87,29.06,4090718
2024-03-27,29.07,29.25,28.985,29.05,4172254
2024-03-28,29.19,29.26,29.01,29.18,5556096
2024-04-01,29.195,29.43,29.145,29.37,4097183
2024-04-02,29.39,29.84,29.37,29.75,6478637
2024-04-03,29.8,29.89,29.72,29.88,6088918
2024-04-04,29.96,29.99,29.64,29.77,4788846
2024-04-05,29.77,29.83,29.33,29.73,4370390
2024-04-08,29.66,29.82,29.42,29.47,4173125
2024-04-09,29.5,29.58,29.161,29.26,4118906
2024-04-10,29.25,29.26,29.025,29.15,4822687
2024-04-11,29.23,29.3,29.125,29.22,4393211
2024-04-12,29.29,29.43,28.96,29.05,4730963
2024-04-15,29.15,29.155,28.41,28.51,6935492
2024-04-16,28.6,28.61,28.24,28.33,6359680
2024-04-17,28.42,28.63,28.135,28.39,3568949
2024-04-18,28.52,28.61,28.35,28.44,3746005
2024-04-19,28.5,29.01,28.48,28.85,3677769
2024-04-22,29,29.15,28.7748,29,4798951
2024-04-23,29.15,29.24,28.8,28.91,7293125
2024-04-24,28.97,29.08,28.63,29.05,4859552
2024-04-25,28.76,28.995,28.72,28.93,4662416
2024-04-26,28.9,29.18,28.8,29.06,7621520
2024-04-29,28.51,28.62,28.34,28.59,4144574
2024-04-30,28.6,28.66,27.84,28.08,8878553
2024-05-01,28.11,28.18,27.66,27.74,6151839
2024-05-02,27.87,28.33,27.71,28.05,4347301
2024-05-03,28.08,28.19,27.93,28.1,3599060
2024-05-06,28.22,28.385,28.105,28.37,3566860
2024-05-07,28.48,28.635,28.305,28.35,5073895
2024-05-08,28.33,28.48,28.2019,28.39,4547768
2024-05-09,28.36,28.77,28.36,28.63,3690769
2024-05-10,28.75,28.95,28.69,28.8,5233971
2024-05-13,28.8,28.92,28.71,28.77,2482454
2024-05-14,28.9,29.06,28.65,28.95,5637203
2024-05-15,28.89,29.01,28.76,28.84,2977125
2024-05-16,28.84,28.9599,28.59,28.61,5160187
