Date,Open,High,Low,Close,Volume
2024-03-25,27.03,27.35,27.03,27.19,2972779
2024-03-26,27.01,27.03,26.58,26.63,2878786
2024-03-27,26.57,26.91,26.46,26.9,2951617
2024-03-28,27.06,27.145,26.925,27.03,1762638
2024-04-01,27.11,27.255,26.875,27.24,2401634
2024-04-02,27.53,27.71,27.28,27.66,4603379
2024-04-03,27.65,27.945,27.515,27.88,3319582
2024-04-04,27.99,28.12,27.89,27.92,2906670
2024-04-05,28.01,28.18,27.78,28.14,1578663
2024-04-08,27.74,28.07,27.7,28,2787054
2024-04-09,28.01,28.075,27.7,27.83,2617390
2024-04-10,27.72,28.09,27.51,28.08,5179116
2024-04-11,28.56,28.61,27.865,28.22,3520509
2024-04-12,28.63,28.885,28.175,28.22,4678007
2024-04-15,27.83,28.235,27.705,27.78,4308249
2024-04-16,27.64,27.8699,27.515,27.77,5068623
2024-04-17,27.29,27.53,27.135,27.25,3349567
2024-04-18,27.2,27.47,27.06,27.23,3298608
2024-04-19,26.83,27.405,26.78,27.31,4630311
2024-04-22,26.92,27.2,26.81,27.13,3269008
2024-04-23,26.9,27.12,26.815,27.12,2788321
2024-04-24,27.23,27.23,26.865,27.1,3238224
2024-04-25,28.22,28.31,27.475,27.85,11864938
2024-04-26,27.6,27.72,27.345,27.69,3672442
2024-04-29,27.24,27.37,27.055,27.11,4269677
2024-04-30,27.19,27.22,26.58,26.59,3904852
2024-05-01,26.64,26.725,26.315,26.45,3903867
2024-05-02,26.69,27.14,26.68,26.99,2765085
2024-05-03,27.54,27.64,27.17,27.41,4579700
2024-05-06,28.12,28.27,27.97,27.98,4200232
2024-05-07,28.01,28.245,27.99,28.11,2430231
2024-05-08,27.72,28.185,27.7,28.13,1973959
2024-05-09,28.26,28.59,28.204,28.56,2618284
2024-05-10,28.96,29.035,28.495,28.53,4592302
2024-05-13,28.53,28.7,28.47,28.67,2420196
2024-05-14,28.7,28.77,28.52,28.72,1941189
2024-05-15,28.05,28.19,27.68,28.07,4345598
2024-05-16,28.07,28.11,27.82,27.99,2602933
2024-05-17,28.19,28.57,28.06,28.51,2034198
2024-05-20,28.5,28.65,28.3,28.33,1437623
2024-05-21,28.52,28.82,28.455,28.67,3384145
2024-05-22,28.38,28.68,28.335,28.55,3441279
2024-05-23,29.19,29.27,28.505,28.53,3172003
2024-05-24,28.71,28.76,28.24,28.34,3018549
2024-05-28,28.91,28.945,28.64,28.85,3035890
2024-05-29,28.57,28.57,28.215,28.23,1928062
2024-05-30,28.03,28.53,28.02,28.49,3568317
2024-05-31,28.9,29.14,28.73,29.14,2877387
2024-06-03,29.32,29.32,28.735,28.92,3232110
2024-06-04,27.66,27.815,27.325,27.76,4720667
2024-06-05,28.05,28.115,27.59,27.76,2573426
2024-06-06,27.66,28.01,27.61,27.96,1951736
2024-06-07,27.8,27.93,27.545,27.6,1892720
2024-06-10,27.89,28.27,27.8,28.14,1802434
2024-06-11,27.84,27.94,27.69,27.9,1305555
2024-06-12,28.44,28.47,28.03,28.04,2038731
2024-06-13,27.69,27.735,27.21,27.38,1743514
2024-06-14,27.27,27.29,26.94,27.08,1748203
2024-06-17,27.04,27.19,26.88,27.05,1654393
2024-06-18,27.2,27.44,27.145,27.26,2177206
2024-06-20,27.65,27.84,27.49,27.54,3022466
2024-06-21,27.75,27.799,27.47,27.52,1977726
2024-06-24,27.62,28.2,27.62,28.15,1378397
2024-06-25,27.82,28.025,27.675,27.98,1418955
2024-06-26,27.91,27.95,27.62,27.75,2318608
2024-06-27,28.44,28.49,28.105,28.31,3157777
2024-06-28,28.51,28.71,28.36,28.56,2203341
2024-07-01,28.67,28.859,28.59,28.78,2242487
2024-07-02,28.65,28.74,28.38,28.48,2101612
2024-07-03,28.71,29.03,28.7,29,1584241
2024-07-05,28.98,28.98,28.45,28.55,2471164
2024-07-08,27.8,27.97,27.6525,27.77,4831851
2024-07-09,27.61,27.68,27.388,27.39,2516714
2024-07-10,26.93,26.97,26.68,26.71,2777098
2024-07-11,26.76,26.955,26.62,26.9,2248585
2024-07-12,27.21,27.21,26.905,27.18,2187962
2024-07-15,26.9,27.23,26.71,27.09,2815086
2024-07-16,26.57,26.975,26.49,26.95,3770330
2024-07-17,27.09,27.33,26.985,27.19,2503449
2024-07-18,27.65,27.65,27.215,27.34,2554510
2024-07-19,27.05,27.16,26.66,26.68,2627740
2024-07-22,26.57,26.755,26.48,26.61,2834025
2024-07-23,26.27,26.335,26.05,26.18,2584004
2024-07-24,26.37,26.516,26.04,26.05,3471434
2024-07-25,25.87,26.15,25.6512,25.99,3160855
2024-07-26,26.09,26.17,25.81,26.01,2478300
2024-07-29,26.24,26.25,25.71,25.98,3567714
2024-07-30,25.7,25.99,25.63,25.93,3950856
2024-07-31,26.69,26.715,26.495,26.56,3206721
