Date,Open,High,Low,Close,Volume
2024-03-25,315,315.78,311.5,311.88,1703622
2024-03-26,311.66,316.3,311.46,312.08,2247159
2024-03-27,314,314.64,308.22,314.4,1874489
2024-03-28,314.69,314.75,312,312.68,1983529
2024-04-01,313,314.13,311.07,312.03,1213210
2024-04-02,313.04,316.425,312.58,314.75,2773189
2024-04-03,315.5,322.36,315.5,320.94,2984709
2024-04-04,323.91,326.21,318.17,320.16,3039900
2024-04-05,323.93,331.4699,322.79,330.51,2644238
2024-04-08,326.3,329.37,323.63,325.82,2423889
2024-04-09,324.94,325.51,313,313.87,4069521
2024-04-10,309,317.37,306.2101,314.37,2426138
2024-04-11,314.41,319.36,312.95,317.26,1547427
2024-04-12,314.27,318.67,314.27,318.5,2248538
2024-04-15,324,324.82,313.885,315.28,2447577
2024-04-16,312.89,317.54,311.32,315.35,1547499
2024-04-17,316.68,316.68,305.845,310.18,2204678
2024-04-18,313.75,315.71,308.46,308.94,1860372
2024-04-19,309.04,311.66,302.26,303.22,3084109
2024-04-22,305.35,310.34,304.17,308.09,2379364
2024-04-23,311.94,315.28,310.395,312.84,2781373
2024-04-24,324,325.41,313.95,318.79,3550476
2024-04-25,314.05,318.8811,312.15,317.1,2453134
2024-04-26,318.21,325.32,318.21,324.3,2305692
2024-04-29,324.92,327.19,321.415,326.51,3155244
2024-04-30,330,333.055,312.525,318.26,5279738
2024-05-01,318.83,319.475,311.74,312.03,3417058
2024-05-02,313.29,316.0912,305.26,315.27,3010093
2024-05-03,318.51,322.59,316.59,320.5,1769790
2024-05-06,322.33,327.43,322.33,327.24,1297017
2024-05-07,328.11,329,325.62,327.43,1792953
2024-05-08,327.4,333.13,326.82,330.4,1454348
2024-05-09,330,333.45,329.98,333.26,1487348
2024-05-10,335,337.7,330.11,330.57,1955089
2024-05-13,331.01,331.88,325.86,328.51,1903223
2024-05-14,326.16,331.37,321.97,330.45,1588237
2024-05-15,332,338.15,332,337.96,1720177
2024-05-16,337.9,338.88,330.13,330.18,2203282
2024-05-17,332,333.61,326.71,330.24,1881539
2024-05-20,330,335.71,329,333.25,1021089
2024-05-21,332.64,337.26,332.455,336.73,1389354
2024-05-22,336.74,338.41,333.18,336.18,1566464
2024-05-23,342.19,344,336.58,338.42,1772501
2024-05-24,339.08,345.19,338.93,340.89,1495686
2024-05-28,342.29,343,335.3,337.36,1772485
2024-05-29,335.3,336.425,332.69,332.89,1131511
2024-05-30,332.29,335.18,331.41,334.2,1241057
2024-05-31,333.45,335,322.22,332.85,3838003
2024-06-03,334,335,318.67,324.46,2494719
2024-06-04,324.52,325.5,310.15,316.17,4143098
2024-06-05,319.77,327.58,319.4032,326.59,2487494
2024-06-06,325,326.99,311.37,313.46,3069224
2024-06-07,313.48,317.83,310.78,314.83,2389525
2024-06-10,313.46,323.39,313.25,322.98,2050013
2024-06-11,320.69,322,317.44,319.17,1826301
2024-06-12,321.55,328.91,319.5,327.17,1682603
2024-06-13,326.43,329.12,321.83,328.35,2194732
2024-06-14,324.37,325.6431,316.93,319.02,2055883
2024-06-17,318.78,326.605,317.01,325.33,2552529
2024-06-18,324,330.1799,321.195,327.59,1903905
2024-06-20,328.17,329.87,320.02,323.24,1847740
2024-06-21,322.94,322.94,316.51,320.06,3068313
2024-06-24,322.1,324.39,319.19,322.08,1581057
2024-06-25,322.36,324.085,318.33,322.76,1579381
2024-06-26,320.76,321.06,313.51,315.27,1849803
2024-06-27,314.16,314.79,311.25,313.94,2549884
2024-06-28,312.89,319.64,310.335,313.55,2557711
2024-07-01,316.45,316.475,307.7603,312.37,1925889
2024-07-02,309.45,313.7499,309.45,313.28,2047749
2024-07-03,313.82,319.2499,312.95,318.42,1122952
2024-07-05,319.68,320.33,314.4936,317.37,1557711
2024-07-08,320.17,322.88,318.22,318.96,1139823
2024-07-09,320.19,321.14,318.12,318.71,981115
2024-07-10,318.75,327.22,318.61,327.07,2083175
2024-07-11,329.18,331.13,325.7,328.82,2061025
2024-07-12,330.75,333.71,326.21,330.48,1644907
2024-07-15,329.34,330.96,325.84,327.03,1416199
2024-07-16,330.55,335.12,328.755,332.46,1671201
2024-07-17,326.97,327.62,311.11,311.5,3313022
2024-07-18,313.39,319.23,305.66,309.07,4377007
2024-07-19,312.23,316.31,310.7,311.89,2287596
2024-07-22,316.5,321.5,315.45,320.32,2252544
2024-07-23,320,325.3299,319.6684,321.94,1518593
2024-07-24,316.84,318.08,299.32,299.6,3876526
2024-07-25,298.73,300.2797,286.87,292.88,5569843
2024-07-26,300.88,301.93,296.42,297.79,3090006
2024-07-29,298.6,300.39,294.56,296.61,2522754
2024-07-30,297.56,302.525,285.48,287.24,4777209
2024-07-31,306.19,310.87,301.37,304.79,5108315
2024-08-01,290.04,304.29,288,297.88,5433440
2024-08-02,290,290.635,276.01,280.26,4528035
2024-08-05,255.65,277.02,255.65,272.52,4621225
2024-08-06,274.65,282.03,274.65,277.65,3305013
2024-08-07,285,288.1,276.8,277.68,2857003
2024-08-08,282.05,288.06,278.11,287.48,3888078
2024-08-09,286.86,292.17,285.7,291.64,2190467
2024-08-12,291.12,293.45,285.53,288.43,1840524
2024-08-13,292.2,295.82,288.275,295.39,2256868
2024-08-14,296.01,300.05,294.43,298.3,1975115
2024-08-15,302.12,304.77,298.04,302.46,2316626
2024-08-16,302.07,302.53,293.38,296.68,2768158
2024-08-19,297.19,298.425,293.19,297.05,1572554
2024-08-20,297.92,299.64,294.58,296.24,1432364
2024-08-21,296.45,301.65,296.17,299.69,1400589
2024-08-22,300.46,303.4,296.7,297.69,2035768
2024-08-23,300,302,297.78,300,1950652
2024-08-26,300.28,301.75,296,296.91,1579599
2024-08-27,295,299.86,292.4,296.03,1711691
2024-08-28,296.82,297.49,292.23,293.6,2109259
2024-08-29,296.23,307.45,295.135,301.09,2426552
2024-08-30,301.49,307.65,300.125,306.93,2320225
2024-09-03,304.17,304.81,289.47,289.73,3058943
