Date,Open,High,Low,Close,Volume
2024-03-25,139.146,139.823,137.656,138.214,6299350.2715897
2024-03-26,138.214,139.457,137.343,138.262,5066013.7493465
2024-03-27,139.433,143.687,139.162,143.496,12628881.268552
2024-03-28,143.36,143.376,138.883,139.839,12143810.585106
2024-04-01,139.895,140.239,137.872,139.704,7412765.9836572
2024-04-02,140.28,144.258,133.752,136.228,20526851.52187
2024-04-03,137.905,147.672,137.765,145.361,16237294.347974
2024-04-04,146.39,151.72,145.95,147.128,11901354.810674
2024-04-05,148.266,156.192,148.266,156.022,14804148.441555
2024-04-08,157.19,157.67,153.427,156.242,9605821.5213187
2024-04-09,155.853,157.59,150.659,154.216,8824485.064427
2024-04-10,151.62,157.51,151.381,156.332,8089804.4565803
2024-04-11,156.791,158.159,154.474,157.4,6073968.8398936
2024-04-12,155.9,156.98,153.03,154.63,6851291
2024-04-15,157.2,158.685,152.69,153.7,6423661
2024-04-16,152.7,157.02,152.0009,156.76,6187178
2024-04-17,158,158.6799,153.63,155.67,6519865
2024-04-18,156.68,158,152.88,152.94,6186583
2024-04-19,153.45,153.525,146.78,148.09,9563530
2024-04-22,148.83,151.9068,148.83,150.19,7322753
2024-04-23,157.83,163.65,152.82,162.62,19250917
2024-04-24,161.87,162.34,155.5601,159.19,10415977
2024-04-25,158.09,161.48,157.12,161.26,5908202
2024-04-26,161.01,163.365,160.3114,162.35,5898021
2024-04-29,163,166.07,163,164.49,5382858
2024-04-30,163.56,166.2558,161.58,161.82,6723601
2024-05-01,162.57,163.2999,158.82,159.7,4776317
2024-05-02,161.39,162.825,159.4205,162.64,5030408
2024-05-03,165.3,165.3,162.0101,164.11,3968626
2024-05-06,165.12,167.98,165.03,167.97,4831567
2024-05-07,167.81,170.8,167.22,168.78,4781831
2024-05-08,168.1,170.19,168.1,168.86,4878184
2024-05-09,168.76,169.34,167.13,167.5,4968829
2024-05-10,167.91,168.74,163.11,163.38,5711329
2024-05-13,163.08,163.11,158.86,159.5,7768605
2024-05-14,158.64,160.82,158.0264,160,6103457
2024-05-15,160,163.74,159.23,163.47,7133332
2024-05-16,163,163.92,161.09,161.12,4283181
2024-05-17,161.82,161.88,159.1,159.89,5946278
2024-05-20,159.92,161.42,158.82,159.28,5586769
2024-05-21,157.94,161.22,157.36,161,5071258
2024-05-22,160.49,161.74,159.73,160.81,4432180
2024-05-23,161.99,166.27,161.75,165.26,7411549
2024-05-24,165.83,169.15,163.85,167.33,5500252
2024-05-28,167,168.65,165.309,168.56,5749667
2024-05-29,166.6,167.4325,163.39,163.6,4820761
2024-05-30,163.48,165.02,163.19,164.2,4385368
2024-05-31,164.29,165.35,160.07,165.14,11704762
2024-06-03,166.12,166.79,159.03,161.46,5220451
2024-06-04,161,161.98,158.35,161.38,5598552
2024-06-05,161.83,162.94,160.52,162.55,4279863
2024-06-06,162.3,163.17,159.7576,160.62,3867335
2024-06-07,160.7,163.8,160.1,161.92,3341848
2024-06-10,162,163.9,161.56,162.84,4385869
2024-06-11,162.03,162.255,159.61,160.36,5106374
2024-06-12,161.26,162.94,159.18,161.05,5790723
2024-06-13,160.59,160.63,154.18,155.69,8080897
2024-06-14,154.22,156.6,153.215,155.88,6247401
2024-06-17,156.14,167.4999,155.45,163.23,9564829
2024-06-18,163.4,165.19,162.36,164.97,5105349
2024-06-20,164.97,166.3,163.05,165,4957156
2024-06-21,164.5,164.92,161.3,164.24,17196621
2024-06-24,164.1,164.755,159.2,160.54,5518968
2024-06-25,159.58,163.65,158.42,159.73,6842543
2024-06-26,158.57,161.02,157.5174,160.64,3997980
2024-06-27,160.8,161.85,159.6,160.5,3339660
2024-06-28,160.26,161.62,157.9,158.97,8641197
