Date,Open,High,Low,Close,Volume
2024-03-25,201.19,201.95,200.965,200.99,4034750
2024-03-26,202.65,202.76,201.07,201.64,5752677
2024-03-27,202.32,203.22,202.32,203.1,6040980
2024-03-28,204.54,206.05,203.87,205.72,9194473
2024-04-01,208.68,208.73,206.29,207.82,13677114
2024-04-02,209.07,211.03,208.36,210.89,13421070
2024-04-03,210.57,212.83,210.3,212.74,11416226
2024-04-04,212,213.45,211.02,211.52,12307274
2024-04-05,212.49,215.74,212.22,215.14,13382720
2024-04-08,215.98,216.81,214.61,216.48,10331406
2024-04-09,217.81,218.86,216.45,217.67,13079306
2024-04-10,215.37,217.78,214.68,215.61,13317492
2024-04-11,216.85,219.84,215.89,219.8,11415224
2024-04-12,221.87,225.09,216.02,216.89,30898775
2024-04-15,217.94,221.03,215.16,220.95,13238952
2024-04-16,220.18,221.99,218.78,221.22,10746123
2024-04-17,221.05,221.76,218.52,219.59,11521054
2024-04-18,221.31,221.4599,219.312,220.34,6496885
2024-04-19,220.49,222.36,220.08,221.05,8680646
2024-04-22,216.35,216.9578,215.14,215.57,13404253
2024-04-23,213.96,215.86,213.87,215.04,10730332
2024-04-24,214.76,216.35,214.36,214.64,5741072
2024-04-25,214.47,217.05,214.3357,215.92,6606512
2024-04-26,216.77,217.0676,215.53,216.62,6268504
2024-04-29,216.02,217.215,215.25,216.18,6409870
2024-04-30,213.38,214.1271,211.8,211.87,11248615
2024-05-01,212.96,215.5,212.41,213.79,10373880
2024-05-02,211.9,213.705,211.49,213.13,6286967
2024-05-03,212.89,213.225,210.71,212.96,8679910
2024-05-06,215.14,215.91,214.47,215.2,6840477
2024-05-07,214.52,214.93,213.88,214.21,5660735
2024-05-08,213.62,214.8,213.5,213.58,4462736
2024-05-09,214.48,216.95,214.44,216.95,7732469
2024-05-10,219.22,219.6,218.08,218.71,8700917
2024-05-13,217.06,217.31,215.8,216.26,4896343
2024-05-14,217.31,218.3795,216.98,218.09,4662679
2024-05-15,219.06,221.19,217.65,220.89,9297715
2024-05-16,220.14,220.585,219.41,220.03,4301652
2024-05-17,222.18,223.8501,221.67,223.66,10481937
2024-05-20,223.79,225.66,223.02,224.56,5990860
2024-05-21,224.77,225.21,223.7,224.23,4002615
2024-05-22,223.09,223.24,219.7407,220.11,8903115
2024-05-23,218.78,219.23,215.66,215.72,9537911
2024-05-24,216.96,217.21,215.74,215.92,4212379
2024-05-28,218.43,218.59,217.21,218.19,3809677
2024-05-29,216.92,217.16,216.12,216.16,4184972
2024-05-30,216.69,217.51,216.41,216.57,3071290
2024-05-31,217.77,217.96,214.65,215.3,5617183
2024-06-03,215.92,217.82,215.54,217.22,6172606
2024-06-04,216.24,216.24,214.2,215.27,5509361
2024-06-05,216.69,218.0795,215.93,217.82,5479226
2024-06-06,218.36,219.97,218.1,219.43,5283914
2024-06-07,215.07,215.19,211.54,211.6,12195073
2024-06-10,213.13,214.02,212.76,213.54,4219641
2024-06-11,213.95,214.38,213.24,214.15,4004085
2024-06-12,216.47,216.55,214.2,214.72,5911883
2024-06-13,214.44,214.96,212.26,212.97,5861099
2024-06-14,215.34,216.04,214.98,215.73,7076496
2024-06-17,214.9,215.24,213.6,214.61,3877671
2024-06-18,214.38,215.83,214.04,215.47,4921415
2024-06-20,216.32,218.7413,216.15,218.16,7290516
2024-06-21,217.83,217.9,214.255,214.78,8935399
2024-06-24,215.55,215.94,215.2,215.63,4626923
