Date,Open,High,Low,Close,Volume
2024-03-25,32.54,32.71,32.45,32.47,2587683
2024-03-26,32.58,32.69,32.29,32.31,5452557
2024-03-27,32.5,33.04,32.38,33.02,4027031
2024-03-28,33.1,33.3202,32.88,32.96,3939089
2024-04-01,32.94,33.01,32.64,32.67,2304528
2024-04-02,32.54,32.7,32.44,32.51,5086158
2024-04-03,32.5,32.74,32.41,32.57,2985739
2024-04-04,32.97,32.995,32.27,32.37,4417552
2024-04-05,32.33,32.645,32.275,32.54,4540686
2024-04-08,32.79,32.79,32.19,32.19,4923718
2024-04-09,32.29,32.57,32.1,32.55,4345016
2024-04-10,32.07,32.18,31.74,31.95,4155325
2024-04-11,32.42,32.53,32.03,32.27,5991283
2024-04-12,31.92,32.05,31.38,31.49,3352454
2024-04-15,31.83,32.04,31.255,31.29,3385039
2024-04-16,31.39,31.44,30.9,30.92,5754371
2024-04-17,31.01,31.44,30.95,30.98,5182762
2024-04-18,31.05,31.13,30.72,30.91,4653712
2024-04-19,30.91,31.39,30.91,31.27,4636505
2024-04-22,31.5,31.77,31.28,31.55,3521795
2024-04-23,31.57,31.86,31.48,31.53,3186553
2024-04-24,31.54,31.71,31.32,31.52,3203487
2024-04-25,31.42,31.68,31.195,31.35,3770102
2024-04-26,31.32,31.74,31.28,31.33,3689954
2024-04-29,31.37,31.8,31.37,31.78,5596298
2024-04-30,33.12,34.47,33.06,33.38,12895840
2024-05-01,33.42,34.06,32.84,33.48,9865350
2024-05-02,33.76,33.8,33.075,33.57,5213867
2024-05-03,33.76,33.87,33.5102,33.72,4490410
2024-05-06,33.7,33.85,32.92,33.44,6961628
2024-05-07,33.57,33.66,33.37,33.42,3997453
2024-05-08,33.3,33.95,33.3,33.93,3956649
2024-05-09,34,34.22,33.935,34.2,2816007
2024-05-10,34.35,34.38,34.08,34.17,2891733
2024-05-13,34.17,34.435,34.15,34.28,2428033
2024-05-14,34.36,35.03,34.33,34.95,6731852
2024-05-15,35.05,35.1401,34.87,35.11,4046305
2024-05-16,35.07,35.32,35.01,35.22,4606270
2024-05-17,35.35,35.39,35.12,35.35,3780830
2024-05-20,35.37,35.6,35.3,35.52,7332408
2024-05-21,35.4,36.799,35.4,36.48,10930340
2024-05-22,36.47,36.74,36.33,36.58,5040281
2024-05-23,36.53,36.59,36.08,36.12,3088149
2024-05-24,36.36,36.535,36.24,36.28,2763482
2024-05-28,36.18,36.23,35.74,35.85,4085325
2024-05-29,35.47,35.8,35.401,35.55,3489211
2024-05-30,36.67,37.28,36.21,36.96,11639172
2024-05-31,36.66,37.27,36.63,37.26,7377685
2024-06-03,37.26,37.51,37.04,37.36,5593211
2024-06-04,37.04,37.24,36.905,37.01,3420844
2024-06-05,37.2,37.52,36.96,37.49,3433707
2024-06-06,37.43,37.49,37.26,37.4,3897333
2024-06-07,37.21,37.29,36.815,36.93,4180524
2024-06-10,36.67,36.9,36.58,36.86,3035678
2024-06-11,36.66,37.57,36.611,37.35,8789334
2024-06-12,37.75,38.31,37.51,38.02,8419899
2024-06-13,37.44,38.175,37.12,38.08,9043130
2024-06-14,37.85,37.97,37.05,37.25,5694647
2024-06-17,38.4,39.145,37.91,38.75,13486767
2024-06-18,39,40.2497,38.69,40.21,15808448
2024-06-20,40.24,40.45,39.6112,39.85,11562811
2024-06-21,40.04,40.4556,39.78,40.05,12917967
2024-06-24,39.89,40.38,39.59,39.9,9404210
2024-06-25,39.81,39.99,39.6202,39.77,5280139
2024-06-26,39.42,39.53,37.995,38.28,15867669
2024-06-27,38.29,38.8,37.8744,38.59,11604864
2024-06-28,38.8,39.06,38.67,38.85,8378016
2024-07-01,38.94,39.07,38.42,38.66,4138544
2024-07-02,38.67,38.9,38.15,38.39,6271957
2024-07-03,38.51,38.57,38.17,38.42,3077788
2024-07-05,38.49,38.52,38.12,38.44,3286608
2024-07-08,40.9,43.58,40.82,43.05,35464498
2024-07-09,43.55,45.05,43.55,44.67,22544293
2024-07-10,44.99,45.725,44.75,45.48,13188776
2024-07-11,45.735,45.87,44.77,45.05,10003042
2024-07-12,45.49,46.13,45.22,45.62,10049358
2024-07-15,45.81,46.27,45.42,45.76,11538201
2024-07-16,45.9,46.39,45.724,46.2,8259991
2024-07-17,45.6,46.05,45.6,45.84,7444829
2024-07-18,45.69,45.8,44.59,44.99,6762453
2024-07-19,45.08,45.08,44.19,44.31,6016897
2024-07-22,44.54,44.55,43.87,44.31,6154597
2024-07-23,44.3,44.64,44.01,44.06,6462642
2024-07-24,43.81,44.3,43.75,43.95,7370775
2024-07-25,43.89,43.91,42.71,42.81,8275708
2024-07-26,43.25,43.25,42.615,42.85,7690482
2024-07-29,43,43.015,42.39,42.68,11589686
2024-07-30,39.55,39.91,37.6001,39.74,25844685
2024-07-31,40.71,40.88,39.9,40.01,13528754
2024-08-01,40.23,40.46,39.46,40.04,8966841
2024-08-02,39.46,39.585,38.53,38.94,6589395
2024-08-05,37.85,38.12,37.18,37.76,6816484
2024-08-06,38.135,38.7,37.89,38.33,7388961
2024-08-07,38.87,38.93,37.755,37.85,5983918
2024-08-08,38.1,38.65,38.01,38.61,4128066
2024-08-09,38.54,38.73,38.31,38.45,3163749
2024-08-12,38.495,39.36,38.495,39.31,4119818
2024-08-13,39.42,40.04,39.29,39.77,5439207
2024-08-14,39.68,39.83,39.265,39.59,4456745
2024-08-15,39.82,40.56,39.82,40.26,5466089
2024-08-16,40.2,40.2899,39.75,40.2,4741778
2024-08-19,40.16,40.63,39.995,40.61,2851744
2024-08-20,40.59,40.79,40.35,40.73,3182236
2024-08-21,41.21,42.105,41.2,42.08,4557604
2024-08-22,41.89,42.08,41.21,41.27,3736362
2024-08-23,41.6,42.02,41.49,41.94,2893101
2024-08-26,42.14,42.37,41.93,42.22,2607264
2024-08-27,42.22,42.56,41.88,42.52,4120223
2024-08-28,42.55,42.6,42.0245,42.32,3727111
2024-08-29,42.47,42.6699,41.785,41.87,4482805
2024-08-30,41.89,41.92,41.09,41.85,5231420
2024-09-03,41.33,41.53,40.56,40.67,4886442
2024-09-04,40.845,41.315,40.685,41.24,3493849
2024-09-05,41.21,41.675,40.97,41.37,4030276
2024-09-06,41.68,42.15,40.335,40.64,4653314
2024-09-09,40.7,41.22,40.61,40.97,2936028
2024-09-10,40.94,41.3,40.735,41.16,3626211
2024-09-11,41.14,41.89,40.75,41.85,5657056
2024-09-12,41.81,41.89,41.1901,41.86,2418228
2024-09-13,42.1,42.61,42.053,42.5,3372777
2024-09-16,42.48,42.97,42.27,42.91,3699811
