Date,Open,High,Low,Close,Volume
2024-03-25,406.87,410.46,403.86,404.94,1683977
2024-03-26,406.09,409.33,404.52,406.18,1406974
2024-03-27,409.62,415.49,408.37,415.25,2353629
2024-03-28,416.21,419.2,414.98,417.69,2409718
2024-04-01,416.68,417.95,412,413.51,1863918
2024-04-02,410.74,413.17,407.615,410.15,1976056
2024-04-03,411,416.63,411,414,1549242
2024-04-04,418,419,405.7,406.25,1704684
2024-04-05,406.56,409.135,401.47,408.07,1694860
2024-04-08,409.1,412.525,407.55,410.54,1181923
2024-04-09,411.51,413.2212,407.05,410.71,1247834
2024-04-10,404.01,405.45,397.29,400.76,1903250
2024-04-11,400.48,401.47,394.84,397.48,2176231
2024-04-12,392.84,394.09,387.12,389.49,2815758
2024-04-15,407,412.865,398.69,400.88,6176998
2024-04-16,404.45,404.97,395.18,396.86,3459728
2024-04-17,402.4,407.12,401.18,403.91,4373757
2024-04-18,405.49,407.86,402.41,403.11,2776465
2024-04-19,404.06,407.985,403.01,403.86,2805028
2024-04-22,406.94,417.9799,404.57,417.35,4165569
2024-04-23,417.71,425.35,416.2,424,2662338
2024-04-24,421.5,424.58,419.61,423.04,1575931
2024-04-25,420.99,423.61,414.85,420.05,1970127
2024-04-26,420.23,428.53,419.64,427.57,2322674
2024-04-29,427.57,433.33,427.2,430.81,2456938
2024-04-30,428.5,431.39,426,426.71,1830134
2024-05-01,426.69,433.43,425.19,426.95,2313676
2024-05-02,431.2,433.65,428.1689,432.57,2087512
2024-05-03,435,442.3,434.92,438.18,2406445
2024-05-06,441.75,444.3778,439.68,443.67,1914307
2024-05-07,445.17,447.42,442.87,443.8,2058336
2024-05-08,442.8,448.02,442.05,446.95,2006896
2024-05-09,446.34,456.43,446.34,455.56,2710171
2024-05-10,456.52,458.75,454.32,454.73,1823943
2024-05-13,456.27,457.2,453.32,453.56,1579582
2024-05-14,454.84,461.765,454.01,458.47,2412856
2024-05-15,461.59,466.19,460.945,466.09,2217704
2024-05-16,464.37,468.25,462.277,464.52,2070276
2024-05-17,466.38,468.6594,464.25,467.72,1656079
2024-05-20,468.2,471.48,462.6,462.94,2591495
2024-05-21,462.23,471.305,462.2,470.41,2762730
2024-05-22,467.36,470.33,459.75,462.38,2729478
2024-05-23,464.23,464.31,457.41,458.15,2254680
2024-05-24,459.84,465.25,459.1,461.18,1932470
2024-05-28,459.94,463.69,458.91,459.81,1930788
2024-05-29,454.84,458.74,451.65,457.17,2315691
2024-05-30,453,455.86,447.6,450.23,2135290
2024-05-31,449.76,456.77,448.12,456.52,2638347
2024-06-03,458.87,458.87,450.2,454.98,1930715
2024-06-04,450.5,457.71,449.21,455.3,1834972
2024-06-05,457.55,463.015,457.5,461.68,1678887
2024-06-06,461.82,464.52,457.01,458.1,1597964
2024-06-07,455.44,461.16,454.5,454.91,1736189
2024-06-10,452.33,455.36,450.3,453.55,1698631
2024-06-11,451.04,451.855,443.38,444.27,1938237
2024-06-12,455.6,457.64,446.19,448.7,1733049
2024-06-13,446.73,448.32,442.15,446.35,1849094
2024-06-14,441.99,448.23,439.15,446.46,1559064
2024-06-17,445.1,450.78,443.39,450.18,1531648
2024-06-18,449.57,457.69,448.51,457.43,1798377
2024-06-20,458,460.41,455.24,458.05,2080573
2024-06-21,458.68,458.8,449.9,450.18,3919230
2024-06-24,451.25,463.52,450,462.09,1882184
2024-06-25,459.46,464.08,456.75,457.38,1633414
2024-06-26,455.41,457.93,452.45,455.86,2131737
2024-06-27,449.78,449.78,442.8,445.96,2835198
2024-06-28,450.1,457.34,449.53,452.32,3839657
2024-07-01,454.51,464.02,454.01,463.66,1850463
2024-07-02,461.51,466.27,459.6,465.61,1491787
2024-07-03,469.04,469.8899,465.82,467.92,993915
2024-07-05,467.47,467.58,460.13,464.75,1594040
2024-07-08,467.65,474.86,464.04,464.82,2214374
2024-07-09,465.6,479.3,461.58,472.83,4525354
2024-07-10,472.51,479.86,469.85,478.89,1946041
2024-07-11,480,483.16,476.27,479.23,2252304
2024-07-12,480.93,483.44,478.1,479.88,2727751
2024-07-15,480.25,493,476.307,492.23,3568195
2024-07-16,494,506.59,491.99,503.02,3981658
2024-07-17,503,509.475,499.43,502.18,3909113
2024-07-18,499.52,503.69,484.22,486.21,3320237
2024-07-19,489.12,492.6,483.19,484.93,2032670
2024-07-22,484.56,489.47,482.3808,487.04,1792477
2024-07-23,487.08,495.81,486.28,492.15,2020493
2024-07-24,489.26,495.99,485.82,486.7,1598598
2024-07-25,486.05,496.11,483.23,491.71,1489796
2024-07-26,495.72,504,495.65,499.03,2249857
2024-07-29,500.42,502,491.0601,492.72,1599475
2024-07-30,498.31,509.47,498.3,505.67,2642528
2024-07-31,504.86,517.26,504.86,509.03,2658903
2024-08-01,510,514.0191,494.68,500.12,4006779
2024-08-02,491.1,494.46,467.21,470.64,6115462
2024-08-05,447.59,463.183,437.37,459.02,4177225
2024-08-06,461.01,475.25,457.43,470.22,2209283
2024-08-07,479.39,488.55,472.57,473.01,2587633
2024-08-08,477.87,487.725,477.155,485.77,1936684
2024-08-09,485.02,492,482.2,490.26,1622719
2024-08-12,490.26,492.87,483.75,485.5,1839468
2024-08-13,490.29,493.27,486.47,491.94,1243798
2024-08-14,492.9,499.35,488.4,498.7,1545768
2024-08-15,505,506.91,498.26,499.02,1732298
2024-08-16,497.05,504.905,497,504.26,1587216
2024-08-19,505,507.78,501.86,504.68,1028042
2024-08-20,503.87,504.1557,496.5,497.34,2122653
2024-08-21,499.5,500.78,494.0325,496.46,917087
2024-08-22,497,499.7,494.79,497.75,944020
2024-08-23,502.75,512.44,499.845,509.42,1751832
2024-08-26,512.34,513.5,505.32,507.87,1084335
2024-08-27,507.84,511.4797,506.59,507.26,977917
2024-08-28,506.6,508.37,498.47,503.33,1568072
2024-08-29,506,513.24,501.14,510.1,1566250
2024-08-30,507.83,511.185,505.17,510.25,1839064
