Date,Open,High,Low,Close,Volume
2024-03-25,42.58,43.45,42.56,42.83,3437180
2024-03-26,42.83,42.89,42.55,42.79,3041578
2024-03-27,42.58,43.03,42.51,42.99,2076567
2024-03-28,43,43.22,42.86,42.87,1854756
2024-04-01,42.74,42.87,42.225,42.42,1515071
2024-04-02,42.13,42.14,41.67,41.79,2582029
2024-04-03,41.5,41.74,41.325,41.54,3048511
2024-04-04,41.73,41.88,40.84,40.86,2634138
2024-04-05,40.59,41.25,40.535,41.19,6093092
2024-04-08,41.08,41.08,40.821,40.85,1856137
2024-04-09,40.89,40.9589,40.67,40.88,3191316
2024-04-10,40.62,40.75,40.485,40.69,4370362
2024-04-11,41,41.25,40.68,40.8,2903779
2024-04-12,40.96,40.97,40.49,40.66,5264697
2024-04-15,40.9,41.055,40.44,40.5,3373753
2024-04-16,40.02,40.23,39.72,39.95,2422869
2024-04-17,39.72,39.85,39.44,39.6,3208339
2024-04-18,39.39,39.5,39.155,39.27,2636945
2024-04-19,39.37,39.76,39.37,39.75,1623693
2024-04-22,39.99,40.755,39.96,40.59,3800880
2024-04-23,40.66,41.26,40.6,41.24,2289896
2024-04-24,41.2,41.24,40.635,40.86,1816111
2024-04-25,41.06,41.11,40.805,40.91,3461979
2024-04-26,40.95,41.3125,40.87,41.11,2730464
2024-04-29,41.66,42,41.5,41.61,4241678
2024-04-30,41.75,42.03,41.42,41.44,3672349
2024-05-01,42.7,42.84,42.275,42.57,4686149
2024-05-02,42.9,43.515,42.75,43.35,6320454
2024-05-03,43.58,43.68,43.27,43.5,4048068
2024-05-06,43.5,43.64,43.175,43.45,2045663
2024-05-07,44.13,44.33,43.96,44.15,3104015
2024-05-08,44.23,44.29,44.06,44.14,2127460
2024-05-09,44.3,44.72,44.3,44.67,4924643
2024-05-10,44.98,45.095,44.8,45.07,3771079
2024-05-13,45.31,45.41,45.14,45.17,2830827
2024-05-14,45.34,45.755,45.3,45.66,3615092
2024-05-15,45.82,45.925,45.65,45.7,3788130
2024-05-16,45.12,45.2,44.82,44.88,4666360
2024-05-17,44.85,45.09,44.74,44.98,1882986
2024-05-20,45.06,45.19,44.4,44.59,5172442
2024-05-21,44.49,44.72,44.46,44.46,3475004
2024-05-22,44.53,45.795,44.42,45.78,6830708
2024-05-23,45.75,45.77,44.94,45.15,5218576
2024-05-24,45.42,45.45,45.03,45.12,2210289
2024-05-28,44.7,44.75,44.225,44.24,2648080
2024-05-29,44.24,44.36,44.155,44.28,2092187
2024-05-30,44.08,44.23,43.89,44.02,1597451
2024-05-31,44.64,45.01,44.56,44.77,3623877
2024-06-03,41.22,41.72,40.51,40.88,13483897
2024-06-04,41.34,41.48,40.99,41.35,5469440
2024-06-05,42.39,42.44,41.86,41.97,7230440
2024-06-06,41.69,42,41.475,41.54,3860822
2024-06-07,41.11,41.46,40.935,41.21,3025354
2024-06-10,41.1,41.51,40.955,41.29,2834397
2024-06-11,41.05,41.36,40.89,41.06,2379050
2024-06-12,41.36,41.38,40.97,41.11,2548560
2024-06-13,40.98,41.22,40.785,41.11,2020251
2024-06-14,40.82,40.88,40.475,40.65,2235352
2024-06-17,40.43,40.68,40.36,40.66,2131428
2024-06-18,41.03,41.08,40.785,40.95,2847649
2024-06-20,40.87,41.02,40.68,40.76,2538141
2024-06-21,40.25,40.53,40.215,40.48,3490372
2024-06-24,40.8,40.86,40.54,40.55,3495700
2024-06-25,40.47,40.48,40.19,40.31,2780351
2024-06-26,40.24,40.51,38.35,38.87,10997043
2024-06-27,38.4,38.79,38.2,38.64,5542940
2024-06-28,38.68,39.03,38.45,38.5,7855979
2024-07-01,38.43,39.065,38.31,38.38,2872558
2024-07-02,38.11,38.32,37.805,38.21,3354099
2024-07-03,38.15,38.49,38.13,38.46,1349530
2024-07-05,38.83,38.91,37.97,38.84,3284491
2024-07-08,38.85,38.95,38.525,38.71,2075447
2024-07-09,38.75,38.87,38.52,38.6,2095353
2024-07-10,38.54,38.645,38.44,38.56,2376638
2024-07-11,38.84,39.03,38.725,38.9,2684196
2024-07-12,39.39,39.505,39.135,39.16,2512206
2024-07-15,39.11,39.13,38.665,38.67,2451434
2024-07-16,38.48,38.955,38.46,38.9,2118311
2024-07-17,39.2,39.94,39.14,39.84,3846610
2024-07-18,39.74,39.83,39.29,39.36,1592081
2024-07-19,39.14,39.46,39.125,39.35,1993996
2024-07-22,39.4,39.58,39.3,39.39,2790193
2024-07-23,39.225,39.27,38.775,38.84,3470272
2024-07-24,38.86,39.3,38.86,39.3,2060260
2024-07-25,38.95,39.46,38.92,39.07,2479742
2024-07-26,39.63,40.12,39.58,39.86,3064146
2024-07-29,40.02,40.195,39.855,40.01,3603668
2024-07-30,39.97,40.005,39.49,39.77,4916963
2024-07-31,39.25,39.3,38.55,38.77,3969864
2024-08-01,38.9,39.739,38.72,39.64,4525593
2024-08-02,40.45,40.57,39.95,40.42,4544971
2024-08-05,39.74,39.99,39.28,39.38,6283141
2024-08-06,38.5,38.96,38.3229,38.68,5179606
2024-08-07,39.12,39.43,38.965,39.37,5332399
2024-08-08,39.42,40.0863,39.37,40.02,5598922
2024-08-09,39.69,40.355,39.6715,40.26,5831882
