Date,Open,High,Low,Close,Volume
2024-03-25,330,331.57,327.26,327.32,755710
2024-03-26,326.75,330.37,326.2,327.71,891333
2024-03-27,331.02,332.58,329.46,331.69,1031976
2024-03-28,332.76,334.49,330.735,333.53,812722
2024-04-01,332.32,332.53,327.68,330.11,850509
2024-04-02,329.04,329.635,325.53,329.35,904583
2024-04-03,329.12,332.66,328.95,332.2,791734
2024-04-04,334.5,335.83,324.51,325.17,749510
2024-04-05,326.22,329.55,326.22,328.8,604424
2024-04-08,326.49,329.395,325.08,328.02,1063600
2024-04-09,329,329.43,325.29,328.89,667214
2024-04-10,326.25,329.24,324.63,327.76,735175
2024-04-11,329.26,329.52,324.21,327.25,643375
2024-04-12,326.16,329.11,320.64,322.82,994870
2024-04-15,327.73,329.93,321.18,322.63,731891
2024-04-16,323.36,323.36,311.905,313.89,1623133
2024-04-17,315.48,315.5514,310.15,311.03,1511041
2024-04-18,303.01,304.6099,292.97,297,2767460
2024-04-19,298.64,305.91,297.35,305.18,1651990
2024-04-22,307.26,313.1,307.01,310.31,1131398
2024-04-23,312.35,320.22,312.35,319.43,1183445
2024-04-24,318.83,322,317.7,319.02,835559
2024-04-25,321.4,322.26,312.13,314.12,1584992
2024-04-26,297.38,307.27,295.7857,306.69,2257051
2024-04-29,308.85,312.84,307.59,311.42,1162825
2024-04-30,312.32,313.42,308.145,309.82,955770
2024-05-01,307.44,313.87,307.05,309.44,812452
2024-05-02,312,312,307.08,308.84,868730
2024-05-03,312,314.57,307.3,307.76,1044934
2024-05-06,309.27,310.99,307.83,310.06,751196
2024-05-07,312.12,314.63,309.81,314.45,1178503
2024-05-08,314.21,314.21,307.2801,309.42,1026963
2024-05-09,309.65,322.15,309.63,321.89,1147825
2024-05-10,322.89,327.78,322.205,326.65,1030864
2024-05-13,325.21,326.65,315.945,317.18,1316541
2024-05-14,318.05,322.18,316.44,320.5,976311
2024-05-15,321.83,327.27,321.83,326.96,778214
2024-05-16,325.29,327.95,322.67,322.71,694447
2024-05-17,323.6,324.18,319.99,322.86,739182
2024-05-20,324.02,325.31,321.485,325.05,725936
2024-05-21,325.06,325.07,317.98,321.12,838616
2024-05-22,320.05,322.51,317.57,318.41,678327
