Date,Open,High,Low,Close,Volume
2024-03-25,389.1,389.86,382.89,383.51,2683928
2024-03-26,382.41,384.26,379.4,379.93,2720409
2024-03-27,380.85,386.3199,380.74,385.89,2536661
2024-03-28,387.13,387.607,379.7236,383.6,4108328
2024-04-01,381.47,383.139,367.84,368.03,4333231
2024-04-02,364.5,366.86,362.96,363,4650544
2024-04-03,362,362.4,359,359.9,4723245
2024-04-04,362.61,365,356.91,357.68,4381563
2024-04-05,357.68,359.33,356.0157,357.87,3243488
2024-04-08,358.07,362.57,357.26,362.05,4339821
2024-04-09,363.63,364.45,358.73,361.42,3022807
2024-04-10,351.87,353.99,348.745,350.56,4805246
2024-04-11,351.04,351.91,345.79,347.37,4104715
2024-04-12,346.12,346.12,341.51,342.87,3550338
2024-04-15,345.92,346.08,337.19,337.93,4209165
2024-04-16,336.82,338.105,332.96,334.83,4525522
2024-04-17,336.78,337.25,331.9401,332.83,4273837
2024-04-18,335.65,336.95,331.325,332.89,3717526
2024-04-19,334.71,335.65,332.58,335.4,3076071
2024-04-22,338.22,339.45,333.71,336.11,3112789
2024-04-23,338,340.19,336.2949,339,3697424
2024-04-24,337.07,337.55,331.82,333.01,4029153
2024-04-25,329.72,332.9099,326.9,331.98,3787752
2024-04-26,331,335.83,330.99,335.09,2465262
2024-04-29,335,337.335,334.145,336.8,2603866
2024-04-30,335.72,337.44,332.8601,334.22,3089890
2024-05-01,333.01,335.394,329.43,331.97,3267852
2024-05-02,335.5,336,330.975,335.53,3213554
2024-05-03,341.28,346.88,340.37,342.85,4165054
2024-05-06,346,346.38,340.4402,342.29,3366254
2024-05-07,343.6,345.54,340.38,340.69,2930715
2024-05-08,338.78,340.44,337.63,338.83,3123197
2024-05-09,339.25,348.005,338.88,347.44,3801438
2024-05-10,347.46,349.81,344.695,346.43,3413895
2024-05-13,348.06,348.79,340.4,340.96,4055584
2024-05-14,335.05,344.2549,333,340.5,5854302
2024-05-15,345.18,350.44,344.69,348.67,4151111
2024-05-16,348,348.25,342.67,342.73,3101626
2024-05-17,344.76,344.93,340.59,344.21,2739006
2024-05-20,341.13,342.5491,337.54,337.82,3237361
2024-05-21,339,339,332.325,336.15,4275120
2024-05-22,334.66,335.25,328.93,330.59,4024444
2024-05-23,330.98,331,325.995,326.89,4021123
2024-05-24,326.39,327.54,324.42,325.1,2736871
2024-05-28,325.39,330.99,324.48,328.7,3807491
2024-05-29,326.53,326.79,323.77,325.91,3506227
2024-05-30,326.26,330.22,325.705,329.18,2922152
2024-05-31,330.05,335.17,328.01,334.87,5557767
2024-06-03,333.65,333.65,326.8374,328.01,3712785
2024-06-04,326.87,329.79,325.1,328.26,4296831
2024-06-05,328.5,330.46,325.92,330.26,2422380
2024-06-06,329.8,331.84,328.06,331.1,2979372
