Date,Open,High,Low,Close,Volume
2024-03-25,26.6132,26.7844,26.6132,26.6768,3473563
2024-03-26,26.6768,26.8824,26.4566,26.6818,3057007
2024-03-27,27.0682,27.401,26.941,27.2298,4875189
2024-03-28,27.2298,27.5624,27.1564,27.3864,4107412
2024-04-01,27.445,27.631,27.3521,27.5136,5531837
2024-04-02,27.313,27.883,27.2248,27.8512,6469218
2024-04-03,27.8218,27.9588,27.5234,27.5967,6467483
2024-04-04,28.6536,29.5638,28.6292,29.0059,14136868
2024-04-05,29.6322,29.7644,28.5313,28.8592,6355704
2024-04-08,28.8542,29.2114,28.6046,29.0646,5812820
2024-04-09,28.957,29.138,28.7172,28.8787,4982521
2024-04-10,28.404,28.6732,28.2182,28.59,4617901
2024-04-11,28.5019,28.5851,28.1888,28.3698,4477052
2024-04-12,27.954,28.13,27.7924,27.9148,12486715
2024-04-15,28.0762,28.4824,27.6408,27.6506,4050644
2024-04-16,27.9588,27.9686,27.5184,27.6603,3705925
2024-04-17,27.6456,27.9123,27.6408,27.8022,5697648
2024-04-18,27.856,28.1325,27.626,28.0762,6831660
2024-04-19,28.2768,28.9178,28.2426,28.908,8780717
2024-04-22,28.5264,28.5998,27.719,28.5264,8129371
2024-04-23,28.3209,28.6072,28.1594,28.5949,5419048
2024-04-24,28.5362,28.5949,28.2597,28.5068,3339047
2024-04-25,28.3943,28.5778,28.267,28.541,3447195
2024-04-26,28.546,28.7466,28.4652,28.546,2932614
2024-04-29,28.634,28.7172,28.5019,28.541,4237835
2024-04-30,28.3796,28.634,28.0812,28.1839,3243667
2024-05-01,28.2916,28.6634,28.223,28.4481,4690864
2024-05-02,28.7466,28.9766,28.6683,28.8053,3655572
2024-05-03,28.678,28.678,28.3796,28.6292,7736388
2024-05-06,28.6242,28.732,28.404,28.4188,3355779
2024-05-07,28.1007,28.1496,27.6799,27.7728,8265634
2024-05-08,27.4744,27.4988,27.308,27.4352,6358593
2024-05-09,27.2346,27.3716,27.0438,27.0732,5796356
2024-05-10,27.0096,27.2298,26.9557,27.1564,4727643
2024-05-13,27.45,27.6848,27.3472,27.3521,3803039
2024-05-14,27.3961,27.4328,27.1734,27.3766,3590954
2024-05-15,27.22,27.2787,26.9068,27.2346,3212449
2024-05-16,27.445,27.5772,27.3716,27.4206,2315909
2024-05-17,27.4891,27.8242,27.472,27.7826,3490223
2024-05-20,27.8022,27.905,27.587,27.6506,1667414
2024-05-21,27.4304,27.626,27.3814,27.4842,4231215
2024-05-22,27.5184,27.5722,27.4157,27.4744,1798717
2024-05-23,27.9882,28.0518,27.763,27.7778,4452480
2024-05-24,28.1643,28.5068,28.0274,28.3796,5630890
2024-05-28,28.409,28.5974,28.2573,28.267,4321674
2024-05-29,27.8512,27.9344,27.8169,27.8904,3173036
2024-05-30,27.9392,28.086,27.626,27.998,7355228
2024-05-31,28.1986,28.3625,28.0322,28.3258,7513449
2024-06-03,29.2456,29.9796,29.2114,29.96,8944107
2024-06-04,28.135,28.3013,26.9117,27.1612,10865020
2024-06-05,28.453,28.6046,27.9735,28.59,9235124
2024-06-06,28.869,29.0353,28.7222,28.908,5042143
2024-06-07,29.0744,29.0744,28.771,28.913,3495300
2024-06-10,28.7026,29.001,28.6879,28.913,3311798
2024-06-11,28.7858,28.9423,28.5851,28.8934,5719448
2024-06-12,29.1968,29.6372,29.1625,29.5148,6532616
2024-06-13,29.691,29.691,29.3924,29.4805,4994416
2024-06-14,29.456,29.691,29.0793,29.6812,3677732
2024-06-17,29.6812,29.8182,29.4169,29.8182,4399501
2024-06-18,30.0286,30.3002,30.0041,30.1656,7116064
2024-06-20,31.0316,31.1148,30.7918,30.9436,6173146
2024-06-21,30.743,31.1001,30.5912,31.0267,4257209
2024-06-24,31.1148,31.4867,30.9534,31.4231,6101260
2024-06-25,31.565,31.9026,31.5307,31.834,6526146
2024-06-26,31.6824,31.8145,31.379,31.8047,8260339
2024-06-27,31.8047,32.0102,31.5748,31.7411,7333023
2024-06-28,31.7607,31.7778,31.3301,31.4769,7233012
2024-07-01,31.6628,31.8586,31.3301,31.3644,6232318
2024-07-02,32.1032,32.8616,31.8536,32.7687,9930566
2024-07-03,32.7148,32.7784,32.4262,32.6072,4731082
2024-07-05,30.6353,30.8164,29.9748,30.283,9376574
2024-07-08,30.3711,30.5326,30.2585,30.2976,5668370
2024-07-09,30.2976,30.4445,29.9894,29.9894,7290935
2024-07-10,29.7692,29.8328,29.3338,29.5344,4785243
2024-07-11,29.549,29.7937,29.4414,29.5148,6418415
2024-07-12,29.7546,29.7546,29.4708,29.5736,3803221
2024-07-15,29.5002,29.7252,29.3974,29.4952,7357854
2024-07-16,29.6029,29.96,29.6029,29.8182,7177758
2024-07-17,29.7008,29.7008,29.3631,29.5344,4330724
2024-07-18,29.5931,29.779,29.3924,29.505,2948643
2024-07-19,29.3582,29.549,29.071,29.1086,4160087
2024-07-22,29.6763,30.1118,29.4756,29.735,4677717
2024-07-23,29.4708,29.7546,29.3876,29.6224,4064811
2024-07-24,29.4316,29.4316,29.1503,29.2066,5842470
2024-07-25,29.3533,29.8084,29.2261,29.456,3596991
2024-07-26,29.598,29.735,29.4805,29.6714,2328155
2024-07-29,29.5344,29.6518,29.2995,29.4218,1836221
2024-07-30,29.51,29.5246,29.2897,29.3142,3548735
2024-07-31,29.4756,29.51,29.2408,29.3631,3649243
2024-08-01,29.8964,29.9112,29.5295,29.6078,6528895
2024-08-02,29.6567,29.7472,29.3362,29.3582,13241776
2024-08-05,28.3796,28.678,28.223,28.3992,14576470
2024-08-06,28.4286,28.6928,28.0078,28.5558,9738611
2024-08-07,29.1332,29.456,28.9766,29.0891,10009143
2024-08-08,29.3876,29.5931,29.3876,29.4805,9578541
2024-08-09,29.4805,29.8084,29.4805,29.7154,7998422
