Date,Open,High,Low,Close,Volume
2024-03-25,39.43,39.69,39.43,39.52,1659926
2024-03-26,39.71,39.805,39.66,39.7,1994464
2024-03-27,39.05,39.1601,38.94,38.99,2310564
2024-03-28,39.56,39.585,39.195,39.36,1779217
2024-04-01,39.37,39.45,39.08,39.31,1314952
2024-04-02,39.13,39.335,39.04,39.32,1379153
2024-04-03,39.59,40.18,39.55,40.13,1875587
2024-04-04,40.89,40.96,40.12,40.17,3000082
2024-04-05,40.41,40.72,40.26,40.72,1404030
2024-04-08,40.86,41.065,40.76,41.01,1553109
2024-04-09,41.24,41.33,40.94,41.16,1930699
2024-04-10,41.56,41.865,41.445,41.81,3240333
2024-04-11,40.94,41.055,40.525,40.95,2059429
2024-04-12,41.06,41.21,40.55,40.63,3373524
2024-04-15,41.27,41.4,40.48,40.57,2463002
2024-04-16,39.83,39.87,39.46,39.65,2894225
2024-04-17,40.13,40.25,39.775,39.98,1721270
2024-04-18,40.26,40.47,40.149,40.39,1544940
2024-04-19,40.06,40.56,40,40.52,1663936
2024-04-22,41.27,41.7299,41.195,41.62,2107291
2024-04-23,41.57,41.9309,41.54,41.89,1583730
2024-04-24,41.64,41.76,41.4711,41.69,1555249
2024-04-25,41.34,41.89,41.32,41.81,1766305
2024-04-26,41.85,41.97,41.63,41.9,1402848
2024-04-29,42.22,42.345,42.11,42.18,1619140
2024-04-30,44.05,44.2339,43.57,43.58,3406062
2024-05-01,43.81,43.96,43.51,43.65,2274576
2024-05-02,44.65,44.7,44.21,44.51,2160766
2024-05-03,44.67,44.81,44.45,44.45,1466120
2024-05-06,44.74,44.82,44.485,44.78,1276673
2024-05-07,45.15,45.285,44.93,44.98,1782391
2024-05-08,45.31,45.46,45.16,45.4,1621261
2024-05-09,43.54,43.635,43.4,43.49,1445562
2024-05-10,43.79,43.9199,43.59,43.6,1825764
2024-05-13,43.99,44.07,43.815,43.97,1269155
2024-05-14,44.44,44.82,44.34,44.72,1674382
2024-05-15,44.53,44.8,44.52,44.77,1105049
2024-05-16,45.39,45.39,43.83,44.43,4597839
2024-05-17,44.37,44.66,44.32,44.54,1125848
2024-05-20,44.48,44.53,44.18,44.19,977497
2024-05-21,44.35,44.605,44.3,44.58,1208394
2024-05-22,44.51,44.6,44.1,44.21,1181206
2024-05-23,44.3,44.37,43.79,43.8,1392361
2024-05-24,44.36,44.65,44.305,44.38,1198827
2024-05-28,44.03,44.4,43.945,44.16,1506274
2024-05-29,43.87,43.93,43.67,43.74,1185424
2024-05-30,44.25,44.5,44.175,44.31,1540615
2024-05-31,44.48,44.715,44.29,44.65,1151671
2024-06-03,44.53,44.89,44.345,44.88,1387037
2024-06-04,44.38,44.57,44.245,44.54,1277797
2024-06-05,44.35,44.4,43.99,44.15,1299007
2024-06-06,44.46,44.62,44.33,44.54,866696
2024-06-07,44.72,44.76,44.42,44.43,1217320
2024-06-10,44.32,44.56,44.08,44.51,921269
2024-06-11,43.37,43.505,43.12,43.32,1609233
2024-06-12,44.4,44.455,43.73,43.87,1614744
2024-06-13,43.5,43.5,43.045,43.21,941405
2024-06-14,43.12,43.24,42.825,43.22,1143430
2024-06-17,43.39,43.71,43.26,43.7,876554
2024-06-18,43.73,43.98,43.58,43.72,1299250
2024-06-20,44.18,44.39,44.09,44.3,1456123
2024-06-21,43.45,43.64,43.3,43.5,1313014
2024-06-24,44.09,44.275,43.93,44.07,2381263
2024-06-25,43.86,43.9311,43.645,43.83,771016
2024-06-26,43.55,43.77,43.49,43.715,735633
2024-06-27,43.96,44.045,43.65,43.73,1291565
