Date,Open,High,Low,Close,Volume
2024-03-25,68.29,68.38,67.285,67.36,1764237
2024-03-26,67.47,67.875,67.28,67.65,1903342
2024-03-27,68.07,68.28,67.495,68.08,2345987
2024-03-28,68.38,68.735,68.01,68.43,2893120
2024-04-01,68.35,68.56,65.64,66.11,3389135
2024-04-02,65.76,65.86,64.83,65.26,4960307
2024-04-03,65.21,66.655,65.18,66,3707913
2024-04-04,66.54,66.8314,65.35,65.53,3506708
2024-04-05,65.85,67.11,65.59,67.06,2421461
2024-04-08,67.27,67.415,66.62,66.73,4441155
2024-04-09,66.78,66.785,65.31,65.85,4819406
2024-04-10,65.02,65.66,64.66,65.25,2813788
2024-04-11,65.2,66,64.56,65.59,2296684
2024-04-12,65.3,65.635,63.53,64,2997987
2024-04-15,65.34,65.53,63.11,63.49,2729387
2024-04-16,63.7,64.75,63.48,64.02,2640763
2024-04-17,64.44,64.44,62.93,63.46,3088786
2024-04-18,63.49,64.345,63.37,63.5,2294333
2024-04-19,64.05,64.34,62.97,63.43,3072299
2024-04-22,63.5,63.76,62.8,62.93,2394341
2024-04-23,63.41,64.78,62.83,64.76,3002552
2024-04-24,65.1,65.49,64.07,64.7,2836861
2024-04-25,64.29,64.94,63.64,64.8,2279731
2024-04-26,64.86,66.57,64.71,66.4,4071656
2024-04-29,66.33,67.845,66.33,67.11,4336497
2024-04-30,66.76,68.34,66.58,66.75,4954846
2024-05-01,66.86,67.88,66.37,66.78,4582033
2024-05-02,74,77.88,73.92,77.1,8863941
2024-05-03,78.21,79.47,76.95,78.89,6147936
2024-05-06,79.72,80.2,78.77,80.18,3253283
2024-05-07,80.26,80.35,79.61,79.83,4330048
2024-05-08,80.23,81.47,80.125,81.42,4102972
2024-05-09,81.56,82.03,80.92,82.03,2359666
2024-05-10,82.72,82.81,80.74,80.87,3147698
2024-05-13,80.99,81.45,79.952,80.22,2537796
2024-05-14,80.11,81.085,79.96,80.88,2030018
2024-05-15,81,82.84,80.95,82.75,2695021
2024-05-16,82.76,83.165,82.53,82.53,2620921
2024-05-17,83.01,83.07,82.26,82.93,1332823
2024-05-20,83.21,84.13,83.21,84.06,1541147
2024-05-21,83.92,84.87,83.51,84.79,1589208
2024-05-22,84.51,84.6,83.17,83.46,2659323
2024-05-23,83.97,83.97,82.21,82.42,2392282
2024-05-24,83.25,85.48,82.9951,84.72,2719884
2024-05-28,85.12,85.52,84.07,85.28,2496473
2024-05-29,84.69,85.2,84.01,84.07,1886623
2024-05-30,84.22,84.54,83.68,84.23,1510195
2024-05-31,84.22,84.7,82.931,84.65,3389685
2024-06-03,85.29,85.43,83.5,84.63,2019131
2024-06-04,84.41,84.41,82.16,82.29,2504605
2024-06-05,82.4,84.65,82.4,84.63,1947547
2024-06-06,84.42,85.05,83.16,83.27,1734999
2024-06-07,83.51,84.67,83.34,83.78,2064032
2024-06-10,83.31,84.4,83.31,83.65,2034450
2024-06-11,83.38,83.66,82.33,83.18,1446283
2024-06-12,83.49,84.17,82.55,83.43,2249930
2024-06-13,83.36,83.53,81.79,82.8,2128433
2024-06-14,81.69,81.735,77.735,78.94,4958710
2024-06-17,78.81,80.2,78.535,80,2863639
2024-06-18,80.02,80.39,79.2755,80.2,1974104
2024-06-20,80.35,80.79,79.23,79.51,3237117
2024-06-21,79.45,80.16,78.892,80.14,4992706
2024-06-24,79.93,81.35,78.105,78.63,4212176
2024-06-25,78.91,79.24,77.49,78.2,4860364
2024-06-26,78.14,79.2,77.7,79,2504270
2024-06-27,79.1,79.86,79,79.6,2749950
2024-06-28,79.78,80.47,76.83,77.63,6548894
2024-07-01,78.75,78.956,76.92,77.3,3021269
2024-07-02,77.06,78.4898,76.85,78.07,2421389
2024-07-03,78.5,79.46,78,79.33,1712907
2024-07-05,79.46,79.645,78,78.8,1880313
2024-07-08,79.27,80.51,79.27,80.47,2150221
2024-07-09,80.53,81.25,80.17,80.24,1840666
