Date,Open,High,Low,Close,Volume
2024-03-25,41.1,41.255,41.05,41.05,4264509
2024-03-26,41.41,41.42,41.075,41.2,4900758
2024-03-27,41.34,41.5199,41.33,41.49,3653780
2024-03-28,41.79,42.09,41.65,42.01,7533827
2024-04-01,42.62,42.64,42.145,42.46,20547687
2024-04-02,42.7,43.11,42.5666,43.09,12232656
2024-04-03,43.02,43.48,42.96,43.46,11442577
2024-04-04,43.32,43.6001,43.11,43.22,13660644
2024-04-05,43.42,44.07,43.355,43.95,7466258
2024-04-08,44.13,44.29,43.85,44.23,6397896
2024-04-09,44.5,44.71,44.22,44.47,12397678
2024-04-10,44.01,44.49,43.86,44.04,16560762
2024-04-11,44.3007,44.91,44.11,44.89,8728413
2024-04-12,45.32,45.98,44.135,44.3,18862291
2024-04-15,44.52,45.15,43.95,45.13,15443534
2024-04-16,44.99,45.355,44.7,45.18,15690954
2024-04-17,45.17,45.3,44.65,44.86,12024652
2024-04-18,45.21,45.25,44.81,45,8014783
2024-04-19,45.04,45.43,44.9613,45.14,7876745
2024-04-22,44.19,44.32,43.955,44.04,8875607
2024-04-23,43.72,44.095,43.69,43.91,8383701
2024-04-24,43.88,44.2,43.8,43.86,5185357
2024-04-25,43.81,44.34,43.79,44.11,8203472
2024-04-26,44.29,44.3422,44.0351,44.26,6147489
2024-04-29,44.14,44.38,43.98,44.16,8695116
2024-04-30,43.59,43.74,43.28,43.3,9230496
2024-05-01,43.52,44.025,43.4,43.69,11788589
2024-05-02,43.31,43.66,43.21,43.55,6727532
2024-05-03,43.5,43.56,43.05,43.52,10297347
2024-05-06,43.97,44.11,43.82,43.95,5693314
2024-05-07,43.84,43.915,43.7,43.76,5484227
2024-05-08,43.64,43.8852,43.6201,43.65,6209569
2024-05-09,43.83,44.33,43.81,44.33,6346252
2024-05-10,44.78,44.87,44.56,44.68,6638566
2024-05-13,44.35,44.405,44.095,44.2,5281624
2024-05-14,44.4,44.615,44.335,44.57,5675590
2024-05-15,44.76,45.19,44.47,45.13,7731575
2024-05-16,44.98,45.07,44.83,44.97,4208704
2024-05-17,45.4,45.74,45.3,45.69,7306468
2024-05-20,45.73,46.085,45.57,45.89,5668496
2024-05-21,45.92,46.01,45.705,45.82,4511578
2024-05-22,45.59,45.6101,44.9,44.99,7061340
2024-05-23,44.69,44.795,44.07,44.07,8015278
2024-05-24,44.34,44.385,44.085,44.12,4117391
2024-05-28,44.64,44.665,44.38,44.57,5092869
2024-05-29,44.31,44.36,44.16,44.16,6020868
2024-05-30,44.27,44.44,44.22,44.24,3404477
2024-05-31,44.5,44.53,43.865,43.99,5267778
2024-06-03,44.11,44.51,44.05,44.39,5176239
2024-06-04,44.18,44.19,43.77,43.98,4146951
2024-06-05,44.27,44.5651,44.12,44.49,4581887
2024-06-06,44.62,44.9499,44.57,44.84,3911685
2024-06-07,43.96,43.97,43.235,43.24,8422010
2024-06-10,43.55,43.735,43.48,43.63,3013541
2024-06-11,43.72,43.81,43.58,43.77,2586439
2024-06-12,44.24,44.25,43.7701,43.88,7247280
2024-06-13,43.82,43.9299,43.3799,43.53,3185234
2024-06-14,43.99,44.145,43.9251,44.08,3424534
2024-06-17,43.91,43.98,43.65,43.85,3553176
2024-06-18,43.8,44.1,43.74,44.03,4548498
2024-06-20,44.21,44.69,44.17,44.58,5276305
2024-06-21,44.52,44.525,43.785,43.89,5793345
2024-06-24,44.05,44.13,43.9799,44.08,3259956
2024-06-25,43.93,43.9956,43.76,43.85,3183470
2024-06-26,43.41,43.54,43.35,43.46,4411694
2024-06-27,43.88,44.035,43.8201,43.96,3302511
2024-06-28,44.05,44.1,43.8999,43.93,2696042
2024-07-01,43.99,44.11,43.84,44.06,4481160
2024-07-02,44,44.15,43.865,44.06,4599808
2024-07-03,44.41,44.695,44.41,44.55,3078458
2024-07-05,44.88,45.225,44.87,45.15,4813260
2024-07-08,44.89,44.9659,44.435,44.6,3848910
2024-07-09,44.67,44.81,44.4,44.66,3114497
2024-07-10,44.99,45.105,44.785,44.83,3974114
2024-07-11,45.51,45.805,45.26,45.63,5318398
2024-07-12,45.39,45.7,45.345,45.61,3279541
2024-07-15,45.66,46.1,45.58,45.76,3046982
2024-07-16,46.07,46.66,46.0485,46.66,7066456
2024-07-17,46.76,46.9301,46.33,46.44,4801414
2024-07-18,46.53,46.655,46.105,46.15,4080966
2024-07-19,45.28,45.51,45.25,45.32,4611044
2024-07-22,45.29,45.355,45.045,45.33,2748301
2024-07-23,45.43,45.5252,45.34,45.49,2200383
2024-07-24,45.68,45.96,45.31,45.31,4548428
2024-07-25,44.78,44.81,44.455,44.62,5045077
2024-07-26,44.96,45.175,44.91,45.08,3162380
2024-07-29,45.23,45.28,44.77,45.02,4749983
2024-07-30,45.26,45.555,45.0399,45.49,4750265
2024-07-31,45.74,46.31,45.7107,46.3,4985956
2024-08-01,46.35,46.51,45.99,46.14,5918197
2024-08-02,46.6,46.76,45.555,46.05,12300132
2024-08-05,45.09,45.6,45.02,45.48,11915365
2024-08-06,45.26,45.41,44.99,45.1,45584062
2024-08-07,45.36,45.43,45.04,45.06,3390557
2024-08-08,45.53,45.83,45.48,45.77,4847942
2024-08-09,45.94,46.04,45.74,45.89,4178505
2024-08-12,46.22,46.7064,46.18,46.67,5027326
2024-08-13,46.61,46.77,46.515,46.6,10748833
2024-08-14,46.31,46.5,46.07,46.23,4835222
2024-08-15,46.29,46.4954,46.02,46.37,3838871
2024-08-16,47.01,47.4089,46.81,47.4,6205167
2024-08-19,47.04,47.37,46.96,47.35,3419452
