Date,Open,High,Low,Close,Volume
2024-03-25,25.98,26.015,25.87,25.87,3834617
2024-03-26,25.95,26.05,25.86,25.9,6215243
2024-03-27,26.03,26.2,25.85,25.97,5778927
2024-03-28,26.14,26.48,26.14,26.41,5000475
2024-04-01,26.34,26.385,25.95,25.96,9425633
2024-04-02,25.71,25.8695,25.6,25.75,7603843
2024-04-03,25.68,25.8,25.64,25.68,2233383
2024-04-04,25.84,26.04,25.565,25.63,7701629
2024-04-05,25.8,25.87,25.63,25.75,13389867
2024-04-08,25.86,26.24,25.86,26.08,4980370
2024-04-09,26.51,26.75,26.44,26.62,4153262
2024-04-10,26.46,26.545,26.34,26.43,3171111
2024-04-11,26.45,26.47,26.28,26.44,4102660
2024-04-12,26.29,26.325,26.0541,26.14,5725332
2024-04-15,25.94,26.005,25.53,25.57,7048372
2024-04-16,25.5,25.61,25.37,25.49,4823628
2024-04-17,25.57,25.735,25.53,25.63,4574043
2024-04-18,25.36,25.64,25.265,25.43,5151118
2024-04-19,25.55,25.815,25.55,25.68,3394003
2024-04-22,25.82,26.13,25.82,26.11,3162188
2024-04-23,26.15,26.31,26.1,26.29,1973613
2024-04-24,26.34,26.37,26.07,26.19,2592873
2024-04-25,26.49,26.64,26.295,26.6,2622290
2024-04-26,26.6,26.67,26.49,26.53,2531832
2024-04-29,27.67,27.8,27.45,27.47,8003224
2024-04-30,27.49,27.66,27.38,27.53,5216019
2024-05-01,27.59,27.72,27.54,27.55,4509532
2024-05-02,27.55,27.7,27.505,27.57,6566921
2024-05-03,27.46,27.49,27.125,27.34,3642804
2024-05-06,27.34,27.55,27.29,27.51,2502218
2024-05-07,27.17,27.17,26.93,27.12,4212052
2024-05-08,26.93,27.08,26.88,26.94,2556034
2024-05-09,26.8,26.84,26.72,26.75,2022942
2024-05-10,26.77,26.84,26.7,26.79,2281347
2024-05-13,26.96,27.06,26.88,26.9,4739517
2024-05-14,26.85,26.91,26.8,26.9,1893822
2024-05-15,27,27.24,26.92,27.19,2834474
2024-05-16,27.28,27.3,27.02,27.1,3894764
2024-05-17,27.15,27.24,27.12,27.21,1913168
2024-05-20,27.29,27.3,27.06,27.08,1859535
2024-05-21,27,27.13,26.98,27,4435755
2024-05-22,26.86,26.88,26.745,26.77,1825335
2024-05-23,27.28,27.38,26.99,27.09,3038156
2024-05-24,27.11,27.365,27.11,27.32,2190379
2024-05-28,27.03,27.18,26.78,26.8,5448612
2024-05-29,26.37,26.475,26.245,26.37,3442436
2024-05-30,26.56,26.74,26.55,26.64,7077498
2024-05-31,26.77,26.78,26.54,26.74,3814916
2024-06-03,27.58,28.37,27.53,28.32,6929393
2024-06-04,26.06,26.075,25.125,25.77,11343990
2024-06-05,26.78,26.88,26.28,26.67,7754398
2024-06-06,26.68,26.805,26.46,26.47,4327858
2024-06-07,26.76,26.76,26.62,26.68,3665366
2024-06-10,26.65,26.745,26.55,26.68,3401557
2024-06-11,26.5,26.6,26.305,26.4,6984280
2024-06-12,26.51,26.67,26.435,26.45,8576483
2024-06-13,26.33,26.34,25.96,26.04,7808586
2024-06-14,26,26.3,25.96,26.26,11818923
2024-06-17,26.26,26.38,26.17,26.35,5252459
2024-06-18,26.69,27.085,26.59,26.99,7630969
2024-06-20,27.63,27.84,27.315,27.78,8426179
2024-06-21,27.66,27.81,27.455,27.7,8144132
2024-06-24,27.93,28.21,27.84,28.14,7840302
2024-06-25,28.67,28.84,28.49,28.79,6479711
2024-06-26,28.9,28.94,28.63,28.9,4916290
2024-06-27,29.03,29.17,28.95,29.01,3274349
2024-06-28,28.9,28.945,28.62,28.81,5988752
2024-07-01,29,29.05,28.8,28.81,2502573
2024-07-02,28.57,28.78,28.35,28.68,5920954
2024-07-03,28.73,28.875,28.66,28.85,2031130
2024-07-05,29.37,29.5,29,29.23,7044156
2024-07-08,29.23,29.315,29.1,29.14,3991573
2024-07-09,29.4,29.5,29.34,29.38,6897975
2024-07-10,29.33,29.49,29.25,29.45,3556175
2024-07-11,29.5,29.57,29.28,29.31,3687679
2024-07-12,29.33,29.37,29.04,29.18,3270441
2024-07-15,29.25,29.25,29.12,29.17,4898086
2024-07-16,29.34,29.66,29.3,29.62,7632457
2024-07-17,29.51,29.54,29.25,29.3,3872244
2024-07-18,29.41,29.55,29.4,29.46,5150982
2024-07-19,29.36,29.61,29.345,29.35,4027158
2024-07-22,29.55,29.57,29.22,29.36,3183272
2024-07-23,29.05,29.285,28.94,29.11,3815082
2024-07-24,28.94,28.95,28.57,28.62,8535547
2024-07-25,28.4,28.61,28.29,28.3,6884060
2024-07-26,28.69,28.86,28.64,28.76,4750450
2024-07-29,28.87,29.03,28.76,28.78,4829386
2024-07-30,28.715,29.02,28.715,28.88,6613845
2024-07-31,29.11,29.22,28.965,29.11,4114314
2024-08-01,28.89,28.89,28.5903,28.79,5492244
2024-08-02,28.19,28.345,28.0402,28.11,5252383
2024-08-05,27.43,27.83,27.26,27.82,8653756
2024-08-06,27.81,27.99,27.545,27.84,7200988
2024-08-07,28.13,28.175,27.7,27.78,3726464
2024-08-08,27.81,28.21,27.81,28.14,9793336
2024-08-09,28.02,28.155,28,28.12,4188407
2024-08-12,27.97,28.06,27.74,27.76,4059787
2024-08-13,27.76,27.765,27.51,27.62,6440858
2024-08-14,27.58,27.65,27.5,27.58,2990868
2024-08-15,27.76,27.89,27.69,27.84,5746324
2024-08-16,28.13,28.25,28.08,28.19,2708002
2024-08-19,28.1,28.15,28.01,28.02,2603340
2024-08-20,27.95,28.04,27.85,27.91,9374431
2024-08-21,27.91,28.14,27.91,28.1,3658384
2024-08-22,28.28,28.42,28.13,28.34,3918015
2024-08-23,28.54,28.715,28.5,28.6,4235646
2024-08-26,28.7,28.79,28.63,28.67,2749904
2024-08-27,28.89,29.065,28.86,29,4085656
2024-08-28,28.91,29.02,28.83,28.89,2742205
2024-08-29,28.95,29.255,28.94,29.12,2901429
2024-08-30,29.2,29.32,29.13,29.31,2870172
2024-09-03,29.66,29.69,29.44,29.49,7158216
2024-09-04,29.49,29.72,29.47,29.6,5991873
2024-09-05,29.65,29.65,29.03,29.11,4389616
2024-09-06,28.76,28.86,28.43,28.56,5257219
2024-09-09,29.43,29.43,29.1,29.13,4763531
2024-09-10,29.2,29.26,28.64,28.96,5517693
2024-09-11,29.03,29.255,28.94,29.19,5515360
2024-09-12,29.415,29.65,29.41,29.62,3268074
2024-09-13,29.59,29.66,29.54,29.62,6887900
2024-09-16,30,30.11,29.905,29.95,10700483
2024-09-17,30.07,30.0895,29.86,29.94,7592739
2024-09-18,30.42,30.56,30.275,30.44,4790329
2024-09-19,30.67,30.87,30.644,30.78,4078743
2024-09-20,31.51,31.6,31.32,31.38,6995696
2024-09-23,31.41,31.43,31.225,31.36,6414588
2024-09-24,31.37,31.39,31.21,31.25,3300087
2024-09-25,31.27,31.425,31.18,31.28,4823741
2024-09-26,31.34,31.49,31.24,31.28,7037759
2024-09-27,31.07,31.07,30.55,30.6,4492083
2024-09-30,30.175,30.19,29.78,29.85,13146666
2024-10-01,30.03,30.09,29.71,29.87,6290030
2024-10-02,29.87,29.885,29.45,29.62,7981763
2024-10-03,29.46,29.6,29.2,29.3,13415893
2024-10-04,29.34,29.455,29.3,29.41,7502525
2024-10-07,29.18,29.32,28.785,28.81,7306940
2024-10-08,29.22,29.37,29.12,29.3,5230962
2024-10-09,29.32,29.425,29.14,29.35,6289806
2024-10-10,29.43,29.45,29.15,29.2,4744362
2024-10-11,29,29,28.68,28.7,3770915
