Date,Open,High,Low,Close,Volume
2024-03-25,136.08,136.36,135.26,135.81,1984457
2024-03-26,136.08,137.95,135.99,137.12,2555069
2024-03-27,138.16,138.47,136.04,136.98,2050604
2024-03-28,137.36,137.939,136.36,137.43,2596799
2024-04-01,137.66,137.98,136.23,137.03,1640543
2024-04-02,136.87,137.53,136.02,137.5,1834443
2024-04-03,137.33,138.16,136.66,137.39,2426568
2024-04-04,138.25,138.8696,136.25,136.7,2744664
2024-04-05,136.74,137.98,136.06,137.87,2328202
2024-04-08,138.2,138.2,136.79,136.88,1980786
2024-04-09,137.43,137.75,134.545,135.06,2140014
2024-04-10,133.48,134.81,132.4466,132.94,2151886
2024-04-11,132.98,134.33,132.335,133.48,2256639
2024-04-12,132.8,134.49,132.65,133.55,3255756
2024-04-15,134.81,134.85,130.16,130.54,2264775
2024-04-16,130.6,131.31,129.46,129.9,2637594
2024-04-17,132,132,130,130.74,2362363
2024-04-18,131.5,131.5,130.18,130.98,2014993
2024-04-19,131.37,131.78,130.24,131.21,2263437
2024-04-22,132.1,132.37,131.115,131.65,1877355
2024-04-23,132,132.47,131.4,132.33,2375856
2024-04-24,132,132.645,131.04,132.57,2498871
2024-04-25,131.96,132.045,130.43,131.82,1923011
2024-04-26,131.74,132.3,130.89,131.7,2406708
2024-04-29,131.65,132.87,130.52,130.78,1557886
2024-04-30,130.05,130.707,128.74,128.76,2304680
2024-05-01,128.83,130.47,128.45,128.68,3116764
2024-05-02,129.35,130.2,124.34,126.54,4364062
2024-05-03,127.8,131.68,127.8,130.5,3991238
2024-05-06,130.82,131.78,130.39,131.28,1738908
2024-05-07,132.22,133.79,131.6,133.72,2397924
2024-05-08,133.29,133.82,132.2469,133.39,1405234
2024-05-09,133.4,135.05,133.1,134.95,1474231
2024-05-10,135.28,135.89,133.445,133.99,1933299
2024-05-13,134.4,134.985,133.56,133.74,1473830
2024-05-14,134.25,134.62,133.47,134.39,1415830
2024-05-15,134.89,138.12,134.89,137.87,2508539
2024-05-16,137.81,138.5,137.04,137.11,2205818
2024-05-17,137.81,138.46,137.01,138.4,2060689
2024-05-20,137.85,138.09,136.84,136.95,1418673
2024-05-21,137.15,137.55,136.61,137.27,1681678
2024-05-22,136.48,137.5,135.77,136.89,1295663
2024-05-23,137.57,137.57,134.82,135.4,1595887
2024-05-24,135.81,136.55,135.71,136.34,926069
2024-05-28,136.37,136.62,133.6,133.68,1815510
2024-05-29,132.71,132.96,131.87,131.95,1471442
2024-05-30,132.33,133.595,131.79,133.24,2844907
2024-05-31,133.33,134.325,132.92,133.9,2964473
2024-06-03,134.4,134.83,132.565,133.65,2043473
2024-06-04,133.16,135.31,132.91,134.76,2235148
2024-06-05,134.5,135.8,133.195,135.34,2259261
2024-06-06,135.63,135.65,134.32,134.86,1242808
2024-06-07,134.35,134.8,133.56,133.79,2843907
2024-06-10,133.5,134.41,133.07,133.88,2322981
2024-06-11,133.58,134.71,132.93,134.59,2427216
2024-06-12,136.36,137.315,135.99,136.05,3516369
2024-06-13,135.53,135.675,134.57,135.26,1971486
2024-06-14,134.68,135.835,134,135.67,1515311
2024-06-17,134.98,136.43,133.97,136.2,2077180
2024-06-18,136.21,136.93,135.42,136.38,3034583
2024-06-20,135.63,137.39,134.78,137.11,2286099
2024-06-21,136.96,137.98,136.08,137.84,4999394
2024-06-24,138.12,139.55,137.49,138.72,2368898
2024-06-25,138.66,139.09,136.62,137.33,2249952
2024-06-26,136.66,137.7,136.59,137.39,2389233
2024-06-27,137.21,137.6231,136.6,137.47,2112338
2024-06-28,137.81,138.09,136.205,136.89,4067356
2024-07-01,138.65,138.7,136.25,136.93,2386077
2024-07-02,137.11,140.975,136.96,140.82,3321015
2024-07-03,141.25,141.5899,140.25,141.16,2070106
2024-07-05,141.16,141.16,139.61,140.79,2099926
2024-07-08,141.13,142.19,140.84,141.17,2307444
2024-07-09,141.31,142.49,140.32,142.46,2368078
2024-07-10,143,144.47,142.78,144.41,2873941
2024-07-11,145.45,147.32,145.21,147.15,3340340
2024-07-12,147.73,149.44,147.5,148.4,3718928
2024-07-15,148.9,149.11,147.475,147.82,2950915
2024-07-16,148.04,149.3501,147.61,148.92,3823676
2024-07-17,148.6,149.52,148.18,149.41,2794295
2024-07-18,149.09,149.595,147.45,147.76,3255482
2024-07-19,148.57,148.57,146.69,147.68,2584682
2024-07-22,147.75,149.4699,147.75,149.24,2697286
2024-07-23,149.92,150,148.38,148.57,3545719
2024-07-24,148.25,149.05,147.18,147.51,2939505
2024-07-25,148,150.39,147.56,149.03,3164947
2024-07-26,149.75,151.72,149.555,151,2066933
2024-07-29,151.1,151.5,150.39,151.16,1186143
2024-07-30,151.36,152.375,151.15,151.3,2477835
2024-07-31,152.48,152.96,151.3,151.56,3890374
2024-08-01,150.28,153.28,148.33,151,4537037
2024-08-02,150,151.97,148.47,149.85,4482290
2024-08-05,152.39,152.39,146.67,148.78,4003335
2024-08-06,149.22,152.13,148.17,150.51,2949180
2024-08-07,151.51,152.63,150.77,151.12,3314788
2024-08-08,151.53,154.02,150.95,153.76,3647876
2024-08-09,153.73,154.3799,152.83,154.08,2787425
2024-08-12,154,154.63,152.98,153.89,2829238
2024-08-13,154.6,155.16,152.87,154.66,3558235
2024-08-14,154.87,156.54,153.8,156.12,1994604
2024-08-15,156.71,157.18,154.53,155.5,2659721
2024-08-16,155.87,156.68,155.19,156.54,2004523
2024-08-19,156.54,157.485,156.23,157.27,1369275
2024-08-20,157.5,157.85,156.49,157.75,2029054
2024-08-21,157.76,158.46,156.96,158.11,2179746
2024-08-22,158.11,158.7,157.4,158.6,2288784
2024-08-23,158.98,160.25,158.87,160.01,2665237
2024-08-26,160.51,161.11,159.87,160.31,926041
2024-08-27,160.49,161.49,159.74,160.6,1344708
2024-08-28,160.8,161.97,160.21,160.77,2341511
2024-08-29,160.77,161.28,160.08,160.22,2119815
2024-08-30,160.47,161.76,159.95,161.55,3067676
2024-09-03,161.44,162.4,160.22,161.44,2556043
2024-09-04,161.63,162.76,161.19,162.43,2320659
2024-09-05,162.18,162.92,161.05,162.6,1905475
2024-09-06,162.97,163.71,159.705,160.49,2902217
2024-09-09,161.43,162.8,160.95,161.7,3669155
2024-09-10,162.14,162.755,160.995,161.97,2008517
2024-09-11,161.27,161.53,157.88,159.99,3072533
2024-09-12,160.05,161.55,159.635,161.14,4332232
2024-09-13,161.32,161.63,160.7,161.36,2418684
2024-09-16,161.46,162.81,161.245,161.91,1681502
2024-09-17,161.79,163.27,161.71,162.81,2319411
2024-09-18,162.81,163.27,161.14,161.22,2917109
2024-09-19,162.18,162.39,157.95,158.87,4459110
2024-09-20,159.02,159.85,158.23,159.84,4843357
2024-09-23,159.84,160.98,159.4,159.95,1639272
2024-09-24,159.63,159.788,157.48,158.75,2826677
2024-09-25,158.91,159.8,158.51,159.45,2827103
2024-09-26,159.57,160.32,157.85,158.12,3239905
2024-09-27,158.27,159.285,157.74,158.62,3329491
2024-09-30,158.965,160.78,158.22,160.64,1760406
2024-10-01,161.07,162.12,159.32,161.14,3076885
2024-10-02,160.52,161.15,159.62,160.92,1982875
2024-10-03,161.14,163.35,160.68,163.26,2585892
2024-10-04,163.57,164.18,162.48,162.76,2233038
2024-10-07,162.22,162.545,159.23,159.54,2688759
2024-10-08,160.94,162.25,160.39,162.09,2006534
2024-10-09,162,162.85,161.7,161.74,1808502
2024-10-10,161.67,161.94,159.81,160.65,1734554
2024-10-11,161.39,162.82,160.73,162.57,2609565
2024-10-14,162.48,164.75,162.28,164.38,2742516
2024-10-15,165.91,167.23,164.905,165.18,2621767
2024-10-16,164.19,165.33,163.32,165.13,1735457
2024-10-17,166.19,166.285,164.7901,164.81,2145610
2024-10-18,165,167.06,164.4,166.83,2310759
2024-10-21,165.73,166.63,165.59,166.34,2354287
2024-10-22,165.25,166.67,165,165.94,2120821
2024-10-23,165.62,166.03,163.97,165,4461794
2024-10-24,165.29,167.545,164.78,166.9,4889892
2024-10-25,167.27,167.64,165.23,165.31,2994060
2024-10-28,166.38,166.95,165.76,166.44,2708602
2024-10-29,165.62,167.16,165.57,166.72,3430479
2024-10-30,166.76,167.99,166.375,166.53,2726355
2024-10-31,159.32,159.59,153.95,155.87,8152813
2024-11-01,153.48,156.36,153.2,154.64,4510332
2024-11-04,155.51,156.07,154.04,154.49,2540797
2024-11-05,154.87,157.91,154.7,157.85,2191998
2024-11-06,160.26,160.61,152.32,155.79,6013275
2024-11-07,156.06,156.46,155.155,156.11,2431846
2024-11-08,157.52,159.04,156.4,156.42,4946737
2024-11-11,159.07,159.81,156.68,157.08,3079923
2024-11-12,157.045,157.68,155.92,156.06,2047452
2024-11-13,156.83,157.1,155.5,155.84,2040017
2024-11-14,155.705,157.66,155.52,156.47,2550136
2024-11-15,155.79,156.96,155.13,155.55,2795449
2024-11-18,155,157.78,154.855,157.69,3974158
2024-11-19,157.505,158.58,156.765,157.93,2847849
2024-11-20,157.855,158.295,155.2,155.77,1867774
2024-11-21,156.36,159.035,155.51,158.35,2514284
2024-11-22,159.02,159.37,158.02,159.29,2080095
2024-11-25,159.635,160.39,158.79,159.63,3062728
2024-11-26,159.915,161.46,158.88,160.49,3464203
2024-11-27,160.415,161.9855,159.99,161.19,2481644
2024-11-29,161.71,161.93,160.53,160.96,1439524
2024-12-02,160.48,160.61,157.34,158.29,4154239
2024-12-03,158.37,158.65,156,156.26,2908522
2024-12-04,155.36,156.865,155.32,156.1,3249068
2024-12-05,156.5,157.41,155.59,156.37,4459734
2024-12-06,156.56,157.64,155.52,155.93,3275112
2024-12-09,156.295,156.7938,155.7,156.07,3750284
2024-12-10,156.43,158.76,155.77,158.41,3232357
2024-12-11,158.735,159.81,157.62,158.18,3249218
2024-12-12,158.745,158.91,156.33,156.55,2007067
2024-12-13,156.495,157.41,155.43,155.58,2411606
2024-12-16,155.09,155.78,154.36,154.58,2331526
2024-12-17,154.29,154.29,152.58,152.79,3634078
2024-12-18,153.03,154.39,149.53,149.6,4571962
2024-12-19,150,151.17,148.06,148.29,4870545
2024-12-20,148.815,151.34,148,150.31,6446830
2024-12-23,149.5,150.42,148.77,150.16,2853782
2024-12-24,150.375,150.575,149.6,150.46,1084636
2024-12-26,149.2,151.365,149.2,151.02,1168102
2024-12-27,149.71,151.35,149.53,150.32,1212355
2024-12-30,149.16,149.95,148.35,149.37,2444147
2024-12-31,149.43,150,148.52,149.01,1562067
2025-01-02,149.9,150.1476,148.455,149.34,1921584
2025-01-03,149.38,150,148.73,149.84,1227621
2025-01-06,148.92,149.17,145.88,146.58,3742914
2025-01-07,146.39,147.39,145.61,146.44,3135700
2025-01-08,144.76,146.62,143.83,146.57,3719431
2025-01-10,144.9,145.48,142.45,142.8,3979445
2025-01-13,142.435,143.94,142.29,143.89,3358028
2025-01-14,144.31,145.66,144.095,145.25,3229649
2025-01-15,147.92,148.71,146.39,148.24,5105100
2025-01-16,148.15,150.25,148,150.23,2823396
2025-01-17,150.88,151.07,148.94,149.11,3364622
2025-01-21,149.61,151.8,149.61,151.72,4420573
2025-01-22,151.8,154.8,151.3,154.17,4981169
2025-01-23,153.73,158.63,153.29,157.68,3989127
2025-01-24,156.98,157.95,156.69,157.47,1944798
2025-01-27,157.8,160.91,157.29,160.83,3136265
2025-01-28,159.62,160.41,158,158.84,2532318
2025-01-29,158.35,158.86,156.94,157.22,2592842
2025-01-30,158.8,160.78,157.43,159.44,1941702
2025-01-31,159.305,161.18,158.55,159.83,2624046
2025-02-03,158.685,160.885,157.215,160.39,1986609
2025-02-04,159.555,160.88,159.1606,159.32,2472438
2025-02-05,160.44,161.6376,159.61,160.7,2971713
2025-02-06,164.95,169.75,163.995,167.68,4423899
2025-02-07,166.1,167.87,164.14,166.83,3072865
2025-02-10,167.25,167.75,165.77,167.12,3650349
2025-02-11,166.77,167.07,165.1,166.94,2168771
2025-02-12,165.15,166.86,164.335,166.56,2557547
2025-02-13,167.335,169.04,167.0296,168.57,1853638
2025-02-14,168.6,169.78,166.68,166.71,1776137
2025-02-18,166.8,167.085,165.34,166.5,2230113
2025-02-19,167,167.565,166.04,166.96,2505459
2025-02-20,166.77,167.48,165.83,166.79,1643520
2025-02-21,166.83,168.485,166.344,167.87,2853344
2025-02-24,169,169.89,167.295,168.42,3467508
2025-02-25,169.14,171.61,168.95,171.21,3456440
2025-02-26,170.56,172.63,170.15,171.17,3256160
2025-02-27,171.115,173.52,170.38,170.84,2805767
2025-02-28,170.94,173.54,170.665,173.23,5508636
2025-03-03,172.81,175.41,172.33,173.2,3658467
2025-03-04,173.2,174.16,169.72,169.85,3034222
2025-03-05,170,171.96,169.35,171.61,3216501
2025-03-06,169.635,171.01,168.27,169.65,3104690
2025-03-07,169.53,170.745,167.605,170.24,3541793
2025-03-10,169.93,171.55,167.67,169.15,4806444
2025-03-11,169.345,170.35,168.2,168.36,3855756
2025-03-12,168.825,169.94,167.62,169.02,4066808
2025-03-13,168.985,171.07,168.58,169.14,2919124
2025-03-14,169.88,171.45,168.875,171.06,3018612
2025-03-17,171.31,173.67,170.12,172.82,2483405
2025-03-18,173.285,173.7326,171.95,172.84,2995092
2025-03-19,173.235,174.52,172.17,173.69,2609522
2025-03-20,173.435,175.9,173.01,175.59,2746824
2025-03-21,175.38,175.99,173.1,174.39,4717158
2025-03-24,174.32,176.16,174.16,175.25,2982420
2025-03-25,176.15,176.49,174.48,175.63,2777162
2025-03-26,175.23,176.818,174.99,175.76,2575196
2025-03-27,175.545,177.45,175.12,176.36,2946283
2025-03-28,176.125,177.02,174.48,174.71,3199241
2025-03-31,172.82,173.535,171.29,172.5,6283101
2025-04-01,172.15,172.705,170.59,171.49,3877234
2025-04-02,170.04,172,169.61,170.44,6613447
2025-04-03,169.215,172.57,167.28,167.56,6043400
2025-04-04,163.6053,166.505,156.55,156.74,6340552
2025-04-07,152.23,159.49,150.47,154.65,6950476
2025-04-08,158.495,158.785,149.46,151.62,6466519
2025-04-09,150.455,157.27,147.24,156.81,7429504
2025-04-10,156.2,157.01,150.82,155.19,4719173
2025-04-11,154.25,156.805,152.26,155.91,2786455
2025-04-14,157.785,160.29,157.2,159.79,2946457
2025-04-15,159.965,160.99,157.9859,159.95,2675635
2025-04-16,159.795,160.37,157.36,158.44,2628882
2025-04-17,159.45,160.805,158.05,158.64,2742799
2025-04-21,157.51,157.8168,153.13,155.03,2815044
2025-04-22,157.97,160.97,156.53,160.68,2909656
2025-04-23,162.1,163.145,159.46,160.99,2876120
2025-04-24,162.38,163.3,160.01,162.98,1559702
2025-04-25,162.24,163.63,161.61,163.23,1642803
2025-04-28,162.53,164.38,162.29,163.48,2337558
2025-04-29,163.8,166.62,163.41,166.33,2114606
2025-04-30,165.765,168.78,164.55,167.97,3672194
2025-05-01,166.235,172.31,162.94,170.84,4008893
2025-05-02,172.5325,174.5,171.23,173.45,2921498
2025-05-05,173.72,175.1719,172.59,173.98,2239179
2025-05-06,173,176.21,172.96,175.19,2744252
2025-05-07,175.26,177.0215,174.52,176.53,2025758
2025-05-08,176.655,178.8,176.4,176.47,4378358
2025-05-09,177.005,179.435,176.78,178.33,3313538
2025-05-12,178.915,178.915,170.58,173.44,4617932
2025-05-13,172.84,174.8,172.78,172.84,2122959
2025-05-14,172.86,174,170.92,171.94,4025824
2025-05-15,172.23,175.22,171.86,174.85,2563607
2025-05-16,175.55,176.26,173.82,176.25,2330954
2025-05-19,174.73,177.41,174.56,176.75,2731511
2025-05-20,175.625,177.38,175.54,176.29,2150784
2025-05-21,176.674,177.17,174.19,174.72,4479607
2025-05-22,174.615,175.42,173.57,174,2896246
2025-05-23,172.905,176.785,172.905,176.12,2248077
2025-05-27,177.07,178.96,176.55,178.54,2831517
2025-05-28,177.745,178.64,177.58,177.8,2297962
2025-05-29,178.19,178.785,176.87,178.53,1789718
2025-05-30,178.375,180.6399,178.01,179.8,5439480
2025-06-02,178.7,180.34,177.6672,180.32,1854721
2025-06-03,180.215,180.89,177.8,179.34,2387667
2025-06-04,179.68,179.95,177.93,179.13,1869924
2025-06-05,179.68,179.68,177.66,178.56,2438361
2025-06-06,178.55,178.88,177.355,178.68,3245193
2025-06-09,178.285,178.83,174.785,175.97,2775968
2025-06-10,176,176.34,174.74,175.53,1898192
2025-06-11,175.865,177.56,174.95,177.5,1677272
2025-06-12,177.01,179.14,176.99,179.08,1841536
2025-06-13,178.175,179.95,177.45,178.44,2500290
2025-06-16,179.455,181.63,179,179.8,2150731
2025-06-17,178.905,181.65,178.7208,180.99,3230567
2025-06-18,180.895,181.33,179.51,179.76,2055314
2025-06-20,179.01,180.9,177.47,178.43,3910148
2025-06-23,178.63,179.96,178.2,179.73,2017412
2025-06-24,180.85,181.31,178.455,180.85,2101670
2025-06-25,180.39,181.454,179.64,180.53,1560748
2025-06-26,181.07,181.615,180.22,180.8,1504517
2025-06-27,180.7,182.61,180.42,181.75,2137145
2025-06-30,182.135,183.76,181.36,183.47,3214083
2025-07-01,183.29,183.73,179.31,181.86,2223840
2025-07-02,181.515,181.86,179.6,181.74,1631142
2025-07-03,181.815,183.11,181.79,183.11,1082826
