Date,Open,High,Low,Close,Volume
2024-03-25,5.4705,5.50709,5.4705,5.47863,9335258.74
2024-03-26,5.51927,5.60057,5.51115,5.59244,11547745.09
2024-03-27,5.59244,5.65746,5.56805,5.64121,10378820.75
2024-03-28,5.61683,5.67373,5.60057,5.63307,10803792.57
2024-04-01,5.61683,5.62495,5.36686,5.38922,15754493.75
2024-04-02,5.36483,5.42174,5.33232,5.3811,16263263.28
2024-04-03,5.35671,5.39735,5.29997,5.34858,23730592.3
2024-04-04,5.42174,5.43799,5.25916,5.27543,33633406.79
2024-04-05,5.30793,5.31201,5.22665,5.2673,25835011.05
2024-04-08,5.31607,5.42986,5.31201,5.36483,15008235.06
2024-04-09,5.43799,5.47863,5.40548,5.47863,23950153.28
2024-04-10,5.37296,5.38922,5.23486,5.25104,26614863.19
2024-04-11,5.23478,5.27543,5.21039,5.24291,15283104.98
2024-04-12,5.17787,5.186,5.12911,5.16162,20143242.38
2024-04-15,5.08847,5.13317,4.97874,4.99092,40088243.75
2024-04-16,4.90964,4.93403,4.83649,4.87712,45687497.82
2024-04-17,4.89339,4.92588,4.82835,4.91777,28704941.25
2024-04-18,4.94216,4.9706,4.83649,4.9015,22402264.13
2024-04-19,4.9015,4.9828,4.9015,4.91777,17977439.75
2024-04-22,4.90964,4.99092,4.88525,4.95841,14252826.88
2024-04-23,4.97466,5.12911,4.95841,5.08034,35825651.58
2024-04-24,5.03156,5.07221,4.99092,5.04783,22385901.55
2024-04-25,4.97466,5.03969,4.95027,4.96654,17398978.36
2024-04-26,5.03969,5.14537,5.03969,5.12099,23570316.06
2024-04-29,5.11284,5.11284,5.03969,5.06408,15124619.91
2024-04-30,5.04783,5.07221,4.9015,4.91777,30436245.59
2024-05-01,4.90964,5.03969,4.89339,4.95841,14440221.99
2024-05-02,5.05595,5.10472,5.00718,5.08034,25373540.15
2024-05-03,5.17787,5.21446,5.13723,5.1535,20554844.8
2024-05-06,5.186,5.24291,5.1535,5.186,17015553.65
2024-05-07,5.21039,5.33639,5.18609,5.30793,26085075.48
2024-05-08,5.24291,5.33232,5.23478,5.31607,15444105.31
2024-05-09,5.14537,5.16162,5.07221,5.11284,23307728.89
2024-05-10,5.186,5.21039,5.1535,5.1535,25004174.94
2024-05-13,5.19415,5.26323,5.15756,5.21852,25947890.81
2024-05-14,5.23478,5.31607,5.21852,5.29168,23796713.15
2024-05-15,5.29168,5.30793,5.23478,5.2673,25823407.07
2024-05-16,5.32419,5.33232,5.24697,5.25916,21249879.53
2024-05-17,5.2673,5.31607,5.24697,5.30793,14222472.78
2024-05-20,5.2673,5.33232,5.2551,5.28354,12492022.31
2024-05-21,5.28354,5.30793,5.21039,5.24291,16923616.88
2024-05-22,5.1535,5.186,5.10472,5.10472,15963911.29
2024-05-23,5.0966,5.11984,5.05595,5.07221,13462796.28
2024-05-24,5.07221,5.0965,4.99905,5.01531,14813657.76
2024-05-28,5.04783,5.06408,4.97466,4.99905,24360350.78
2024-05-29,4.87712,4.93403,4.86087,4.91777,19976687.26
2024-05-30,4.93403,4.97466,4.89339,4.93403,13050891.04
2024-05-31,4.86087,4.88931,4.80396,4.869,34779954.38
2024-06-03,4.84461,4.94216,4.8121,4.92588,24006880.53
2024-06-04,4.83649,4.89339,4.82023,4.87712,19035566.99
2024-06-05,4.88525,4.88525,4.8121,4.86087,17593264.17
2024-06-06,4.9015,4.96654,4.89339,4.95841,18149769.05
2024-06-07,4.869,4.91777,4.79584,4.82835,18565023.85
2024-06-10,4.73893,4.75519,4.6861,4.73081,39007531.7
2024-06-11,4.77958,4.82835,4.74707,4.77958,13761667.26
2024-06-12,4.77958,4.80803,4.68204,4.77146,51379086.24
2024-06-13,4.76332,4.78771,4.69017,4.73081,23901486.81
2024-06-14,4.69829,4.76332,4.68204,4.71455,20697723.31
2024-06-17,4.73081,4.82023,4.73081,4.82023,27587494.25
2024-06-18,4.77146,4.869,4.77146,4.77958,21757472.8
