Date,Open,High,Low,Close,Volume
2024-03-25,63.83,63.985,63.5,63.63,5132960
2024-03-26,63.79,64.45,63.62,64.1,6032843
2024-03-27,64.37,64.88,64.095,64.87,4126073
2024-03-28,64.98,65.4,64.78,65.32,9387861
2024-04-01,65.37,65.45,64.67,65.13,4797060
2024-04-02,65.21,65.58,64.89,65.5,5658496
2024-04-03,65.5,66.16,65.27,65.52,4702699
2024-04-04,66.3,66.49,64.14,64.39,5979349
2024-04-05,64.61,65.445,64.555,65.19,3043053
2024-04-08,65.45,65.55,64.81,64.85,3761578
2024-04-09,64.87,65.72,64.4575,65.66,3605156
2024-04-10,64.85,65.51,64.62,65.41,4016201
2024-04-11,65.78,65.86,64.35,65.17,3438347
2024-04-12,64.57,65.48,64.5,65.29,4673201
2024-04-15,66.21,66.3,64.18,64.4,3384450
2024-04-16,64.11,64.41,63.505,64.23,3655062
2024-04-17,64.78,64.78,63.16,63.69,3920429
2024-04-18,64.13,64.6,63.71,63.77,3263181
2024-04-19,63.97,64.5,63.56,63.68,5220299
2024-04-22,63.7,65.15,63.7,64.64,3195649
2024-04-23,64.85,65.45,64.78,65.17,2654684
2024-04-24,65.01,65.56,63.99,64.61,7309742
2024-04-25,64.51,64.78,63.78,64.45,5145292
2024-04-26,64.69,65.42,64.46,65.11,6408009
2024-04-29,65.12,65.61,64.985,65.31,5015570
2024-04-30,65.32,65.99,64.98,65.07,5314781
2024-05-01,62.07,62.88,59.83,60.47,14984806
2024-05-02,60.72,61.14,60.04,60.75,7559399
2024-05-03,61.25,62.465,60.84,62.38,7096178
2024-05-06,62.28,63.44,62.1,63.38,7291958
2024-05-07,63.57,64.595,63.39,64.46,5413433
2024-05-08,64.58,65.45,64.19,65.24,4819675
2024-05-09,65.5,65.97,65,65.74,4620399
2024-05-10,65.91,66.15,65.235,65.59,3957414
2024-05-13,65.92,66.4,65.8701,66.06,5026260
2024-05-14,66.53,67.24,66.425,66.88,3895035
2024-05-15,67.04,68.31,66.97,68.18,5961255
2024-05-16,68.33,69.49,68.175,68.27,5774359
2024-05-17,68.2,69.22,67.97,69.02,5002949
2024-05-20,71.8,72.99,70.26,70.62,13185787
2024-05-21,70.62,73.08,70.62,72.86,11636229
2024-05-22,72.09,73.28,72.05,73.19,7180978
2024-05-23,73.66,73.68,72.25,73.26,6172389
2024-05-24,73.73,74.23,73.13,73.9,4473217
2024-05-28,73.8,73.915,72.33,72.68,5684539
2024-05-29,72.9,73.41,71.01,71.1,6001757
2024-05-30,71.16,71.76,70.82,71.56,3705512
2024-05-31,71.61,72.05,70.87,71.91,6091049
2024-06-03,72.21,72.3,70.709,71.66,4976601
2024-06-04,71.4,72.09,70.815,71.08,3815399
2024-06-05,71.11,72.14,71,71.95,2577315
2024-06-06,71.82,71.84,69.47,69.58,4226746
2024-06-07,69.37,70.36,68.77,69.95,3976893
2024-06-10,69.64,70.9,69.11,70.79,2989941
2024-06-11,70.32,70.7,69.77,70.55,2173726
2024-06-12,71.39,71.6095,70.28,71.17,5608293
2024-06-13,71.06,71.1,69.68,70.62,3969202
2024-06-14,69.95,70.17,68.61,69.43,4533528
2024-06-17,69.03,69.499,68.75,69.31,3502704
2024-06-18,69.25,69.375,67.53,69.1,4749352
2024-06-20,68.96,69.34,68.13,68.19,4164840
2024-06-21,68.13,68.51,67.55,68.17,7326886
2024-06-24,68.28,69.32,68.04,68.77,4352900
2024-06-25,68.7,68.99,67.51,67.62,3494642
2024-06-26,67.19,67.34,65.88,65.92,5102290
2024-06-27,66.2,67.09,65.92,67.03,5580412
2024-06-28,66.71,67.8,66.42,66.47,5242277
2024-07-01,66.78,67.04,65.49,65.52,4176876
2024-07-02,65.82,66.58,65.58,66.32,3126467
2024-07-03,66.15,67.15,66.15,66.86,1934278
2024-07-05,66.86,67,66.175,66.79,3702911
2024-07-08,67,67.62,66.86,67.23,3082576
2024-07-09,67.44,67.77,67.08,67.14,3723622
2024-07-10,67.31,67.88,66.59,67.8,3187332
2024-07-11,68.15,69.94,68.1,69.7,3220223
2024-07-12,70,70.403,69.69,69.98,2482501
2024-07-15,70.75,71.145,69.965,70.01,2630184
2024-07-16,70.35,72.24,70.35,72.18,2998049
2024-07-17,71.7,71.8531,69.75,69.85,2923112
2024-07-18,69.48,71.8,69.13,69.54,6398866
2024-07-19,70.12,70.12,68.815,68.95,2441695
2024-07-22,69.64,70.23,68.9,70.2,2133280
2024-07-23,69.64,69.98,68.2,69.12,7095244
2024-07-24,68.8,68.84,67.42,67.54,8242551
2024-07-25,67.55,68.03,66.58,66.72,5836188
2024-07-26,67.85,69.23,67.71,68.77,4794459
2024-07-29,68.92,69.63,68.85,69.3,6716382
2024-07-30,69.36,69.98,68.98,69.03,4127147
2024-07-31,75,75.36,70.72,71.54,13980070
2024-08-01,71.79,72.97,69.915,70.33,6129145
2024-08-02,69,69.08,66.87,67.42,10348378
2024-08-05,65.6,66.12,64.31,65.71,6572636
2024-08-06,65.78,67.725,65.61,66.7,3423604
2024-08-07,67.51,68.69,65.69,65.76,4611503
2024-08-08,66.37,68.05,66.16,67.77,6337461
2024-08-09,67.77,68.065,66.98,67.65,2757181
2024-08-12,67.47,67.795,66.4,66.56,6673710
2024-08-13,67.27,68.34,67.12,67.82,3747442
2024-08-14,68.03,69.03,67.995,68.5,4915332
2024-08-15,69.34,69.96,68.945,69.76,4469368
2024-08-16,69.58,69.85,69.05,69.38,3270770
2024-08-19,69.71,70.635,69.45,70.53,2900405
2024-08-20,70.5,70.695,70.1,70.3,1782621
2024-08-21,70.69,71.06,70.32,70.55,5150601
2024-08-22,70.71,71.02,70.07,70.6,3012819
2024-08-23,71.11,71.56,70.71,71.24,6220347
2024-08-26,71.51,71.785,71.02,71.45,4921185
2024-08-27,71.11,71.51,70.74,71.45,3700396
2024-08-28,71.47,71.55,70.48,70.79,4208478
2024-08-29,71.23,71.92,70.64,71.08,5178216
2024-08-30,71.5,72.96,71.25,72.85,2740162
2024-09-03,72.75,73.06,70.37,70.76,2418059
2024-09-04,70.63,71.1,69.77,70.04,3000708
2024-09-05,70.13,70.91,68.79,69.38,3643082
2024-09-06,69.57,70.32,67.68,67.84,4249129
