Date,Open,High,Low,Close,Volume
2024-03-25,100.76,101.765,100.76,100.85,1938058
2024-03-26,101.53,101.91,100.85,101.05,2330027
2024-03-27,101.94,102.44,100.09,100.51,3257479
2024-03-28,100.6,101.47,99.74,100.58,3235169
2024-04-01,100.24,100.97,99.57,100,2316823
2024-04-02,98.87,98.87,96.61,97.9,2262065
2024-04-03,97.94,100.2851,97.94,99.55,2130169
2024-04-04,100.2,101.285,97.8,98.17,2156717
2024-04-05,98.93,101.47,98.455,100.93,2663077
2024-04-08,101,102.12,100.77,101.65,2078333
2024-04-09,102,102.6,98.981,100.27,1922393
2024-04-10,97.14,101.23,97.02,99.01,3808377
2024-04-11,98.99,102.76,98.96,100.45,5796031
2024-04-12,99.09,99.83,96.89,97.29,2829662
2024-04-15,98.81,99.22,95.11,95.84,3351108
2024-04-16,95.82,97.09,94.1,96.29,4909421
2024-04-17,97.2,97.39,94.045,94.63,2352401
2024-04-18,94.96,95.88,93.12,93.35,4645274
2024-04-19,93.71,94.21,91.92,92.62,4472792
2024-04-22,94.09,95.22,92.75,94.47,3079778
2024-04-23,95,98.19,94.365,97.97,3025710
2024-04-24,98.42,98.55,95.98,96.77,3639201
2024-04-25,93.74,96.22,93.61,94.87,4944964
2024-04-26,95.82,96.86,94.72,95.54,1965876
2024-04-29,95.6,96.11,94.29,95.28,3229161
2024-04-30,93.88,95.21,92.975,93.07,3465026
2024-05-01,95.8,97.565,94.03,95.12,5697800
2024-05-02,94.79,97.2,93.935,97.13,6504139
2024-05-03,99.59,100.17,94.92,95.01,5831690
2024-05-06,95.85,98.33,94.65,98.25,3224977
2024-05-07,98.22,99.81,97.17,99.54,4596811
2024-05-08,98.64,99.98,97.58,99.67,2251847
2024-05-09,99.65,102.32,99.6,102.22,4507037
2024-05-10,102.87,103.28,102.05,103.13,4234947
2024-05-13,104.23,104.4,100.07,100.24,4755820
2024-05-14,100,102.44,100,102.44,4082558
2024-05-15,103,107.94,102.54,107.67,4534301
2024-05-16,107,107.292,104.115,104.15,4932926
2024-05-17,104.9,105.01,103.8863,104.64,1865527
2024-05-20,104.43,105.43,103.93,104.88,2377208
2024-05-21,104.43,106.71,104.22,106.49,3393429
2024-05-22,107.11,107.92,105.16,105.77,3003276
2024-05-23,107.21,107.23,103.61,103.98,4143290
2024-05-24,104.68,108,104.57,106.43,2940258
2024-05-28,106.43,107.24,104.73,105.44,3379391
2024-05-29,104,104.2361,102.84,103.2,2773609
2024-05-30,103.22,104.49,103.22,103.83,1770501
2024-05-31,104.13,106.315,101.16,102.84,6116121
2024-06-03,104.15,104.21,100.63,103.17,3807123
2024-06-04,102.48,103.29,100.96,101.31,3320461
2024-06-05,102.05,103.63,100.36,103.4,2825691
2024-06-06,103.54,103.955,98.83,99.49,5002646
2024-06-07,97.82,99.99,96.43,97.99,4983213
2024-06-10,105.1,110.72,104,108.95,20405061
2024-06-11,108.45,110.47,107.36,110.21,8319705
2024-06-12,113.7,113.91,110.69,111.49,6714417
2024-06-13,111.32,111.68,109.192,109.36,6530495
2024-06-14,108.2,109.645,107.84,109.18,5069624
2024-06-17,110.12,111,108.25,110.17,5211408
2024-06-18,110.68,111.72,110.02,110.48,5160124
2024-06-20,110.31,111.53,109.19,110.05,7441155
2024-06-21,110,110,105.93,108.82,145594143
2024-06-24,108.52,110.3,107.47,107.47,9103804
2024-06-25,106.99,107.97,106.54,107.42,4751238
2024-06-26,106.88,107.35,105.5,105.78,4425830
2024-06-27,105.36,106.33,104.5,105.86,3567624
2024-06-28,106.1,107.88,105.05,105.24,17507496
2024-07-01,106.65,107.37,103.9209,104.51,3445866
2024-07-02,104.2,105.97,103.63,105.93,3318775
2024-07-03,106.54,106.99,105.28,106.06,1252157
2024-07-05,105.66,106.12,104.08,106.08,2250626
2024-07-08,106.13,106.817,104.71,105.07,1941811
2024-07-09,105.2,106.61,104.1,105.58,2796551
2024-07-10,106.64,109.56,106.01,109.45,3297305
2024-07-11,110,110.65,108.57,108.85,4103253
2024-07-12,108.7,111.75,108.01,110.74,2838484
2024-07-15,112.2,115,112.2,114.96,3618309
2024-07-16,115.43,117.07,114.805,116.67,3992589
2024-07-17,115.31,116.06,112.84,113.78,3954883
2024-07-18,113.73,116.95,112.67,114.91,4616541
2024-07-19,115.29,116.84,114.12,115.15,2826651
2024-07-22,116.55,118.12,115.69,117.87,4145473
2024-07-23,117.65,119.86,117.3,117.96,3173410
2024-07-24,117.43,119.14,115.51,115.73,3606388
2024-07-25,115.85,118.99,113.59,116.71,4108656
2024-07-26,119.46,120.14,118.042,118.51,3480322
2024-07-29,119.38,119.38,116.93,118.6,4037947
2024-07-30,119.75,121.41,118.57,119.99,3728246
2024-07-31,125.96,128.79,123.01,123.45,6604072
2024-08-01,123.77,124.14,118.685,119.75,5306621
2024-08-02,116.84,116.85,108.43,108.62,7437565
2024-08-05,101.81,108.54,98.25,106.23,8356824
2024-08-06,107.5,111.755,107.22,109.6,5872889
2024-08-07,111.43,112.98,108.33,108.79,3832181
2024-08-08,110.55,113.47,109.48,112.78,3774041
2024-08-09,113.49,114.16,112.32,113.87,2052293
2024-08-12,114,114.39,112.19,112.69,2613372
2024-08-13,113.69,115.88,113.62,115.81,2710017
2024-08-14,116,118.79,115.89,118.38,3052254
2024-08-15,120,120.905,118.49,120.22,2972211
2024-08-16,120.21,120.5499,118.725,119.08,2462907
2024-08-19,119.39,120.63,118.86,120.18,2372518
2024-08-20,120.2,120.355,118,118.65,1867801
2024-08-21,118.59,119.08,117.83,118.76,1907937
2024-08-22,118.98,119.54,118.36,118.73,2057079
2024-08-23,119.94,122.45,119.09,122.23,2447741
2024-08-26,122.61,123.28,121.045,122.15,1443606
2024-08-27,121.73,123.16,121.39,122.39,1616880
2024-08-28,122.28,123.42,121.158,121.63,2392916
2024-08-29,122.08,123.3,121.21,122.17,1693968
2024-08-30,123.13,124.2,121.73,123.77,2849322
2024-09-03,122.06,123.21,117.29,118.27,4263298
2024-09-04,117.93,119.65,116.9,117.67,2540026
2024-09-05,117.79,119.79,117.08,118.44,2100969
2024-09-06,118.85,119.32,115.24,116.24,2657606
2024-09-09,117.99,119.89,117.51,118.46,2515822
2024-09-10,119.01,119.29,115.07,118.06,2015355
2024-09-11,117.34,118.46,113.92,118.29,3754676
2024-09-12,118.22,120.94,116.64,120.36,4591983
2024-09-13,120.96,123.52,120.96,122.8,3505984
2024-09-16,124,126.79,123.43,126.54,3297054
2024-09-17,127.55,128.73,126.4901,127.97,2376642
2024-09-18,128.47,130.93,125.865,129.25,3673025
2024-09-19,132.72,133.84,130.88,132.8,3448820
2024-09-20,131.56,133.47,131.5,133.23,5417376
2024-09-23,134,134.8499,131.45,132.6,1942470
2024-09-24,132.65,133.13,131.12,132.39,1987136
2024-09-25,132.48,132.94,131.5,131.67,1415084
2024-09-26,132.97,133.88,130.95,131.38,1903638
2024-09-27,131.95,132.96,130.73,132.14,2909347
2024-09-30,131.36,131.84,128.37,130.58,3315293
2024-10-01,130.58,131.52,128.7,129.87,2577682
2024-10-02,130,132.86,130,132.22,2118734
2024-10-03,131.69,132.09,129.63,130.9,2147440
2024-10-04,133.16,133.55,131.675,133.28,2096768
2024-10-07,132.91,133.7,130.23,131.33,2291677
2024-10-08,131.7,132.45,130.74,131.35,2069536
2024-10-09,131.79,135.1,131.55,134.95,2863896
2024-10-10,134.51,135.25,133.03,133.12,3215732
2024-10-11,134.08,135.9,134.08,135.59,2084733
2024-10-14,136.23,137.11,134.72,136.54,1941063
2024-10-15,136.86,137.8,135.14,135.78,2352643
2024-10-16,136.29,137.88,135.2,135.67,2433170
2024-10-17,137,139.82,136.36,137.84,3135704
2024-10-18,137.87,140.1537,137.35,139.81,2954453
2024-10-21,139.8,141.68,139.742,140.57,2853688
2024-10-22,139.69,140.98,138.955,140.17,2200225
2024-10-23,140.03,141.31,137.94,138.55,4774705
2024-10-24,143.04,147.1499,141.31,143.28,4353815
2024-10-25,144.6,144.67,138.9,139.88,2866224
2024-10-28,141.34,142.14,139.88,140.75,2716386
2024-10-29,140,140.49,138.735,139.33,2234729
2024-10-30,140.05,141.82,139.93,140.18,2023653
2024-10-31,139.09,140.35,137.39659,138.24,2620323
2024-11-01,138.5,140.86,137.38,137.58,2672861
2024-11-04,137.52,138.47,135.83,136.81,2013037
2024-11-05,137.17,139.66,137.07,138.99,3421883
2024-11-06,147.475,153.51,147.06,152.27,7213843
2024-11-07,151.56,152.25,149.02,150.71,3261213
2024-11-08,150.21,152.62,150.21,152.2,3253622
2024-11-11,154,156.54,153.8,155.9,3901090
2024-11-12,155.04,155.79,152.32,153.16,2167654
2024-11-13,153.105,153.89,151.08,152.13,2142309
2024-11-14,152.615,153.14,150.11,150.52,2700612
2024-11-15,149.3492,151.47,148.09,150.02,2929182
2024-11-18,150.64,152.64,149.33,152.45,3196475
2024-11-19,152,153.05,150.9494,152.78,2457045
2024-11-20,153.565,154.58,150.665,152.18,3723395
2024-11-21,153.75,158.46,152.34,157.67,4027547
2024-11-22,157.84,159.58,157,158.63,3164165
2024-11-25,159.62,161.11,158.01,158.94,3856430
2024-11-26,159,161.53,158.28,161.27,3211491
2024-11-27,161.76,162.7297,159.91,160.03,4273295
2024-11-29,161.845,163.68,161.66,162.87,2665416
2024-12-02,163.29,163.66,159.5035,159.65,3866286
2024-12-03,160.13,160.94,157.2,157.9,2801103
2024-12-04,158.11,158.85,155.84,157.6,3971605
2024-12-05,157.55,159.375,156.83,157.04,3681577
2024-12-06,157.68,158.9,156.9063,158.01,4057762
2024-12-09,158.395,159.19,151.71,152.35,6143178
2024-12-10,151.2,153.56,151.06,151.81,4270150
2024-12-11,153.44,158.1,153.39,157.39,4191940
2024-12-12,157.865,157.865,155.59,155.75,2434038
2024-12-13,157.33,157.99,154.26,154.34,2612607
2024-12-16,155.065,156.55,154.14,156.12,2311196
2024-12-17,154.67,154.82,149.69,151.23,3666024
2024-12-18,152.165,152.25,142.83,142.96,3762660
2024-12-19,146.265,147.71,143.04,143.53,5375898
2024-12-20,142,149.42,141.26,147.58,8311228
2024-12-23,146.94,149.61,145.4,148.94,2740581
2024-12-24,149.86,152.58,148.64,152.58,1232909
2024-12-26,151.5,152.885,150.61,152.52,1301157
2024-12-27,150.855,151.77,148.81,149.86,1571924
2024-12-30,147.795,149.73,146.04,148.39,1677208
2024-12-31,149.02,150.06,147.62,147.91,1714175
2025-01-02,148.92,150.39,147.04,149.19,1665828
2025-01-03,150.58,152.19,149.93,152.03,1687680
2025-01-06,153.71,154.73,150.65,150.74,3392975
2025-01-07,151.6,151.6,143.9101,146.62,3786941
2025-01-08,146.54,148.39,145.69,148.24,3820439
2025-01-10,145.73,147,140.225,140.93,3968658
2025-01-13,139.11,141.83,138.88,141.25,3495279
2025-01-14,143.07,144.77,142.0006,143.65,3942682
2025-01-15,151.49,151.65,148.68,150.5,5081882
2025-01-16,151.305,154.01,150.81,153.24,3446668
2025-01-17,155.57,158.25,153.88,157.57,3879126
2025-01-21,158.7,161.1,157.68,160.71,4618941
2025-01-22,161.63,162.18,158.88,161.51,3794553
2025-01-23,161.165,165.43,160.85,165.34,2980717
2025-01-24,165.29,165.83,164.58,165.53,2836986
2025-01-27,161.14,161.34,157.7,161.2,4431967
2025-01-28,161.38,167.5,160.2101,167.05,3923340
2025-01-29,166.88,170.16,165.98,166.3,4096948
2025-01-30,168.5,168.985,165.407,166.87,2428476
2025-01-31,167.75,170.4,166.68,167.07,3401135
2025-02-03,162.01,164.44,159.39,163.22,4527492
2025-02-04,161.79,162.39,149,149.3,9268586
2025-02-05,146.92,154.4,146.92,153.81,6666925
2025-02-06,154.5,155.61,149.21,151.59,6030978
2025-02-07,152.25,152.59,148.39,148.61,3983272
2025-02-10,150.15,151.3975,146.56,147.93,4151049
2025-02-11,146.12,146.87,141.88,142.46,6282588
2025-02-12,140.73,141.02,138.4,139.54,7075460
2025-02-13,140.775,141.45,137.84,139.3,3615200
2025-02-14,139.65,141.79,138.54,140.56,2196847
2025-02-18,141.565,142.6899,140.06,140.6,4128511
2025-02-19,140.6,140.6,137.94,138.47,3765522
2025-02-20,138,138.62,132.59,134.55,7028754
2025-02-21,135.9,136.86,130.85,132.22,4231783
2025-02-24,133.35,134.16,128.07,131.19,6229258
2025-02-25,131.145,131.7,127.1601,129.59,8523082
2025-02-26,130.09,134.66,130.01,132.68,5716094
2025-02-27,134.185,135.97,131.52,132.2,5070431
2025-02-28,132,135.67,131.35,135.59,6393504
2025-03-03,137.78,138.87,131.785,133.01,5242657
2025-03-04,127.55,127.97,119.47,120.78,17007529
2025-03-05,120.78,123.53,118.12,123.03,13089334
2025-03-06,119.365,121.595,115.12,116.13,9436102
2025-03-07,116,116.675,108.9123,115.27,8871011
2025-03-10,111.67,111.78,105.29,108.17,11977359
2025-03-11,108.52,113.15,107.92,112.11,8743145
2025-03-12,115.96,117.39,112.79,114.37,7681909
2025-03-13,115.07,115.07,107.58,108.69,7530889
2025-03-14,111.5,113.85,110.14,113.31,6824666
2025-03-17,112,117.06,111.23,115.68,5191812
2025-03-18,115.67,116.19,112.7836,114.02,3305290
2025-03-19,114.2,118.28,113.37,116.54,5526204
2025-03-20,115.6,117.88,115.03,116.71,3462177
2025-03-21,115,117.15,113.82,116.5,6084237
2025-03-24,119.75,122.51,118.93,121.97,5276495
2025-03-25,122.5,123.48,120.23,122.18,3955487
2025-03-26,122.34,123.34,118.37,119.44,3166197
2025-03-27,118.78,118.78,115.48,117.54,4323617
2025-03-28,117.815,118.42,113.9425,114.86,6223773
2025-03-31,112.685,116.56,111.33,115.61,6067939
2025-04-01,116.09,118.2,114.62,117.84,4495638
2025-04-02,115.11,121.65,114.97,120.9,4058616
2025-04-03,111.12,111.75,101.84,102.55,13841796
2025-04-04,96.75,97.1,88.7559,92.79,19028012
2025-04-07,89.07,101.56,86.15,97.54,15123608
2025-04-08,104.31,105.01,92.5,94.51,11700081
2025-04-09,92.81,112.78,91.5,110.46,13237521
2025-04-10,106.57,106.8232,97.94,101.87,11494510
2025-04-11,100.5,101.71,96.45,101.44,8299573
2025-04-14,104.5,105.075,101.53,103.13,7461182
2025-04-15,103.93,105.96,103.64,104.23,4531730
2025-04-16,102.855,104.37,100.56,102.05,5310930
2025-04-17,103.325,104.9388,102.42,103.37,3725785
2025-04-21,101.65,102.03,96.68,97.95,4405627
2025-04-22,99.5,103.48,99.5,102.28,5863994
2025-04-23,108.97,111.66,106.16,106.81,7390446
2025-04-24,107.34,113.96,106.07,113.25,5974635
2025-04-25,112.49,114.51,112.125,113.63,3555061
2025-04-28,114.21,116.5,112.11,113.93,4164378
2025-04-29,113.29,115.15683,112.6975,114.35,3815692
2025-04-30,110.37,114.8,109.05,114.27,4662122
2025-05-01,115.56,118.1,113.46,114.49,5459829
2025-05-02,116.25,118.41,115.935,116.93,3798156
2025-05-05,115.405,117.605,114.7,114.79,3639186
2025-05-06,112.505,115.1,112.02,113.65,3547709
2025-05-07,113.79,116.91,113.52,116.21,5239461
2025-05-08,118.42,121.12,116.87,118.73,7985075
2025-05-09,119.44,120.72,117.54,118.08,4073637
2025-05-12,126.715,128.72,124.1,125.22,6749607
2025-05-13,125.655,128.68,124.45,126.9,4779035
2025-05-14,128.4,129.82,127.51,129.03,5514440
2025-05-15,127.99,128.03,124.554,125.64,4336598
2025-05-16,126.3,126.6599,124.61,125.9,2481505
2025-05-19,122.56,125.95,122.1828,125.49,2537045
2025-05-20,124.25,125.4,123.25,124.14,3087694
2025-05-21,122.72,122.885,117.65,117.76,4098036
2025-05-22,117.425,118.96,116.5,118.2,3564320
2025-05-23,115,118.19,115,117.18,3021154
2025-05-27,119.595,121.0025,117.43,120.92,4241335
2025-05-28,121.355,122,120.21,121.04,2937045
2025-05-29,122.715,122.72,120.98,122.33,3505151
2025-05-30,121.68,121.9818,119.11,121.46,6807859
2025-06-02,120.455,122,118.86,121.87,3591189
2025-06-03,120.495,121.23,119.4486,120.48,5728098
2025-06-04,121.59,122.26,120.49,120.51,2732451
2025-06-05,121.02,121.43,119.19,120.64,2600928
2025-06-06,122.5,124.78275,122,123.4,2324948
2025-06-09,124.78,124.95,122.5996,123.25,2460083
2025-06-10,123.515,124.8712,122.44,124.02,2942038
2025-06-11,125.23,127.37,125,126,4846447
2025-06-12,124.84,125.915,124.43,125.24,2990959
2025-06-13,123.195,123.77,121.12,121.33,4210463
2025-06-16,122.215,125.26,121.64,123.4,2508581
2025-06-17,122.445,122.83,119.8353,121.06,3065635
2025-06-18,120.39,123.86,120.39,122.42,2412540
2025-06-20,123.81,125.16,122.48,122.6,4081309
2025-06-23,122.55,122.86,117.85,122.14,2697027
2025-06-24,123.3,128.13,123.3,127.77,3624682
2025-06-25,128.67,129.2251,127.04,128.84,3872724
2025-06-26,129.3,132.34,129.25,131.94,3916088
2025-06-27,132.64,135.4198,131.94,134.29,5399495
2025-06-30,136.03,136.1393,132.2,133.03,4035994
2025-07-01,132.3,133.41,130.86,132.45,2796896
2025-07-02,131.985,134.96,131.18,134.53,2199162
2025-07-03,136.76,139.25,136,138.6,2650555
2025-07-07,138.185,139.69,134.95,135.54,4556867
2025-07-08,136.265,139.1899,135.91,137.94,4456859
2025-07-09,138.665,140.25,138.3074,139.22,2995566
2025-07-10,139.53,143.775,139.115,143.05,3764649
2025-07-11,141,142.22,140.455,141.05,3204876
2025-07-14,139.625,140.815,139.1,139.43,3295955
2025-07-15,139.82,140.27,136.74,137.21,2678559
2025-07-16,139.21,143.23,137.69,143.05,4864577
2025-07-17,142.67,148.02,142.625,147.6,5075888
2025-07-18,148.29,148.29,145.39,145.98,3123430
2025-07-21,146.49,146.66,144.14,144.28,3401242
2025-07-22,144.375,145.215,142.247,144.97,2042368
2025-07-23,145.655,148.44,144.91,148.26,2490700
2025-07-24,150.27,153.2,149.64,150.19,4137645
2025-07-25,150.555,152.93,149.67,152.16,2894339
2025-07-28,152.74,152.97,151.636,152.15,2446362
2025-07-29,153.215,153.87,149.36,151,3049305
2025-07-30,151.97,153.5,148.68,150.43,3205800
2025-07-31,151.41,151.6,144.77,146.58,5111798
2025-08-01,143.05,143.05,138.73,142.55,5750594
2025-08-04,143.64,145.5,142.14,145.13,4014814
2025-08-05,145.575,146.58,141.4589,142.66,4327391
2025-08-06,143.74,145.3,142.47,144.56,2873571
2025-08-07,146.65,147.205,140.4605,142.19,2920453
2025-08-08,143,143.88,141.61,142.67,2163505
2025-08-11,142.8,143.5399,141.38,141.57,1818646
2025-08-12,143.62,148.1,142.14,147.24,3026889
2025-08-13,148.28,149.3,144.31,147.46,3785260
2025-08-14,146.29,146.86,144.97,146.06,2668539
2025-08-15,146.1,146.88,142.2,142.28,2943647
2025-08-18,142.14,142.27,140.42,141.2,2913039
2025-08-19,141.2,141.35,138.39,138.95,2864444
2025-08-20,138.535,138.97,136.015,138.09,3185751
2025-08-21,137.56,138.15,136.64,137.84,2589990
2025-08-22,139.14,145.01,137.71,141.77,4084932
2025-08-25,141.07,142.13,138.61,138.71,2376986
2025-08-26,138.68,140.16,137.51,140.08,3315534
2025-08-27,139.505,141.455,139,140.47,2304412
2025-08-28,140.575,141.13,139.45,140.09,3663119
2025-08-29,140.375,140.89,139.22,139.49,2421681
2025-09-02,137.15,138.87,135.06,138.74,2418693
2025-09-03,138.25,139.2242,133.34,134.83,3821645
2025-09-04,135.33,138.02,135,137.35,2167714
2025-09-05,138.495,138.98,132.98,135.53,3413023
2025-09-08,136.26,138.825,135.725,138.69,3458874
2025-09-09,138.61,138.96,136.87,137.39,2625481
2025-09-10,137.355,141.1925,136.91,139.29,2499883
2025-09-11,139.5,146.1399,139.165,145.01,4048115
2025-09-12,144.75,145.03,142.47,143.34,3554862
2025-09-15,143.85,145.99,143.5,144.65,2327073
2025-09-16,144.55,145.8,143.0424,144.38,1828310
2025-09-17,144.46,147.22,143.13,144.4,2932186
2025-09-18,146.165,151.11,145.74,149.34,3129356
2025-09-19,150.33,150.82,147.01,148.92,8793943
2025-09-22,147.01,147.5,145.601,146.95,3652250
2025-09-23,147.17,152.095,146.66,147.25,3599589
2025-09-24,146.3,148.73,137.89,137.94,6485003
2025-09-25,135.93,138.505,134.675,135.66,5106897
2025-09-26,136.57,137.22,133.82,134.01,4592716
2025-09-29,135.37,136.07,133.76,134.48,4255739
2025-09-30,134.855,135.53,126.57,129.95,7784618
2025-10-01,128.26,130.32,127.24,127.47,5778955
2025-10-02,127.36,128.0432,124.01,124.63,6360722
2025-10-03,126.68,128.79,126.45,127.65,4099523
2025-10-06,128.495,128.7,125.47,126.87,3522046
2025-10-07,126.69,128.45,123.755,124.72,3513906
2025-10-08,124.83,125.49,123.52,124.73,4544335
2025-10-09,124.6,125.6625,122.8,124.06,3657087
2025-10-10,124.39,124.65,117.65,117.82,6810608
2025-10-13,119.5,121.61,118.02,120.44,4699932
2025-10-14,119.47,127.15,118.6701,125.98,6083007
2025-10-15,128.62,128.95,124.125,124.46,4536322
2025-10-16,124.235,124.83,115.725,117.52,7072038
2025-10-17,117.76,118.58,116.29,117.6,4635075
2025-10-20,118.515,120.63,118,120.11,3779044
2025-10-21,120.33,124.48,120.06,123.68,4901069
2025-10-22,123.66,125.045,121.93,123.3,3441258
2025-10-23,123.5,123.96,119.74,120.96,4691760
2025-10-24,122.26,124.23,121.17,121.24,3753547
2025-10-27,122.88,124.17,121.77,122.26,3059028
2025-10-28,122.25,122.58,120.3,120.61,2882241
2025-10-29,119.73,120.78,117.93,118.55,5211407
2025-10-30,118.67,120.26,117.75,118.11,3865326
2025-10-31,116.6384,118.9,115.0501,118.33,4866374
2025-11-03,118.67,118.75,116.52,117.63,4340699
2025-11-04,116.64,120.3,116.44,118.29,4296674
2025-11-05,118.39,120.55,116.54,118.89,3791861
