Date,Open,High,Low,Close,Volume
2024-03-25,697.85,708.095,695.8601,699.73,493266
2024-03-26,705.04,707.4,687.57,688.42,865191
2024-03-27,692.4,697.7,681.91,696.87,976345
2024-03-28,696.87,699.82,690.01,698.57,1080962
2024-04-01,700,718.18,699.75,710.88,772430
2024-04-02,694.23,697.259,686.1,693.93,950885
2024-04-03,690.18,707.13,686.99,697.53,782472
2024-04-04,706.28,707.85,668.43,672.75,1103106
2024-04-05,674.07,688.83,674.07,682.84,790881
2024-04-08,688.35,692.415,678.49,691.12,518091
2024-04-09,700,700,682.71,696.83,708888
2024-04-10,685.9,695,684.21,687.12,610057
2024-04-11,694.83,701.625,687.85,700.61,831488
2024-04-12,684.44,689.27,677.42,680.78,810828
2024-04-15,689.88,698.7,672.53,678.49,886076
2024-04-16,678.49,696.915,678.49,693.31,922631
2024-04-17,681.77,684.85,657.83,658.98,1193219
2024-04-18,655.79,658.4099,642,644.22,903113
2024-04-19,646.2,647.71,623.17,627.71,1072542
2024-04-22,635.35,638.73,625.33,633.64,924297
2024-04-23,636.04,654,635.83,648.21,710101
2024-04-24,659.78,668.18,647.6,656.54,873448
2024-04-25,656.98,677.72,650.01,672.95,1065820
2024-04-26,683,710.26,678.805,706.26,1193523
2024-04-29,706.41,715.98,700.39,713.93,931605
2024-04-30,711.64,717.73,688.29,689.29,902176
2024-05-01,680.47,691.73,662.5,666.04,1273173
2024-05-02,675.64,683,664.185,682.05,675160
2024-05-03,695,704.06,691.095,696.59,820130
2024-05-06,699.16,718.7,698.095,718.38,873781
2024-05-07,716.63,723.375,711.57,714.38,782861
2024-05-08,709.92,717.6,706.025,717.15,672878
2024-05-09,718.77,720,709.025,710.67,976064
2024-05-10,720,728,713.06,718.27,448796
2024-05-13,720,720,711.56,714.15,554073
2024-05-14,707.25,731.73,705.18,729.92,884011
2024-05-15,737.94,760.32,734.875,759.72,850309
2024-05-16,760,763.93,749.13,749.48,751353
2024-05-17,756.47,758.57,739.65,747.68,585874
2024-05-20,751.88,778.435,751.02,772.8,763682
2024-05-21,760,769.96,758.65,765.14,703657
2024-05-22,770.38,772.97,762.69,771.71,769518
2024-05-23,788.58,790.515,761.56,765.1,828916
2024-05-24,774.17,783.105,769.05,779.06,548554
2024-05-28,785.52,791.96,775.94,786.14,601435
2024-05-29,768.23,780.07,765.1,772.36,855140
2024-05-30,768.94,776.57,766.11,770.13,712388
2024-05-31,770.72,776.29,736.9,759.53,1684852
2024-06-03,771.48,771.64,735.5607,754.15,515264
2024-06-04,750.48,756.3,740.22,750.56,474505
2024-06-05,770.39,787.54,762.1,784.97,943159
2024-06-06,780.33,787.32,772.21,779.26,722071
2024-06-07,787.5,787.91,763.97,768.97,736079
2024-06-10,761.1,795.975,761.1,794.38,649990
2024-06-11,793.32,798.66,781.92,798.16,590023
2024-06-12,806.88,831.54,804.44,827.81,807304
2024-06-13,816.02,832.99,815.07,830.03,546405
2024-06-14,815,826.54,815,824.84,474829
2024-06-17,826.41,851.68,820.95,848.88,737841
2024-06-18,849,876.55,846.985,863.31,878242
2024-06-20,863.37,864.185,826.55,829.59,1281958
2024-06-21,830.03,835.34,813.25,816.55,1995401
2024-06-24,813.77,815.505,792.37,793.98,894411
2024-06-25,800.87,820.24,791.42,818.04,975303
2024-06-26,814.38,826.9,799.25,813.3,712616
2024-06-27,819.47,826.45,806.785,814.87,510370
2024-06-28,826.44,841.4094,818.3959,824.51,849376
2024-07-01,823.19,828.9371,807.8301,827.79,480661
2024-07-02,819.4,839.9685,818,839.11,537048
2024-07-03,839.94,859.6585,835.92,853.33,440788
2024-07-05,855.34,859.065,847.065,855.21,461193
2024-07-08,857.12,869.055,854.55,866.55,438793
