Date,Open,High,Low,Close,Volume
2024-03-25,771.1,778.49,768.15,773.14,1806584
2024-03-26,774.2,778.3299,769,774.9,2099042
2024-03-27,778.71,785.2599,767.38,778.18,2297713
2024-03-28,780.32,793.67,776.44,777.96,3209424
2024-04-01,776,777.5,753.82,760.55,2921338
2024-04-02,755.07,765.07,753.5,763.96,2596789
2024-04-03,765.69,787.2475,765.41,775.99,3044910
2024-04-04,781.54,787.8969,767.82,768.08,2353992
2024-04-05,765.47,786.705,763.09,784.21,2113429
2024-04-08,785.02,785.195,773.35,777.29,1664153
2024-04-09,777.64,777.82,750.65,757.24,2464837
2024-04-10,751.28,765.26,746.83,761.98,1700296
2024-04-11,759.78,763.33,750.67,759.59,1594834
2024-04-12,759.57,763.5,749.785,751.64,2495037
2024-04-15,760.07,768,749.52,750.77,2358569
2024-04-16,751.68,753.14,743,746.74,2569799
2024-04-17,759.2,771.83,744.8776,750.77,3069367
2024-04-18,749.42,752.1988,743.77,745.95,1717347
2024-04-19,749.16,750.01,722.07,726.31,3503871
2024-04-22,729.74,737.88,725.42,731.33,2354096
2024-04-23,741.2,746.16,731.44,745.69,2042029
2024-04-24,752.64,752.64,728.785,732.2,2133427
2024-04-25,725,727.9915,718.3,724.87,2608752
2024-04-26,723.48,737.45,721,733.51,2009249
2024-04-29,735.75,740.58,729.61,737.2,2732584
2024-04-30,775,795.4975,767.66,781.1,7437105
2024-05-01,774.755,782.605,768.25,776.75,2804838
2024-05-02,777.34,777.34,754.29,755.91,3205628
2024-05-03,743,745,730.34,734.97,4595138
2024-05-06,738.04,766.99,736,766.68,3398280
2024-05-07,768.9,779.09,762.11,777.77,2879447
2024-05-08,779.1,781.3499,772.2,775,2089934
2024-05-09,777,784,769.2,771.55,2522085
2024-05-10,774.02,777.42,760,760,2082289
2024-05-13,763.5,763.55,750.53,757.7,1848926
2024-05-14,751.52,764.5,751.52,763.98,1956229
2024-05-15,764.15,787.66,763.1,787.02,3038253
2024-05-16,784.71,786.48,770.14,771.12,2299653
2024-05-17,772.89,774.87,767.1,770,1670317
2024-05-20,766.9,784.325,766.12,783.18,2188818
2024-05-21,792.46,816.61,791.39,803.17,4334499
2024-05-22,801,804.88,795.25,802.91,1767519
2024-05-23,810,820.605,802.155,808.45,3025781
2024-05-24,808,810.12,804.15,807.43,1778120
2024-05-28,809,809,788.25,807.86,2483454
2024-05-29,803,815.61,802.09,811.53,2380041
2024-05-30,812.79,819.99,806.11,815.06,1986290
2024-05-31,818.8,826.21,811.1,820.34,4472119
2024-06-03,823.83,838.28,818.5,831.26,2537239
2024-06-04,834,835.47,825.31,832.59,1748288
2024-06-05,830.49,838.45,817.62,831.76,2169003
2024-06-06,834.88,846.9742,831.88,837.29,2108975
2024-06-07,837.76,856.81,837.01,849.99,2468834
2024-06-10,853.98,871.63,849.39,865,3444498
2024-06-11,882.14,882.14,852.23,865.82,4109073
2024-06-12,872,872,853.85,867.3,2594601
2024-06-13,869.025,885.06,861.5,883.33,2243419
2024-06-14,882.33,884.61,876,878.45,2023264
2024-06-17,878,892.2,876.86,885.01,2532240
2024-06-18,887,894.87,884,891.46,2437038
2024-06-20,893,905.45,870.13,885.99,3359987
2024-06-21,885.66,891.97,879.8,883.88,3448680
2024-06-24,889.975,903.5786,882.94,890.11,2878199
2024-06-25,891.77,909.42,891.5,904.61,2839806
2024-06-26,904,906.345,897.84,901.26,2232075
2024-06-27,903.53,909.57,899.72,909.04,1948132
2024-06-28,911.31,915.54,905.38,905.38,3375426
2024-07-01,911.77,916.83,904.31,914.37,2546119
2024-07-02,902.71,912,878.5,906.71,4584602
2024-07-03,911,918.5,884,898.1,3078367
2024-07-05,898.425,916.4595,896.9,914.57,2880863
2024-07-08,917.89,928.605,912,918,2364556
2024-07-09,929.05,935,920.775,932.5,2419859
2024-07-10,936.57,945.69,933,939.78,2683255
2024-07-11,934.09,942.88,918.62,934.14,2858281
2024-07-12,937,950.79,936.03,948.4,2315131
2024-07-15,956.7,966.1,948.09,950.46,2358671
2024-07-16,954.75,956.39,938.38,941.6,2111799
2024-07-17,910.01,925,902.64,905.59,4200582
2024-07-18,906,909.87,836.66,848.9,7649625
2024-07-19,867.66,880.21,853,857.47,3782167
2024-07-22,864.8,874.42,856.82,865.97,2904548
2024-07-23,870,887.72,864.08,878.29,2087749
2024-07-24,872.5,878.34,854.27,859.88,2726144
2024-07-25,847,851.62,806.38,821.19,5467973
2024-07-26,811.87,822.01,801.3,804.62,4173942
2024-07-29,814.01,824.77,804,807.79,2473684
2024-07-30,815.18,821.9,775.81,790.21,3848581
2024-07-31,800.17,811.14,792.0901,804.27,2961662
2024-08-01,833.62,840.89,820.18,832.44,4060732
2024-08-02,816.67,820.19,787.02,804.46,3515933
2024-08-05,758.3,792.9399,747.55,775.26,4661810
2024-08-06,789.14,806.2735,785,793.18,3437567
2024-08-07,778.3,786.58,763.0201,772.14,4407687
2024-08-08,875,877.78,825.24,845.31,9434851
2024-08-09,860,908.49,860,891.68,6587628
2024-08-12,904.21,904.72,883,884.38,4206064
2024-08-13,894.08,914.6943,890.33,908.05,3506767
2024-08-14,910,934.38,903.79,931.68,3562910
2024-08-15,936,937.955,920,931.58,3079984
2024-08-16,928.39,936.2969,919.39,922.12,2364894
2024-08-19,922.12,926,916.5001,921.81,2374554
2024-08-20,932.1,967,930.51,949.97,4961498
2024-08-21,955.615,956.5,939.17,951.97,2616984
2024-08-22,951.98,972.53,948.135,954.17,3183727
2024-08-23,955.44,960.5,943.11,952.74,2063309
2024-08-26,949.2,955,942.77,950.53,2166043
2024-08-27,952.5,972.48,949.95,954.48,2912853
2024-08-28,954.15,958.3399,943.26,948.94,1701760
2024-08-29,955,957.515,936,940.2,1762847
2024-08-30,945,961,940.51,960.02,2555073
2024-09-03,957.77,969.6499,951.5801,956.53,2529442
2024-09-04,949.75,954,938.005,946.31,1891673
2024-09-05,941.16,943,906.17,912.75,3201148
2024-09-06,917.76,927.9022,893,902.71,3439999
2024-09-09,912.57,915.4299,895.915,908.27,2405908
2024-09-10,914.11,915.11,895.0001,901.25,1930385
2024-09-11,902.15,921.54,897.2032,920.89,2721114
2024-09-12,924.31,937.62,918.63,935.02,2511788
2024-09-13,937.01,942.35,922.1,923.71,2045356
2024-09-16,931.13,932.605,920.43,923.54,1760296
2024-09-17,921.5,921.5,902.3,906.18,2248019
2024-09-18,906.31,915.5,903.46,904.97,1776976
2024-09-19,912.85,916.81,903.86,915.04,2446531
2024-09-20,921.99,939.86,913.2,921.49,9921754
2024-09-23,921,922,909.45,918.52,2291963
2024-09-24,922.12,925.68,909.2,924.43,2767434
2024-09-25,931.79,939.3,921.19,924.56,1805080
2024-09-26,920.255,921.85,905.3,909.32,2692979
2024-09-27,893.62,901.21,875.61,877.79,4377346
2024-09-30,864.52,887.4299,858.81,885.94,3246793
2024-10-01,888.83,891.2699,878.87,884.48,2455232
2024-10-02,880,893.3499,878.7,891.07,1751600
2024-10-03,889.54,892,880.88,885.55,1974677
2024-10-04,885.91,888.97,876.89,887.16,1971436
2024-10-07,890.51,905.275,889.565,898.4,2915667
2024-10-08,903,921.9682,902.225,913.72,2200027
2024-10-09,916.285,921.35,912,919.74,1820128
2024-10-10,920,922,905.15,910.69,1682053
2024-10-11,916.04,932.24,911.1845,932.06,2293874
2024-10-14,936,937,926,929.51,1550385
2024-10-15,924.44,926.52,907.8001,913.32,2284189
2024-10-16,910.03,917.805,897.835,916.42,1645364
2024-10-17,921,930.51,916.04,917.12,2191188
2024-10-18,917.18,920.9199,905.62,917.97,2286912
2024-10-21,917.98,918.86,904.56,906.13,1592229
2024-10-22,901.675,911.12,900.2001,909.15,1391776
2024-10-23,905.62,907.9499,891.73,903.25,2646589
2024-10-24,898.33,900,888.28,891.32,1797145
2024-10-25,899.73,900.96,889.4501,892.7,2228327
2024-10-28,894.87,898.2099,890.78,895.59,2084102
