Date,Open,High,Low,Close,Volume
2024-03-25,447.86,448.55,444.813,446.31,775124
2024-03-26,446.5,448.62,445.855,445.99,766716
2024-03-27,447.88,457.11,447.86,456.78,1277694
2024-03-28,456.8,457.11,453.95,454.87,1119541
2024-04-01,454.14,455.36,451.22,452.79,717234
2024-04-02,453.63,455.69,452.56,453.24,837966
2024-04-03,452.92,454.1469,447.59,447.9,758767
2024-04-04,450.26,455.98,447.145,454.04,1398347
2024-04-05,452.41,455.5732,449.85,455.38,892120
2024-04-08,456,457,452.27,452.38,751180
2024-04-09,448.69,452.06,446.18,447.57,842962
2024-04-10,444.69,452.61,442.835,451.71,1247755
2024-04-11,451.5,453.75,448.945,452.32,942782
2024-04-12,454.11,457.9799,450.11,450.4,1251154
2024-04-15,458.99,459.3001,451.63,453.08,2442119
2024-04-16,454.71,458.85,453.6251,454.31,1452309
2024-04-17,456.71,457.24,451.7301,456.05,848290
2024-04-18,454.84,458.05,454.2675,456.09,715044
2024-04-19,457.8,465.36,457.28,464.14,1387425
2024-04-22,465.23,469.54,460.41,461.33,1820925
2024-04-23,466.11,473.54,457.66,460.08,1789487
2024-04-24,462.7,463.69,456.06,459.14,1018853
2024-04-25,457.95,465.6,457.5263,464.78,927710
2024-04-26,463.9,466,459.17,461.29,857964
2024-04-29,461.99,467.65,461.955,467.55,951555
2024-04-30,467.08,467.975,463.615,464.93,711757
2024-05-01,462.61,465.4,460.56,461.73,995050
2024-05-02,461.1,463.6,459,463.2,1011394
2024-05-03,462.93,462.93,457.1701,461.91,910781
2024-05-06,463.16,463.4999,460.18,462.78,796391
2024-05-07,464,466.81,463.16,466.68,723436
2024-05-08,467.5,468,463.78,466.16,599051
2024-05-09,466.08,468.76,465.2101,468.39,595046
2024-05-10,469,470.62,467.975,468.88,482564
2024-05-13,469.88,472.345,469.5,470.56,634358
2024-05-14,471.11,471.11,466.8,467.18,565691
2024-05-15,466.28,467.4,463.51,464.08,804062
2024-05-16,463.6,468.32,453,464.83,1130786
2024-05-17,465.84,467,463.15,466.2,677219
2024-05-20,467.77,468.77,464.92,467.08,735291
2024-05-21,468,469.12,466.84,468.31,558976
2024-05-22,467.47,469.9,466.78,469.71,548809
2024-05-23,468.09,469.68,466.23,467.08,866955
2024-05-24,467.67,468.66,465.47,467.35,513802
