Date,Open,High,Low,Close,Volume
2024-03-25,481.6,482.32,474.4111,476.04,2600371
2024-03-26,477.72,480,472.305,476.8,2515051
2024-03-27,480.5,482.16,474.75,477.95,2309507
2024-03-28,477.91,482.43,477.275,481.57,2214542
2024-04-01,480.66,483.28,477.33,478.4,1648343
2024-04-02,476.97,480.41,476.3,479.43,3265212
2024-04-03,480.44,483.3,477.21,477.42,2265162
2024-04-04,479.97,481.96,469,469.77,2552759
2024-04-05,474,479.31,472.53,477.15,2462740
2024-04-08,476.4,479.68,474.28,478.85,1961897
2024-04-09,477.97,478.89,467.83,472.16,2218019
2024-04-10,470.17,474.385,468.85,469.17,2710709
2024-04-11,468.28,470.3482,464.19,468.31,2299867
2024-04-12,466,469.52,462.11,465.38,2486361
2024-04-15,470.24,471,458.43,459.79,2070679
2024-04-16,460,463.38,459,459.82,1787264
2024-04-17,462.77,463.41,458.15,460.16,1735073
2024-04-18,460.5,461.91,453.8,454.7,1998880
2024-04-19,458.89,459.86,452.585,455.49,2548524
2024-04-22,457.5,460.74,455.13,456.75,2157434
2024-04-23,458.48,462.98,457.31,462.82,2029056
2024-04-24,465.29,468.15,460.35,462.5,4043134
2024-04-25,460.94,464,456.72,462.11,2006668
2024-04-26,462.91,464.82,460.94,462.42,1963273
2024-04-29,460.95,461.59,455.6829,457.1,2121464
2024-04-30,456.26,457.72,450.88,451.2,2698813
2024-05-01,445.8,448.98,438.38,442.07,4979366
2024-05-02,443,444.655,438.05,441.1,3866467
2024-05-03,444.91,445.26,436.9,443.58,3711610
2024-05-06,447.23,450.4999,445.56,449.37,2536211
2024-05-07,451.76,453.3,447.525,453.06,2345486
2024-05-08,454,455.11,449.915,454.77,2332440
2024-05-09,453.55,456.025,453.55,455.49,1970193
2024-05-10,457.33,458.58,454.98,456.98,1730054
2024-05-13,456.93,458.72,455.505,457.76,2069345
2024-05-14,457.92,458.98,449.3,454.2,2990997
2024-05-15,452.79,458.6,452.79,458,2437772
2024-05-16,460,464.93,458.82,458.87,2412233
2024-05-17,460.45,461.685,458.11,460.27,1985903
2024-05-20,459.48,462.22,458.78,459.66,1397291
2024-05-21,457.91,460.3899,455.63,459.1,2165999
2024-05-22,458.9,462.5,455.165,456.52,1713650
2024-05-23,456.52,458.05,450.44,451.21,2084733
2024-05-24,452.51,454.45,450.32,451.18,2162182
2024-05-28,450,450.625,442.395,445.08,2670989
2024-05-29,442.11,444.555,441.8,442.47,1876996
2024-05-30,442.21,444.19,440.67,442.1,2189905
2024-05-31,442.69,447.34,439.255,447.07,3917303
2024-06-03,443.48,445,437.885,443.19,2123775
2024-06-04,443.36,444.88,441.32,444.77,2096578
2024-06-05,446.8,447.565,442.305,446.66,2157011
2024-06-06,448.49,449.78,444.63,448.68,1887061
2024-06-07,449.45,453,447.26,449.79,1664850
2024-06-10,448.42,450.17,444.37,449.25,1954548
2024-06-11,447.84,449.25,445.11,449.04,1777281
2024-06-12,451.49,452.5,441.6,443,2738928
2024-06-13,443,445.15,439.32,445,2916648
2024-06-14,443.34,444.9588,441.2,444.63,2161546
2024-06-17,442.43,449.34,441.68,448.11,2351895
2024-06-18,447.06,451.2,446.7,450.11,2636506
2024-06-20,451.06,454.4808,448.36,452.51,3006765
2024-06-21,452.19,455.3,450.26,454.85,5062383
2024-06-24,454.93,463.07,454.93,456.96,2597068
2024-06-25,458.48,460.305,453.795,455.65,2529625
2024-06-26,452.75,454.6771,451.39,452.38,2451388
2024-06-27,448.57,448.7,442,442.75,3313924
2024-06-28,444.64,448.3,438.72,441.16,4105179
2024-07-01,440.8,442.465,435.55,437.61,3149663
2024-07-02,435,444.76,435,444.65,2061407
2024-07-03,445.32,449.285,444.275,448.18,3192350
2024-07-05,447.11,449.95,444.275,449.49,2220706
2024-07-08,449.28,450.61,445,446.24,1802729
2024-07-09,446.65,447.58,442.79,444.7,1608726
2024-07-10,434.61,437.41,429.05,433.64,4760902
2024-07-11,432,437.77,430.1101,436.42,4032726
2024-07-12,437.4,442.23,437.32,440.11,2645729
2024-07-15,440.33,444.4,438.74,444,1727716
2024-07-16,446.94,447.1584,439.7,443.53,2846645
2024-07-17,442.4,451.52,442.06,451.16,2924993
2024-07-18,448.75,455.43,447.48,448.72,3339984
2024-07-19,451.22,451.24,443.57,443.69,2121736
2024-07-22,445.41,448.85,443.25,447.94,2111943
2024-07-23,448.05,448.74,441.11,441.72,2385481
2024-07-24,434,435.86,428.86,432.45,3764823
2024-07-25,433.94,437.7022,429.56,429.6,2384325
2024-07-26,432.28,440.7825,432.11,438.18,2039595
2024-07-29,438.8,442.92,435.42,441.3,2248633
2024-07-30,443.77,448.73,443.01,447.45,2266899
2024-07-31,462,474,457.54,463.71,4313637
2024-08-01,465.46,467.5,459.19,462.41,2590132
2024-08-02,460.22,466.75,458.61,462.02,3808080
2024-08-05,455,461.295,439.5901,442,4496726
2024-08-06,443.22,455.45,442.11,448.3,2759051
2024-08-07,450.53,456.92,449.04,449.84,2059829
2024-08-08,452.24,456.27,451.03,455.58,1585584
2024-08-09,455.58,458.8,453.46,456.78,1760295
2024-08-12,457.77,458.46,453.89,455.69,1760046
2024-08-13,458.14,459.64,454.89,459.36,1816206
2024-08-14,459.26,460.54,456.07,460.16,1654140
2024-08-15,465.1,469,464,468.71,2130571
2024-08-16,468,470.26,466.04,468.88,1922047
2024-08-19,469,470.15,465.52,466.98,1690880
2024-08-20,468.13,469.67,465.51,469.12,1763383
2024-08-21,468.54,469.09,464.52,468,2105889
2024-08-22,469.49,470.91,466.7,468.82,1538288
2024-08-23,470.3,470.34,461.9,466.44,1986348
2024-08-26,468.1,470.53,467,468.64,1434397
2024-08-27,471.08,475.5,468.22,474.99,1635908
2024-08-28,475,476.41,468.865,471.8,1445425
2024-08-29,474.47,481.92,474.47,480.8,1893601
2024-08-30,481.84,485.74,479.65,483.34,2982115
2024-09-03,482.47,486.69,480.04,482.12,2063707
2024-09-04,482.09,486.17,481.18,483.14,2156342
2024-09-05,483.14,484.16,473.1101,477.36,2293539
2024-09-06,477.11,480.44,474.71,476.12,2116234
2024-09-09,480.5,489.21,479.565,487.09,2343553
2024-09-10,487.1,488.33,482.33,488.02,2234088
2024-09-11,486.52,489.11,477.84,488.18,2479988
2024-09-12,486.95,492.88,483,492.11,2299485
2024-09-13,493.1,496.85,491.45,493.36,2204789
2024-09-16,495.3,498.32,493.39,497.71,1589320
2024-09-17,498.6,501.74,497.85,500.99,2202852
2024-09-18,501.28,501.8,494.04,494.76,2193838
2024-09-19,500,501.13,486.25,493.01,3517228
2024-09-20,489.65,493.53,487.74,492.74,3470313
2024-09-23,493.16,497.69,491.3,497.14,2191256
2024-09-24,492.68,493.245,484.42,487.41,4143654
2024-09-25,484.76,489.9,483.54,489.45,3483193
2024-09-26,491,493.625,489,491.27,3073747
2024-09-27,491.03,496,490.39,493.64,2177336
2024-09-30,491.87,494.99,490.11,493.8,2862475
2024-10-01,497.26,498.03,493.11,496.38,3748206
2024-10-02,492.94,495.91,489.68,495.57,1736490
2024-10-03,495.55,497.0875,493,494.97,1382289
2024-10-04,495.56,499.05,492.47,497.7,1935893
2024-10-07,497.33,498.53,490.75,491.3,1990708
2024-10-08,492.5,497.53,491.53,497.06,1750066
2024-10-09,498.38,500.7499,495.59,499.95,1707580
2024-10-10,500,500.7234,495.84,498.02,1491085
2024-10-11,496.51,502.92,496.465,502.26,1920085
2024-10-14,504.36,508.79,502.05,506.66,2127041
2024-10-15,505.62,509.88,504,507.23,2885897
2024-10-16,506.35,515.4025,506,514.07,2956878
2024-10-17,516.29,517.045,511.52,513.76,2227465
2024-10-18,514.54,518,512.58,516.34,2604684
2024-10-21,516.99,518.82,513.9401,515.01,2217572
2024-10-22,511.15,514.55,510.5,513.02,1855981
2024-10-23,512.66,514.7199,511.9,513.73,1759887
2024-10-24,511.9,513.34,509.46,510.62,1912122
2024-10-25,512.5,514.73,505.62,507.36,1582222
2024-10-28,507.4,510.8599,506.14,508.21,2186574
2024-10-29,507.54,511.39,505.7,506.28,2066616
2024-10-30,512.52,516.45,507,513.69,3120968
2024-10-31,521.25,527.8999,499.03,499.59,5523340
2024-11-01,500.44,510.55,498.53,508.08,3753713
2024-11-04,509.14,510,503.03,505.58,2165122
2024-11-05,505.58,508.15,503.61,505.56,2132859
2024-11-06,520.86,523,515.94,521.13,3674066
2024-11-07,523.99,524.03,516.5901,517.88,2382508
2024-11-08,520.34,528.84,519.53,524.76,2215681
2024-11-11,528.515,534.025,528.515,530.12,2213822
2024-11-12,530,530.9,527.3,529.17,2577628
2024-11-13,530.01,530.5,516.415,521.88,2681881
2024-11-14,520.905,522.36,517.65,520.4,2480583
2024-11-15,518.525,523.39,518,521.89,2408193
2024-11-18,519,523.49,517,521.63,2493483
2024-11-19,519.705,522.65,516.756,519.46,2716216
2024-11-20,521.375,522.5,511,512.54,2409527
2024-11-21,513.23,520.12,511.58,515.1,3077464
2024-11-22,517.33,521.705,516.18,520.86,3130470
2024-11-25,521.635,528.25,521.02,526.6,4503914
2024-11-26,527.32,530.6499,525.06,528.48,2326797
2024-11-27,529.06,533.62,526.58,532.38,2086434
2024-11-29,533.5,535.7699,530.025,532.94,1760566
2024-12-02,533.19,534.82,526.23,531.36,2355191
2024-12-03,533.855,534.82,525.96,526.18,2319746
2024-12-04,523,526.275,518.17,521.14,2630030
2024-12-05,524.51,527.47,522.17,524.77,2538695
2024-12-06,523.255,531,522.5,528.57,2122791
2024-12-09,529.075,531.59,521.875,522.82,2942047
2024-12-10,522.78,529.66,520.2201,529.01,2003265
2024-12-11,529.28,535.89,527.2701,534.45,2181241
2024-12-12,536.56,536.75,531.97,532.41,1860815
2024-12-13,534.195,534.68,528.91,529,1608196
2024-12-16,532,535,528.995,530.31,2923016
2024-12-17,529.5,531.78,524.87,531.01,4056007
2024-12-18,530.785,537.13,519.71,519.96,3190277
2024-12-19,525.5,529.22,522.2,523.28,3050813
2024-12-20,522.87,532.08,519.42,528.03,7317151
