Date,Open,High,Low,Close,Volume
2024-03-25,280,280.58,277.64,278.62,2985467
2024-03-26,279.22,279.45,277.17,278.62,2572061
2024-03-27,278.1,282.3,278.1,282.02,2604991
2024-03-28,282.25,283.3799,281.2525,281.95,3454073
2024-04-01,281.5,281.55,278.64,280.22,2408799
2024-04-02,280,280.48,277.45,277.74,2907899
2024-04-03,276.57,277.96,275.15,275.54,2747979
2024-04-04,276.24,276.24,269.92,270.09,4095144
2024-04-05,269.42,270.62,266.36,266.69,6816035
2024-04-08,267.24,268.6892,265.87,267.56,3753206
2024-04-09,266.22,269.67,265.5,269.44,3935142
2024-04-10,266.97,268.99,265.11,268.67,3817458
2024-04-11,269.5,269.88,267.15,268.62,2519172
2024-04-12,267.91,268.23,266.58,267.39,2708630
2024-04-15,267.86,268.525,266.05,266.23,3686881
2024-04-16,266.13,266.99,265.15,265.43,2912853
2024-04-17,266.5,270.12,265.52,269.95,3383099
2024-04-18,270.98,271.29,268.845,270.98,3402674
2024-04-19,272.01,272.22,270.48,271.91,3016599
2024-04-22,273.75,276.5,272.32,275.58,3129435
2024-04-23,276.82,277.4,274.24,276.88,3275678
2024-04-24,275.54,277.03,272.89,276.75,4071571
2024-04-25,277.02,279.82,274.72,275.6,4179755
2024-04-26,271.23,276.11,270.3701,273.09,3636458
2024-04-29,273.83,274.43,272.595,273.55,3187813
2024-04-30,264.33,276.8699,262.63,273.04,6894367
2024-05-01,271.38,276.43,270.05,274.43,4843553
2024-05-02,274.51,276.31,272.71,273.28,3083956
2024-05-03,274.14,274.62,268.89,270.32,2642344
2024-05-06,271.06,271.875,269.04,269.3,2481336
2024-05-07,270.04,270.67,266.99,267.5,3160026
2024-05-08,267.5,268.93,266.06,268.49,3259842
2024-05-09,268.46,268.48,267.02,267.95,3139960
2024-05-10,268.17,275.38,267.84,275,4983501
2024-05-13,275.38,276.74,271.14,271.32,3840670
2024-05-14,272.12,272.77,268.7124,270.66,3143235
2024-05-15,271.11,274.37,270.231,273.87,2982621
2024-05-16,274.51,275.56,272.92,273.51,2339864
2024-05-17,274.06,274.06,270.92,272.38,2454570
2024-05-20,271.74,272.125,267.28,267.87,2651117
2024-05-21,268.51,269.0793,265.44,265.87,2362574
2024-05-22,265.87,266.82,264.55,265.77,1906061
2024-05-23,265.13,265.62,257.6,257.93,5636170
2024-05-24,258.74,260.46,257.52,258.11,3382879
2024-05-28,257.39,258.81,252.645,253.54,4324728
2024-05-29,253.36,253.8,249.16,249.37,4029317
2024-05-30,250.61,252.96,250.0975,252.07,3599768
2024-05-31,254.19,259.25,253.505,258.89,6125399
2024-06-03,257.93,259.95,255.6,259.75,4342771
2024-06-04,259.34,263.09,259.25,262.72,4592727
2024-06-05,261.5,261.735,258.66,259.99,4136828
2024-06-06,260.91,261.785,258.93,260.72,3354270
2024-06-07,260.07,261.395,255.34,256.21,2290085
2024-06-10,256,256,253.15,253.81,2867127
2024-06-11,253.01,254.6889,252.1,254.28,2729439
2024-06-12,254.88,256.31,253.41,254.48,3169566
2024-06-13,253.59,254.74,251.18,253.7,3152985
2024-06-14,252.86,253.62,250.614,253.58,2806560
2024-06-17,252.3,254.52,251.88,253.51,2532906
2024-06-18,253.95,254.35,249.35,250.79,2956314
2024-06-20,250.27,255.69,249.511,253.8,4046527
2024-06-21,258.28,261.46,255.61,259.39,8426647
2024-06-24,259,261.37,257.8,260.38,3901231
2024-06-25,260.13,260.13,255.59,257.38,4252250
2024-06-26,256.65,258.17,254.68,257.83,2796088
2024-06-27,258,258.83,256.97,258.17,2650996
2024-06-28,257.54,259.49,252.86,254.84,8958712
2024-07-01,254.83,255.34,249.72,249.99,3817576
2024-07-02,249.68,251.03,247.41,247.79,3944881
2024-07-03,248.5,250.98,248.18,250,2026070
2024-07-05,251,251.415,248.81,251.09,2814312
2024-07-08,251.76,252.575,247.06,247.85,3163853
2024-07-09,247.23,247.4,243.53,245.82,4930592
2024-07-10,247,250.56,245.9,250.49,4092739
2024-07-11,251.22,255.65,249.87,254.8,5548256
2024-07-12,254.25,256.92,251.81,253.9,4543006
2024-07-15,253.64,255.73,251.19,251.53,3393612
2024-07-16,251,257.31,250.1,257.27,4172974
2024-07-17,258.97,262.05,257.8587,261,3711520
2024-07-18,258.03,262.33,257.6003,259.52,3421839
2024-07-19,260.39,260.44,255.03,257.28,3470585
2024-07-22,258.3,259.79,256.4,259.54,2759527
2024-07-23,259.68,260.1378,253.5096,254.05,2653141
2024-07-24,246.32,254.33,246.12,253.37,5983281
2024-07-25,254.19,256.09,251.1,251.46,3323080
2024-07-26,252.9,254.045,250.75,252,4002852
2024-07-29,253.55,263.93,250.23,261.42,9380960
2024-07-30,261,267.37,260.31,266.44,4936596
2024-07-31,265.42,267.67,263.2,265.4,4652053
