Date,Open,High,Low,Close,Volume
2024-03-25,533.32,534.32,531.5205,532.55,310513
2024-03-26,533,538.3,531.67,536.09,538664
2024-03-27,538.35,539.99,531.26,539.26,426489
2024-03-28,540,540,535.245,536.85,751796
2024-04-01,536.27,538.26,531.085,536.49,540604
2024-04-02,532.65,536.93,531.057,533.27,546259
2024-04-03,535.44,541.91,534.75,540.09,472982
2024-04-04,542.65,543,533.67,534.79,443774
2024-04-05,537.08,541.28,533.16,538.75,312193
2024-04-08,535.02,537.26,531.02,532.23,410731
2024-04-09,532.86,533.29,518.42,527.28,572314
2024-04-10,529.52,538.0399,529.25,529.99,452986
2024-04-11,530.51,530.51,522.65,523.37,486267
2024-04-12,521.5,527.99,521.5,523.01,484479
2024-04-15,524,529.41,522.63,522.68,372220
2024-04-16,528.67,531.21,525.57,528.35,362609
2024-04-17,530.62,532,524.27,525.92,538003
2024-04-18,528.42,528.42,514.88,518.81,631442
2024-04-19,520.01,525.83,517.01,524.83,645513
2024-04-22,525,533.22,517.82,527.32,893497
2024-04-23,528.69,532.86,527.89,532,490789
2024-04-24,531.64,537.145,529.28,535.42,583497
2024-04-25,538.19,542.3,534.72,539.94,635557
2024-04-26,537.99,544.81,534.68,543.3,654669
2024-04-29,542.62,543.25,535.52,536.09,1209237
2024-04-30,536.18,539.19,533.75,537.21,795069
2024-05-01,532.3,535.095,518.27,531.1,1170824
2024-05-02,529.65,533.8,524.89,530.27,823335
2024-05-03,530,530,520.49,528.86,866981
2024-05-06,531.24,534.63,530.8,533.41,642678
2024-05-07,533.55,546.63,533.515,545.75,984411
2024-05-08,552.31,566.005,538.615,543.61,1378615
2024-05-09,543.89,556.46,543.89,555.12,977354
2024-05-10,556.27,560.49,556.13,559.91,636900
2024-05-13,558.7,563.36,553.58,554.61,683349
2024-05-14,554.6,556.74,549.83,551.58,625980
2024-05-15,548.73,555.63,548.73,551.56,539621
2024-05-16,553.17,558.42,552.58,555.76,758618
2024-05-17,559.45,564.87,557.93,564.52,575688
2024-05-20,565,566.155,558.195,564,576473
2024-05-21,564.26,565,552.18,552.39,876849
2024-05-22,551.45,560.68,548.81,557.38,743931
2024-05-23,558.09,564.215,557.78,558.03,695190
2024-05-24,559.34,563.86,558.09,560.73,512352
2024-05-28,557.4,557.68,547.005,549.26,1144951
2024-05-29,550,560.09,547.79,558.89,1037458
2024-05-30,559.23,564.93,558.4,560.96,599204
2024-05-31,560.99,570.59,558.94,569.59,1165435
2024-06-03,565.78,574.51,565.78,573.16,1055931
2024-06-04,571.5,574.7,569.27,573.73,488706
2024-06-05,574.41,579.83,573.05,579.6,480980
2024-06-06,580,587.23,578.3,586.11,495518
2024-06-07,590.54,591.8,584.23,586.9,541803
2024-06-10,586.54,592.12,583.405,591.28,524120
2024-06-11,591.28,591.31,584.41,591.29,445878
2024-06-12,590,590,575.02,584.79,603428
2024-06-13,584.18,592.405,579,591.07,529085
2024-06-14,591.59,592.33,585.96,589.95,728169
2024-06-17,590.83,598.75,589,597.45,529870
2024-06-18,598.07,604.145,595.47,602.93,462424
2024-06-20,603.01,605.33,600.25,603.24,531596
2024-06-21,604.85,606.3199,600.89,603.08,1166719
2024-06-24,605.82,609.5737,604.56,607.81,566989
2024-06-25,612.17,612.17,604.37,604.42,584493
2024-06-26,602.96,606.96,596.2,599.56,814058
2024-06-27,599.58,600.21,583.68,593.2,812207
2024-06-28,592.82,592.82,582.33,584.04,1240773
2024-07-01,586.42,594.0399,582.94,586.34,768425
2024-07-02,585.74,586.13,575.55,584.83,554380
2024-07-03,580.92,584.89,578.715,583.35,313911
2024-07-05,582.51,587.9,579.225,587.76,457302
2024-07-08,587.54,591.81,587.54,589.53,420912
2024-07-09,591.45,592.79,585.935,586.81,530603
2024-07-10,586.81,588.38,584.83,586.82,398607
2024-07-11,581.48,586.41,571.01,575.23,1192326
2024-07-12,576.05,582.27,573.69,576.66,594437
2024-07-15,580.27,587.075,577.65,578.26,860189
2024-07-16,578.84,584.15,578.84,583.95,703008
2024-07-17,585.97,587.085,579.83,582.06,741928
2024-07-18,581,585.36,577.525,578.43,788181
2024-07-19,586.56,587.96,578.1,580.13,562156
2024-07-22,580.23,584.93,579.95,583,461627
2024-07-23,586.39,592.5,583.91,585.74,568363
2024-07-24,588.53,591.4,583.62,589.99,691585
2024-07-25,593.11,600.47,592.37,595.73,733149
2024-07-26,597.23,603.17,594.035,600.16,634064
2024-07-29,601.4,607.34,598.15,606.71,686558
2024-07-30,606.13,616.15,605.675,609.72,750201
2024-07-31,613.24,621.07,607.74,617.02,664675
2024-08-01,621,631.37,620.625,629.09,880919
2024-08-02,630.84,637.51,621.29,630.38,881722
2024-08-05,626.03,627.95,606.43,612.95,1153136
2024-08-06,612.95,625.75,610.65,614.32,714568
2024-08-07,616.56,625.17,610.563,617.51,873542
2024-08-08,573.58,577.5,535.7,547.51,4088438
2024-08-09,548.5,549.9899,532.425,541.15,1742142
2024-08-12,540,554.31,537.995,551,1128201
2024-08-13,550,556.72,549.8,551.75,983464
2024-08-14,553.03,558,551,552.83,774045
2024-08-15,552.46,555.15,540.06,545.41,1386829
2024-08-16,545.9,549.6,540.49,547.71,877174
2024-08-19,549.6,550.84,547.44,548.4,691069
2024-08-20,549.29,550.655,545.95,548.52,558435
2024-08-21,549.17,559,547.6852,558.24,601114
2024-08-22,563,564.98,555.97,560.9,989362
2024-08-23,560,562.5,551.02,552.15,710191
2024-08-26,552,555,545,547.47,559453
2024-08-27,550.33,554.5799,549.08,550.72,463803
2024-08-28,552.39,558.0975,552.07,556.7,507938
2024-08-29,556.7,561.16,555.51,556.15,498798
2024-08-30,556,562.41,555.17,561.08,954189
2024-09-03,566.93,576.85,562.51,573.95,1004387
2024-09-04,574.36,577.93,565.38,571.28,644777
2024-09-05,560,562,506.45,514.75,3003583
2024-09-06,515.26,519.21,503.34,504.17,1924323
2024-09-09,508.55,515.945,503.4301,509.42,1913083
2024-09-10,505,515.07,505,505.73,1114441
2024-09-11,505.01,510.99,504.49,510.45,1315832
2024-09-12,509.88,513.39,507.36,511.17,978298
2024-09-13,509.13,522.5399,507.06,518.81,951249
2024-09-16,522.5,526.54,517.5,519.82,645272
2024-09-17,519.08,521,510.185,513.91,978465
2024-09-18,510.69,516.33,509.96,511.62,796865
2024-09-19,512.57,515.43,505.18,508.16,862813
2024-09-20,507.54,509.8,504.88,508,1457307
2024-09-23,509.48,512.56,504.3,505,1296249
2024-09-24,487.485,488.46,464.415,480.49,3120136
2024-09-25,483.26,483.26,472.29,479.14,1365148
2024-09-26,473.81,483.08,472.5,479.06,1161831
2024-09-27,480.78,489.02,479.15,488.25,1001623
2024-09-30,490.85,494.42,486.82,494.42,1645330
2024-10-01,491.65,498.77,491.595,498.48,1089925
2024-10-02,496.07,497.71,487.055,488.78,1048107
2024-10-03,490.37,493.73,481.6,482.27,956341
2024-10-04,482.7,485.5,480.395,485.42,905019
2024-10-07,483.84,488.56,482.44,483.67,792630
2024-10-08,490.64,495.99,486.77,495.09,771637
2024-10-09,495.07,502.68,494.385,502.12,734449
2024-10-10,504,508.42,501.8968,506.25,832407
2024-10-11,508.13,510.73,505.47,505.59,645552
2024-10-14,507.57,511,503.92,509.28,503774
2024-10-15,508.3,522.63,508.3,513.67,908430
2024-10-16,507.29,513.47,507.29,510.93,876713
2024-10-17,507.98,512.06,506,508.72,751962
2024-10-18,508.1,511.74,502.5,509.2,976374
2024-10-21,512,512,506.76,508.32,678661
2024-10-22,506.85,509.65,503.96,505.38,576453
2024-10-23,506.39,508.77,500.01,501.76,498477
2024-10-24,501.45,509.53,499.04,504.96,671793
2024-10-25,504.76,508.59,501.52,507.41,563369
2024-10-28,508.91,511.32,505.22,508.95,634632
2024-10-29,510.43,510.55,499.04,499.18,750190
2024-10-30,497.08,501.93,492.39,499.34,720582
2024-10-31,500.3,509.785,498.32,500.59,1012255
2024-11-01,507.47,526.91,507.47,526.34,1507968
2024-11-04,525.85,528.22,522.45,525.94,1276149
2024-11-05,529.33,529.5,520.2,525.28,842220
2024-11-06,533,549.78,530.39,549.31,1696701
2024-11-07,606.285,616.505,573.735,607.51,2465259
2024-11-08,598.86,618.58,593.27,613,1270690
2024-11-11,615.445,627.425,612.09,615.59,1237154
2024-11-12,616.635,624.265,613.31,617.66,1012807
2024-11-13,617.1,628.26,616.625,624.6,636018
2024-11-14,619.52,623.03,609.51,610.16,749438
2024-11-15,611.85,614.115,604.29,606.29,1008159
2024-11-18,606.97,617.51,606.29,615.6,628252
2024-11-19,613.56,617.95,608.23,615.65,593006
2024-11-20,616.545,622.7,614.0705,621.14,484842
2024-11-21,621.07,629.73,616.9801,628.27,499090
2024-11-22,628.305,632.59,622.07,623.19,512790
2024-11-25,625.25,628.99,615.48,616.73,1841562
2024-11-26,620.15,625.53,614.28,625,551024
2024-11-27,624.945,631.4,624.8,626.38,543196
2024-11-29,626.97,630.71,624.25,628.5,397630
2024-12-02,624.75,625.67,618.42,621.29,560152
2024-12-03,627.83,627.83,617.89,617.95,619698
2024-12-04,617.26,620.18,609.63,611.99,925461
2024-12-05,609.585,609.86,599.29,607.52,846380
2024-12-06,607.52,608.01,602.155,603.53,730596
2024-12-09,602.625,603.95,584.52,591.9,970517
2024-12-10,590.35,591.8211,582.16,583.96,703932
2024-12-11,582.635,583.49,571.3,576.69,1094025
2024-12-12,579.165,584.65,575.86,579.29,763449
2024-12-13,579.89,582.095,575.355,576.24,509590
2024-12-16,576.26,585.5,566.241,570.07,1029395
2024-12-17,567.595,568.18,558.13,562.78,1050255
2024-12-18,563.715,575.23,558.36,570.98,1130676
2024-12-19,570,580.13,565.97,579.22,1244744
2024-12-20,580.165,583.93,570.37,579.74,2058308
2024-12-23,579.54,579.96,569.63,576.76,517221
2024-12-24,575.05,580.79,573.105,579.13,241662
2024-12-26,578.47,580.595,576.4504,578.43,355254
2024-12-27,577.645,582.7372,574.655,576.64,361793
2024-12-30,572.85,576.02,569.09,570.75,416702
2024-12-31,571.52,576.6199,567.17,569.91,440926
2025-01-02,572.395,574.975,565.75,566.21,373168
2025-01-03,569.385,579.96,568.2296,577.44,708138
2025-01-06,576.25,588.55,574.2796,580.43,836012
2025-01-07,582.305,588.51,582.305,585.24,652660
2025-01-08,584.52,590.86,584.29,590.26,526104
2025-01-10,588,592.32,581.01,581.74,597055
2025-01-13,581.825,589.08,572.4,585.08,590187
2025-01-14,585.59,594.59,580.76,593.73,857295
2025-01-15,594.665,595.32,577.92,583.45,722453
2025-01-16,582.72,595.79,581.48,595.19,582465
2025-01-17,594.695,598.01,586.54,592.57,686368
2025-01-21,594.875,598,581.9,586.08,986532
2025-01-22,586.5,588,577.91,584.38,785908
2025-01-23,592.49,598.13,585.575,597.17,673445
2025-01-24,597.1,598.06,586.525,591.58,570981
2025-01-27,595,604.86,592.5243,604.43,670421
2025-01-28,606.28,607.825,597.09,602.95,602788
2025-01-29,603.66,605.68,596.49,603.18,556076
2025-01-30,605.73,611.31,604.11,604.6,473361
2025-01-31,604.49,604.5,591.98,594.75,806952
2025-02-03,592.25,602.19,590.28,599.82,1048467
2025-02-04,596.12,606.34,595.12,603.32,885631
2025-02-05,609.85,612.98,603.72,606.9,1352706
2025-02-06,590,599.88,570.51,599.75,1855725
2025-02-07,597.17,603.205,591.13,595.69,715172
2025-02-10,597,604.565,583.55,603.4,778054
2025-02-11,604.395,610.93,601.39,610.41,721043
2025-02-12,610.89,611.5,593.96,595,796298
2025-02-13,594.37,602.97,589.66,602.47,646531
2025-02-14,600.35,602.78,593.27,593.69,499312
2025-02-18,589.54,600.075,585.225,599.42,772464
2025-02-19,599.852,611.305,596.8,602.74,738216
2025-02-20,601.275,605.22,596.85,603.51,611129
2025-02-21,599.5,604.82,594.345,597.71,671030
2025-02-24,598.58,608.57,598.58,605.76,873069
2025-02-25,608.2,627.925,601.45,627.08,1283715
2025-02-26,622.625,632.92,620.025,623.62,724410
2025-02-27,621.74,629.33,619.48,620.85,776416
2025-02-28,623.115,641.7,622.69,640.26,1281385
2025-03-03,637.55,648.465,636.9,644.53,1051084
2025-03-04,642.275,653.92,639.36,643.69,933484
2025-03-05,638.816,647.91,621.88,639.62,920727
2025-03-06,634.1,646.99,626.33,641.69,1001449
2025-03-07,636.5,653.68,636.5,644.22,975463
2025-03-10,633.53,663.615,633.525,658.84,1706449
2025-03-11,659.975,661.85,646.1924,653.19,924900
2025-03-12,651.98,651.98,635,640.66,771544
2025-03-13,644.485,645.74,638.2,643.69,590752
2025-03-14,646.27,651.89,639.17,650.43,767267
2025-03-17,650,657.17,648.5002,655.25,534764
2025-03-18,654.11,662.66,649.48,661.61,1037169
2025-03-19,661.12,666.99,654.645,663.79,962008
2025-03-20,665.385,670,660.5012,666.36,720146
2025-03-21,667,670.7899,657.85,661.17,1969610
2025-03-24,661.24,663.59,655.81,660.86,775435
2025-03-25,662.89,664.25,653.32,663.6,710710
2025-03-26,666.8,669.86,659.82,663.02,737960
2025-03-27,667.83,668.8,663.02,665.67,690195
2025-03-28,665.265,672,659.48,668.06,566921
2025-03-31,670.64,678.67,666.43,672.99,1036139
2025-04-01,673,677.73,667.94,673.69,630029
2025-04-02,676.51,695.46,675.08,693.53,1203418
2025-04-03,698.84,725,696.5,716.93,2212178
2025-04-04,712,728.32,680.55,683.11,3150940
2025-04-07,660,675.605,650,661.97,2032603
2025-04-08,675,679.92,646.73,652.83,1526420
2025-04-09,645.165,682.325,641.73,671.76,1977679
2025-04-10,671.295,691.77,669.205,679.33,1105161
2025-04-11,674,693.505,673.46,689.36,841607
2025-04-14,688,696.38,674.0408,693.98,1138752
2025-04-15,700.75,702.21,687,692.86,670873
2025-04-16,696.38,697.81,685.31,694.7,879658
2025-04-17,686.84,701.995,686.64,697.08,1044956
2025-04-21,702.605,703.03,675.38,682.49,836425
2025-04-22,687.02,696.87,675.18,695.17,906190
2025-04-23,693.19,699.88,670.7,692.27,843189
2025-04-24,693.625,695,684.42,688.43,862370
2025-04-25,690.695,695.63,681.92,695,731564
2025-04-28,696.685,700.93,692.59,699.73,763193
2025-04-29,696.93,710.88,693.3175,707.28,567474
2025-04-30,711.4,715.21,705.4,712.79,966190
2025-05-01,705.77,714.9,698.735,706.77,957790
2025-05-02,710.075,716.75,703.68,708.41,866401
2025-05-05,706.93,717.45,705.86,707,993184
2025-05-06,706.235,714.99,701.7,711.07,907498
2025-05-07,708.745,728.48,708.72,722.37,971122
2025-05-08,713,722.115,689.52,690.25,2000450
2025-05-09,712.5,721.645,682.4301,693.46,2028522
2025-05-12,676.5,688.58,664.14,687.52,2927512
2025-05-13,688.815,696.98,682.855,687.78,1304825
2025-05-14,690.375,693.925,676.02,682.28,1219003
2025-05-15,681.185,706.77,680.95,706.76,1010737
2025-05-16,708.2,724.39,706.76,724.18,1146112
2025-05-19,725,726.51,720.0865,726.4,785880
2025-05-20,726.53,731,717.17,719.19,809511
2025-05-21,716.82,720.26,715.26,718.73,812335
2025-05-22,716.755,720.76,708.4485,710.64,599468
2025-05-23,713.81,718.25,709.48,716.09,816007
2025-05-27,716.515,721.52,714.3,720.38,1002382
2025-05-28,718.15,721.49,711.475,712.13,639159
2025-05-29,710.07,713.7,704.99,712.86,506804
2025-05-30,710.505,724.26,710.505,719.51,1322432
2025-06-02,718.515,722.1551,713.59,721.75,735834
2025-06-03,721,726.58,706.03,714.88,822308
2025-06-04,714.47,717.14,708.89,709.46,644607
2025-06-05,711.46,713.57,705.32,711.6,614525
2025-06-06,702.74,713.89,702.57,712.89,544230
2025-06-09,707.44,710.8,697.93,708.22,626519
2025-06-10,708,711.99,699.2,704.86,923745
