Date,Open,High,Low,Close,Volume
2024-03-25,82.81,83.4,82.72,83.24,5481262
2024-03-26,83.5,83.865,83.05,83.7,4806870
2024-03-27,84.19,87.03,84.1,86.92,8220106
2024-03-28,87.1,87.73,86.93,87.15,7579459
2024-04-01,86.84,87.18,86.43,87.02,4727418
2024-04-02,86.86,86.91,84.95,85.2,6007243
2024-04-03,85.47,85.73,84.73,85,5887405
2024-04-04,85.34,85.4,83.75,83.92,6797059
2024-04-05,83.44,84.679,83.1,84.56,4935938
2024-04-08,84.26,84.35,82.48,82.91,8725417
2024-04-09,83.38,83.83,83,83.8,5681094
2024-04-10,82.85,83.29,81.83,82.33,6509396
2024-04-11,82.92,83.06,82.12,82.17,5241326
2024-04-12,81.74,81.79,79.56,80.13,6562831
2024-04-15,80.96,81.5,79.87,80.23,7500241
2024-04-16,80.34,80.49,78.79,79.25,7674490
2024-04-17,79.41,79.85,78.95,79.08,5640094
2024-04-18,79.25,79.3,78.43,79.19,6065702
2024-04-19,79.53,79.64,79.09,79.5,6756860
2024-04-22,79.87,80.9,79.4,80.57,4962583
2024-04-23,80.96,81.34,80.62,81.29,5296230
2024-04-24,80.77,80.83,80.01,80.38,5028857
2024-04-25,80.04,80.35,78.78,79.25,5624078
2024-04-26,79.4,79.85,78.95,79.74,5024880
2024-04-29,79.62,81.1197,79.52,80.86,6154266
2024-04-30,80.02,80.68,79.76,80.24,6487413
2024-05-01,79.99,81.73,79.99,80.89,5366116
2024-05-02,81.44,81.73,80.13,80.92,6338796
2024-05-03,81.07,81.92,81.01,81.69,4987236
2024-05-06,82.52,82.56,81.26,81.76,3676174
2024-05-07,82.18,82.28,81.67,81.9,4939733
2024-05-08,81.48,82.02,81.37,81.55,4175665
2024-05-09,81.66,82.78,81.57,82.76,5545720
2024-05-10,83,83.06,82.275,82.84,4217841
2024-05-13,83.1,83.845,83.065,83.52,4950890
2024-05-14,83.73,84.61,83.62,84.3,4053666
2024-05-15,84.69,84.89,83.69,84.72,6227356
2024-05-16,84.74,85.72,84.61,85.64,5506954
2024-05-17,85.83,86.17,85.0953,85.92,8236275
2024-05-20,85.42,85.85,84.45,84.51,5513007
2024-05-21,84.54,85.29,84.5,85.17,4131608
2024-05-22,84.88,85.9,84.88,85.76,8527853
2024-05-23,83.57,84.1099,81.22,81.38,10712261
2024-05-24,80.99,82.3457,80.88,82.29,8732273
2024-05-28,82.13,82.74,81.87,82,7478985
2024-05-29,81.34,81.9401,80.753,81.49,7910489
2024-05-30,80.97,81.395,80.46,80.6,8871618
2024-05-31,80.72,81.48,80.62,81.37,11406030
2024-06-03,81.51,82.47,81.12,82.12,6151100
2024-06-04,81.78,83.38,81.51,83.27,6331319
2024-06-05,83.1,83.18,81.725,82.31,7058331
2024-06-06,82.43,82.965,81.855,82.34,7366734
2024-06-07,82.25,84.22,82.16,84.07,7038909
2024-06-10,83.72,83.95,82.605,83.14,4966543
2024-06-11,83.04,83.04,81.87,81.95,5340603
2024-06-12,82.27,82.93,81.92,82.23,5549124
2024-06-13,82,82,80.8546,81.66,5934408
2024-06-14,81.15,81.54,80.52,81.04,3688958
2024-06-17,80.26,80.5,79.26,79.95,5435355
2024-06-18,79.92,80.345,79.165,79.75,7012073
2024-06-20,79.16,80.35,78.95,80.17,7139740
2024-06-21,80.17,81.705,79.93,81.64,11096007
2024-06-24,81.76,81.98,80.735,81.04,6798930
2024-06-25,81.19,81.24,79.705,80.41,5327248
2024-06-26,79.5,80.23,79.17,80.05,5737599
2024-06-27,80,80.07,78.71,79.33,8044841
2024-06-28,78.74,79.27,78.26,78.71,8917219
2024-07-01,78.4,79.38,76.93,77.12,7111819
2024-07-02,76.85,77.5,76.52,77.37,7111929
2024-07-03,77.32,77.745,77.085,77.17,2838401
2024-07-05,77.07,77.93,76.7,77.61,4370078
2024-07-08,77.43,77.6,76.58,76.84,5606455
2024-07-09,76.84,76.99,75.96,76.88,6145101
2024-07-10,76.84,77.09,76.33,77.06,6736475
2024-07-11,77.43,78.205,77.19,78.07,6226298
2024-07-12,78.2,78.66,77.815,77.95,5661443
2024-07-15,77.82,78.01,76.955,77.08,4497792
2024-07-16,77.04,78.2,76.68,78.1,6811206
2024-07-17,77.95,81.56,77.94,81.26,9848124
2024-07-18,80.45,83.63,80.08,81.21,8427750
2024-07-19,81.58,81.67,79.41,79.48,9292752
2024-07-22,79.55,80.08,79.08,79.3,5904536
2024-07-23,79.45,79.655,78.805,79.4,5022949
2024-07-24,79.58,80.36,78.9309,79.97,5658574
2024-07-25,79.63,81.46,78.4,78.46,6356996
2024-07-26,78.62,79.45,78.32,78.7,4574693
2024-07-29,79,80.39,78.6,80,6551527
2024-07-30,79.72,81,79.7,80.81,6568358
2024-07-31,80.36,80.99,78.965,80.32,7573272
2024-08-01,80.69,81.09,79.38,80.49,4873077
2024-08-02,81.04,81.89,80.32,81.51,5057940
2024-08-05,80.82,81.81,80.21,80.33,7503446
2024-08-06,80.46,81.68,79.915,80.78,5514028
2024-08-07,80.81,82.74,80.55,81.09,5596608
2024-08-08,81.23,82.62,80.91,82.21,4088206
2024-08-09,82.28,82.4,81.499,82.04,3094299
2024-08-12,82.03,82.06,80.81,81.19,4502246
2024-08-13,81.41,82.365,81.11,82.27,3704777
2024-08-14,81.42,81.86,80.78,81.74,5612856
2024-08-15,82.56,84.03,82.17,83.65,6743480
2024-08-16,84.03,84.74,83.8,84.6,5374797
2024-08-19,84.68,85.29,84.49,84.82,7492752
2024-08-20,84,87.7,83.275,85.38,10841595
2024-08-21,85.93,87.57,85.865,87.54,10608513
2024-08-22,87.91,89.235,87.55,87.83,8429821
2024-08-23,88.255,88.5,87.71,88.35,4843533
2024-08-26,88.6,90.13,88.12,89.34,5948360
2024-08-27,89.56,89.72,88.08,88.8,4174736
2024-08-28,88.97,89.14,87.95,88.33,5230635
2024-08-29,88.89,88.94,88.02,88.19,5024526
2024-08-30,88.33,88.6,87.23,88.58,7940126
2024-09-03,88.27,89.355,88.07,88.96,4745317
2024-09-04,88.8,91.49,88.8,91.03,8953629
2024-09-05,91.16,91.18,89.095,89.39,7007382
2024-09-06,89.72,90.535,89.3,89.89,7116627
2024-09-09,90,91.15,89.88,90.62,8642962
2024-09-10,90.76,91.12,90.195,90.99,5628083
2024-09-11,90.67,90.67,88.82,90.35,5805980
2024-09-12,90.26,90.555,89.2,90,4856481
2024-09-13,90.06,90.519,89.885,90,5209364
2024-09-16,90,90.24,89.4384,90.11,5620395
2024-09-17,90,90.237,88.035,88.63,7012291
2024-09-18,88.03,88.51,87.67,88.13,7691433
2024-09-19,88.69,89.945,88.55,89.47,9374681
2024-09-20,89.48,89.59,88.74,89.34,25452927
2024-09-23,89.54,90.05,89.005,89.86,6324621
2024-09-24,89.73,90.29,89.15,89.76,7657662
2024-09-25,90.17,90.3991,89.19,89.39,3944437
2024-09-26,89.08,89.5728,88.51,89.45,6320985
2024-09-27,89.36,90.0187,89.11,89.32,5232492
2024-09-30,89.5,90.1,89.02,90.03,4784911
2024-10-01,90.25,90.35,89.21,90,4907093
2024-10-02,89.54,89.69,88.985,89.12,4438984
2024-10-03,89.02,89.2365,87.655,87.77,3435187
2024-10-04,87.96,88.285,87.21,88.26,3598594
2024-10-07,87.86,87.98,86.8814,87.04,3794463
2024-10-08,87.32,88.555,87.23,88.14,4608836
2024-10-09,87.96,88.44,87.6707,88.35,2773514
2024-10-10,89.26,89.44,88.79,88.85,3219927
2024-10-11,88.98,89.59,88.91,89.36,4482912
2024-10-14,89.53,90.06,89.15,90.01,3849199
2024-10-15,90.05,90.5,89.44,89.84,4173757
2024-10-16,89.82,90.24,89.49,89.99,3773313
2024-10-17,90.15,90.15,89.63,89.79,5392852
2024-10-18,89.97,92.25,89.84,92.24,7355589
2024-10-21,92,92.05,90.78,91.03,4411573
2024-10-22,90.7,91.3355,89.98,91.12,4400400
2024-10-23,90.74,92.39,90.68,92.27,6842268
2024-10-24,92.49,92.6799,90.94,90.99,3813834
2024-10-25,91.14,91.6,90.13,90.59,3446977
2024-10-28,90.68,91.3498,90.55,90.6,4241980
2024-10-29,90.37,91.43,90.31,90.32,7279759
2024-10-30,89.98,91.8,89.9516,90.5,5325699
2024-10-31,89.825,89.93,88.99,89.25,6955679
2024-11-01,89.83,91,89.26,90.07,5052408
2024-11-04,90.03,90.518,89.215,89.31,4513845
2024-11-05,89.05,89.69,88.61,89.68,4578164
2024-11-06,91.865,92.03,88.9,90.11,6282042
2024-11-07,89.49,89.5,87.7,88.12,7077445
2024-11-08,88.36,88.69,87.57,87.72,8137674
2024-11-11,87.95,88.82,87.75,88.27,4544773
2024-11-12,88.27,88.82,87.8,88.3,7202797
2024-11-13,87.96,88.26,87.5,87.97,8338962
2024-11-14,87.95,88.15,85.9,86,7956078
2024-11-15,85.5,87.57,85.01,87.53,7952317
2024-11-18,87.5,88.72,87,87.59,10341890
2024-11-19,86,86.4799,84.5,85,12000798
2024-11-20,84.86,84.98,83.55,84.11,7389082
2024-11-21,84.29,85.13,83.92,84.74,5699821
2024-11-22,84.79,86.3,84.6238,86.21,6532130
2024-11-25,86.6,86.83,84.77,85.75,10635955
2024-11-26,86.34,86.56,85.02,85.68,5702542
2024-11-27,86.175,86.9,85.92,86.27,5106486
2024-11-29,85.72,86.75,85.53,86.54,3543192
2024-12-02,86.26,86.85,85.94,86.54,7058956
2024-12-03,86.53,86.53,85.475,85.71,4979401
2024-12-04,85.43,86.12,85.01,85.32,5352529
2024-12-05,84.77,85.335,84,84.14,6967690
2024-12-06,84.03,84.55,83.57,84.01,4310061
2024-12-09,84,84.407,83.655,83.96,5015090
2024-12-10,84.03,84.1,82.875,83.58,5095605
2024-12-11,83.4,83.97,82.89,82.92,6125595
2024-12-12,82.9,83.25,82.525,82.73,5482817
2024-12-13,82.8,82.94,81.88,82.48,4301567
2024-12-16,82,82.51,81.12,81.35,6351880
2024-12-17,80.9429,82.2901,80.69,81.37,8021428
2024-12-18,81.3,81.66,80,80.03,7048610
2024-12-19,79.795,80.59,79.52,79.99,7191234
2024-12-20,79.99,81.265,79.8,81.03,10707296
2024-12-23,80.8,81.6,80.42,81.4,7421726
2024-12-24,81.215,81.78,81.09,81.54,2465929
2024-12-26,81.31,81.77,81.22,81.6,3320029
2024-12-27,80.865,81.265,80.45,80.74,3880783
2024-12-30,80.2,80.37,79.29,79.61,5136445
2024-12-31,79.82,80.23,79.38,79.88,4803813
2025-01-02,80.37,80.67,79.8589,80.22,5575206
2025-01-03,80.4,81,79.98,80.95,5394979
2025-01-06,80.625,81.14,79.66,79.84,7886375
2025-01-07,80.2,81.07,79.74,79.87,7363342
2025-01-08,80.65,83.22,80.35,82.68,11154164
2025-01-10,81.532,82.49,80.51,80.66,7068239
2025-01-13,80.865,82.12,80.0101,81.79,6487705
2025-01-14,83.39,85.31,83.11,85.25,13399703
2025-01-15,83.92,85.89,83.92,85.4,12261139
2025-01-16,85.45,87.22,85.03,87.16,7267463
2025-01-17,87.25,88.63,87.05,88.08,9578891
2025-01-21,88.245,88.7,87.765,88.38,8376553
2025-01-22,88.24,88.46,87.42,87.84,5222894
2025-01-23,87.85,89.33,87.8,89.25,5694287
2025-01-24,89.24,90.3,88.8222,90.19,7349517
2025-01-27,90.66,92.48,90.35,92.46,9164274
2025-01-28,92.46,93.08,91.67,91.98,7961373
2025-01-29,92.505,92.98,91.36,91.41,5514659
2025-01-30,91.625,92.815,91.46,91.99,5101862
2025-01-31,91.82,92.1,90.65,90.82,7216805
2025-02-03,90.27,91.21,89.25,90.53,5800340
2025-02-04,89.95,91.105,89.7,90.97,5196286
2025-02-05,91.275,92.07,90.675,91.69,5181172
2025-02-06,91.435,91.94,90.76,90.82,4509493
2025-02-07,91.07,91.17,89.55,90.01,6349592
2025-02-10,90.2,90.94,90.01,90.84,5029341
2025-02-11,90.62,91.47,90.5,91.2,6535110
