Date,Open,High,Low,Close,Volume
2024-03-25,4.05,4.06,4.0201,4.04,912636
2024-03-26,4.05,4.06,4.02,4.04,504280
2024-03-27,4.01,4.02,3.96,3.98,622476
2024-03-28,3.96,3.99,3.94,3.98,947951
2024-04-01,3.93,3.93,3.845,3.86,1272537
2024-04-02,3.8,3.86,3.77,3.83,842881
2024-04-03,3.85,3.9,3.85,3.89,691506
2024-04-04,3.91,3.93,3.87,3.88,497534
2024-04-05,3.86,3.9,3.855,3.89,581120
2024-04-08,3.9,3.985,3.9,3.94,1552519
2024-04-09,3.94,3.94,3.89,3.9,703462
2024-04-10,3.88,3.89,3.85,3.89,1016904
2024-04-11,3.95,3.98,3.92,3.98,686135
2024-04-12,3.93,3.96,3.89,3.91,665764
2024-04-15,4.03,4.06,3.98,3.99,4418663
2024-04-16,3.9,3.9,3.85,3.86,4039190
2024-04-17,3.83,3.84,3.79,3.8,926450
2024-04-18,3.83,3.86,3.82,3.84,856002
2024-04-19,3.83,3.865,3.83,3.845,582850
2024-04-22,3.9,3.95,3.9,3.92,1235709
2024-04-23,3.93,3.96,3.93,3.95,740653
2024-04-24,3.93,3.94,3.89,3.91,633374
2024-04-25,3.84,3.9,3.812,3.89,637281
2024-04-26,3.84,3.87,3.83,3.85,599130
2024-04-29,3.86,3.88,3.85,3.87,612644
2024-04-30,3.88,3.9,3.87,3.87,489835
2024-05-01,3.85,3.87,3.83,3.85,553833
2024-05-02,3.88,3.91,3.865,3.91,463770
2024-05-03,3.93,3.96,3.91,3.96,646365
2024-05-06,3.96,3.98,3.955,3.97,710795
2024-05-07,3.92,3.94,3.9,3.9,633420
2024-05-08,3.88,3.91,3.86,3.9,688184
2024-05-09,3.9,3.945,3.9,3.94,440748
2024-05-10,3.95,4.01,3.95,4,1938277
2024-05-13,4.01,4.01,3.95,3.95,638006
2024-05-14,3.96,3.99,3.95,3.99,642838
2024-05-15,4,4.15,4,4.14,1811953
2024-05-16,3.98,3.99,3.945,3.95,1126971
2024-05-17,4.02,4.07,4.02,4.06,1189807
2024-05-20,4.16,4.19,4.13,4.14,786529
2024-05-21,4.07,4.08,4.06,4.08,1272127
2024-05-22,4.03,4.03,4.01,4.01,872471
2024-05-23,4.05,4.055,4,4,604762
2024-05-24,4.03,4.065,4.03,4.05,810126
2024-05-28,4.06,4.08,4.04,4.07,634839
2024-05-29,4,4.02,3.97,3.97,688678
2024-05-30,4.02,4.04,4.02,4.03,516066
2024-05-31,4.07,4.11,4.07,4.1,777079
2024-06-03,4.18,4.22,4.17,4.22,881909
2024-06-04,4.11,4.13,4.1,4.13,533730
2024-06-05,4.05,4.05,4,4.03,979324
2024-06-06,4.03,4.05,4.01,4.04,666882
2024-06-07,4.01,4.02,3.99,3.99,964793
2024-06-10,4,4.0473,3.97,4.04,557294
2024-06-11,4.02,4.02,3.98,3.99,499456
2024-06-12,4.03,4.04,4,4.01,412189
2024-06-13,3.9,3.92,3.9,3.92,409164
2024-06-14,3.89,3.905,3.875,3.89,578747
2024-06-17,3.87,3.885,3.85,3.87,1005590
2024-06-18,3.87,3.885,3.85,3.87,796977
2024-06-20,3.89,3.91,3.88,3.9,518544
2024-06-21,3.9,3.9,3.85,3.86,796039
2024-06-24,3.91,3.96,3.91,3.95,726153
2024-06-25,4.08,4.11,4.06,4.09,559906
2024-06-26,4.08,4.09,4.05,4.07,1043889
2024-06-27,4.1,4.12,4.09,4.12,669411
2024-06-28,4.19,4.23,4.19,4.23,545150
2024-07-01,4.23,4.27,4.23,4.27,542484
2024-07-02,4.31,4.355,4.3,4.34,931753
2024-07-03,4.3,4.3274,4.3,4.32,242192
2024-07-05,4.35,4.4,4.35,4.4,475282
2024-07-08,4.32,4.34,4.31,4.33,488598
2024-07-09,4.29,4.3,4.275,4.29,985043
2024-07-10,4.32,4.36,4.32,4.34,641108
2024-07-11,4.35,4.37,4.3,4.31,1010754
2024-07-12,4.31,4.35,4.29,4.34,412046
2024-07-15,4.34,4.34,4.32,4.33,284769
2024-07-16,4.35,4.39,4.35,4.38,317962
2024-07-17,4.37,4.41,4.37,4.41,346668
2024-07-18,4.43,4.45,4.41,4.42,370995
2024-07-19,4.37,4.37,4.32,4.36,419867
2024-07-22,4.35,4.4,4.35,4.4,389549
2024-07-23,4.46,4.5,4.45,4.5,269331
2024-07-24,4.43,4.45,4.4,4.41,452077
2024-07-25,4.27,4.29,4.25,4.27,1139225
2024-07-26,4.31,4.31,4.27,4.29,717552
2024-07-29,4.32,4.349,4.32,4.32,375486
2024-07-30,4.29,4.32,4.27,4.32,520642
2024-07-31,4.62,4.63,4.52,4.62,702917
2024-08-01,4.55,4.56,4.49,4.51,1001712
2024-08-02,4.05,4.11,3.9,4.07,2090222
2024-08-05,3.47,3.93,3.45,3.84,3181836
2024-08-06,3.57,3.7,3.5201,3.69,2507422
2024-08-07,3.93,3.945,3.75,3.75,2030572
2024-08-08,3.76,3.79,3.74,3.74,1496381
2024-08-09,3.78,3.85,3.78,3.84,1211449
2024-08-12,3.88,3.9,3.83,3.83,959763
2024-08-13,3.92,3.97,3.9,3.97,1287998
2024-08-14,3.98,4.02,3.975,4.02,797884
2024-08-15,4.08,4.29,4.08,4.27,1293917
2024-08-16,4.26,4.27,4.23,4.26,834646
2024-08-19,4.25,4.31,4.25,4.31,1169618
2024-08-20,4.27,4.27,4.22,4.24,867118
2024-08-21,4.25,4.26,4.22,4.25,659189
2024-08-22,4.2,4.23,4.15,4.18,1061969
2024-08-23,4.24,4.305,4.24,4.29,1068393
2024-08-26,4.19,4.21,4.17,4.18,893864
2024-08-27,4.19,4.21,4.17,4.17,1001886
2024-08-28,4.17,4.205,4.16,4.18,646956
2024-08-29,4.17,4.21,4.16,4.19,800382
2024-08-30,4.18,4.195,4.15,4.16,686425
2024-09-03,4.25,4.305,4.21,4.23,708915
2024-09-04,4.13,4.155,4.11,4.13,682703
2024-09-05,4.14,4.18,4.13,4.17,833210
2024-09-06,4.13,4.13,4.03,4.06,1368752
2024-09-09,4,4.04,3.965,4.01,1439529
2024-09-10,4,4.01,3.9413,3.99,1029460
2024-09-11,3.97,4,3.915,4,901632
2024-09-12,3.99,4.045,3.9646,4.03,928024
2024-09-13,4.03,4.07,4.02,4.05,1049608
2024-09-16,4.06,4.1,4.04,4.06,1007351
2024-09-17,3.95,3.97,3.92,3.93,1166322
2024-09-18,3.92,3.99,3.92,3.93,1153728
2024-09-19,4.03,4.05,4.01,4.05,979751
2024-09-20,4.06,4.21,4.06,4.17,7267709
2024-09-23,4.17,4.1966,4.15,4.16,1346761
2024-09-24,4.08,4.16,4.05,4.11,15123228
2024-09-25,4,4.01,3.97,3.99,5387175
2024-09-26,4.07,4.16,4.038,4.14,1524845
2024-09-27,4.06,4.09,4,4.01,4036951
2024-09-30,4.13,4.2171,4.13,4.18,12015462
2024-10-01,4.23,4.25,4.18,4.2,6290493
2024-10-02,4.13,4.135,4.09,4.11,1197845
2024-10-03,4.05,4.05,4.0102,4.04,1438056
2024-10-04,4.09,4.21,4.09,4.19,2441007
2024-10-07,4.23,4.3598,4.229,4.27,13319913
2024-10-08,4.18,4.19,4.16,4.17,3904885
2024-10-09,4.11,4.125,4.08,4.1,1512930
2024-10-10,4.11,4.17,4.08,4.15,2212527
2024-10-11,4.2,4.27,4.2,4.26,1165178
2024-10-14,4.26,4.2988,4.24,4.25,1942728
2024-10-15,4.21,4.23,4.12,4.13,1529176
2024-10-16,4.2,4.22,4.18,4.22,1407079
2024-10-17,4.27,4.322,4.26,4.28,1171927
2024-10-18,4.29,4.33,4.2701,4.31,988901
2024-10-21,4.28,4.29,4.23,4.26,983404
2024-10-22,4.22,4.24,4.19,4.21,918925
2024-10-23,4.1,4.1,4.05,4.06,1178430
2024-10-24,4.1,4.12,4.08,4.1,959236
2024-10-25,4.12,4.13,4.08,4.09,666965
2024-10-28,4.11,4.16,4.095,4.12,1515102
2024-10-29,4.2,4.25,4.2,4.22,1568053
2024-10-30,4.23,4.255,4.21,4.23,490458
2024-10-31,4.2,4.25,4.19,4.23,1797269
2024-11-01,4.24,4.33,4.24,4.31,3275995
2024-11-04,4.32,4.37,4.31,4.31,4577558
2024-11-05,4.3,4.38,4.29,4.38,1251574
2024-11-06,4.52,4.5887,4.5,4.56,1192086
2024-11-07,4.54,4.56,4.51,4.54,819554
2024-11-08,4.48,4.52,4.47,4.51,884246
2024-11-11,4.47,4.57,4.47,4.54,994745
2024-11-12,4.51,4.56,4.485,4.51,797388
2024-11-13,4.535,4.545,4.5,4.52,1066800
2024-11-14,4.66,4.8,4.64,4.76,2458271
2024-11-15,4.845,4.89,4.84,4.88,1391463
2024-11-18,4.85,4.91,4.8304,4.88,895814
2024-11-19,4.91,4.99,4.91,4.98,927956
2024-11-20,4.905,4.92,4.87,4.91,765879
2024-11-21,4.99,5.055,4.99,5.02,861636
2024-11-22,5,5.01,4.97,4.98,1231613
2024-11-25,5,5.01,4.95,4.95,889398
2024-11-26,4.9,4.92,4.87,4.89,877904
2024-11-27,4.915,4.92,4.88,4.9,862253
2024-11-29,5.02,5.09,5,5.08,406138
2024-12-02,5.19,5.245,5.16,5.21,1795067
2024-12-03,5.29,5.31,5.25,5.26,1403133
2024-12-04,5.19,5.19,5.1,5.11,886099
2024-12-05,5.14,5.17,5.13,5.13,783713
2024-12-06,5.15,5.155,5.11,5.11,824415
2024-12-09,5.11,5.13,5.07,5.07,838245
2024-12-10,5.06,5.08,5.04,5.04,538619
2024-12-11,5.055,5.11,5.0506,5.1,900450
2024-12-12,5.05,5.0758,5.04,5.06,695524
2024-12-13,5.03,5.045,5.01,5.02,642828
2024-12-16,4.9914,5.005,4.97,4.98,681301
2024-12-17,4.95,4.97,4.925,4.93,669861
2024-12-18,4.96,5,4.83,4.83,860997
2024-12-19,4.92,4.97,4.84,4.87,1430913
2024-12-20,4.73,4.8593,4.73,4.82,1476645
2024-12-23,4.86,4.86,4.795,4.83,1481836
2024-12-24,4.89,4.89,4.86,4.88,582502
2024-12-26,4.88,4.9,4.86,4.9,950424
2024-12-27,4.92,4.92,4.83,4.89,1679415
2024-12-30,4.88,4.93,4.84,4.92,1009853
2024-12-31,4.905,4.945,4.88,4.89,596080
2025-01-02,4.89,4.915,4.84,4.89,1725071
2025-01-03,4.915,4.96,4.88,4.95,875468
2025-01-06,4.98,4.995,4.945,4.96,513702
2025-01-07,5.02,5.06,4.98,5.02,1052337
2025-01-08,5.06,5.09,5.03,5.08,681620
2025-01-10,4.93,4.93,4.82,4.83,1154097
2025-01-13,4.83,4.89,4.82,4.88,842150
2025-01-14,4.92,4.94,4.89,4.9,821567
2025-01-15,5.115,5.18,5.11,5.18,1137607
2025-01-16,5.12,5.13,5.08,5.1,1350025
2025-01-17,5.06,5.11,5.035,5.08,1315353
2025-01-21,5.15,5.21,5.09,5.19,991249
2025-01-22,5.09,5.15,5.07,5.08,1553009
2025-01-23,5.09,5.14,5.08,5.13,827949
2025-01-24,5.13,5.185,5.13,5.15,880443
2025-01-27,5.19,5.27,5.19,5.27,1315076
2025-01-28,5.41,5.47,5.4,5.43,1160112
2025-01-29,5.47,5.53,5.44,5.48,1541307
2025-01-30,5.59,5.61,5.565,5.57,1161347
2025-01-31,5.63,5.63,5.43,5.48,4022167
2025-02-03,5.52,5.6,5.44,5.58,2096619
2025-02-04,5.4017,5.52,5.4017,5.51,912719
2025-02-05,5.5437,5.58,5.5,5.55,1397391
2025-02-06,5.58,5.66,5.5502,5.65,2224588
2025-02-07,5.54,5.5701,5.46,5.48,1222527
2025-02-10,5.5,5.5,5.45,5.46,853875
2025-02-11,5.465,5.51,5.455,5.49,1284820
2025-02-12,5.43,5.46,5.4,5.44,849690
2025-02-13,5.54,5.61,5.54,5.6,1582275
2025-02-14,5.75,5.76,5.685,5.74,1265363
2025-02-18,5.84,5.88,5.825,5.85,1716626
2025-02-19,5.902,5.9118,5.84,5.87,1443662
2025-02-20,5.86,5.86,5.77,5.79,1133557
2025-02-21,5.65,5.7,5.605,5.62,961881
2025-02-24,5.6776,5.6776,5.52,5.59,1169190
2025-02-25,5.71,5.73,5.62,5.67,1501289
2025-02-26,5.63,5.6555,5.6,5.62,817337
2025-02-27,5.6897,5.73,5.68,5.69,917985
2025-02-28,5.6,5.65,5.57,5.64,1383483
2025-03-03,5.73,5.75,5.63,5.64,2149073
2025-03-04,5.66,5.73,5.595,5.66,2661508
2025-03-05,5.675,5.77,5.675,5.75,1476477
2025-03-06,5.79,5.81,5.74,5.75,1265673
2025-03-07,5.71,5.72,5.63,5.7,1386290
2025-03-10,5.58,5.58,5.49,5.52,1897122
2025-03-11,5.402,5.4499,5.3216,5.41,2512996
2025-03-12,5.515,5.57,5.48,5.55,1947926
2025-03-13,5.61,5.64,5.58,5.61,1370263
2025-03-14,5.73,5.79,5.695,5.79,1340004
2025-03-17,5.75,5.83,5.75,5.81,2246717
2025-03-18,5.7991,5.85,5.765,5.84,1878447
2025-03-19,5.86,5.9499,5.835,5.92,1382418
2025-03-20,5.85,5.92,5.85,5.89,1445336
2025-03-21,5.98,6.08,5.98,6.04,2572838
2025-03-24,5.89,5.93,5.88,5.91,1831005
2025-03-25,5.805,5.8683,5.7945,5.86,1366343
2025-03-26,5.81,5.83,5.78,5.79,1472129
2025-03-27,5.87,5.9,5.855,5.88,1602221
2025-03-28,5.711,5.76,5.635,5.68,1464264
2025-03-31,5.42,5.51,5.42,5.51,1778468
2025-04-01,5.455,5.4555,5.39,5.44,1274177
2025-04-02,5.35,5.44,5.332,5.44,979746
2025-04-03,4.94,5.04,4.92,4.96,4020190
2025-04-04,4.32,4.388,4.21,4.25,8863954
2025-04-07,4.11,4.4,4.04,4.3,11815079
2025-04-08,4.64,4.67,4.315,4.38,10845120
2025-04-09,4.325,4.83,4.31,4.8,7209306
2025-04-10,4.57,4.585,4.395,4.54,7527854
2025-04-11,4.5,4.67,4.4702,4.65,6449406
2025-04-14,4.7,4.78,4.67,4.73,10653000
2025-04-15,4.78,4.89,4.78,4.83,6812061
2025-04-16,4.7042,4.745,4.65,4.67,4231086
2025-04-17,4.825,4.8999,4.825,4.84,4869063
2025-04-21,4.85,4.85,4.74,4.81,4406101
2025-04-22,4.83,4.9,4.82,4.87,4741647
2025-04-23,4.87,4.91,4.85,4.87,5331976
2025-04-24,4.885,4.96,4.88,4.95,3152062
2025-04-25,4.92,4.96,4.89,4.95,2346001
2025-04-28,5.0219,5.09,4.9607,5.07,4465509
2025-04-29,5.0906,5.13,5.07,5.1,2595025
